"";"";"";"";"*postDate_31-3-2025";""
"27";"*postDate_12-10-2025";"-0.242655543384741";"0.485251049720437";"1.03143376867902";"85"
"28";"*postDate_14-10-2025";"-0.335656291375043";"0.94536769097043";"1.02489635361968";"89"
"29";"*postLikes_39800";"0.524423960903704";"-2.40541584989091";"1.02331794902195";"91"
"30";"*postComments_884";"0.524423960903704";"-2.40541584989091";"1.02331794902195";"92"
"31";"*postDate_30-3-2025";"0.524423960903704";"-2.40541584989091";"1.02331794902195";"93"
"32";"*postDate_11-10-2025";"-0.124888846948857";"0.662000659021926";"1.01492012688697";"94"
"33";"*postComments_337";"-0.648650537448851";"1.70511931319416";"1.0107361563481";"97"
"34";"*postReposts_195";"-0.648650537448851";"1.70511931319416";"1.0107361563481";"98"
"35";"*a_0767";"1.17982975239342";"0.151881551286277";"1.00993932815442";"99"
"36";"*postLikes_59400";"1.17982975239342";"0.151881551286277";"1.00993932815442";"100"
"37";"*postDate_23-12-2024";"1.17982975239342";"0.151881551286277";"1.00993932815442";"101"
"38";"*commentLikes_0";"0.627063906383636";"-0.434979172946585";"1.00946901276354";"102"
"39";"*postDate_15-11-2025";"-0.416700993099637";"-0.0437532637244559";"1.00408637606301";"103"
"40";"*postReposts_25";"-0.430503059438501";"0.0599510726882354";"0.999577760287424";"104"
"41";"*postDate_27-10-2025";"0.0530144705427422";"0.641329335179198";"0.991796546219502";"105"
"42";"*postComments_236";"-0.727500571948219";"1.5940791866488";"0.99158644503562";"107"
"43";"*postDate_29-10-2025";"-0.177190214103064";"0.796057325182804";"0.989623010564623";"108"
"44";"*postLikes_3500";"-0.155905908658597";"0.738179411416733";"0.985491020614958";"109"
"45";"*commentDate_11-10-2025";"-0.174332655809125";"0.543097121451515";"0.985425033280169";"110"
"46";"*postLikes_7600";"-0.344301760972813";"0.932539932134745";"0.979381278187691";"111"
"47";"*postDate_24-9-2025";"2.29352973720975";"0.4596046317715";"0.979364158831968";"112"
"48";"*i_0043";"-0.331546008623845";"-0.0771045265255818";"0.978983175351863";"113"
"49";"*postReposts_116";"-0.331546008623845";"-0.0771045265255818";"0.978983175351863";"114"
"50";"*postReposts_43";"-0.382803676642313";"0.494483451221908";"0.976778824856682";"115"
"51";"*commentDate_27-10-2025";"-0.0906313143231156";"0.574965324491759";"0.976459471057183";"116"
"52";"*postDate_24-2-2025";"0.618349968332406";"-1.96994337181488";"0.975499542092605";"119"
"53";"*postComments_424";"0.0809866134293174";"-0.895790933008125";"0.974739131437461";"122"
"54";"*postReposts_298";"0.0809866134293174";"-0.895790933008125";"0.974739131437461";"123"
"55";"*postComments_267";"-0.496576830897259";"1.1003396005843";"0.973995528877028";"125"
"56";"*postDate_28-10-2025";"-0.0546716674383949";"0.452299358604617";"0.973841765936529";"126"
"57";"*i_0339";"-0.619097332461458";"1.74518352927566";"0.972185857346531";"127"
"58";"*postLikes_5200";"-0.551802302348774";"0.20395674761104";"0.968869371251339";"128"
"59";"*postDate_5-11-2025";"-0.26195978951978";"-0.0445485556570627";"0.96664260996321";"130"
"60";"*i_0256";"-0.512952009989556";"1.47958907645286";"0.962787019793229";"132"
"61";"*postReposts_188";"-0.512952009989556";"1.47958907645286";"0.962787019793229";"133"
"62";"*postComments_223";"-0.295498441368212";"0.624367517144895";"0.961916111478415";"134"
"63";"*i_0023";"-0.646472078127529";"1.7361336837815";"0.960070956192418";"135"
"64";"*postLikes_7100";"-0.646472078127529";"1.7361336837815";"0.960070956192418";"136"
"65";"*postComments_313";"-0.739722413525528";"1.38397258796272";"0.958607095647538";"138"
"66";"*postReposts_50";"-0.102976444393111";"-0.145653797662934";"0.956493633368199";"140"
"67";"*commentDate_31-10-2025";"-0.235373083438945";"-0.0871355031074058";"0.956428891077463";"141"
