"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22";"classe 23";"classe 24";"classe 25";"classe 26";"classe 27";"classe 28";"classe 29"
"premier";-4,117;-4,421;21,504;-0,464;0,118;-5,382;-0,599;9,144;3,384;-0,117;0,62;4,23;-0,237;-0,077;3,679;-0,921;-0,75;0,212;-1,073;0;-1,494;10,524;-2,54;0,351;-0,028;-0,028;-0,75;-4,493;-0,592
"année";-1,254;-3,068;-0,675;-0,415;-4,246;-0,001;-2,86;-0,42;3,857;-1,076;5,732;-0,415;6,652;-0,675;-2,86;-0,968;4,876;-1,636;-3,518;0,295;-0,526;10,189;0,687;1,295;-0,542;-0,039;2,854;4,719;-0,086
"!";75,977;0,005;28,517;-1,039;-3,523;-0,821;-8,571;27,874;16,273;-5,839;-6,705;-3,791;-1,754;11,166;-6,109;-3,258;-4,933;-4,336;-0,821;-1,754;-0,419;36,664;-3,791;-6,139;20,649;0,215;-2,997;-4,062;-1,335
"mettre";71,577;-2,527;-2,933;-2,042;-0,714;-0,053;-0,236;0,018;0,001;-0,066;1,715;-2,042;0,084;2,531;-0,977;0,084;-5,343;-1,118;1,459;-0,058;6,398;-0,504;-0,842;-0,123;-0,279;1,341;-1,517;1,044;-1,35
"ats";-5,1;-5,351;24,679;-0,029;0,176;-0,003;-1,497;0,978;-5,601;12,688;0,253;-2,691;0,275;-3,578;-0,55;-4,056;0,013;4,092;-2,046;12,746;-0,068;0,751;-1,324;0;-3,342;-1,663;0,013;6,916;0,048
"emji_appareil_photo_avec_flash";-5,188;-5,442;7,891;1,577;-0,013;-0,008;2,628;34,57;-5,697;0,005;-0,865;-4,645;0;-1,932;-1,572;-2,35;-0,899;-0,146;0,135;2,241;-3,003;39,8;-2,782;-0,357;-5,697;-0,607;0,007;6,653;-0,116
"emji_main_avec_index_pointant_à_droite";-1,254;96,763;-3,534;-0,415;-0,004;-0,001;-2,86;4,458;21,754;-4,81;-5,213;-4,486;-4,007;15,521;-7,06;-0,968;-2,025;-0,646;0,79;-2,228;-0,526;-0,001;-0,024;0;9,266;2,027;-0,818;-2,86;0,586
"monde";-1,523;-0,002;66,705;-4,719;-2,454;-1,655;-4,895;65,11;0,232;-0,269;0,126;0,366;-2,295;0,15;-2,776;0,621;0,089;-1,385;-3,268;0,045;-2,776;19,761;0,366;-1,523;-0,017;-1,826;-2,137;-1,254;-1,981
"grand";-1,65;-0,533;10,586;-0,001;-0,258;-3,484;2,264;-0,013;-1,97;-0,335;-0,605;0,266;-1,005;-0,079;2,264;-2,463;-0,13;-3,139;-1,832;3,357;-0,419;23,077;7,308;0,362;-1,97;-0,04;0,633;-2,968;-0,079
"dernier";-0,009;-4,004;9,813;-0,422;4,682;-0,166;-5,329;8,087;2,276;0,399;-0,113;-2,985;-1,132;-0,868;-0,036;0,003;1,633;0,607;-0,834;0,374;-1,559;9,806;-1,413;-1,78;-0,073;-0,073;-0,998;0,759;-0,868
"afp";-3,976;-4,171;-0,175;-3,175;-0,011;-2,199;0,607;0,12;-4,366;3,268;4,477;9,006;-2,807;5,972;-0,071;-0,329;-1,121;14,225;12,263;0,278;0,607;-0,236;0,118;-1,913;-2,266;-0,848;-4,759;-1,718;0,528
"genève";1,878;0,303;-0,972;0,01;7,648;0,203;1,666;0,303;-2,678;-2,319;-0,008;-3,282;0,811;0,151;-3,404;0,811;-1,071;-1,59;-0,556;-1,172;-3,404;-0,022;-0,287;-0,687;0,219;3,498;25,277;0,001;-0,972
"lien";-3,506;-3,678;-1,981;-0,256;-2,454;0,077;-2,776;1,448;35,75;-1,374;-3,103;-4,719;-0,132;48,588;-4,895;-2,295;-2,137;-0,01;1,739;-0,132;2,597;-5,423;-2,614;-3,506;93,014;5,354;-0,766;-1,254;-0,044
"également";-3,391;-3,557;-0,58;1,531;-0,144;8,903;-4,734;-1,573;-1,72;-0,223;-0,418;3,238;0,735;-0,024;7,841;14,221;0,13;-2,791;3,721;0,076;-2,634;-0,033;-0,202;-1,429;-1,72;-0,481;0,911;1,303;-1,869
"nouveau";-3,661;-3,84;-0,759;-0,335;8,019;-0,107;6,658;1,24;2,573;1,83;0,07;-1,267;-0,19;-2,132;-1,404;-2,463;-0,879;0,764;-0,706;-0,19;-5,111;-0,706;0,266;3,454;-0,04;1,005;6,394;0,934;-0,079
"emji_chaînons";119,718;-4,087;-4,471;-0,469;-2,899;-0,2;-5,44;-2,018;38,069;-1,678;-3,629;-5,245;-1,198;35,475;-5,44;-2,72;-2,542;-0,673;0,31;-0,292;0,681;-6,027;-5,245;-3,896;94,107;4,206;-1,059;-1,638;-0,148
"rester";-1,336;-3,438;0,264;0,557;-4,248;0,908;0,436;1,807;-1,616;0,06;0,247;3,554;-2,048;-0,01;0,01;-0,063;11,773;0,001;-0,013;-0,708;5,474;-1,401;-4,412;-0,252;-3,599;0,369;-0,031;1,488;-0,01
"jour";0,002;-1,673;0,15;1,348;0,483;-3,268;-0,329;-0,448;2,9;0,018;-0,03;0,366;-2,295;0,15;1,135;-0,132;-4,196;4,193;0,077;1,86;0,269;5,574;-1,126;-0,355;-0,548;-0,548;-0,083;-1,254;-0,044
"pays";-0,205;-3,32;-1,65;0,059;14,778;-1,278;-4,418;16,083;-1,513;9,099;-1,161;-4,26;-0,037;1,442;9,014;-0,625;1,209;5,404;-2,794;0,164;-0,936;-0,002;-4,26;0,761;-1,513;3,768;-0,53;-0,936;-1,65
"notamment";-1,429;-3,557;0,203;0,013;0,037;1,964;2,871;-0,388;-0,481;0,724;0,922;0,455;-0,793;-1,869;0,001;0,076;0,911;1,101;0,12;-0,095;-4,734;0,764;-1,024;0,552;-0,006;-0,006;-0,054;-1,145;0,203
"emji_caméscope";32,142;135,109;-4,156;-1,232;-4,695;-3,429;-1,366;-3,799;11,832;-0,318;0,655;0;-4,515;-0,07;-0,395;0,519;0,668;-3,088;-0,675;-2,42;0,203;-1,787;2,676;-0,411;1,05;-3,977;0,056;-2,92;-0,732
"souligner";-3,202;-3,359;-1,686;-0,86;0,783;4,342;0,021;-0,294;0,423;-1,143;-0,301;-0,125;0,146;-0,462;-0,97;15,629;12,255;-2,548;2,387;0,146;-0,97;-2,846;-0,86;-1,276;0;0,423;-1,826;1,622;3,221
"bio";-3,315;-3,478;-1,795;-0,169;-2,238;0,156;-2,54;1,743;38,397;-1,229;-2,847;-4,462;-0,736;43,555;-4,628;-2,089;-1,941;0;0,858;-0,073;1,425;-5,128;-4,462;-3,315;98,745;6,032;-0,631;-1,074;-0,014
"conseil";-1,921;-2,015;-2,205;-0,819;7,371;-0,164;-0,896;-2,015;-2,11;0,092;-1,053;-0,819;4,392;0,62;6,302;-0,671;-0,599;-0,094;-0,164;1,869;-2,682;-2,972;-2,586;18,233;-2,11;10,152;-0,001;21,016;-2,205
"permettre";-2,832;-2,971;0,02;-1,826;1,31;0,53;11,117;-0,139;4,86;-0,871;-0,834;-0,022;-1,577;-1,334;-0,046;-0,4;-1,455;-0,077;-0,161;9,657;-1,952;-0,161;0,205;1,171;-1,215;0,778;6,788;-1,952;0,622
"annoncer";-1,157;-3,203;6,433;0,097;0,152;-2,64;-2,219;-1,283;-3,353;-0,108;5,366;-0,075;-3,806;10,023;9,665;-3,806;-3,654;21,952;0;0,223;0,655;-2,64;-0,075;-0,163;-3,353;10,966;-0,458;-0,837;-0,375
"prévoir";-2,942;-3,086;-1,437;7,576;-3,814;-4,551;-2,085;-1,19;0,025;-0,951;-0,164;-0,045;-0,471;6,93;4,217;-0,471;-0,39;3,809;-0,216;0,294;-0,741;-4,551;-1,952;13,949;-1,313;4,467;25,104;2,163;-1,437
"face";-1,069;-3,086;0,006;-1,952;0,212;-1,043;-4,108;17,958;-1,313;-2,798;-4,403;-1,952;5,69;15,285;-0,077;1,338;-0,39;-2,218;0,008;3,136;-0,741;25,962;-1,952;-0,124;0,025;0,025;-0,39;-0,741;0,514
"public";-0,586;-2,411;-2,637;-3,094;-2,979;5,774;-3,209;-0,671;-2,524;-0,504;9,744;2,27;-1,032;-0,047;0,018;-2,865;-0,939;-0,313;17,984;-1,032;7,313;0,319;-1,223;2,209;-0,758;1,649;3,205;-1,32;0,237
"canton";1,351;-1,875;-2,051;-0,01;8,433;0,142;-0,751;-1,875;-1,962;-1,7;-2,674;-2,405;27,754;-0,424;-2,495;0,579;0,005;-2,584;-0,966;-0,55;-2,495;-2,764;-0,682;0,108;11,434;3,195;9,802;7,274;-0,424
"place";-0,561;-2,375;22,652;-1,185;2,66;-3,501;-3,16;4,626;0,35;-0,481;-1,475;-3,047;1,091;-0,038;-3,16;-0,997;-2,709;-0,289;0;0,132;2,112;3,339;-1,185;0,579;-2,486;1,726;6,342;0,651;-0,038
"fédéral";-0,355;-2,051;-2,243;-2,632;-0,777;-0,185;-0,933;-2,051;0,005;-0,294;-2,926;-2,632;32,177;-0,556;14,734;-0,013;2,014;-1,012;-0,185;7,723;-2,729;-3,024;-2,632;1,017;0,701;2,575;0,465;9,936;-0,556
"femme";0,053;-0,396;-0,529;-2,586;-2,49;0,065;-0,896;-2,015;-2,11;1,278;0,966;-2,586;0,408;-2,205;3,309;7,977;44,246;-0,974;2,476;-0,008;1,272;8,367;-2,586;-1,921;-0,462;-2,11;-2,3;-0,896;-0,529
"projet";-1,82;-0,329;-2,089;-2,45;-0,647;-0,108;0,278;-1,91;0,919;1,496;1,186;4,123;-0,579;0,772;-0,032;-2,269;-2,179;-0,859;-2,816;2,175;-2,541;-1,007;-0,716;27,698;6,453;0,919;9,495;-0,787;-0,45
"novembre";-0,636;24,494;-0,067;28,227;0,048;-0,495;-1,401;4,198;0,266;-2,252;0,331;2,077;-2,952;-0,067;-1,401;-2,952;-2,835;0,418;-0,495;2,643;0,007;-0,495;-1,3;-0,636;-2,601;3,745;-0,103;-1,401;-2,718
"viser";-2,298;-2,411;-2,637;-3,094;-0,157;-0,436;2,016;-2,411;-2,524;0,684;-1,519;-1,223;2,862;1,417;0,605;0,114;-2,751;10,444;0,319;-0,115;-1,32;-3,555;-1,223;13,973;11,824;11,824;-0,939;-0,257;0,237
"état";-0,661;-2,521;0,17;-3,235;-0,211;-1,759;-1,442;7,49;-2,639;5,12;-3,596;0,016;-0,161;3,22;32,922;-1,136;-0,116;3,457;1,168;-0,161;10,334;-3,717;-3,235;-0,006;-2,639;3,619;-1,037;-1,442;-0,078
"prendre";-2,474;-2,595;19,92;-1,418;-0,25;-0,587;-0,374;0,277;-2,717;-0,002;-0,013;1,812;-1,207;-2,839;0;2,341;0,083;-1,633;-0,029;2,341;0;1,036;-3,33;-0,712;-0,904;1,302;0,918;6,283;0,133
"américain";-2,474;-0,035;0,133;-0,31;-3,207;-1,853;-3,454;-0,807;-0,904;2,106;-0,013;0,006;-3,084;42,413;126,259;-3,084;-2,961;13,178;-0,587;-0,195;0;1,036;-3,33;-0,013;-0,904;-2,717;-2,961;-3,454;-1,003
"voir";-0,661;-2,521;0,17;0,589;7,867;0,229;-3,355;1,678;22,317;-2,286;0,3;1,985;-0,161;-0,94;-1,442;-2,996;-1,037;-1,547;-0,525;0,07;-0,325;5,217;-1,339;-0,661;1,433;-2,639;-0,116;0,004;1,218
"mondial";-0,561;-2,375;-0,038;-1,185;-2,934;-3,501;-1,28;64,929;1,726;-0,481;1,661;4,829;-0,997;-0,817;-1,28;0,132;0,19;-0,289;-1,574;-0,101;-3,16;54,392;0,051;-0,561;-2,486;-0,017;-2,709;-1,28;-0,038
"franc";-0,198;-1,77;-1,936;-2,271;0,622;-0,844;-2,356;-1,77;-1,853;-1,605;-0,777;-0,584;10,038;-0,35;-0,005;-2,103;-0,405;-0,016;-0,844;15,508;-2,356;-0,844;0,52;52,375;3,632;-0,296;10,796;0,431;-1,936
"président";0,8;-2,194;-2,4;-2,815;27,682;-1,35;-2,919;-2,194;-2,296;6,676;-1,26;-0,103;-2,607;52,202;18,476;-2,607;-2,503;4,844;7,067;1,438;-1,084;-3,235;-2,815;-2,091;-2,296;4,913;-2,503;-1,084;-2,4
"groupe";-0,181;-1,735;-1,898;-0,552;0,677;-2,559;-0,613;29,331;-0,275;-0,139;7,327;-0,552;-0,435;-0,326;-0,613;-0,435;-0,379;4,312;-0,038;-0,435;2,035;-0,805;-0,552;1,681;1,262;1,262;-1,98;-2,31;1,088
"fin";-0,024;-2,669;2,785;0,433;0,543;-1,948;-3,553;3,569;-0,965;4,555;0,191;-0,356;2,156;9,119;-0,425;-1,279;-1,173;0,258;-0,652;-1,279;0,338;2,388;-1,497;7,447;-2,795;-0,965;-0,177;-1,608;0,101
"cliquer";-2,509;-2,632;-2,879;0,003;-1,35;0,157;-3,503;-0,835;54,087;-2,386;-3,755;-3,378;-0,213;41,66;-3,503;-1,243;-1,139;-0,469;0,975;-1,243;1,51;-3,881;-3,378;-2,509;76,409;6,252;-0,161;-0,399;0,116
"national";-0,421;-2,158;-2,36;-0,961;1,32;-0,252;-2,872;5,618;-2,259;1,028;-1,218;-2,769;3,764;-0,004;5,463;-2,564;-0,016;-1,131;-1,306;7,013;0,103;0,019;-0,961;0,019;-2,259;2,259;-0,016;25,254;-0,64
"jeune";-0,355;-2,051;-0,556;-0,854;-0,777;2,355;0,166;-2,051;-0,487;-1,859;0,081;-0,051;-0,702;-2,243;0,166;12,267;19,077;-2,827;-0,185;0,371;0,166;0,774;1,368;-0,355;0,701;-0,487;-0,628;-0,933;0,574
"passer";0,376;-0,807;0,133;-3,33;2,062;-0,587;-3,454;0,277;-0,904;-0,002;-0,013;-1,418;-3,084;-0,102;0,404;-0,195;0,918;-3,578;-0,587;4,784;-0,374;4,874;0,507;1,802;0,197;-2,717;8,807;1,586;-0,102
"offrir";-0,49;-2,266;-0,017;0,949;-2,8;0,47;12,48;-2,266;4,591;-2,054;-3,232;0,949;-0,064;-0,727;0,057;-0,896;0,265;-3,123;-1,439;-0,896;-3,015;-1,439;18,693;-2,16;0,448;-2,372;29,884;-0,176;1,721
"?";-0,399;87,756;-0,002;-0,925;-0,845;7,56;-2,824;5,804;-2,221;-1,924;0,051;-0,925;-2,522;-0,612;-0,107;-0,026;-0,01;-2,925;-3,129;-2,522;-1,008;28,424;-0,075;-2,023;2,36;-0,538;-2,421;-0,107;-0,002
"heure";-0,313;-1,98;-0,502;1,536;-0,711;0,081;-0,859;0,034;-2,073;1,348;-1,012;-0,784;-0,004;-0,502;-0,859;0,447;-2,259;3,147;0,9;-0,004;0,217;2,603;-2,541;-1,887;-0,437;0,804;35,734;0,217;-2,166
"enfant";-1,491;1,934;-1,71;-2,006;0,042;8,361;2,688;-1,564;0,197;0,427;0;-0,401;-1,858;-1,71;-2,081;12,316;7,853;0,65;-2,306;-1,858;0,755;-2,306;0,873;-1,491;-1,637;0,197;-0,258;2,688;-1,71
"social";-1,654;-1,735;0,056;-2,227;0,004;0,258;-0,002;-1,735;-0,275;-1,573;-0,74;0;0,797;-0,326;-0,613;10,38;6,495;-0,676;3,661;2,786;-0,613;-0,805;2,262;-0,181;-0,275;0,09;0,031;-0,002;-0,326
"unir";-0,003;-2,484;0,191;-1,3;-0,192;-1,713;-0,302;12,244;-2,601;5,272;-0,427;0,023;-2,952;35,973;69,456;-1,101;0,13;0,418;0,257;-0,145;0,518;-3,663;-1,3;-2,368;-2,601;-2,601;-1,004;-3,306;-2,718
"près_de";-0,49;-2,266;-0,727;-0,133;-0,983;-1,439;2,424;-0,566;-0,004;41,596;0,013;-1,072;6,372;1,721;-0,176;-0,896;-0,037;-0,222;-1,439;3,349;0,057;-0,326;2,703;0,005;-2,372;-2,372;-0,811;-0,176;0,349
"police";1,185;-1,095;-1,198;-1,405;6,626;-1,615;-1,458;-1,095;-1,147;0,007;-1,562;-1,405;-1,301;-1,198;-0,093;-1,301;-1,25;0,3;0,204;2,937;130,693;-0,168;-1,405;0,001;0,9;0,9;-1,25;-1,458;-1,198
"homme";-0,293;-1,945;0,006;-2,495;-0,679;-2,868;-0,823;6,837;-2,036;-0,238;-0,972;-0,75;-0,609;-0,476;-0,042;0,488;14,339;-0,066;8,956;-2,311;46,408;2,735;-0,75;-1,854;0,02;-2,036;-0,542;-2,588;0,719
"décembre";0,013;9,578;-0,669;0,129;-2,711;-3,235;-2,919;0,651;-0,001;-1,989;0,029;2,945;0,246;-0,669;0,086;-0,043;-2,503;0,053;-0,276;0,246;-1,084;0,012;2,945;-0,444;-0,591;-0,591;31,213;-0,14;-0,669
"aller";-0,513;-0,592;3,991;-0,15;0,119;-1,484;-0,195;8,817;0,414;0,015;0,523;0,077;-0,93;7,369;0,045;-0,075;-0,842;-3,173;-0,353;0,172;-1,201;3,622;-1,109;5,489;-0,673;-0,673;-0,046;-1,201;-0,757
"service";-1,72;-1,805;-1,974;0,473;-2,23;-0,062;-2,402;-1,805;0,06;0,207;-0,041;-0,002;0,004;6,566;-0,01;9,709;-2,059;-0,023;-2,661;-0,491;18,018;-0,062;-2,316;1,508;-1,889;-0,319;30,99;-0,681;-0,374
"devenir";0,438;-2,521;-0,078;0,016;0,716;-1,759;-1,442;-0,021;1,433;-2,286;1,342;15,801;-2,996;-0,94;0,004;-1,136;2,861;-3,476;-0,015;-1,136;-1,442;16,722;4,204;0,438;-0,046;0,242;-2,877;-0,325;-0,94
"photo";-1,887;-1,98;-2,166;-0,784;-0,015;-0,144;-0,859;-0,374;50,807;-1,795;-2,825;-0,784;0,447;47,903;-2,635;-2,353;-2,259;1,186;5,188;-2,353;-0,859;-1,091;-2,541;-1,887;16,099;10,456;-0,57;-0,859;-0,502
"équipe";-0,053;-1,428;-1,562;-0,29;-1,764;-0,471;3,344;157,431;0,326;-1,295;-0,423;-1,832;-1,697;-1,562;-1,9;-0,209;-1,629;-0,377;-2,106;1,519;-0,333;29,511;0,077;-1,361;0,326;-1,495;-0,172;-1,9;-1,562
"nouvelle";-2,333;-0,011;-0,878;-3,141;0,059;-0,465;0,56;12,54;-0,03;-0,527;1,495;11,705;-1,066;-0,878;-1,361;-1,066;-0,09;0,002;-1,666;0,098;-0,279;-1,666;-0,225;-0,611;-2,562;-0,03;20,245;-1,361;15,666
"demander";-0,313;-1,98;-0,502;-2,541;1,74;-2,92;-2,635;-0,374;-2,073;0,107;-0,11;-0,784;-0,64;-0,502;-0,053;-0,004;0,549;-2,73;0,9;4,564;1,352;0,081;-0,031;7,27;0,804;2,808;5,006;1,352;-0,502
"révéler";-2,333;-2,448;-2,677;-1,261;0,059;17,551;10,902;-2,448;-0,787;-0,527;-1,563;0,68;2,75;-2,677;-3,257;9,024;9,786;-1,461;-0,465;0,972;0,012;-1,666;0,68;-2,333;0,292;0,292;-0,971;-0,279;-0,057
"retrouver";143,87;-2,411;-0,047;-0,205;-0,157;1,387;0,018;4,479;-0,023;0,684;-0,373;-1,223;-1,032;-0,847;-1,32;-0,115;-0,939;-1,419;0,319;-1,032;0,605;-0,002;-1,223;-2,298;4,009;-0,023;-2,751;-3,209;-0,847
"jeudi";-1,887;-1,98;37,924;16,586;-2,447;-1,091;-0,859;-0,374;0,804;0,107;-1,012;-2,541;-2,353;5,491;-0,053;-2,353;-0,57;1,186;0,081;-0,004;0,217;0,081;-2,541;-1,887;-2,073;10,456;0;-0,053;-0,502
"ville";2,435;-0,106;-0,175;0,045;1,166;0,583;-0,391;-0,106;-1,566;-0,05;-2,133;-1,919;0,104;-1,636;0,895;-1,777;-1,706;-2,062;-0,541;1,325;-0,391;2,288;11,618;-1,426;-1,566;0,256;14,113;0,895;-1,636
"travail";-0,011;-1,26;-1,379;-1,617;-1,557;0,064;-0,2;-0,024;-0,04;-1,143;0,09;-0,168;-1,498;2,595;-1,677;2,119;5,962;-0,235;-0,308;2,119;-1,677;-0,308;-1,617;-0,011;0,558;2,871;2,345;8,656;-0,06
"politique";-1,82;-0,329;-2,089;-2,45;18,654;0,12;-0,787;-0,329;-0,388;-0,22;-0,932;0,351;4,93;5,896;11,263;0;-0,513;1,347;-1,007;0,532;-2,541;-1,007;-2,45;-0,273;-1,999;32,531;-2,179;-2,541;-2,089
"partir";-0,164;-1,701;-0,303;0,623;38,932;-0,766;-2,264;-1,701;-0,254;-0,124;0,361;0,001;0,021;-0,303;8,721;-2,021;-0,354;-0,005;-0,028;0,86;-2,264;-2,508;-2,182;1,773;-1,781;3,956;6,744;-2,264;-0,303
"initiative";-0,858;-0,9;-0,985;-1,155;-1,112;-1,327;-1,198;-0,9;-0,942;0,078;-1,284;0,873;1,098;-0,985;0,776;1,098;0,002;-0,02;-0,044;0;-1,198;-1,327;-0,005;13,627;11,886;11,886;0,002;0,776;-0,985
"fois";0,008;-2,23;4,284;-0,118;-0,948;-1,394;0,864;0;2,068;-0,395;-0,249;-1,035;-0,053;-0,012;-0,157;0,22;1,571;-3,074;-0,301;3,482;-2,967;6,833;2,822;-2,125;-2,334;-2,334;7,17;0,864;-0,698
"lausanne";0,004;-1,063;-1,162;-0,056;-1,313;1,871;-0,075;-1,063;37,343;-0,963;-0,119;-1,363;-1,263;-1,162;-1,414;-0,025;-1,212;-1,465;0,245;-0,025;6,112;-0,143;-1,363;-1,013;-0,001;-0,001;45,758;-0,075;-1,162
"prochain";-1,687;-1,77;1,018;-0,584;-0,523;-2,61;-2,356;13,519;0,074;-0,154;0,284;-2,271;0,008;1,018;4,482;-2,103;-2,02;-0,016;-0,844;5,753;-2,356;3,489;-2,271;8,815;-1,853;3,632;6,256;-0,647;-1,936
"prix";0,22;-0,708;-0,774;-0,909;-0,875;0,001;0,018;2,832;0,14;-0,642;0,004;1,673;-0,841;7,563;0,018;-0,841;-0,808;-0,976;-1,044;1,991;0,018;-1,044;5,842;-0,675;0,14;0,14;-0,808;1,534;-0,774
"international";-1,621;-1,701;-0,303;-0,521;0,735;-0,766;-0,58;1,544;0,107;0,288;4,162;-0,521;-2,021;1,161;2,153;0,86;-1,941;18,632;-0,766;0,021;-0,58;0,294;0,001;-1,621;-1,781;-0,254;0,041;-0,58;0,07
"indiquer";-1,72;-1,805;-0,374;4,672;-0,553;-0,884;-2,402;-0,266;-1,889;1,746;3,622;-2,316;-0,491;-0,374;-0,681;-0,491;0,015;11,635;-2,661;15,049;0,388;0,195;-2,316;0,146;-1,889;0,06;0,015;7,818;-0,374
"santé";-1,523;-1,598;-0,236;-2,05;-1,974;74,978;2,544;-1,598;-1,673;-1,449;-2,279;-2,05;-0,329;-1,748;0,005;34,368;0,084;0;-0,006;0,053;-0,483;-2,356;-0,43;-0,117;1,606;-0,193;-0,281;-0,483;0,123
"étude";-1,491;-1,564;-1,71;-2,006;-1,932;34,008;87,32;-1,564;-1,637;-1,418;-2,231;-2,006;-0,304;-1,71;-2,081;57,301;13,176;-0,504;-2,306;0,068;-2,081;-2,306;-2,006;-1,491;-1,637;-1,637;-1,784;0,01;0,145
"semaine";0,065;-0,374;0,003;-0,031;-0,015;-1,091;-0,053;0,961;-0,437;3,978;-2,825;-0,784;-0,004;0,668;1,352;-0,64;-2,259;3,147;-1,091;0,447;-2,635;-0,144;0,282;-0,313;6,025;2,808;5,006;-2,635;-0,502
"mesure";-1,589;-1,666;-1,823;0,004;-2,059;-0,019;-2,218;-0,189;-1,745;-1,511;-2,377;-2,138;24,134;-1,823;0;0,927;-0,329;-0,606;0,333;6,465;0;-2,457;0,004;1,871;8,238;1,425;0,053;0,577;3,742
"trump";-1,458;-1,53;-1,673;-1,963;-1,89;-0,577;-2,036;-1,53;-1,601;-0,061;-2,182;-0,372;-1,818;113,162;158,161;-1,818;-1,745;15,254;2,151;-1,818;-0,421;-0,577;-1,963;-1,458;-1,601;-1,601;-1,745;-2,036;-1,673
"sécurité";-1,361;-1,428;-0,138;-1,832;-0,249;-0,471;-1,9;-1,428;-1,495;0,61;-2,037;-1,832;0,15;0,257;1,054;-1,697;-1,629;16,964;-0,471;1,519;17,925;-0,471;-0,29;-0,053;-0,106;5,588;1,708;0,051;0,257
"lundi";-0,216;-1,805;-0,374;2,03;0;-2,661;-2,402;13,122;-1,889;31,988;-0,815;-0,616;0,682;-1,974;-0,01;0,682;-2,059;3,943;-0,884;0,004;0,388;-0,884;0,473;1,508;-0,319;-0,319;0,808;-0,681;-1,974
