"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22";"classe 23";"classe 24";"classe 25";"classe 26";"classe 27";"classe 28";"classe 29"
"époux";1;1;1;1;1;1;1;1;1;1;0;1;1;1;0,099;1;1;1;0;1;0,099;1;1;1;1;1;1;1;1
"époque";1;1;1;1;1;1;1;1;1;1;0,284;1;1;1;1;1;1;0,268;0,007;1;1;0,3;0;1;0,155;1;1;1;1
"émotionnel";1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0,017;1;1;0,038;1;1;1;1;1;1;1;1;1;1
"élément";1;1;1;0,184;0,001;0,241;0,198;1;1;1;1;1;1;1;1;0,156;1;1;0,241;1;0,198;1;1;1;1;1;1;1;1
"écrivain";1;1;1;1;1;1;1;1;0,01;1;1;1;1;0,012;1;1;1;1;0,038;1;0,027;1;1;1;1;1;1;1;1
"zelensky";1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"xhaka";1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"voyage";1;1;1;1;1;1;1;1;1;1;1;0;1;0,091;0,147;1;1;0,159;1;0,112;1;1;1;1;0,081;1;1;1;1
"volonté";1;1;1;1;1;1;1;1;1;1;1;1;0,017;0,012;1;0,017;1;1;1;1;1;1;1;1;0,01;1;1;1;1
"voler";1;0,002;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,012;1;0,001;1;1;1;1;1
"violation";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0,081;1;1;1
"valaisanne";1;1;0;1;1;1;1;0,071;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0,081;0,102;1;1
"témoin";1;1;1;0,135;1;0,183;1;1;1;1;1;1;0,112;1;1;0,112;1;1;0,183;1;0,001;1;1;1;1;1;1;1;1
"toxique";1;1;1;1;1;0,012;1;1;1;1;1;1;1;1;1;0,004;1;1;1;1;1;1;1;1;1;1;1;1;0,003
"tourner";0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,001;1;0,241;0,156;0,198;1;1;1;0,116;1;1;1;1
"tournant";1;1;1;1;0,218;1;0,251;1;0,001;1;0,284;0,235;1;1;0,251;1;1;1;0,3;1;1;1;0,235;1;1;1;1;1;1
"tir";1;1;0,129;1;1;1;1;0,104;1;0;1;1;1;1;1;1;1;0,212;1;1;0,002;1;1;1;1;1;1;1;1
"tessinoise";1;1;0;1;1;1;1;1;1;1;1;1;1;1;0,099;1;1;1;1;1;1;1;1;1;1;1;1;1;1
