ainsi;43;3;5;5;12;5;13;6;20;17;12;29;8
certaines;17;2;2;2;18;14;9;6;19;12;11;43;19
hein;25;3;2;2;4;3;10;4;22;16;15;19;36
dommage;16;12;6;2;6;6;8;2;21;17;3;21;34
chacun;12;3;3;2;16;11;14;3;27;10;8;36;13
jusqu_à;33;4;1;9;14;4;8;0;12;2;10;31;17
30;7;1;4;22;15;3;12;3;11;6;16;22;23
plupart;27;1;0;5;14;9;13;4;22;5;9;22;10
vers;14;2;2;5;17;5;8;4;11;9;15;30;14
dès;26;0;2;6;9;7;11;6;13;9;10;27;15
15;8;0;4;6;7;5;16;2;10;5;17;21;30
2025;17;1;1;6;7;11;21;3;9;9;13;18;8
e;27;2;4;5;2;9;7;0;12;14;5;20;18
devant;34;4;0;9;4;7;6;5;13;12;0;14;31
vite;9;5;2;9;14;7;7;0;19;10;10;23;20
dessus;23;0;0;5;9;4;4;5;18;9;20;9;30
derrière;27;0;4;3;7;2;2;4;25;17;9;16;15
longtemps;18;2;0;2;22;3;9;1;16;10;13;21;13
celui;21;3;0;3;10;2;4;5;18;14;12;21;18
monsieur;26;16;1;1;5;7;1;4;23;11;4;8;19
attention;22;5;0;7;10;2;5;2;23;16;3;12;20
parfois;10;1;1;3;16;9;13;5;15;6;7;25;20
grâce;15;8;1;2;9;0;7;4;10;4;27;21;21
hors;12;1;3;4;20;6;12;3;13;19;3;16;15
presque;15;2;4;4;19;4;10;3;13;11;7;17;17
0;6;0;1;1;6;5;13;4;13;8;23;16;18
ouais;17;5;2;3;7;3;4;3;16;5;4;5;45
celle;28;2;2;3;12;6;6;7;10;5;8;16;20
vive;15;11;0;0;7;2;4;2;11;6;9;12;22
envers;27;2;0;1;3;8;1;1;22;2;3;21;11
lors;30;0;1;1;6;1;5;1;13;8;2;24;15
oh;16;10;0;1;5;4;4;4;14;10;3;4;28
certain;11;1;1;2;5;5;3;2;13;13;8;17;22
tiens;12;2;0;0;3;2;2;4;14;10;4;18;24
or;12;4;5;0;8;7;2;0;6;2;10;20;13
lorsqu;19;0;1;5;9;4;7;2;7;9;5;23;8
malgré;21;1;4;1;7;5;8;2;14;4;4;19;5
tard;8;6;0;1;5;3;11;1;10;9;3;18;20
lorsque;23;2;2;3;6;2;6;1;11;3;5;24;9
celles;18;1;2;3;4;4;6;2;11;9;5;22;9
puisque;17;1;2;2;5;6;8;3;7;10;9;13;9
2000;27;0;0;2;4;3;7;1;6;5;9;10;8
merde;4;3;1;0;5;3;6;0;9;5;11;12;33
80;11;2;4;7;8;2;7;2;6;3;6;18;14
tel;15;1;0;2;4;3;2;4;16;11;3;9;16
200;25;1;0;1;5;3;11;6;2;7;15;8;5
1948;37;0;1;0;0;0;0;0;0;0;0;0;3
environ;7;2;0;4;17;1;10;0;5;0;10;18;5
concernant;12;0;1;2;4;4;5;1;11;15;4;20;7
