"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"cher";-48,832;-12,03;-16,841;-10,638;-56,102;10,971;345,477
"soutenir";227,852;-5,094;-26,066;0,292;-12,377;-6,616;-11,998
"partie";-0,868;-12,235;-24,374;0,684;-0,23;-0,392;45,28
"premier";-0,66;-4,849;-22,143;-3,511;30,348;1,881;0,059
"lieu";-0,741;-18,202;-10,901;-3,767;13,964;-0,108;6,885
"histoire";6,898;-7,321;-10,984;0,004;81,464;-2,436;-46,594
"faux";-0,447;-13,785;-19,328;0,791;90,456;-0,826;-14,28
"sortir";-8,204;-6,415;0,118;-0,002;41,615;-2,638;-6,083
"emji_visage_souriant_avec_une_goutte_de_sueur";-36,706;-1,925;596,869;-6,134;-28,593;-2,821;-40,2
"genève";-24,317;-7,888;-1,54;-9,838;-36,511;694,529;17,064
"défendre";133,048;-11,775;-20,134;0,147;-2,305;-8,083;-4,813
"trump";53,058;-6,864;-3,533;-3,196;1,916;-7,903;-8,985
"israélien";1427,549;-15,403;-57,371;-14,24;-118,25;-9,993;-110,125
"génocide";1262,838;-17,514;-52,916;-12,257;-82,086;-10,023;-113,11
"perdre";-7,181;-1,524;-26,848;1,318;13,196;-7,605;14,719
"prix";-9,364;-11,163;-25,843;-11,785;-77,908;0,795;334,184
"finir";-8,504;-5,633;23,398;-1,529;-0,016;-0,031;0,308
"écrire";-10,982;-8,54;-3,303;0,092;171,342;-4,5;-46,647
"servir";-0,005;-11,062;-12,003;11,507;-5,901;-1,198;33,164
"attendre";-0,825;0,163;-0,344;-0,613;19,228;-1,875;-6,299
"mort";240,23;-1,778;-8,95;-0,011;-22,073;0,583;-32,477
"gouvernement";298,476;-14,35;-34,738;-7,813;-16,546;-4,191;-4,535
"emji_feu";-1,934;1818,25;-7,079;-4,409;-68,656;-4,878;-52,989
"otage";1262,806;-15,505;-46,334;-12,645;-100,911;-8,874;-103,603
"montrer";0,026;-12,382;-24,14;0,144;67,543;-2,894;-5,53
"jeune";-28,642;-5,698;-2,255;36,495;31,213;-2,678;-0,602
"nouveau";-9,485;-0,274;-2,255;0,04;-0,033;0,6;14,923
"emji_visage_faisant_un_clin_d_oeil";-30,147;-3,773;-0,009;-0,031;97,34;0,075;-18,102
"côté";-4,033;-12,227;-1,307;-1,062;46,808;7,59;-9,923
"gros";-36,103;-8,231;0,599;1,341;-0,551;-0,04;38,445
"meilleur";-33,131;15,109;-0,853;-0,189;0,189;-0,787;14,674
"simplement";-10,303;-10,098;-11,867;-0,14;0,246;-1,649;50,865
"service";-26,735;-11,398;-22,795;35,596;-21,542;-0,743;147,684
"oublier";3,034;-10,453;-8,548;-0,204;-0,072;1,101;6,076
"revenir";-25,915;-9,846;-28,451;-0,823;-35,066;-6,949;302,507
"espérer";-5,183;3,628;47,668;-2,355;2,439;-0,342;-26,034
"réalité";-14,411;-11,812;-30,895;3,928;59,844;-2,63;1,519
"assurance";-56,558;-14,925;-44,431;-12,171;-107,22;-4,895;691,535
"agir";23,089;-15,4;-22,95;-0,766;1,407;0,278;0,343
"ville";-9,099;-4,361;1,599;-3,485;-1,38;163,113;-0,038
"créer";-0,458;-9,292;-20,18;-3,968;-11,435;0,069;95,49
"europe";21,692;-6,66;-2,796;-3,316;-0,29;-2,141;0,248
"emji_visage_en_pleine_réflexion";-0,398;-7,606;31,145;0,142;-0,012;-0,287;-5,67
"manquer";-26,815;-1,942;-12,003;2,657;19,78;-2,257;10,138
