"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13"
"prix";1;1;1;0,662;0,001;1;0;1;1;1;1;1;1
"finir";1;1;1;1;0,987;1;1;1;1;1;0,549;0,097;0
"écrire";1;1;1;1;1;1;1;0,064;0;0;1;1;1
"servir";1;1;1;1;0,065;0,293;1;1;1;1;0;0;1
"attendre";1;0,704;0,52;1;1;1;0,958;1;1;0;1;1;1
"mort";0;1;1;1;1;0,995;1;1;1;1;1;1;1
"gouvernement";0;1;1;1;1;1;1;1;1;1;1;1;1
"emji_feu";1;0;1;1;1;1;1;1;1;1;1;1;1
"otage";0;1;1;1;1;1;1;1;1;1;1;1;1
"montrer";0,722;1;1;1;1;0,56;1;1;0;0;1;0,208;1
"jeune";1;1;1;1;1;0;1;1;0;1;1;0;1
"nouveau";1;1;0,831;1;0;1;1;1;1;1;1;0;1
"emji_visage_faisant_un_clin_d_oeil";1;1;1;0,934;1;1;1;0,88;1;0;1;1;0,224
"côté";1;1;1;0,015;1;1;1;1;0;1;1;1;0,115
"gros";1;1;0;0,82;0,723;0,123;1;1;0,991;1;0;0,356;0,738
"meilleur";1;0,003;0;1;0,052;0,995;1;1;1;1;1;0,006;1
"simplement";1;1;1;1;0,004;1;1;1;0,246;0,438;0;0;1
"service";1;1;1;1;1;0;0,001;1;1;1;0,013;0;1
"oublier";0,066;1;1;0,087;0,116;1;1;1;1;1;0,051;0;1
"revenir";1;1;1;1;0,45;1;0;1;1;1;0;0;1
"espérer";1;0,054;1;1;1;1;1;1;1;1;1;1;0
"réalité";1;1;1;1;0,015;0,194;1;1;0;0;0,12;0,464;1
"assurance";1;1;1;1;1;1;0;1;1;1;1;1;1
"agir";0;1;1;1;0,006;1;1;0,999;0,133;1;0,56;0,011;1
"ville";1;1;1;0;1;1;0,904;1;1;1;1;0,017;0
"créer";1;1;1;1;0;1;1;1;0,786;1;0;0;1
"europe";0,003;1;0;1;1;1;1;1;1;1;1;1;1
"emji_visage_en_pleine_réflexion";1;1;0,402;1;0,719;1;1;1;1;0,973;1;1;0
"manquer";1;1;1;1;0,858;0,238;1;0,904;0;0,257;1;0;1
"animal";1;0;1;0,501;0,017;0;1;0,06;0;1;1;1;0,824
"justice";0;1;1;1;1;1;1;0,573;0,524;1;0,383;1;1
"fin";0,317;1;1;1;1;1;0;1;1;0;1;1;1
"respecter";0;1;1;0;1;1;1;0,815;1;1;1;0,598;1
"pauvre";1;1;1;1;1;1;1;1;1;1;0;1;0,499
"santé";1;1;1;1;0;1;0;1;1;1;0,516;0;1
"protéger";0;1;1;0,6;0,11;0;1;1;0,78;1;1;0,092;1
"situation";0,281;1;1;1;1;0,774;1;1;0;0,842;1;0;1
"justement";1;1;1;1;1;0,509;1;0,32;0,257;0,355;0,078;0;1
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";1;0;1;1;1;1;1;1;1;1;1;1;1
"rapport";1;1;0,649;1;1;0;1;1;1;0;1;0,312;1
"seulement";1;1;0,676;0,033;0;0,323;1;1;1;1;0;0;1
"frontalier";1;1;1;0;1;1;0,763;1;1;1;1;0;1
"appeler";0,002;1;1;1;1;1;1;0,264;0,168;1;1;1;0,014
"augmenter";1;1;1;1;0;1;0;1;1;1;0,21;0;1
"école";1;1;1;1;1;1;1;1;1;1;1;0;0
"extrême";0,752;1;1;1;1;1;1;0;1;1;1;1;1
"mot";0;1;1;1;1;0,037;1;0,182;0;0,437;1;1;1
"heure";1;1;1;0,024;0;1;0,629;1;1;1;1;0,023;0,122
"mois";1;1;1;1;1;1;0;1;1;1;0,42;1;1
"dernier";0,024;1;0,005;0,473;1;1;1;1;0;0,018;1;1;1
"essayer";1;1;1;1;1;1;1;1;0;1;1;0,836;0,309
"normal";1;1;0,557;0,105;1;1;0;1;1;1;1;0;1
"chercher";1;1;1;1;1;0,605;1;1;0,127;0,431;1;0;1
"policier";0;1;1;1;1;1;1;0,829;0,029;0,036;1;1;1
"gagner";1;1;0;1;1;1;0;1;1;1;0;0,001;1
"terroriste";0;1;1;1;1;1;1;1;1;1;1;1;1
"solution";1;1;1;1;0,773;1;0,229;0,864;1;1;1;0;1
"malheureusement";1;1;1;1;0,128;0,046;1;0,387;0;1;1;0,003;1
"liberté";0,081;1;1;1;1;0,235;1;0;1;1;1;1;1
"civil";0;1;1;1;1;1;1;1;1;1;1;1;1
"canton";1;1;1;0;1;1;0,005;1;1;1;0;0;1
"étranger";1;1;1;1;1;0,929;1;1;0,128;0,95;1;0;1
"pire";0,384;1;0,864;0,132;1;1;1;1;1;1;1;1;0
"manière";1;1;1;1;0,163;1;1;0,57;0,013;0,013;0,382;0;1
"expliquer";1;1;1;1;0,595;0,51;1;1;1;0;0,158;0,006;1
"emji_mains_levées";1;0;1;1;1;1;1;1;1;1;1;1;1
"aide";0;1;1;1;1;1;1;1;1;1;1;0;1
"argument";1;1;1;1;0,901;0,009;1;0,063;0;0;0,031;1;1
"simple";1;1;0,905;1;0,003;0,668;0,177;1;0,291;1;0;0;1
"international";0;1;0,905;1;1;1;1;1;1;1;1;1;1
"apprendre";1;1;1;1;1;0,309;1;1;0;0,003;1;1;0,043
"ouvrir";1;1;1;1;1;1;1;1;0;0,807;1;0,255;1
"étude";1;1;1;1;0,047;0,099;1;1;1;0;0;0;1
"bas";1;1;0,864;1;1;0,602;0,138;0,732;1;1;0;0;1
"acheter";1;1;1;1;0;1;0,913;1;1;1;0,071;0,369;1
"possible";1;1;1;1;0,047;1;0,354;1;0,206;1;1;0;1
"propre";1;1;1;1;0,745;1;1;0,697;0;1;0,752;0;1
"honte";0,155;1;1;1;1;0,82;1;0,407;0;1;1;1;0,001
"avis";1;1;0,84;1;1;0,84;1;0,224;0;0;1;1;1
"triste";1;0;1;1;1;1;1;1;0;1;1;1;0,025
"emji_drapeau_suisse";1;0;1;1;1;1;1;1;1;1;1;1;1
"façon";1;1;0,833;1;1;0,181;1;1;0;1;0,352;0,002;1
"terre";0;1;1;0,096;0,185;1;1;1;1;1;1;1;1
"sécurité";0,176;1;1;1;1;1;0,326;1;1;1;1;0;1
"interdire";1;1;1;1;0;1;1;1;1;1;1;0,003;0,285
"emji_visage_roulant_des_yeux";1;1;1;1;1;1;1;1;1;1;1;1;0
"voter";1;1;1;1;1;0,729;1;0;1;1;0;1;1
"mauvais";1;1;0,778;1;0,023;0,739;1;1;0,013;0;1;0,01;1
"voiture";1;1;1;0;0,004;1;0,132;1;1;1;1;1;1
"choix";1;1;1;1;0,284;0,003;0,041;1;0,168;1;1;0;1
"égalité";1;1;1;1;1;0;1;1;1;1;1;0,042;1
"répondre";1;1;0,351;1;1;1;1;1;1;0;1;1;1
"initiative";1;0,597;1;1;1;1;1;0,002;1;1;0;0;1
"terme";0,185;1;0,715;1;0,934;1;1;0,132;0;0,237;1;0,057;1
"majorité";1;1;1;1;0;0,457;1;0,166;1;1;0;0,064;1
"important";1;1;1;1;0,106;0,152;1;1;0;1;0,298;0;1
"foutre";1;1;1;1;1;1;1;1;0,968;1;1;1;0
"équipe";1;0,711;0;1;1;1;1;1;1;1;1;1;1
"mériter";1;0,001;0;1;1;1;1;1;1;0,747;0;1;1
"sembler";0,93;1;0,74;1;1;1;0,701;0,873;0;1;1;0;1
"entendre";0,265;1;1;0,678;1;1;1;1;0;0,121;0,805;1;1
"taxe";1;1;1;1;1;1;0;1;1;1;0;0,937;1
"respect";0,023;0,03;1;1;1;0,002;1;1;0;1;1;1;1
"victime";0;0,074;1;1;1;0;1;1;0,401;1;1;1;1
"super";1;0,113;1;1;0,714;1;0,458;1;1;1;0;1;0
"risque";1;1;1;0,166;0;1;0,004;1;1;1;0,739;0;1
"également";1;1;1;0;1;0,638;1;1;1;1;1;0;1
"feu";0;1;1;0,068;0,728;1;1;1;1;1;1;1;0,394
"emji_mains_en_prière";1;0;1;1;1;1;1;1;1;1;1;1;1
"pareil";1;1;1;0,002;0,001;0,699;0;0,892;0;1;1;1;1
"manifestant";0;1;1;1;1;1;1;1;1;1;1;1;1
"maladie";1;1;1;1;0,343;1;0;1;1;1;1;1;1
"israel";0;1;1;1;1;1;1;1;1;1;1;1;1
"baisser";1;1;1;0,558;1;1;0;1;1;1;0;0;1
"classe";1;1;1;1;1;1;0,782;1;1;1;0;0,796;1
"taxer";1;1;1;1;1;1;1;1;1;1;0;1;1
"nombre";0,568;1;0;0;1;0,884;1;1;1;1;0,661;0;1
"occuper";0,02;1;1;0,332;1;0,916;0,852;1;1;1;1;0;1
"nouvelle";1;0;0,02;1;1;0,916;1;1;1;1;1;1;0,32
"manger";1;1;1;1;0;1;1;1;1;1;1;1;0,75
"crime";0;1;1;1;1;1;1;1;1;1;1;1;1
"arme";0;1;1;1;1;1;1;1;1;1;1;0,578;1
"absolument";1;1;0,74;1;1;0,678;0,701;1;0;0,001;1;0,003;1
"effet";1;1;1;1;0;1;1;1;1;1;0,25;0,009;1
"éviter";1;1;1;0,941;0,004;1;0,402;1;1;1;0,674;0;1
"suivre";1;1;1;1;1;1;0,007;0,797;0,113;0;1;1;1
"retrouver";1;1;0,002;1;0,234;0,538;1;0,739;1;1;1;0;1
"parent";1;1;1;1;1;0,287;0,023;1;1;1;0,061;0;1
"base";1;1;1;1;0,379;1;0;1;1;0,003;0,014;1;1
"valoir";1;1;1;0,932;1;1;1;1;1;1;0,45;0,216;0
"poser";1;1;1;1;1;1;1;1;1;0;1;1;1
"citoyen";0,072;1;1;1;1;1;1;0,087;1;1;0,012;0;1
"source";1;1;1;1;0;1;1;0,159;1;0;0,277;1;1
"langue";1;1;1;1;1;1;0,339;1;1;1;1;0,002;0
"info";1;1;1;1;1;1;1;0,195;1;0;1;1;0,723
"eau";0,653;1;1;0,031;0;1;1;1;1;1;1;1;1
"train";1;1;1;0;1;1;0,001;1;1;1;0,834;1;1
"rue";0;1;1;0,013;1;1;1;1;0,189;1;1;1;0,583
"suffire";1;1;0,65;0,28;1;1;1;1;0,855;0;0,014;0,008;1
"jouer";1;1;0;1;0,188;0,765;1;1;0;1;1;1;0,254
"garder";1;1;1;1;0,751;1;0,943;1;1;1;0,793;0;1
"exactement";1;1;1;1;1;0,598;0,596;1;0;0;1;1;1
"représenter";1;1;0;1;0,008;1;1;0,022;1;0,748;0;0,281;1
"préférer";1;1;1;1;1;1;0,125;0,759;1;1;1;0,017;0,007
"groupe";0;1;0;1;1;1;1;0,327;0,573;1;1;1;1
"reconnaître";0;1;1;1;1;1;1;1;1;1;1;1;1
"face";0;1;1;1;0,938;1;1;0,672;0,549;1;1;0,004;1
"couper";1;1;0;0,755;0,836;1;0,357;1;1;1;0,426;0,003;1
"clairement";1;1;0,624;1;1;1;0,928;1;0,005;0;1;1;1
"ultra";1;1;1;1;0;1;1;0,585;1;1;0;1;1
"oeil";0,022;1;1;1;1;1;1;1;0;1;1;1;1
"profiter";1;1;1;1;1;1;0,015;1;1;1;0;0;1
"média";0;1;1;1;1;1;1;0,007;0,075;0;0,98;1;1
"réponse";1;1;1;1;1;1;1;1;1;0;1;1;1
"européen";0;1;0;1;1;1;1;1;1;1;1;0,119;1
"imaginer";1;1;1;0,83;1;1;0,282;1;0,029;1;0,01;0,112;0,84
"haine";0;1;1;1;1;0,047;1;0,174;0,07;0,978;1;1;1
"fortune";1;1;1;1;1;1;1;0,933;1;1;0;1;1
"peur";1;1;1;0,764;1;0,415;1;0,155;0;1;1;1;1
"logique";1;1;1;0,024;0,396;1;1;0,953;1;1;0;0,323;1
"journée";1;1;1;1;1;0;1;1;1;0;1;1;0,001
"ia";1;1;1;1;0,131;1;1;0,799;0,211;0,102;1;0;1
"concerner";1;1;1;1;0,625;1;1;0,973;1;0,522;0;0;1
"choisir";1;1;1;1;0,85;0,013;0,563;0,019;0,008;0,507;1;0,004;1
"détruire";0;1;1;1;0,015;1;1;0,613;1;1;1;0,601;1
"peine";0,485;1;1;1;1;1;0,346;1;0,001;0,207;1;0,883;1
"vidéo";0,013;1;1;1;1;1;1;1;0,091;0;1;1;1
"intérêt";0,344;1;1;1;1;1;1;0,48;1;0,66;1;0;1
"facile";1;1;0,045;1;1;0,967;1;0,923;0;0,062;0,063;0,029;1
"semaine";1;1;1;0,63;0,643;1;1;1;1;1;1;0;0
"casser";0;1;1;1;1;1;1;1;1;1;1;1;1
"traiter";0;1;1;1;1;0,031;0,982;0,298;0,104;0,058;1;1;1
"mdr";1;1;0,486;1;1;1;1;1;0,26;0,338;1;1;0
"long";1;1;1;1;1;1;0,712;1;0;1;1;0;1
"information";0,041;1;1;1;1;0,945;0,967;0,556;1;0;1;1;1
"économique";1;1;1;1;0,104;1;1;1;1;1;0,053;0;1
"économie";1;1;1;1;0,001;1;0,741;1;1;1;0;0;1
"franchement";1;1;1;1;1;0,989;1;1;1;1;1;1;0
"chiffre";1;1;1;0,163;1;1;1;1;1;1;0;0;1
"accepter";0,877;1;1;1;1;0,07;0;1;0,753;1;1;0;1
"uniquement";1;1;1;0,764;0,006;0,218;1;1;0,947;1;0,001;0,002;1
"fédéral";0;1;1;1;1;0,876;0;1;1;1;0,737;0;1
"démocratie";0;1;1;1;1;1;1;0,002;1;1;1;0,099;1
"toucher";1;1;1;0,173;0;1;0,967;0,903;1;1;0;0;1
"moyenne";1;1;0,977;1;0,125;1;1;1;1;1;0;1;1
"financer";0,023;1;1;1;1;1;0,295;0,892;1;1;0;0;1
"emji_visage_avec_bouche_ouverte";1;0,246;1;1;1;1;1;1;1;1;1;1;0
"haut";1;1;0,493;1;1;1;0,892;0,851;0,181;1;1;0;0,636
"rappeler";0,025;1;1;1;0,024;1;1;0,128;1;1;1;0;1
"humanité";0;0,019;1;1;1;1;1;0,037;0,039;1;1;0,187;1
"emji_visage_boudeur";0,006;0,238;1;1;1;1;1;1;1;1;1;1;0
"faute";1;1;1;1;1;1;0,407;0,355;0,031;0,165;1;0,144;1
"courage";1;0;1;1;1;1;1;1;0,897;1;1;1;1
"tête";1;1;1;1;1;1;1;1;1;0,156;1;1;0
"marcher";1;1;1;1;1;1;1;1;0,71;1;1;1;0
"maison";1;1;1;1;0,414;1;1;1;1;1;1;0;0
"lausanne";1;1;1;0;1;1;0,847;1;1;1;1;0,947;0
"chance";1;0,841;0;1;0,702;1;1;1;0,919;1;0,187;0;1
"route";1;1;1;0;1;1;1;1;1;1;1;1;1
"udc";1;1;1;1;1;1;1;0;1;1;1;1;1
"dur";1;0,466;1;1;1;1;1;1;1;1;0;0;1
"contraire";0,344;1;1;1;1;0,056;1;1;0;0,469;0,287;0,456;1
"voler";0,001;1;1;0,939;0,019;1;1;1;1;1;0,001;0,087;1
"soutien";0;1;1;1;1;0,31;1;1;1;1;1;1;1
"souhaiter";1;0,072;1;1;1;0,806;0,786;1;0;0,591;0,25;0;1
"plaindre";1;1;0,16;1;1;0,021;0,877;0,841;0,171;0,913;1;0,365;0,002
"image";0,005;1;1;1;1;1;1;1;1;0;1;1;1
"valeur";0,943;1;1;1;0,377;1;1;0,027;0,119;1;0,25;0;1
"truc";1;1;1;1;1;0,015;1;0,083;1;1;0,004;0,674;0
"fonctionner";1;1;1;1;0;1;0,287;1;1;1;0,049;0;1
"but";0,06;1;0,977;1;1;0,27;0,352;1;0,429;1;1;0;1
"nom";0;1;0,942;1;0,772;0,758;1;1;0,655;0,524;1;1;1
"main";1;0,027;1;0,035;1;1;1;1;1;1;1;0;1
"différence";1;1;0,135;0,288;0,366;0,014;1;1;1;1;0,636;0;1
"offrir";1;1;0,357;1;0,024;1;1;1;1;1;0;0;1
"minimum";1;1;1;1;1;1;0,067;1;1;1;0,041;0;1
"fou";1;1;1;1;1;1;1;1;0;0,822;1;1;0
"juif";0;1;1;1;1;1;1;1;1;1;1;1;1
"emji_visage_qui_pleure_à_chaudes_larmes";1;0,019;1;1;1;1;1;1;1;1;1;1;0
"user";0,002;1;0,454;1;1;1;1;0,007;1;1;0;1;1
"réel";1;1;1;1;0;0,474;1;1;0,258;0,243;0,232;0,062;1
"propos";1;1;1;1;1;1;1;0;0;0;1;1;1
"massacre";0;1;1;1;1;1;1;1;1;1;1;1;1
"cours";1;1;1;1;0,995;1;0,145;1;0;0,313;1;1;0,304
"commettre";0;1;1;1;1;0,004;1;1;1;1;1;1;1
"bref";1;1;1;1;1;0,474;0,181;0,199;0;0,009;1;0,344;1
"blanc";1;1;1;1;1;0;1;0,616;0;1;1;1;1
"autoriser";0;1;1;0,543;1;1;1;1;1;1;1;1;1
"mesure";1;1;1;1;0;0,463;1;0,745;1;1;0,223;0;1
"fait";1;1;0,927;1;0,741;1;1;0,713;0;0;0,198;1;1
"tomber";1;1;1;1;1;0,167;1;1;0,204;0;0,14;1;0,787
"remettre";1;1;1;1;0,741;0,034;1;1;0,313;0;0,101;0,044;1
"coût";1;1;1;1;0,181;1;0;1;1;1;0,364;0,048;1
"corps";0,008;1;1;0,761;0,005;0;1;1;1;1;1;0,164;1
"caisse";1;1;1;0,196;1;1;0;1;1;1;0,689;1;1
"milliard";1;1;1;0,793;0;1;0,002;1;1;1;0;1;1
"vendre";1;1;1;1;0;1;1;1;1;1;0,319;1;1
"produire";1;1;0,383;1;0;1;1;1;1;1;1;1;1
"prison";0;1;1;0,505;1;1;1;1;1;1;1;1;1
"preuve";0,384;1;1;1;0,947;1;1;1;0;0,62;1;1;1
"tenir";0,297;1;1;1;1;1;1;0,364;0;0,098;1;1;1
"pro";0;1;1;1;1;1;1;0,313;1;1;1;1;1
"physique";1;1;1;1;0;0,364;1;1;1;1;1;0,536;1
"meme";1;1;0,815;1;1;1;0,471;0,266;0;1;0,878;1;1
"écouter";1;1;1;1;1;1;1;1;0;0;1;1;0,922
"recevoir";0,745;1;0,839;1;1;1;0,014;1;1;0,925;0;0,045;1
"militaire";0;1;1;1;1;0;1;1;1;1;1;0;1
"ami";1;0,001;1;1;1;0,051;0,754;1;0,003;1;1;1;0,796
"allemand";1;1;1;1;1;1;1;1;0,142;1;1;1;0
"libre";1;1;1;1;0,915;1;1;0,338;0;1;1;0,411;1
