"";"";"";"";"*postReposts_40";""
"132";"*postLikes_12300";"-0.341633993918045";"0.646350743970504";"0.835589057156491";"213"
"133";"*i_0207";"-1.60916845444503";"-1.0138610111492";"0.835378364187134";"215"
"134";"*commentDate_11-10-2025";"0.866152972223041";"0.246258178003863";"0.834591909612837";"216"
"135";"*postComments_43";"-0.888874611972286";"-0.0554432925565192";"0.834446809737713";"217"
"136";"*commentDate_27-10-2025";"0.820343106958171";"0.286372092900966";"0.834386185817285";"218"
"137";"*i_0081";"-1.19030722381276";"-0.729231626782162";"0.834312476405836";"219"
"138";"*commentDate_24-10-2025";"-0.330928257618404";"0.105722644587783";"0.833766861121982";"220"
"139";"-*maxx_shmd";"-1.20462817725438";"-0.887357895144746";"0.83340063301251";"222"
"140";"*i_0141";"-0.710356858715621";"-0.0848737858868766";"0.833384234738952";"223"
"141";"*postComments_463";"-0.710356858715621";"-0.0848737858868766";"0.833384234738952";"224"
"142";"*i_0483";"-1.30286201354654";"-0.694024877751413";"0.833362204735081";"225"
"143";"*i_0369";"-1.53615862361018";"-0.625637379730675";"0.832741886205016";"226"
"144";"*postLikes_5800";"0.938215923889046";"0.274018361093789";"0.832558358052463";"227"
"145";"*commentDate_13-11-2025";"-0.237126191364612";"0.482202023844114";"0.831776375734591";"228"
"146";"*postComments_249";"-0.465557771541395";"-0.0703889286778999";"0.831634754281132";"230"
"147";"*postComments_60";"-1.07350481801932";"-0.51424717314167";"0.83143217762899";"231"
"148";"-*bon_suisse";"0.285790009523827";"-0.109509931344043";"0.830868176402056";"233"
"149";"*postReposts_110";"-1.2912072294563";"-0.580831825651113";"0.830856250384923";"234"
"150";"*i_0389";"-1.26497131872054";"-0.66110057355338";"0.830810533985911";"235"
"151";"*postDate_4-11-2025";"-0.00809988186346926";"0.184719685886688";"0.830807883759882";"236"
"152";"-*franklin51281";"-1.33803559512848";"0.199864009051936";"0.830765148865154";"237"
"153";"-*ivanmicello";"-1.47303177151384";"0.414442453710996";"0.830765148865154";"238"
"154";"*i_0123";"2.03529171789444";"0.00335520406786153";"0.830547830330723";"239"
"155";"*i_0378";"-1.19813858980841";"-0.114867455632835";"0.830296721414414";"244"
"156";"*postLikes_9000";"-1.19813858980841";"-0.114867455632835";"0.830296721414414";"245"
"157";"*postComments_104";"-1.19813858980841";"-0.114867455632835";"0.830296721414414";"246"
"158";"*postComments_147";"-0.469371831825501";"-0.235797351677485";"0.83029059276672";"247"
"159";"*postComments_267";"1.40386428988383";"0.211707272725748";"0.830266409454199";"248"
"160";"*postReposts_133";"2.40482642654152";"-0.369267173296562";"0.829817196142174";"252"
"161";"*i_0113";"-1.2071720880527";"-0.796847278490855";"0.829802951177265";"254"
"162";"*postLikes_22900";"1.89173047932699";"0.22004280225688";"0.829460740741187";"256"
"163";"*postComments_293";"1.89173047932699";"0.22004280225688";"0.829460740741187";"257"
"164";"*postReposts_2.5K";"1.89173047932699";"0.22004280225688";"0.829460740741187";"258"
"165";"*postComments_180";"0.325262462344834";"-0.246782768987488";"0.8292473975458";"259"
"166";"*i_0016";"1.59003231262109";"-0.18455895761525";"0.829200521672901";"260"
"167";"*postReposts_44";"0.115973052917329";"-0.0583330040934596";"0.829062378641106";"261"
"168";"*commentDate_28-10-2025";"0.820835780361356";"0.353793520521162";"0.82902742878534";"262"
"169";"*postReposts_107";"-0.442950942021121";"-0.0214137045808479";"0.828883322744978";"263"
"170";"*postLikes_4400";"-0.429125474361504";"0.535284700465906";"0.828871065449591";"264"
