"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9"
"impôt";-21,859;-30,303;-46,445;-14,497;-3,969;-92,059;-63,609;1523,271;-35,559
"exemple";-20,512;-27,762;-8,924;0,051;-0,137;0,849;1,699;13,318;16,515
"beau";-1,656;-7,753;-38,058;-6,393;1,46;267,577;-11,305;-12,927;-2,571
"part";-22,989;-26,615;-0,954;1,229;-0,168;-0,014;17,029;32,424;-12,318
"paix";-3,69;-13,685;872,222;1,288;-5,809;-12,628;-31,695;-54,923;-31,419
"aimer";-5,185;-5,169;-17,578;-0,949;-2,618;209,946;-4,886;-14,091;-5,036
"coup";-20,906;-18,397;-3;1,229;-0,677;2,524;10,564;1,199;1,23
"emji_visage_souriant_avec_une_goutte_de_sueur";-14,283;934,64;-27,12;-6,732;-0,995;-13,736;-23,493;-11,374;-7,2
"entreprise";-20,674;-34,386;-35,486;-15,433;-5,523;-64,198;-47,14;1016,972;-1,145
"genre";-22,424;-17,512;-29,04;-0,912;-2,591;44,609;113,09;-18,058;-9,309
"droite";-21,295;-22,018;-8,679;-3,072;-3,824;-57,083;589,651;-11,18;-20,232
"gaza";-15,657;-31,804;1939,676;-3,229;-5,764;-70,439;-73,043;-52,331;-34,997
"compte";-21,859;-22,959;-6,146;-1,819;0,305;-0,121;78,082;6,393;-8,524
"tellement";-10,941;0,001;-18,813;-2,543;-2,459;229,418;-7,365;-15,497;-9,54
"lire";-17,637;-14,954;-11,317;-0,111;0,022;-22,908;487,775;-33,348;-22,531
"ca";-18,655;-3,409;-2,814;-2,766;-2,198;98,528;-7,835;0,028;-2,054
"violence";-20,28;-35,871;-2,365;232,472;-5,417;115,98;4,154;-62,142;-38,684
"social";-21,408;-29,517;-33,557;-5,141;-3,853;0,992;10,018;164,125;-18,921
"importer";-19,217;-9,405;-3,415;-0,067;1,106;49,002;5,973;-14,084;-0,002
"emji_visage_qui_pleure_à_chaudes_larmes";3,374;1176,369;-21,125;-7,236;-2,913;-35,825;-40,442;-27,631;-10,627
"société";-21,295;-31,309;-23,312;-10,544;-3,824;79,186;4,219;20,878;-12,044
"manifester";-18,543;-34,286;11,949;3056,947;-5,508;-48,546;-35,104;-50,846;-35,12
"permettre";-21,464;-33,661;-11,977;2,87;32,9;-0,297;-0,01;26,635;13,373
"niveau";-17,307;-20,524;-40,229;-12,434;427,323;0,967;9,32;4,803;0,149
"famille";-5,4;-20,541;4,119;0,926;-0,062;77,842;-33,421;3,706;-12,22
"système";-20,336;-35,97;-38,54;-8,254;-1,025;-4,923;-0,613;331,204;-0,388
"emji_visage_avec_bouche_ouverte";48,992;-1,448;0,011;-0,698;-1,171;-0,489;-0,927;-1,144;0,16
"article";-16,577;-22,605;-4,498;3,601;-2,172;-52,196;387,954;-15,545;-4,402
"rts";-11,394;-19,342;2,319;-0,414;-1,087;-47,013;428,474;-39,871;-17,623
"salaire";-19,378;-25,988;-46,724;-14,342;-5,176;-54,293;-45,564;1239,051;-39,079
"idée";-14,777;-2,149;-25,021;-10,051;-1,087;-0,19;100,327;0,555;-1,547
"exister";-14,338;-23,711;4,077;-4,375;-0,015;-0,05;33,64;-3,433;2,871
"aider";-17,868;-26,967;-5,775;0,071;-3,476;30,611;-0,55;48,875;-16,339
"sûr";-18,318;-3,106;-6,422;-0,714;-2,121;5,816;25,349;-0,011;-0,979
"loi";-19,885;-30,881;-4,252;134,833;1,561;3,62;14,856;-2,968;-9,887
"armée";-19,772;-30,683;163,197;-6,447;-5,282;26,145;-10,417;-1,239;-16,044
"public";-19,829;-35,073;-4,873;45,41;-0,272;-32,147;7,89;79,137;-0,086
"moyen";-19,772;-26,673;0,544;0,002;0,141;-0,16;-14,188;92,931;0,375
"commencer";-17,7;-17,876;5,589;2,54;-1,98;24,82;0,667;-0,474;-8,643
"tuer";-18,984;-21,605;646,83;-3,604;-5,071;-0,47;-33,709;-34,105;-4,079
"regarder";-19,378;-10,279;-12,601;0,016;-1,891;5,332;36,582;-0,056;-0,023
"cher";-17,363;-7,031;-32,462;-10,708;-0,232;-62,648;-29,24;318,978;93,743
"partie";-15,576;-24,482;-0,117;0,357;-0,249;-2,68;16,106;20,223;-0,877
"soutenir";-17,307;-27,953;192,226;0,016;-1,891;-1,294;0,363;-1,906;-16,799
"faux";-19,209;-12,596;-0,042;-0,01;-3,288;-13,852;238,785;-14,08;-8,887
"premier";-15,242;-20,335;-0,004;-2,828;0,792;-13,042;60,177;0,45;3,468
"lieu";-19,603;-28,347;-1,345;0,114;-1,942;8,861;7,073;4,333;-0,05
"histoire";-11,69;-11,365;10,469;-6,083;-0,837;-0,024;147,059;-27,087;-24,739
"genève";-14,41;-7,834;-24,721;-0,221;-3,087;-48,094;-43,53;58,615;415,659
"sortir";-17,532;-11,855;-3,287;-0,033;-0,895;77,029;-0,348;-0,037;-4,027
"trump";-16,858;-9,652;178,438;-8,673;-3,216;-13,022;5,47;-0,226;-11,945
"génocide";-18,815;-28,998;1582,006;-0,66;-5,026;-59,793;-36,326;-52,428;-37,943
