"";"";"";"";"être";""
"111";"revoilà";"-0.138033483201993";"-0.419318989672114";"0.895504191008382";"193"
"112";"son";"-0.14712763058501";"0.133076879678477";"0.894243424850486";"196"
"113";"2";"0.12812289989092";"-0.0485428484852015";"0.893513750663865";"197"
"114";"5000";"-0.313659044179432";"-0.217240372954543";"0.893070404322627";"198"
"115";"aucun";"-0.162594487091523";"0.314669298156416";"0.891495601173021";"200"
"116";"quelles";"-0.232210313836312";"0.235314147136124";"0.891435564689311";"201"
"117";"ben";"-0.078887632325849";"-0.128302856341705";"0.891407855542984";"202"
"118";"parmi";"-0.231598627190174";"0.316225204373988";"0.891038400258619";"203"
"119";"sans";"-0.191492374052967";"-0.0592884615222458";"0.890747454222181";"204"
"120";"m";"-0.0825303044508857";"-0.240973771047568";"0.889569815503267";"205"
"121";"19";"0.0631400027837902";"-0.620239725480693";"0.889047959914102";"206"
"122";"chez";"-0.121558920933959";"-0.325782152154945";"0.886780428106311";"207"
"123";"envers";"-0.204271801248781";"0.210897568053828";"0.886415591013";"208"
"124";"tes";"-0.159966962204929";"-0.0903621626316804";"0.885870644468562";"209"
"125";"hier";"-0.0235647599579823";"0.790844087220211";"0.883958713371972";"212"
"126";"aucune";"-0.218355453844054";"0.256933870483525";"0.882905765811532";"213"
"127";"celle_ci";"-0.249355558907736";"0.591294542966557";"0.882407001177639";"215"
"128";"après";"-0.156182764044734";"0.0674354288402796";"0.88228692821022";"216"
"129";"120";"-0.239117615548167";"0.0746601840472957";"0.881986745791673";"217"
"130";"quoi";"-0.123792574836854";"-0.0361889464172348";"0.881959036645346";"218"
"131";"20";"-0.212022760171651";"-0.162488624890203";"0.88080910707276";"219"
"132";"s";"-0.170807181332154";"0.0713378049784847";"0.880642852194795";"220"
"133";"entre";"-0.203257399147333";"-0.0706590238622779";"0.879922414390283";"221"
"134";"aujourd_hui";"-0.151778831059704";"0.31345182768312";"0.879686886646501";"222"
"135";"peut_être";"-0.187834864432043";"-0.201100280626946";"0.879437504329554";"223"
"136";"celle";"-0.170374251629593";"0.177055641949096";"0.878435356870714";"224"
"137";"12";"-0.260553505537058";"-0.502092931628399";"0.877253099960745";"225"
"138";"ses";"-0.157775887368728";"0.146699820762603";"0.876703535225252";"227"
"139";"200";"-0.140940026229397";"0.453617704429772";"0.875156441221973";"228"
"140";"souvent";"-0.235991176437161";"-0.293865829856838";"0.875036368254555";"229"
"141";"concernant";"-0.257483323596758";"-0.0857202602263098";"0.871545015817304";"232"
"142";"lesquels";"-0.189604342398491";"0.280526258387404";"0.870039485533517";"234"
"143";"75";"-0.216766587017806";"0.590285603364927";"0.869092756367331";"235"
"144";"130";"-0.321226542646951";"-0.733685515994891";"0.868931119680421";"236"
"145";"allô";"-0.241568067009876";"0.465064651605581";"0.868774101184566";"237"
"146";"e";"0.0383865481381548";"0.110093485079956";"0.867873553928926";"240"
"147";"tant";"-0.109242148150495";"-0.00704992725518049";"0.867185443461796";"241"
"148";"99";"-0.192244697711438";"-0.146818040376181";"0.866963770291177";"242"
"149";"ces";"-0.171851264712007";"0.155888710259236";"0.866566605860485";"243"
"150";"mieux";"-0.0702309196536727";"-0.394350530960178";"0.866501951185721";"244"
"151";"quelqu_un";"-0.166440958659065";"-0.15219878855046";"0.866053986653428";"246"
"152";"autant";"-0.228479374139538";"-0.277986498509357";"0.865522894682153";"247"
"153";"quand";"-0.165513012367858";"-0.0209822709764464";"0.863587872630291";"251"
"154";"quelques";"-0.236822871318913";"-0.202013082761831";"0.862996744175307";"253"
"155";"tandis_qu";"-0.207929692755031";"0.112132553286958";"0.862770452813633";"254"
"156";"jusqu_à";"-0.142973108511875";"0.0604468349407039";"0.861357286350936";"259"
"157";"21";"-0.218453108060892";"-0.70140456137331";"0.861177176899808";"260"
"158";"d_abord";"-0.131210583513786";"-0.110819786217776";"0.860955503729189";"261"
"159";"2000";"-0.0579056055511584";"0.43171992122501";"0.860724594176461";"262"
"160";"dix";"-0.191505458668661";"0.0611996827453418";"0.860239684115732";"263"
"161";"presque";"-0.155550295114695";"-0.281807528504187";"0.859500773547002";"264"
"162";"debout";"-0.316460403463671";"-0.312109631601177";"0.85930680952271";"266"
"163";"surtout";"-0.0854766541633949";"-0.27905062236387";"0.859057427205764";"267"
"164";"90";"-0.173369783888879";"-0.453196301106327";"0.858595608100307";"268"
"165";"puis";"-0.186790356206783";"-0.120165245191302";"0.856512803934699";"270"
"166";"celui_là";"-0.14338033502698";"-0.232381435216785";"0.85650356755259";"271"
"167";"tiens";"-0.0688482076519772";"-0.0865236914476991";"0.855792366130187";"272"
"168";"plusieurs";"-0.203742726898952";"0.0279616513379175";"0.855700002309096";"273"
"169";"selon";"-0.258585395074976";"-0.0781605705811267";"0.855242801394694";"274"
"170";"derrière";"-0.217864624518451";"0.146174527847661";"0.855201237675203";"275"
"171";"tous";"0.0123972035366848";"0.0318071840690741";"0.854799455053456";"277"
"172";"jamais";"-0.075770392479528";"0.146686864396815";"0.854707091232364";"278"
"173";"notre";"-0.0484330553947952";"-0.247908656744314";"0.853566398041887";"280"
"174";"quel";"0.0798644080130488";"0.0781886418225348";"0.853247742859122";"281"
"175";"1980";"-0.197309869410469";"0.26801829332923";"0.852762832798393";"282"
"176";"parce_que";"-0.226809235145781";"-0.0472694168045313";"0.852347195603482";"283"
"177";"cent";"-0.281974407917234";"-0.767301566029578";"0.851926940217517";"285"
"178";"44";"-0.104487631553002";"-0.351432958971373";"0.851502066640497";"286"
"179";"diable";"-0.0830598014501091";"0.840605075523533";"0.849386935137507";"288"
"180";"vite";"-0.22475865780466";"-0.478785205608337";"0.848463296926594";"289"
"181";"différents";"-0.24795567192154";"-0.245546356233641";"0.848061514304847";"290"
