"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9"
"georges";1;1;1;1;0;1;1;1;0,942
"foutre";1;0,916;0,552;1;1;0;1;0;1
"essayer";1;0,931;0,02;0;0,901;0;1;1;1
"seulement";0,668;0,531;1;1;0,767;0;0,706;1;1
"intéressant";1;1;0,993;0,037;1;0,266;1;1;0,001
"gentil";1;0;1;1;0,044;0,769;1;1;0,041
"battre";1;0,158;1;1;0;1;1;0,468;1
"adorable";1;0;1;1;1;1;1;1;0
"élève";1;1;0,11;0;1;0;1;1;1
"imaginer";0,771;1;1;0,309;1;0;1;1;1
"gamin";1;1;1;0,488;0,801;0;1;1;1
"continuer";1;0,101;0,974;1;0;0;1;1;1
"commencer";1;1;0;0;0,345;0,012;1;1;1
"terre";1;0;1;1;0;0;1;1;1
"naturel";1;0;1;0,819;0,001;1;1;1;0
"main";0;0,314;0,925;1;0,767;0,023;1;1;1
"lieu";0,707;0,039;0,002;0,509;0,345;0;1;1;1
"faux";1;0,373;1;0;1;1;1;1;1
"tuer";1;0;1;1;0,767;1;1;1;1
"chance";1;1;1;1;0,526;0;1;1;0
"tomber";1;0,337;0,945;0,339;1;0;1;1;1
"peur";1;0,003;1;0,554;1;0;1;1;1
"beauté";1;1;1;1;1;1;1;1;0
"raciste";1;1;1;0;1;1;1;1;1
"rapport";1;1;0,051;0;1;1;1;1;1
"italien";0;1;1;1;1;1;0;1;1
"guerre";1;1;1;1;0,001;0;0,467;1;1
"envie";1;1;1;1;1;0;1;1;1
"créer";1;0;0,854;0,009;0,002;0,044;1;1;1
"reconnaître";1;1;1;1;1;0,874;0;1;1
"prof";1;1;0,823;0,054;1;0;1;0,113;1
"jeunesse";1;1;1;1;1;0,279;1;1;0
"image";1;1;1;1;0,003;0;1;1;0,305
"actuel";1;1;0,451;0;0,064;0;1;1;1
"métier";1;1;0;0,682;0;0;1;1;1
"froid";1;0,979;1;1;1;1;1;0,089;0
"montrer";1;1;0,433;0,001;0,023;0;1;1;1
"drôle";1;1;1;1;1;1;1;0;1
"franc";0,717;1;1;1;1;1;0;1;1
"excellent";1;1;1;1;1;1;1;0,087;0
"argent";1;0,1;0;1;0;0;1;1;1
"social";1;1;1;0,448;0,007;0;1;1;1
"haut";1;1;0,792;0,226;0,33;1;0;0,281;1
"voix";1;1;1;1;1;1;1;1;0
"revoir";1;1;0,001;1;1;1;1;1;0
"possible";1;1;0,781;1;1;0;1;1;1
"gars";1;1;0,389;1;1;1;1;0;1
"effectivement";1;1;0,844;0,832;0,916;0;0,35;1;1
