propre;46;5;1;21;15;47;10;16;8
exemple;8;13;2;15;29;63;8;10;26
cours;1;2;3;13;12;71;2;37;21
sembler;3;11;6;43;7;57;17;17;10
rts;0;1;2;8;4;18;65;15;55
emji_visage_retenant_ses_larmes;1;1;1;3;2;6;2;3;126
voiture;1;8;4;5;6;88;9;25;14
merveilleux;0;1;1;1;3;6;3;3;150
chercher;1;13;1;34;32;52;3;19;10
joli;2;0;2;9;3;17;10;14;111
oeil;1;5;2;18;8;61;4;15;51
normal;3;9;3;31;33;59;5;10;6
pied;48;4;1;8;7;43;4;30;5
simplement;4;10;1;47;19;43;5;11;21
recevoir;1;3;3;8;1;100;3;18;20
couper;4;14;0;11;8;38;9;61;12
pratique;78;8;4;10;3;28;4;13;6
noël;0;3;1;4;1;62;14;22;36
journaliste;1;1;0;70;2;19;5;27;25
ville;1;24;0;4;7;53;27;24;8
partager;0;3;0;16;9;17;4;7;98
cause;1;26;7;15;44;36;4;14;2
permettre;9;14;4;15;6;82;1;8;12
sujet;2;11;0;93;6;18;5;12;4
éducation;1;3;2;15;13;94;2;8;7
georges;0;0;0;10;76;6;2;9;33
foutre;0;8;4;7;4;59;5;53;8
essayer;3;8;7;50;9;51;2;14;5
seulement;6;9;1;13;9;70;9;7;17
intéressant;2;2;3;25;6;38;7;12;53
gentil;0;24;1;12;14;33;3;12;45
battre;2;11;2;11;51;23;6;32;2
adorable;0;23;1;4;3;12;0;4;99
élève;0;1;5;31;3;71;0;5;8
imaginer;6;5;1;21;2;70;7;30;7
gamin;1;2;1;19;9;59;5;27;20
continuer;1;12;3;14;26;52;2;14;22
commencer;1;4;9;36;11;44;3;28;8
terre;0;23;1;14;31;52;0;10;10
naturel;0;17;2;17;17;23;2;5;58
main;30;10;3;10;9;42;2;24;11
lieu;6;13;8;19;11;63;5;16;3
faux;0;10;2;89;7;15;4;14;5
tuer;0;73;0;7;9;29;5;14;4
chance;1;6;1;6;10;49;6;7;56
tomber;1;10;3;20;6;61;5;21;16
peur;0;15;1;18;7;73;1;13;10
beauté;0;2;1;11;5;22;4;4;94
raciste;0;0;0;107;0;3;2;16;0
rapport;4;6;6;71;8;19;7;13;4
italien;33;1;0;12;6;15;25;24;12
guerre;1;2;2;12;16;70;9;10;4
envie;3;7;0;12;4;73;1;22;15
créer;1;19;3;25;16;39;4;14;13
reconnaître;0;3;1;13;5;31;33;28;24
prof;1;2;3;22;2;62;1;34;4
jeunesse;0;3;1;12;3;35;4;14;64
image;0;1;1;15;16;52;0;14;38
actuel;2;1;4;29;13;70;4;8;6
métier;0;2;26;16;22;45;0;5;11
froid;3;7;2;2;3;18;4;35;59
montrer;1;1;4;28;14;60;2;11;14
drôle;2;3;2;12;5;13;5;84;10
franc;5;2;1;5;1;9;83;9;4
excellent;4;3;1;15;2;16;4;36;56
argent;2;11;9;6;21;58;2;12;10
social;0;2;1;18;15;86;0;2;9
haut;1;0;3;19;10;25;27;31;12
voix;1;4;0;8;2;11;3;14;90
revoir;0;1;8;8;0;24;2;17;73
possible;3;6;3;11;3;76;6;12;7
gars;4;4;4;14;4;26;4;62;8
effectivement;1;5;3;16;8;61;10;22;7
langue;3;3;0;27;1;24;36;11;10
emji_visage_envoyant_un_bisou;1;2;0;11;3;17;8;18;46
porter;2;3;1;7;20;56;3;26;6
faute;1;4;2;64;25;21;0;5;0
âme;0;2;0;5;5;19;1;4;92
témoignage;1;0;0;5;3;10;0;0;111
rue;1;20;0;7;4;51;9;22;10
date;1;7;3;45;3;11;8;40;13
lol;4;6;1;17;6;22;12;50;11
interdire;1;42;7;11;11;40;1;9;3
absolument;1;6;3;44;11;31;2;10;19
évoluer;2;10;2;23;17;64;0;4;3
etait;4;3;1;9;6;54;7;15;22
top;8;1;1;4;4;16;3;22;61
ouvrir;3;6;4;20;14;45;6;21;5
prix;1;14;17;5;10;34;6;18;7
contraire;1;9;2;45;16;25;4;13;9
sauvage;0;111;0;1;0;2;0;3;4
nouveau;3;5;1;20;6;59;4;11;12
moyen;8;5;0;10;14;59;2;20;6
mois;4;3;5;5;4;51;2;39;6
emji_étincelles;1;1;0;7;1;5;0;5;85
adulte;2;0;1;32;5;66;0;6;10
neige;2;4;0;5;1;21;6;31;48
emji_visage_souriant;6;1;0;8;4;21;3;21;53
soir;5;24;1;6;0;32;1;42;9
également;5;4;4;13;6;44;6;10;22
emji_coeur_cartes;0;4;1;0;0;3;1;1;84
manière;2;7;1;53;10;31;1;1;14
long;1;9;2;8;16;46;2;22;13
copain;1;4;1;6;5;25;3;21;45
bonjour;6;2;5;25;8;20;22;7;24
suite;3;4;4;14;3;50;1;29;10
maman;1;2;2;0;6;54;1;15;33
lausanne;2;5;0;2;2;17;43;20;21
honte;0;3;7;12;47;27;2;9;7
esprit;0;4;1;16;6;68;2;6;11
client;0;3;53;1;3;16;0;34;1
cadeau;0;2;1;0;5;67;2;6;22
bas;5;9;2;8;9;42;1;22;16
sport;2;0;4;4;53;17;2;13;14
justement;2;8;2;33;13;39;1;12;5
expliquer;4;4;3;49;7;19;5;16;4
dur;1;7;1;4;9;68;2;11;9
paix;2;3;1;1;3;17;0;3;82
meme;9;3;4;19;2;39;9;24;6
complètement;3;7;1;46;5;25;2;15;7
chaud;3;3;0;5;1;13;3;60;25
avis;0;3;0;54;11;35;2;4;4
émission;0;3;1;10;1;34;8;15;36
wesh;0;0;0;75;1;2;4;14;5
vérité;2;1;1;70;4;15;1;9;11
voisin;2;47;1;4;4;22;6;17;11
réseau;0;3;1;25;3;65;0;7;10
fond;2;3;5;21;5;25;2;37;8
différence;3;8;8;28;12;41;5;1;8
difficile;4;2;5;8;6;71;2;6;8
caissier;1;1;90;3;1;7;0;7;0
état;1;12;6;18;7;51;3;8;6
simplicité;0;0;0;2;1;12;1;1;96
semaine;0;8;4;4;3;50;2;27;13
respecter;0;16;0;7;14;54;0;6;10
emji_mains_en_prière_peau_claire;2;1;0;4;2;9;0;4;75
équipe;1;2;3;3;15;29;18;14;24
émouvant;0;0;0;0;0;9;0;0;103
phrase;0;3;0;53;4;15;1;21;14
facile;6;6;2;21;4;53;8;6;5
sûrement;1;13;1;17;8;46;5;12;8
santé;1;17;5;3;6;55;0;3;19
fils;1;0;1;6;11;33;6;35;15
bref;4;5;3;18;6;47;6;13;6
base;5;10;1;33;14;34;2;6;3
terme;5;5;2;56;4;8;6;21;1
perso;14;7;2;13;1;16;3;51;2
cheveu;1;0;0;4;2;16;1;75;10
vivant;0;26;0;13;6;36;5;6;17
tenir;1;12;0;10;8;50;1;13;10
porte;1;9;4;10;6;19;0;45;12
mourir;1;18;0;2;3;54;0;19;12
lac;0;2;0;0;1;1;74;5;11
emji_visage_souriant_avec_yeux_plissés;4;0;0;4;1;3;4;66;8
choix;3;8;1;16;14;52;3;7;4
caisse;0;7;76;1;1;6;0;5;5
table;1;3;0;2;0;7;0;5;3
sympa;2;4;4;7;4;21;4;23;39
différent;7;4;1;15;9;52;5;8;6
calcul;0;0;0;3;0;7;0;4;7
aider;2;10;1;12;31;31;2;5;4
remettre;0;2;1;58;2;20;3;12;6
mental;0;0;0;2;5;17;1;1;4
livre;0;2;0;65;2;22;0;5;9
habiter;8;7;0;4;1;10;62;4;11
emji_visage_qui_hurle_de_peur;5;2;5;4;0;31;2;28;5
douche;94;0;0;0;0;9;0;0;0
canton;3;0;1;1;3;6;80;0;4
bête;1;36;0;15;5;19;1;6;14
bain;82;0;0;0;0;10;2;4;4
italie;66;1;2;3;1;11;5;11;7
fête;2;3;0;2;2;18;4;5;69
emji_visage_boudeur;0;7;23;2;0;12;3;4;3
choquer;1;9;0;56;5;15;0;18;2
téléphone;0;1;1;7;0;61;2;16;9
propos;0;4;0;51;7;23;1;4;14
gagner;0;4;1;1;34;30;11;14;4
emji_visage_très_souriant_aux_yeux_rieurs;3;0;0;2;2;3;5;61;16
chien;1;57;0;9;1;5;3;12;7
type;3;10;1;23;8;25;4;22;7
racisme;0;2;1;70;1;8;3;11;0
population;1;13;6;11;36;28;1;1;3
suivre;1;0;0;14;13;46;2;13;13
parole;0;1;0;13;8;26;2;11;40
occuper;1;18;1;3;10;52;1;4;8
leçon;1;3;0;11;0;21;0;6;59
important;2;5;1;20;8;49;2;5;7
soleil;0;3;1;1;1;39;0;26;25
vocabulaire;2;0;0;59;0;3;10;9;14
vaudois;2;1;1;2;1;3;77;3;9
internet;0;3;0;14;2;55;6;15;3
sacré;0;7;1;4;2;18;1;21;41
inventer;17;1;0;8;5;32;1;34;2
emji_visage_qui_fait_un_câlin;3;3;1;5;5;17;7;12;41
choisir;1;5;1;24;18;30;0;12;7
rêve;0;3;3;0;2;41;1;15;31
rentrer;4;4;2;4;5;46;2;27;1
envoyer;1;9;1;28;5;31;3;15;6
emji_ok;3;2;2;2;0;7;0;7;68
emji_notes_de_musique;0;0;0;1;1;0;1;1;50
content;2;6;0;8;7;41;5;13;15
poule;1;81;0;0;0;4;0;2;8
intelligent;0;12;0;34;4;18;2;1;26
effet;2;8;2;14;9;38;4;8;10
sac;16;15;9;6;0;21;3;15;3
ressembler;7;2;0;9;4;12;18;30;11
pensée;0;3;1;33;4;25;0;14;17
musique;0;3;1;7;0;12;2;56;13
