"";"";"";"";"emji_se_rouler_par_terre_de_rire";""
"152";"course";"0.177514232816873";"-0.789388203459588";"0.867267366137919";"287"
"153";"triste";"-0.225177258740449";"-0.26875757636037";"0.866882285035678";"288"
"154";"emji_coeur_cartes";"-2.32936772517874";"1.74261661283757";"0.866472175169547";"291"
"155";"métier";"0.199742759798792";"-0.882818362830538";"0.866155847780157";"292"
"156";"dépendant";"0.513055988503197";"-1.54821309378358";"0.866067191676744";"293"
"157";"rapport";"0.506150327826575";"-0.69964990891867";"0.865863041397795";"294"
"158";"devenir";"0.0138720948097719";"-0.419372667229233";"0.865567521053083";"296"
"159";"faim";"0.663300532452923";"-1.06151666206202";"0.864332366632738";"300"
"160";"péjoratif";"0.432112057471307";"-1.05879722925688";"0.864253963275977";"301"
"161";"iran";"0.456502131838671";"-0.0507774290906521";"0.863679809463395";"302"
"162";"radio";"0.332169552993573";"0.0919320161989867";"0.862977496317647";"303"
"163";"produit";"0.470210420200665";"-1.25877797767973";"0.862943722563965";"304"
"164";"emji_pouce_vers_le_haut";"-1.57289089826022";"1.24875884210276";"0.862198287571999";"305"
"165";"interdire";"0.403711522030795";"-1.0353516063982";"0.861595486379062";"306"
"166";"geneve";"0.370541724470014";"0.362788064135745";"0.861388320586391";"307"
"167";"faute";"0.438782506651496";"-1.05558578812934";"0.861171505149812";"310"
"168";"remettre";"0.225460989900393";"-0.780089457362515";"0.86087447704824";"311"
"169";"wallah";"0.294334325608009";"-0.873061631318151";"0.860700481906506";"312"
"170";"adopter";"0.290249484959727";"-0.819965789554182";"0.860494522319325";"313"
"171";"bête";"0.0435614762916331";"-0.657542924823028";"0.860316003907009";"314"
"172";"carnivore";"0.552533175349974";"-1.65615468391662";"0.860253281221601";"315"
"173";"vendeur";"0.532825002370887";"-1.09669080413607";"0.860226744700851";"316"
"174";"sécurité";"0.470227742672981";"-1.12744874089676";"0.859952936054935";"317"
"175";"climatique";"0.404520743943086";"-1.13435592539526";"0.859840758944494";"318"
"176";"reproduire";"0.498638574358295";"-1.50275867613747";"0.859396875324682";"319"
"177";"blanc";"0.294334029101631";"-0.414522296472194";"0.859081151038036";"320"
"178";"assumer";"0.260540927489284";"-0.860898868306756";"0.858925248978632";"321"
"179";"nazi";"0.339374109115859";"-1.23074725155138";"0.858681595469931";"323"
"180";"pétition";"1.01744164137412";"-1.88645830724721";"0.858533232194831";"324"
"181";"coûteux";"1.01744164137412";"-1.88645830724721";"0.858533232194831";"326"
"182";"contaminant";"1.01744164137412";"-1.88645830724721";"0.858533232194831";"327"
"183";"australie";"1.01744164137412";"-1.88645830724721";"0.858533232194831";"328"
"184";"scientifique";"0.414820653198883";"-1.14912127380035";"0.858490411899985";"330"
"185";"emji_visage_souriant_aux_yeux_rieurs";"0.175834931994975";"0.0782691721783951";"0.858150563503566";"331"
"186";"emji_drapeau_suisse";"-1.72240091200638";"1.31558117474105";"0.85813427972947";"332"
"187";"canard";"0.505317203484345";"-1.24834071624418";"0.858084523753065";"333"
"188";"emji_visage_fatigué";"0.466911125117759";"-1.22537021057236";"0.858019991759423";"334"
"189";"abattre";"0.501222652096229";"-1.39143542292948";"0.857792018922074";"335"
