"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16"
"premier";0,132;-0,017;-1,308;-2,126;-0,317;5,513;-0,293;-0,33;-6,416;-8,203;-7,409;1,433;61,612;7,547;1,748;-11,924
"année";1,406;-4,884;0,525;34,186;-6,014;-9,933;2,456;-0,066;-1,527;-6,96;0,134;1,406;0,144;-1,147;12,303;-6,579
"!";-7,334;-16,914;-8,777;-11,123;-19,8;-10,083;-9,425;-14,478;-9,657;1367,622;-7,907;-5,76;96,632;15,421;-5,606;-2,887
"mettre";-0,402;-1,091;0,41;0,007;1,665;-0,363;-0,214;8,716;1,971;-4,792;3,057;1,892;-6,187;-0,041;-0,448;-5,024
"ats";-4,577;-0,805;-0,809;-0,381;-0,999;-2,168;-5,997;-3,345;-0,539;-0,154;-3,859;-4,577;-2,708;-8,131;-8,443;617,149
"emji_appareil_photo_avec_flash";-6,726;-6,544;-1,3;-0,52;-6,097;-4,412;-4,804;-4,039;1,372;-0,985;-4,11;-4,72;-1,656;-0,712;-1,961;613,811
"emji_main_avec_index_pointant_à_droite";-0,93;-8,242;-0,323;-10,446;-10,237;-6,026;-4,867;-3,476;-2,027;1087,163;-8,703;-4,131;-2,157;-1,551;-3,976;11,902
"monde";-2,538;-2,535;-0,333;-3,815;-6,764;-11,053;0,582;-2,543;-2,696;-4,669;-4,258;-0,336;281,151;59,856;-0,001;-6,475
"grand";0,37;-5,653;-0,008;-3,286;0,199;4,672;-1,194;-4,13;-3,762;-4,344;1,684;9,186;7,535;3,123;3,664;-7,817
"dernier";-0,779;2,238;1,165;1,222;0,331;-0,658;0,643;-5,914;0,114;-4,588;-0,38;-1,494;24,125;11,159;-3,946;-8,206
"afp";-2,953;0,02;-0,219;-1,485;1,012;-1,206;0,173;-0,279;-1,756;38,343;-1,158;-0,061;-3,657;-2,809;7,113;1,716
"genève";34,594;-2,416;-3,579;0,387;-6,585;0,04;-1,825;-5,963;3,617;-0,408;1,42;26,676;-0,047;-0,719;-1,103;-1,468
"lien";-9,887;-10,524;-11,062;-8,84;-12,646;-9,98;-3,384;-11,901;-3,538;2904,659;-8,949;-4,367;-7,409;-4,098;-10,586;-2,782
"également";1,206;-3,858;-0,396;-0,201;2,241;-0,786;-2,009;19,719;0,942;-1,319;-0,161;-0,098;-2,276;-5,607;1,473;0,244
"nouveau";1,825;-0,227;-0,006;5,655;-3,478;5,408;0,701;-2,003;4,107;-0,319;-3,004;2,943;-4,85;-0,572;1,468;-8,85
"emji_chaînons";-8,802;-9,155;-9,849;-9,397;-13,207;-10,787;-6,286;-8,425;-6,441;3110,583;-7,967;-8,802;-6,596;-8,523;-9,023;-3,206
"rester";-0,261;0,016;11,07;-0,07;-2,561;-1,913;-6,624;3,86;-0,011;-1,091;-0,393;0,045;-0,027;-0,003;2,119;0,095
"jour";1,897;2,302;0,415;1,23;3,404;-0,43;-0,175;0,031;-4,647;-2,128;-6,167;4,448;-0,012;0;-0,366;-4,936
"pays";-0,186;3,522;-1,161;-4,529;21,667;0,14;-2,829;-0,182;-1,69;-0,981;0,046;-0,004;-4,752;45,261;-4,516;-6,659
"notamment";0,066;1,346;-3,276;0,572;0,078;-0,118;-1,646;7,054;28,961;-1,035;-0,348;-0,222;-1,884;-2,238;-0,396;-3,48
"emji_caméscope";-1,933;-0,91;1,208;-0,996;-2,788;-2,953;-0,77;1,537;0,026;107,493;-0,067;1,996;-2,193;-5,233;2,197;-5,233
"souligner";-5,389;-7,827;8,895;-0,344;-0,472;-0,519;11,037;72,188;-0,011;-3,781;-0,062;0,33;-6,951;-5,118;-2,533;-0,182
"bio";-9,208;-11,802;-8,202;-9,921;-13,816;-11,284;-6,576;-10,947;-4,743;3121,374;-8,334;-5,326;-6,9;-5,057;-13,771;-2,286
"conseil";-3,098;-6,758;-3,93;1,144;0,076;180,985;-5,997;-3,345;-4,173;-1,784;12,848;4,128;-6,293;-6,085;-10,399;0,372
"permettre";0,018;-3,681;-0,809;0,536;-0,131;-0,007;1,166;11,448;2,094;-3,265;3,996;0,018;-1,474;-0,862;-0,981;-0,862
"annoncer";1,692;10,413;-5,421;-0,065;22,878;11,729;1,217;-4,562;-6,096;-5,15;-1,333;-3,043;0,285;-0,827;-2,584;-0,827
"prévoir";12,848;-0,284;-5,421;26,66;0,389;0,406;-0,051;-3,272;-6,096;-3,226;5,885;-0,966;-4,266;-4,276;-0,418;1,979
"face";-2,658;0;-2,179;0,074;0,033;-0,913;-1,009;-0,103;-0,358;-2,952;2,018;9,383;-0,418;45,737;-5,959;-0,601
"public";-0,787;-3,266;-3,544;-0,671;3,081;13,094;-0,018;-0,5;-2,328;-3,03;21,254;-2,767;-1,261;-5,705;16,435;-0,663
"canton";3,142;-7,212;-0,281;-0,839;-6,852;3,42;-3,256;-1,258;-5,312;0,829;0;282,127;-5,439;-7,028;-6,819;-1,007
"place";5,361;-2,277;-2,614;-0,007;-3,42;-0,078;-3,076;-0,099;-1,719;-2,45;15,712;1,156;38,156;2,529;-6,442;-0,856
"fédéral";-3,662;-0,826;13,247;2,387;0,003;53,415;0,002;-2,295;-1,959;-1,292;4,169;0,01;-5,54;-7,157;-11,056;-0,051
"femme";-7,192;0,392;132,916;-1,575;-2,468;-0,531;0,337;1,836;0,271;-2,565;-2,886;0,03;-0,863;-4,951;-1,489;-1,954
"projet";-2,023;-3,608;-4,109;-0,229;-0,02;0,005;0,392;-3,084;-1,758;-2,488;54,218;58,207;-5,29;-6,835;1,57;-1,856
"novembre";9,217;0,348;-0,418;-1,91;-0,902;7,207;0,121;-5,27;-2,825;-3,994;11,639;3,058;-1,498;-1,429;-0,048;-0,106
"viser";-3,843;8,7;-4,656;0,001;0,09;0,907;0,825;1,327;-2,081;-1,388;5,591;35,887;-5,69;-7,352;-5,598;-1,206
"état";-2,075;6,229;-1,597;-0,754;49,842;11,691;-1,697;0,112;-3,284;-4,405;-4,458;-1,063;-1,9;0,486;-4,974;-0,93
"prendre";-0,066;0,356;-0,021;-2,684;-0,052;-0,145;-0,739;9,392;0,001;-1,229;4,432;0,922;7,567;-2,003;-0,814;-7,028
"américain";-3,127;1,412;-5,56;-0,557;285,022;-3,009;-0,064;-2,789;-3,054;-2,336;-4,168;-6,793;2,429;-2,94;-3,157;-6,577
"voir";-1,623;-6,295;0,302;-4,684;-2,869;0,475;-0,448;-2,5;-0,507;10,885;1,299;4,588;2,808;1,916;8,912;-4,33
"mondial";-0,904;-4,91;-3,905;0,509;-4,65;-6,338;1,399;-0,067;-3,1;-4,24;-1,402;-4,848;33,658;120,133;4,255;-6,641
"franc";-1,721;-1,967;-2,316;146,381;-4,387;0,058;-2,852;-3,957;-4,873;-4,117;35,327;6,223;-1,616;-6,448;-5,974;-1,568
"président";-6,593;0,021;-7,377;-2,035;216,517;47,361;-0,472;-9,387;-2,916;-0,926;0,049;-6,593;-3,025;-6,384;-5,88;-6,384
"groupe";-2,153;0,343;-1,474;-0,48;-0,376;7,833;2,913;-0,237;-4,147;-0,542;-5,13;-2,153;-4,247;35,945;10,488;-5,488
"fin";0,848;0,387;-2,083;1,758;20,371;0,128;-4,567;-0,632;-1,372;-3,953;-0,364;0,003;-0,051;2,096;-0,837;-2,604
"cliquer";-7,125;-9,133;-7,973;-7,239;-10,691;-8,732;-5,089;-8,027;-5,214;2586,648;-6,449;-7,125;-5,34;-6,899;-10,657;-0,93
"national";-1,721;-0,413;-0,099;0,655;1,221;13,872;-0,497;-5,534;-0,068;-4,117;-1,275;29,758;-4,991;12,018;-4,36;-4,454
"jeune";-6,461;-2,964;39,662;-0,056;-1,717;-0,723;0,717;6,231;5,144;-3,994;-3,88;-0,682;-1,498;-1,429;7,127;-2,659
"passer";9,465;-0,859;3,387;4,381;0,791;-0,186;-0,4;-1,358;-1,372;-0,839;-0,364;-1,526;3,015;-0,091;-0,305;-4,206
"offrir";3,253;-7,096;0,347;0,034;-1,767;-4,761;-0,142;-0,001;1,381;-0,016;-0,095;20,927;-2,284;-5,36;13,918;-1,9
"?";-0,778;-0,583;4,3;-3,148;-2,252;-2,844;-2,786;-0,899;0,682;-0,038;-3,531;-0,113;1,961;33,855;6,996;-0,697
"heure";15,711;11,606;-2,783;0,803;0,253;-0,024;-0,935;3,33;0,002;-3,544;-5,19;-0,334;0;-0,949;-4,682;-0,949
"enfant";-5,734;17,829;19,228;-7,511;-4,707;-3,31;-0,192;14,256;7,043;-3,544;0,325;-1,065;-4,297;-2,059;-0,064;-0,003
"social";-1,244;-5,633;-0,806;-0,185;0,132;-5,31;-0,269;72,836;2,204;1,932;0;2,408;-2,605;-5,807;-0,563;-2,274
"unir";-4,145;-0,187;-4,84;0,089;205,843;-7,512;-2,498;-1,133;-4,486;-1,959;-2,062;-6,13;-0,411;2,496;0,093;-2,383
"près_de";0,019;9,472;-0,018;92,41;-0,224;-2,414;-0,332;-0,51;0,151;-3,83;-2,112;-4,208;-0,436;-4,021;-0,695;-5,999
"police";-3,388;241,188;-1,214;-0,945;-4,163;6,78;-1,977;-5,538;-3,907;-1,519;-0,525;0,002;-4,001;-5,169;-4,14;0,012
"homme";-3,639;31,008;10,112;-2,2;6,275;0,104;-0,158;-0,004;0,008;-3,463;-5,07;-5,602;-0,231;0,217;-3,01;-0,868
"décembre";60,261;-2,478;-3,356;0,025;0,065;-2,257;-3,392;-1,74;-3,475;-2,936;0;-0,036;-0,036;0,142;7,696;-0,016
"aller";-0,022;-2,279;-0,158;0,211;2,58;-3,382;-0,211;-1,746;-2,373;-3,585;22,947;-2,265;0,999;7,129;1,53;-2,112
"service";10,464;-0,316;-0,069;-1,048;-0,273;-3,024;-3,907;0,641;-0,869;-1,591;4,597;48,312;-4,099;-3,35;-2,848;0,276
"devenir";-0,031;-7,518;-2,912;-0,14;-6,703;3,395;7,058;-0,922;-0,272;-0,62;-0,802;0,523;3,974;-0,011;21,167;-0,314
"photo";-5,536;-3,365;-4,199;-5,208;-6,22;-3,095;-2,106;-7,882;-4,051;1340,664;-5,011;-5,536;-4,149;-5,36;0,054;-0,828
"équipe";-5,865;-3,744;-2,912;-2,473;-6,703;-3,455;1,186;0,039;0,263;-3,626;-0,802;-2,321;0,943;312,145;-1,148;-2,166
"nouvelle";1,62;-1,113;0,921;-3,656;-3,114;-0,016;-0,902;-0,773;-4,147;-0,542;23,957;-2,153;-1,043;1,858;19,286;-2,006
"demander";0,292;-3,065;-1,164;1,339;0,583;27,527;-0,085;-0,092;-2,018;-0,002;-1,432;18,677;-2,102;-3,169;-7,887;-0,117
"révéler";-3,828;-0,488;1,75;-0,558;-3,279;-1,025;-2,279;8,686;69,429;-0,594;0,005;-3,828;-2,467;-3,654;9,845;-3,654
"retrouver";-0,915;-0,728;-0,012;-3,391;-2,502;-0,6;0,023;0,633;0,012;69,938;0,094;-2,221;0,005;-0,826;0,449;0,03
"jeudi";49,263;7,964;-4,058;-3,347;3,477;0;0,566;-3,886;-2,106;-3,341;-0,067;-0,852;10,917;-0,75;-6,002;-3,289
"ville";6,336;-1,634;-3,776;-0,218;-0,133;-0,575;-0,061;-2,168;-0,704;0,356;87,322;-0,125;-0,764;-0,601;-0,127;-3,048
"travail";-0,144;-6,674;0,092;10,97;-0,157;-4,372;-0,072;6,7;-3,811;-3,219;7,837;33,67;-3,902;-3,108;-0,151;-5,042
"politique";-3,513;-0,316;-2,527;-5,124;28,452;51,692;-0,803;0,161;-2,15;-3,382;0,473;0,201;-4,099;-3,35;-1,681;-0,174
"partir";1,996;-6,927;-2,464;0,062;7,023;88,365;-2,02;-1,365;-2,106;-3,341;0,053;-0,208;-0,901;-5,233;-2,767;0,007
"initiative";-2,098;-7,18;-2,654;-0,443;-3,032;28,802;0,019;-1,553;-2,239;0,179;0,022;119,919;-4,198;-3,471;-3,01;0
"fois";6,336;-6,59;1,551;2,762;-1,366;-1,431;-0,645;0,029;-0,704;-0,352;-2,746;0,016;8,629;0,463;1,573;-3,048
"lausanne";95,697;-6,506;-1,017;-1,673;-5,547;7,806;2,12;-5,175;0,709;-1,376;15,168;-0,107;-1,967;-2,988;-3,783;-1,538
"prochain";0,591;-4,164;-1,906;2,083;7,337;-0,028;-1,638;-4,813;-3,523;-0,247;-0,001;10,485;-0,046;3,416;-0,366;-0,024
"prix";-4,487;-3,762;-5,021;169,766;-0,201;-5,5;0;-2,722;-3,284;-0,156;0,428;-1,203;-3,363;4,247;0,721;-4,345
"international";-0,543;1,049;-0,219;-1,485;35,461;-1,206;-0,526;0,099;-1,756;-1,27;-0,317;-0,543;-0,633;-1,388;3,39;-1,388
"indiquer";1,096;11,529;-0,363;6,081;-0,635;-0,616;-0,072;4,752;-3,811;-0,374;5,301;-0,732;-0,798;-3,108;-7,789;-0,637
"santé";-5,011;-2,769;7,318;-1,61;-3,715;-2,532;-0,04;151,577;13,382;-0,309;-0,373;-3,077;-3,755;-4,852;-5,428;-1,488
"étude";-1,879;-6,843;14,585;-1,933;-8,011;-2,882;-0,739;16,86;173,195;-3,3;-1,479;-5,339;-4,001;-5,169;-0,003;0,344
"semaine";6,791;1,907;-3,635;0,786;6,511;-1,317;4,215;-2,023;-1,843;-3,097;-0,373;1,328;0,67;-0,056;-3,694;-1,488
"mesure";-1,665;-4,488;-0,302;6,561;0,228;-0,085;-3,625;0,385;-1,887;-1,376;79,679;2,555;-3,804;-2,988;-7,592;0,508
"trump";-5,011;0,006;-5,607;-4,541;543,774;-6,141;-1,764;-5,084;-3,667;-1,34;-4,535;-3,077;-3,755;-4,852;-3,694;-2,928
"sécurité";-0,075;10,073;1,851;-1,547;1,888;4,003;-1,722;2,356;-3,619;-3,057;0,887;0,492;-3,706;-4,788;-3,606;-0,044
"lundi";10,164;10,414;-3,495;-1,485;1,012;0,488;-0,024;-6,947;-1,756;-3,016;0,951;-0,061;-0,633;3,268;-0,405;-0,463
"dimanche";5,064;21,267;-1,906;-2,665;2,141;11,886;-0,498;-0,848;-3,523;-2,976;-2,469;-0,048;0,829;-0,024;-3,43;-2,749
"désormais";4,501;0,006;1,747;-0,702;0,266;-0,496;6,846;0,059;-3,667;-3,097;3,69;9,55;-1,922;-1,488;-5,428;-2,928
"temps";-0,011;-3,842;-0,106;1,366;-4,784;-0,255;-3,252;-2,803;-0,006;-2,814;1,326;3,704;0,214;9,279;2,757;0,976
"jean";-1,404;-6,087;-3,356;-6,221;-5,069;-1,097;-1,596;-3,049;-3,475;32,513;-2,414;-0,036;-3,559;-2,69;-1,988;381,716
"situation";-0,075;10,073;1,851;-0,142;-0,07;2,416;-1,722;10,305;-3,619;1,643;2,106;-3,015;-3,706;-4,788;-7,396;-0,044
"population";-2,768;1,311;23,591;2,342;-7,027;2,982;-1,554;0,183;-0,49;0,027;0,001;8,066;-3,51;-4,535;-7,005;-0,01
"noël";3,603;-3,097;-0,974;3,637;-3,625;-0,209;1,201;-0,447;-1,768;-1,494;-0,573;-0,746;11,351;0,327;0,18;1,618
"connaître";0,002;-1,913;-0,03;-0,232;-2,671;-1,725;1,745;-1,205;-0,301;-2,613;0,059;-4,227;17,675;-0,179;45,967;-4,093
"vie";-4,683;-0,041;0,324;-2,517;-3,275;-2,189;7,998;53,377;11,089;-1,165;-2,359;-4,683;-0,539;-4,535;3,947;-2,631
"partie";-1,252;0,101;0,41;2,625;6,267;-0,002;3,019;-1,534;0,259;-1,096;-4,121;0,162;-3,412;4,068;-6,809;-0,002
"ligne";151,34;-0,99;-3,009;1,575;-0,716;-0,838;-1,389;-0,09;-0,378;-2,734;-0,856;-0,313;-0,004;-4,282;-0,705;-1,052
"octobre";0,021;41,257;-0,006;-3,31;0,498;0,057;-1,147;-2,165;-2,95;-2,492;-0,05;-2,161;3,745;8,618;-2,402;-3,904
"expliquer";-1,456;-0,504;2,074;1,008;0,401;-3,908;1,036;-0,247;30,345;-0,247;-4,358;-0,508;-1,789;3,416;-2,063;-0,024
"enquête";-0,155;0,02;2,135;0,33;-0,039;10,203;-2,879;9,926;-1,207;0,183;-0,05;-2,161;-3,021;-3,904;-4,011;0,567
"droit";-4,422;-0,99;-3,009;-1,068;18,863;43,818;-3,158;3,65;-1,457;-2,734;-0,15;-0,313;-0,422;-2,395;-0,705;-0,254
"couper";-0,343;-3,762;-5,021;-3,881;0;-0,225;-1,43;-2,722;-3,284;-2,774;-2,195;-1,203;176,39;68,54;-6,712;-0,281
"atteindre";34,006;-0,83;46,73;-0,232;-1,422;-0,692;0,01;-0,418;0,437;-2,613;-0,734;-1,009;-0,34;-0,914;-4,292;-4,093
"rendre";-1,404;-1,272;-0,17;-0,526;3,713;-2,257;-0,011;-0,216;2,456;-1,2;-4,298;1,691;-0,57;3,57;10,193;-1,29
"français";-0,093;-0,537;-4,293;0,49;4,985;-0,023;0,826;-0,841;-2,807;-0,731;-3,473;-1,981;27,068;-0,063;5,03;-1,873
"mort";-4,422;111,414;0,05;-2,224;4,756;-0,197;5,818;-1,4;-3,236;-2,734;-4,003;-2,523;-1,525;-0,254;-0,705;-4,282
"marquer";0;-5,585;0,067;-1,012;-0,144;14,863;3,432;-4,184;-1,415;-2,693;-2,086;0;-0,394;7,163;12,625;-4,219
"déclarer";-2,462;0,184;-0,055;-0,297;32,703;1,019;-0,312;-1,334;-3,188;-2,693;-0,815;-1,105;-0,394;0,33;1,884;-1,006
"violence";-2,402;7,899;18,219;-5,622;-4,406;0,329;-0,288;22,115;-3,141;-0,11;-2,032;1,124;-3,216;-2,277;-0,603;-0,203
"mois";0,371;0,297;0,132;3,639;0,03;-0,102;0,016;0,088;-3,045;-2,573;9,258;-4,162;-0,314;-0,87;-0,07;-0,156
"réseau";0,371;-0,165;-4,657;0,931;1,131;-5,1;-1,227;38,608;0,48;-0,894;-3,767;0,371;0,002;-4,03;0,393;-2,161
"nombre";-2,341;-0,192;117,52;10,636;-2,671;-1,725;-3,019;-0,418;-1,331;-0,927;-3,826;4,625;-0,34;-4,093;-6,322;-0,179
"lancer";-1,105;1,848;0,067;-1,012;-4,5;2,201;-3,112;-6,203;1,428;-0,994;5,507;6,636;0,304;0,002;3,271;-4,219
"gouvernement";-4,031;-0,116;-1,209;-1,797;11,692;58,162;-1,147;-0,299;-2,95;1,202;2,142;-0,868;-3,021;-3,904;-1,204;-0,782
"continuer";-2,523;0,728;-0,07;-1,068;-0,716;0,001;0;3,65;-3,236;-1,028;-0,15;-0,002;0,272;-2,395;9,348;1,127
"christian";-4,097;-3,283;-4,584;-1,867;-6,147;-3,069;-2,926;-2,243;-2,998;2,982;-1,87;-2,221;-3,07;-3,966;-6,127;656,623
"gaza";-4,292;485,25;-4,802;-5,622;-0,118;-1,79;-3,065;-1,269;-1,373;-2,653;-3,885;-2,402;-3,216;-4,156;-4,386;-0,96
"victime";-3,966;6,837;4,093;-3,229;-0,026;1,612;-1,107;48,17;-0,208;-2,452;-3,59;-0,133;-0,24;-3,841;-3,917;-0,739
"ouvrir";2,198;-2,732;-4,075;-0,456;-0,191;2,276;-0,089;-1,706;0,937;-2,251;8,468;-1,804;-2,729;4,558;0,992;0,977
"france";9,72;-2,811;-4,148;-0,044;17,941;-4,543;-0,951;-1,781;-2,712;-2,291;0,261;2,064;-1,059;4,344;3,572;-3,589
"décision";-2,341;-0,83;-2,803;21,761;20,734;0,374;-0,264;-1,205;-1,331;0,119;0,059;0,002;-1,396;-0,914;-2,654;-0,914
"vendredi";18,64;11,557;-2,734;0,244;5,758;-1,66;0,549;-0,025;-3,045;-0,894;-1,924;-4,162;0,002;0,02;-2,57;-2,161
"suite";-0,155;9,249;-4,511;-3,31;1,342;4,881;-0,198;-3,739;0,019;9,627;-0,617;-2,161;0,505;1,686;-0,037;-3,904
"risque";0,1;-2,811;0,398;-0,044;0;-4,543;-2,647;68,78;37,07;-2,291;-0,006;-1,863;-2,778;-3,589;-5,544;-1,759
"cas";-1,922;-0,492;14,171;17,676;-3,655;-1,283;-0,121;8,606;4,726;-0,699;-0,471;-1,922;-1,1;-3,652;-5,641;0,118
"attendre";26,322;-0,583;2,412;-1,659;-0,015;5,366;-1,068;-0,229;-1,125;-2,412;-3,531;-0,113;-0,217;1,913;-2,237;-0,079
"association";-0,076;-2,889;-0,218;-2,987;0,793;-1,283;5,004;33,614;-0,147;-2,332;11,418;-0,076;-2,826;0,823;-5,641;-3,652
"suivre";-0,734;-4,917;1,157;-3,068;-0,007;1,857;-1,029;0,253;0,051;10,596;4,701;-0,734;-0,195;3,942;-2,154;-0,655
"européen";-0,093;-2,968;0,304;0,044;3,131;0,125;-1,029;5,746;-0,166;-0,731;20;-1,981;-1,142;-1,873;-1,008;-1,873
"soutenir";-2,041;4,759;0;-3,148;4,731;53,579;0,764;-2,01;-0,187;-0,763;-0,027;-2,041;-2,924;-3,778;-1,072;-1,93
"rapport";-0,133;-0,63;44,476;29,594;-3,935;-0,512;-2,833;3,299;-0,208;-2,452;0,139;-0,823;-2,972;-3,841;-2,319;-3,841
"ministre";-4,097;24,006;-2,666;-1,867;31,336;64,339;-0,219;-1,08;-2,998;-2,532;-0,656;-4,097;-3,07;-3,966;-6,127;-3,966
"mardi";9,005;10,407;-1,046;-0,594;1,707;8,271;-1,029;-3,473;-2,807;-2,372;1,033;-1,981;-1,142;2,035;-3,731;-1,873
"lieu";1,937;3,215;1,253;0,062;0,179;-2,694;23,254;-1,857;-2,76;-2,332;-0,471;-3,772;-0,174;0,823;-0,945;-0,048
"effet";0,842;-2,732;1,463;-0,03;-1,925;-1,162;-2,601;-0,673;101,415;-2,251;-0,402;-1,804;-0,134;0,977;-1,911;0,172
"créer";-3,577;-0,366;-0,139;0,138;0,006;-1,103;1,112;-0,089;-0,926;-0,005;-0,369;0,151;-0,977;0,204;23,861;-1,646
"christophe";-2,041;-3,046;-4,366;-5,111;-5,854;-2,844;-2,786;-5,555;-2,855;63,357;-3,531;-2,041;-2,924;-3,778;-5,835;479,486
"centre";-0,133;4,527;-0,311;0,379;-0,38;10,595;0,044;0,175;-0,208;-0,795;6,965;-3,966;-2,972;0,058;-3,917;-1,987
"toucher";14,346;2,24;3,523;0;-0,515;-3,145;-1,227;4,483;0,007;-0,894;-1,924;0,371;-3,119;-4,03;0,393;-4,03
"samedi";9,356;22,916;-2,327;-2,987;0,793;-1,283;-0,121;-0,166;-2,76;-2,332;-0,471;-0,076;16,078;-0,048;-3,638;-1,815
"pexels";-3,06;-3,922;2,767;-2,116;-1,229;-3,75;-0,582;1,174;4,17;15,822;0,824;-1,286;-2,293;-2,963;0,202;20,418
"montrer";-2,221;-0,728;11,899;-0,795;0,045;0,041;0,023;-0,337;6,592;0,16;-0,063;-2,221;0,46;-3,966;2,461;-2,103
"donald";-4,097;0,342;-4,584;-5,366;473,153;-5,021;-2,926;-5,832;-2,998;-0,861;-3,708;-4,097;-3,07;-3,966;-2,486;-2,103
"mercredi";6,827;0,142;-0,164;-1,389;3,755;4,105;-0,913;0,405;-2,665;-2,251;-3,296;-0,605;-1,018;7,335;-0,186;-3,526
"israélien";-3,318;500,196;-3,713;-4,347;-3,008;0,476;-2,37;-4,724;-2,428;-2,051;-3,003;-3,318;-2,487;-3,213;-4,963;-3,213
"autorité";0,518;98,385;-0,311;-3,229;-1,15;-0,048;0,706;3,299;-1,166;-0,047;-0,58;-0,823;-2,972;-3,841;-5,932;-1,987
"région";3,605;22,19;-2,394;-0,594;0,711;-2,769;4,8;-0,841;0,74;-2,372;-0,018;3,605;-0,195;-3,715;-2,154;-3,715
"animal";-3,383;-4,336;235,402;-1,129;-3,1;-4,146;0,24;-0,469;1,259;-2,091;-1,294;-0,007;-2,535;-3,275;0,047;-3,275
"nombreux";0,124;-0,407;19,694;0,694;3,755;-1,162;0,129;0,023;-0,965;-2,251;-1,5;0,124;-2,729;-0,535;-0,822;-0,535
"début";3,988;0,113;1,355;0,621;0,219;-0,351;-2,647;-1,781;-2,712;-2,291;5,143;-0,647;7,824;-0,574;0;-3,589
"événement";2,98;-2,345;-0,642;-0,256;-3,008;3,141;0,275;0,765;-0,771;-2,051;3,902;-1,514;-2,487;1,456;3,076;-0,351
"record";7,765;-2,499;-1,992;6,365;-3,192;-0,986;-0,799;-2,948;-2,523;-2,131;-0,306;-3,448;80,302;0,279;1,32;-1,533
"nuit";215,309;5,634;-1,664;-4,093;0,155;-0,709;-2,231;-4,448;-2,286;-1,931;-1,092;-1,342;-0,701;-1,258;-2,72;-1,258
"beutler";-3,577;-4,585;-4,003;-2,747;-5,367;-4,384;-2,555;-5,093;-2,618;4,229;-1,448;-3,577;-2,681;-3,464;-5,35;700,928
"bally";-3,577;-4,585;-4,003;-2,747;-5,367;-2,471;-2,555;-5,093;-0,094;1,817;-3,238;-3,577;-2,681;-3,464;-5,35;670,642
"accord";-1,687;31,656;-3,93;-1,258;77,875;0,311;-0,837;-3,035;-2,57;-2,171;-0,337;-0,524;-2,632;-3,401;-3,268;-0,459
"trouver";-0,446;-0,254;56,779;-1,129;0,044;-0,929;-0,037;-2,861;-0,809;0,545;6,431;-3,383;-0,857;-0,386;-0,077;-1,478
"succès";-0,564;-4,585;0,029;-2,747;-0,16;-2,471;0,153;-0,089;-0,094;-2,211;-0,369;-3,577;30,244;25,79;6,178;-3,464
"htag_sportxinfo";-0,315;-0,404;-0,353;-0,413;-0,473;-0,386;-0,225;-0,449;2,891;-0,195;-0,285;1,78;2,793;-0,305;-0,472;10,844
"gaetan";-3,512;-4,502;-3,93;-2,667;-5,27;-2,397;-2,508;-5,001;-0,078;-0,002;-3,179;-1,687;-2,632;-3,401;-5,253;684,414
"estimer";-0,045;-0,017;-0,888;34,358;-0,191;0,983;1,034;-0,673;0,101;-2,251;2,988;-0,045;-2,729;-3,526;-5,447;-0,025
