force;0;22;0;0;11;2;0;2;0;1;1;2;1;1;1;1
bon;1;0;6;0;1;4;0;5;2;2;2;0;4;8;3;2
25;4;2;6;4;1;1;4;2;1;1;1;5;2;3;1;2
htag_suisse;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;4
e;0;2;3;2;0;6;1;3;1;1;1;4;1;1;3;2
devant;1;3;0;2;5;3;0;2;1;0;3;0;9;6;3;0
9;4;1;5;4;1;3;2;2;1;1;1;1;4;6;1;2
quelques;1;6;2;2;5;5;1;2;1;2;3;3;3;3;2;0
dix;3;6;3;3;4;1;1;1;3;0;1;3;3;3;5;0
aujourd_hui;3;2;4;2;2;2;2;4;0;0;1;1;2;3;6;1
100;4;4;2;10;1;1;0;3;2;0;4;1;0;1;5;0
je;1;0;1;2;4;2;4;2;1;0;2;1;4;4;2;0
plein;1;0;2;4;5;1;3;2;2;0;3;1;3;3;4;0
durant;3;5;0;4;3;3;2;3;1;0;3;5;1;3;2;0
ceux;2;0;1;3;3;3;4;5;3;0;2;5;0;0;3;2
11;5;4;4;2;1;2;1;3;0;0;3;0;2;3;3;0
tu;0;1;1;1;0;0;0;0;1;2;0;3;2;2;4;0
htag_football;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;1
14;6;0;3;3;2;1;2;1;1;0;1;1;3;6;1;0
toutes;0;1;2;4;2;2;0;1;2;1;1;4;1;5;6;1
afin;2;2;2;5;1;1;3;2;5;0;1;6;0;2;1;1
2022;3;2;7;1;2;2;1;2;1;0;3;0;7;0;0;2
19;0;4;3;2;0;2;1;2;1;0;3;1;1;4;5;1
certaines;5;2;4;5;0;4;0;4;2;0;1;2;0;0;3;2
toutefois;3;1;4;5;2;5;0;3;0;1;3;3;0;0;0;0
surtout;3;0;2;3;0;1;0;3;4;0;2;5;2;3;3;1
13;1;4;0;4;2;2;0;2;1;2;2;2;3;2;1;2
ton;0;0;0;1;1;0;0;1;0;0;0;0;4;1;2;0
nos;0;1;3;4;0;1;2;1;4;1;1;0;2;1;3;0
aucun;1;6;1;3;3;5;0;2;1;2;0;1;1;2;1;0
24;2;2;0;2;0;3;0;1;0;0;1;5;4;3;4;2
jamais;1;2;2;1;4;1;1;4;0;0;0;1;5;1;4;0
autour;0;3;4;0;5;2;0;2;1;0;4;1;1;1;1;2
300;2;9;1;8;2;2;2;0;1;0;1;0;0;0;0;1
22;5;2;1;3;1;2;2;1;1;0;1;1;5;2;0;1
trop;1;1;2;6;4;1;1;1;2;0;0;7;0;0;1;1
six;0;3;1;2;1;4;4;1;1;0;3;2;1;2;2;0
200;2;3;1;3;2;4;1;0;3;0;4;2;1;0;1;0
12;1;2;4;2;1;2;2;3;0;0;1;2;0;2;1;2
ni;0;1;1;2;4;6;3;0;1;0;1;0;1;0;0;0
m;1;1;1;2;0;3;0;2;2;0;1;1;2;1;4;1
ensuite;1;4;1;0;3;1;2;2;1;0;0;2;1;3;4;1
celui;1;0;3;2;3;1;1;4;0;0;3;1;1;2;1;1
aucune;1;2;5;3;2;4;0;2;1;0;0;2;1;1;2;1
70;4;0;5;3;0;1;2;1;2;0;2;2;1;2;0;0
60;1;1;3;6;0;3;1;1;0;1;0;4;0;5;1;0
27;2;2;3;0;4;1;0;1;2;0;0;2;4;1;1;0
près;1;4;4;3;1;1;1;5;1;0;2;1;3;0;0;0
falloir;0;0;2;5;1;1;0;1;0;0;4;1;2;2;3;3
da;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0
17;1;1;0;0;0;1;3;2;1;0;3;0;1;7;4;2
vous;1;0;4;4;2;0;0;1;1;0;0;1;1;0;1;4
28;2;3;1;2;0;1;0;4;1;0;2;1;7;1;0;0
23;3;0;3;6;3;2;0;0;1;0;1;1;3;1;0;0
21;0;3;3;2;1;1;1;0;1;1;2;2;6;0;2;0
2027;0;0;1;4;4;1;3;0;0;1;1;3;0;2;2;3
2019;1;2;2;2;7;3;0;0;0;0;1;2;2;1;1;0
davantage;1;0;4;2;1;2;1;3;2;0;1;1;0;1;1;1
celle;1;0;3;1;2;1;0;1;1;0;1;3;0;0;4;0
car;0;0;4;3;2;2;0;3;3;0;0;2;0;1;3;1
beaucoup;2;1;3;1;2;0;1;1;0;1;2;1;2;2;4;2
tant;0;0;1;1;2;2;1;5;0;0;0;3;1;2;1;1
jusqu;0;0;1;2;3;2;0;4;1;0;4;1;1;1;2;1
j;0;1;2;0;4;1;2;1;1;0;1;1;1;2;2;0
or;1;0;0;2;6;0;2;0;0;0;0;0;2;3;3;1
eux;2;6;2;0;1;0;0;3;0;1;2;1;1;1;1;0
comment;0;0;1;0;0;1;2;2;2;2;1;2;1;2;2;1
celles;1;1;1;3;1;0;0;3;3;0;2;2;0;1;3;0
80;3;2;1;6;2;0;2;1;0;0;0;2;1;2;0;0
2021;0;2;2;2;5;2;1;0;0;0;1;0;2;2;2;0
quant;1;2;1;2;1;0;0;1;0;1;2;4;1;0;1;5
quand;0;0;3;0;2;1;2;2;4;0;0;1;0;3;3;1
pourtant;0;0;2;1;3;1;0;1;0;0;3;1;4;3;1;1
mieux;1;0;4;0;0;0;0;4;6;0;0;1;2;2;0;2
sept;0;9;1;1;2;2;1;0;0;0;0;2;1;0;0;2
puis;3;1;1;2;2;0;1;2;0;0;0;0;3;4;0;0
presque;3;0;1;2;1;0;0;0;2;0;1;2;2;3;3;0
concernant;0;2;1;2;2;1;2;2;1;2;0;2;0;0;2;2
90;1;2;1;2;1;2;1;3;2;0;1;2;2;0;1;0
suivant;1;1;1;1;1;0;0;0;0;12;1;2;0;0;0;0
pourquoi;0;0;3;0;2;0;0;1;0;1;0;0;3;6;1;1
là;0;1;4;0;3;1;0;0;1;1;0;1;1;3;3;0
derrière;0;0;1;3;0;0;0;2;1;0;1;0;5;0;5;0
ailleurs;0;2;1;3;4;2;0;0;0;1;2;1;1;0;1;2
500;1;4;1;2;0;0;0;2;1;0;1;1;2;0;2;1
