"";"";"";"";"klaunzer";""
"61";"protéine";"-0.157486876671404";"-0.825691775499757";"0.860393752319612";"283"
"62";"diabète";"-0.157486876671404";"-0.825691775499757";"0.860393752319612";"284"
"63";"accuser";"-0.644778943886561";"-1.44927832382543";"0.859997487287405";"291"
"64";"augmentation";"0.049130118821842";"-0.609780813509142";"0.859843775940392";"293"
"65";"aéroport";"-0.184599343000206";"-0.540315549629988";"0.859670321851562";"295"
"66";"professeur";"-0.236054278274415";"-0.754153922708553";"0.859482060706367";"296"
"67";"refuge";"-0.306542318718591";"-0.646757619854233";"0.859312837205069";"298"
"68";"psa";"-0.307521863902168";"-0.659290547963254";"0.859258544665069";"300"
"69";"birdlife";"-0.307521863902168";"-0.659290547963254";"0.859258544665069";"301"
"70";"écrivain";"-0.516888740898608";"-0.0529014249909214";"0.859185919579095";"302"
"71";"négociation";"-0.332007329822011";"-1.02779820225106";"0.858468834992343";"316"
"72";"vert";"-0.369865486629691";"-0.181434497231166";"0.85840326088559";"317"
"73";"gauche";"-0.361874038427364";"-0.611610259333679";"0.85840326088559";"318"
"74";"pro";"-0.636140646247422";"-1.54876435754802";"0.857770082951566";"319"
"75";"mécanisme";"0.16870816145592";"-0.743063192628879";"0.857739058642994";"320"
"76";"suisse";"-0.294008780700266";"0.208110686788409";"0.857382279094424";"328"
"77";"barragiste";"-1.15284092052136";"4.05385872919051";"0.857019858762476";"330"
"78";"orosz";"4.19089916957588";"-0.0524052205792755";"0.857019858762476";"332"
"79";"froid";"-0.246916790078895";"-0.27872496943071";"0.856773779587672";"334"
"80";"citoyen";"-0.334269805871167";"-0.798140980475147";"0.856773779587672";"335"
"81";"russie";"-0.631303214504447";"-1.32847092745744";"0.85621957262092";"338"
"82";"malmö";"-0.52029669906619";"-0.425541746924355";"0.855608957820401";"340"
"83";"législatif";"0.10759583234442";"-0.901881700598827";"0.8555067186217";"341"
"84";"neuchâtel";"0.129914784261766";"-0.247893818138454";"0.855217628473649";"346"
"85";"cancer";"0.00756912584743791";"-0.564394000000941";"0.855046994776506";"348"
"86";"majorité";"-0.237433633328388";"-0.771243754142192";"0.854604193281442";"349"
"87";"emploi";"-0.296369218952458";"-0.606489179843133";"0.854367280379625";"350"
"88";"scientifique";"-0.115069195073735";"-0.428873398747517";"0.854107804344301";"351"
"89";"accord";"-0.391237698136374";"-1.15600190333111";"0.854035179258327";"353"
"90";"suffrage";"-0.369681746182536";"-1.01759000123866";"0.854027423181184";"354"
"91";"libéral";"-0.369681746182536";"-1.01759000123866";"0.854027423181184";"355"
"92";"montant";"0.0865398849394892";"-0.537976069853419";"0.853860314973652";"356"
"93";"unesco";"0.122162923502556";"-0.00687675239461737";"0.85321797076664";"358"
"94";"libération";"-0.661286341744117";"-1.72560572119032";"0.852938751989498";"362"
"95";"urgence";"-0.394629947261924";"-0.828471331078909";"0.852796322209239";"363"
"96";"coalition";"0.0751691294436119";"-0.776097597502764";"0.8523894807082";"366"
"97";"emji_trophée";"-1.11606523496823";"4.2805226221259";"0.851974883130019";"367"
"98";"cérébral";"-0.191476235591213";"-0.838931809981936";"0.851871233735474";"370"
"99";"bombardement";"-0.676140656569497";"-1.60024216492943";"0.851513043991059";"372"
"100";"médicament";"0.234692140224679";"-0.668363724285108";"0.851009604074697";"377"
"101";"jimmy";"-1.01514316444266";"3.95841368062082";"0.850584430027685";"379"
"102";"social";"0.114796316180757";"-0.421948835820876";"0.850482190828984";"381"
"103";"moitié";"-0.261074786691181";"-0.0780164069403244";"0.850466678674698";"382"
"104";"banque";"-0.337639076450304";"-0.630100920771414";"0.850358093594698";"383"
"105";"explorer";"-0.426387622972817";"0.595068892732844";"0.850047145411063";"384"
"106";"souligner";"-0.0999123794055518";"-0.489866932084641";"0.850025287375478";"385"
"107";"fondation";"0.050440609691714";"-0.0854822708284151";"0.849875806615998";"387"
"108";"exploit";"-1.03946190098714";"4.15472297407887";"0.849712928995998";"391"
"109";"discussion";"-0.0795214625214915";"-0.909478189511395";"0.849586716467947";"392"
"110";"insecte";"-0.323568915624133";"-0.460310727533495";"0.849477426290025";"393"
"111";"spécimen";"-0.338533176850046";"-0.509737281147282";"0.849477426290025";"394"
"112";"foot";"-1.06918301439989";"3.83466369811938";"0.849172118889766";"397"
"113";"brigitte";"-0.474970770207996";"0.135659476561361";"0.848235748849248";"400"
"114";"british";"-0.503651088821033";"0.456779494807849";"0.848235748849248";"401"
"115";"museum";"-0.503651088821033";"0.456779494807849";"0.848235748849248";"402"
"116";"révéler";"-0.171332724318054";"-0.37894251837726";"0.848079922208469";"403"
"117";"taux";"0.0391395310701275";"-0.691092711994922";"0.847664619532366";"405"
"118";"risque";"-0.231835907898444";"-0.788130546526128";"0.847622313657042";"406"
"119";"terroriste";"-0.640427731445824";"-1.69381333331066";"0.847056825123536";"407"
"120";"gène";"-0.230909712244584";"-0.583036956450095";"0.847029326304575";"409"
"121";"comédie";"-0.230909712244584";"-0.583036956450095";"0.847029326304575";"410"
"122";"chronique";"-0.26854018781141";"-1.04728214938496";"0.847029326304575";"411"
"123";"électeur";"-0.374520258072347";"-0.922632336168233";"0.846807220459121";"412"
"124";"professionnel";"-0.15505338917471";"-0.173009329461112";"0.846662675385096";"414"
"125";"sanction";"-0.544579269711725";"-0.909053476211362";"0.84651813031107";"415"
"126";"militaire";"-0.590276620790567";"-1.20918561910073";"0.846370764845356";"416"
"127";"sénégal";"-1.00677570591625";"3.2328769582942";"0.846213528008733";"418"
"128";"coéquipier";"-1.16346199478697";"4.31498044345324";"0.846213528008733";"419"
"129";"bardot";"-0.524601054537311";"0.387582319748548";"0.846195900560681";"421"
"130";"vuitton";"-0.524601054537311";"0.387582319748548";"0.846195900560681";"423"
"131";"stèle";"-0.524601054537311";"0.387582319748548";"0.846195900560681";"424"
"132";"sauvegarde";"-0.524601054537311";"0.387582319748548";"0.846195900560681";"425"
"133";"perry";"-0.524601054537311";"0.387582319748548";"0.846195900560681";"426"
"134";"kanchha";"-0.524601054537311";"0.387582319748548";"0.846195900560681";"427"
"135";"howe";"-0.524601054537311";"0.387582319748548";"0.846195900560681";"428"
"136";"gehry";"-0.524601054537311";"0.387582319748548";"0.846195900560681";"429"
