"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16"
"autorité";0,472;0;1;1;1;1;0,401;0,069;1;1;1;1;1;1;1;1
"région";0,058;0;1;1;0,399;1;0,028;1;0,39;1;1;0,058;1;1;1;1
"animal";1;1;0;1;1;1;0,624;1;0,262;1;1;1;1;1;0,829;1
"nombreux";0,725;1;0;0,405;0,053;1;0,719;0,88;1;1;1;0,725;1;1;1;1
"début";0,046;0,737;0,244;0,431;0,64;1;1;1;1;1;0,023;1;0,005;1;0,997;1
"événement";0,084;1;1;1;1;0,076;0,6;0,382;1;1;0,048;1;1;0,228;0,079;1
"record";0,005;1;1;0,012;1;1;1;1;1;1;1;1;0;0,598;0,251;1
"nuit";0;0,018;1;1;0,694;1;1;1;1;1;1;1;1;1;1;1
"beutler";1;1;1;1;1;1;1;1;1;0,04;1;1;1;1;1;0
"bally";1;1;1;1;1;1;1;1;1;0,178;1;1;1;1;1;0
"accord";1;0;1;1;0;0,577;1;1;1;1;1;1;1;1;1;1
"trouver";1;1;0;1;0,834;1;1;1;1;0,46;0,011;1;1;1;1;1
"succès";1;1;0,865;1;1;1;0,696;1;1;1;1;1;0;0;0,013;1
"htag_sportxinfo";1;1;1;1;1;1;1;1;0,089;1;1;0,182;0,095;1;1;0,001
"gaetan";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
"estimer";1;1;1;0;1;0,322;0,309;1;0,75;1;0,084;1;1;1;1;1
"appeler";1;0,706;1;1;0,016;1;1;0,01;0,75;1;1;0,725;1;1;1;0,033
"ancien";1;1;0,108;1;0,054;0;0,18;1;1;1;1;0,953;1;0,177;1;1
"sport";1;1;1;1;1;1;1;1;0,446;1;0,03;1;0,01;0;0,642;1
"résultat";1;1;1;1;1;0;1;1;0,106;1;1;0,725;0,004;1;1;1
"important";1;0,001;1;0,066;0,001;1;1;0,88;1;1;1;0,725;1;0,678;1;0,678
"etat";1;0,004;1;0,919;1;0;1;1;1;0,924;0,411;0,067;1;1;1;1
"cours";1;0,401;0,923;1;0,005;0,344;1;0,12;0,352;1;0,609;1;1;1;1;0,13
"agir";0,559;0,918;1;0,952;1;0,85;1;1;0;0,121;0;1;1;1;1;1
"victoire";1;1;1;1;0,545;0,278;1;1;1;1;1;1;0;0;1;1
"plan";1;0,007;1;1;0;1;1;0,016;1;1;0,048;0,256;1;1;1;1
"mener";1;0;1;1;1;1;1;0,781;0;1;1;1;1;0,264;1;1
"vaudois";1;1;1;1;1;0;0,001;1;1;1;0,048;0,02;0,659;1;1;1
"saison";0,075;1;1;1;1;1;1;1;1;1;1;1;0;0,21;1;1
"raison";0,027;1;0,014;1;0,869;1;1;1;0,279;1;0,013;1;1;1;1;1
"organisation";1;1;0,193;1;1;0,107;0,078;0;1;1;0,221;1;1;1;1;1
