"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12"
"emji_drapeau_états";1;1;0;1;1;1;1;1;1;1;1;1
"santé";1;0,041;1;1;1;1;1;0,265;0,375;1;1;0
"rester";0,846;0,969;0,447;1;0,603;0,803;1;1;0,07;0,109;1;0,944
"prévoir";1;1;0,2;0;1;1;1;0,265;1;1;0,071;1
"nouvelle";1;1;1;0,528;0,905;1;0,017;1;1;0;1;0,707
"gaza";1;1;1;1;1;0;1;1;1;1;1;1
"devenir";0,94;1;1;1;1;1;1;0,2;1;0,133;0,2;0,133
"étude";1;1;1;0,904;1;1;1;1;0;1;1;0
"octobre";0,451;1;1;1;0,793;0;1;1;1;0,16;1;1
"mort";1;1;0,023;1;0;0,128;1;0,435;1;0,722;1;1
"europe";1;1;1;1;0,612;0,052;0,184;0,556;1;1;1;1
"atteindre";1;1;1;1;0,284;1;1;1;0,003;1;0;1
"aller";1;1;0,753;1;1;1;1;0,317;0,02;1;0,009;1
"souligner";1;0,308;1;0,061;1;0,242;1;0,402;0,169;1;1;1
"semaine";1;0,425;1;0,803;1;0,803;1;1;1;0,018;0,005;1
"police";1;1;1;1;0;1;1;1;1;1;1;1
"mois";1;0,83;1;1;1;0,061;1;1;0,005;1;0,002;1
"homme";1;0;1;1;0;1;1;1;0,621;1;1;1
"emji_drapeau_france";1;0;1;1;1;1;1;0,627;1;0,482;1;1
"victime";1;0;1;1;0,002;0,908;1;1;0,103;1;1;1
"travail";1;1;1;0;1;1;0;1;1;0,757;1;1
"mercredi";0,846;0,119;0,447;1;1;0,803;0,648;0,038;1;1;0,536;0,944
"enquête";1;0,002;1;1;0,007;1;1;1;0,324;1;1;0,022
"samedi";0,846;0,425;0,447;1;0;0,803;1;1;1;1;0,536;1
"offrir";1;1;1;0,005;1;1;1;1;1;0;0,001;0,707
"ligne";1;0,947;0,963;0,101;1;1;1;1;1;1;1;0
"heure";1;1;1;1;0,002;1;0,132;1;1;1;0,013;0,757
"rts";1;1;0,804;1;0,958;0,206;1;0,893;0,141;0,005;1;1
"publier";1;0,203;1;0,473;0,85;1;1;1;0,91;0,656;1;0,03
"lancer";1;1;1;0,005;1;0,033;1;0,581;1;0,988;1;0,988
"emji_ballon_de_football";0;1;1;1;1;1;1;1;1;1;1;1
"place";1;1;1;0;0,113;1;0,451;0,893;1;1;0,893;1
"passer";0,94;1;0,592;1;1;1;1;0,032;0,006;1;1;1
"connaître";1;1;0,804;0,007;1;1;1;1;1;0;0,359;1
"trump";1;1;0;1;1;1;1;1;1;1;1;1
"réseau";1;0;1;1;1;1;1;1;1;1;1;0
"prochain";1;1;0,753;0;1;1;0,402;0,071;1;0,707;1;1
"partir";1;1;0,042;1;1;1;0,087;0,376;0,093;0,991;1;0,991
"suite";1;0,425;0,993;1;0,001;0,362;0,648;0,179;1;1;1;1
"marquer";1;1;0,048;0,528;1;1;1;0,071;1;0,707;0,317;1
"voir";0,94;0,001;1;0,904;0,734;1;1;1;1;0,133;1;0,133
"vaudois";1;0,346;1;0,28;1;1;1;0;1;0,076;1;1
"population";1;1;1;0,418;1;0,115;0;1;0,074;1;1;1
"partie";1;1;0,647;1;0,28;0,966;1;0,731;0,01;1;0,237;1
"groupe";1;1;0,753;1;0,905;1;0,108;0,317;0,966;0,004;1;1
"français";1;0;1;1;1;1;1;0,071;1;0,039;1;1
"emji_drapeau_territoires_palestiniens";1;1;1;1;1;0;1;1;1;1;1;1
"violence";1;0;1;1;0,85;1;1;1;0,014;0,002;1;1
"rendre";1;1;0,289;1;1;1;1;0,893;0,47;0,255;1;0,049
"international";1;1;0,7;1;1;0,003;0,89;0,787;0,371;0,19;1;1
"demander";1;0,143;0,592;1;1;1;0;0,674;1;1;1;0,551
"ancien";1;0;1;0,84;1;1;0,039;1;0,73;1;1;1
"nuit";1;1;1;1;0;1;1;0,616;1;1;0;1
"ministre";1;1;1;1;0,413;0,048;0,999;0;1;1;1;1
"emji_balance_à_poids";1;0;0,447;1;1;1;0,249;0,536;1;1;1;1
"désormais";1;0,156;0,011;1;0,238;1;0,962;1;0,976;1;0,888;1
"donald";1;1;0;1;1;1;1;1;1;1;1;1
"couper";0;1;1;1;1;1;1;0,013;1;1;1;1
"animal";1;0,732;1;0,976;1;1;1;1;0,21;0,108;1;0
"rapport";1;1;1;0,115;1;1;1;0,731;0;1;1;0,604
"france";1;0;1;1;1;1;1;0,556;1;0,444;1;1
"fois";0,363;1;0,166;1;1;1;0,962;0,888;0,001;1;1;0,792
"européen";1;0,033;0,217;1;1;1;1;0,006;0,371;0,656;1;0,656
"droit";1;0,116;0,001;1;1;1;0;1;1;1;1;1
"créer";1;1;1;0,966;1;0,115;0,309;1;1;0;1;1
"centre";1;0,572;1;0,091;0,044;0,904;0,265;1;1;1;1;0,551
"équipe";0;1;1;0,143;1;1;1;1;1;0,19;1;1
"sécurité";1;1;0,01;1;0,164;0,264;0,648;1;1;1;1;0,444
"réduire";1;1;0,371;1;1;1;1;0,081;0,001;1;0,081;1
"nombre";1;1;1;0,027;0,85;1;1;0,787;0;1;1;1
"mesure";1;0,172;1;0,418;1;1;0,001;0,004;1;1;1;1
"israélien";1;1;1;1;1;0;1;1;1;1;1;1
"décision";1;1;0,028;1;1;0,966;0,068;0;1;1;1;1
"chiffre";1;1;1;1;1;1;0,833;1;0;1;1;1
"également";1;1;0,126;1;0,674;0,84;0,712;1;0,73;0,107;1;0,498
"soir";0,231;0,78;0,804;1;0,413;1;1;0,001;1;1;0,893;1
"remporter";0;1;1;1;1;1;1;1;1;0,863;1;1
"présenter";1;1;0,002;0,016;1;1;0,453;1;1;0,034;1;1
"poste";1;1;1;0;1;1;1;0;0,279;1;1;1
"emji_gyrophare";1;0,308;1;1;0;0,64;1;1;1;1;1;1
"début";1;1;1;1;1;0,773;1;1;1;0,444;0;1
"causer";1;1;1;1;0;0,904;1;1;0,792;1;0,674;1
"saison";0;1;1;1;1;1;1;1;0,73;1;0,616;1
"revenir";0,341;1;1;0,313;1;1;1;1;0,004;1;1;0,498
"retour";0,151;1;1;1;1;0,56;1;0,06;1;1;0,376;0,991
"plan";1;1;0;0,013;1;0,091;1;0,674;1;1;1;1
"famille";1;0,071;0,426;0,704;1;1;1;0,496;0,601;1;1;1
"attendre";1;1;1;1;1;1;0,223;1;0,236;1;0;1
"affaire";1;0;0,482;1;1;0,773;1;0,556;1;1;1;1
"vie";1;1;1;1;0,013;0,976;1;0,81;1;0,108;1;0,108
"sexuel";1;0;0,482;1;1;1;1;1;0,195;1;1;1
"record";0,08;1;1;0,313;1;1;1;1;1;0,498;0,002;1
"proposer";0,665;1;1;0,633;1;1;0,518;1;0,535;0,338;1;0,003
"politique";1;1;0,01;1;1;1;0,002;0,001;1;1;1;1
"palestinien";1;1;1;1;0,092;0;1;1;1;1;1;1
"ouvrir";1;0,001;1;0,091;1;1;0,265;1;1;1;0,032;1
"nombreux";1;0,947;0,963;1;1;1;0,387;1;0,401;0,929;0,042;0,929
"membre";1;1;1;0,773;0,164;0,052;1;0,001;0,667;1;1;1
"emji_globe_tourné_sur_l";1;1;0,897;1;1;0,071;0,043;0,961;1;0,863;1;0,863
"baisser";1;1;1;0,217;1;1;1;0,496;0;1;1;1
"artiste";1;1;1;1;1;1;1;1;1;0;1;1
"accord";1;1;0;1;1;0;0,518;1;1;1;1;1
"train";1;1;1;1;0,003;1;1;0,206;1;1;0,206;1
"toucher";1;1;1;1;0;1;1;1;1;1;0,616;0,011
"soutenir";1;0,678;1;0,027;1;1;0;0,787;1;0,656;1;1
"région";1;1;0,426;1;0,015;0,037;0,584;1;1;1;0,496;1
"risque";1;0,409;1;1;1;1;1;1;1;1;0,496;0
"raison";0,875;0,518;1;0,84;0,032;1;1;1;0,73;1;0,166;1
"mener";1;1;1;1;0;0,101;0,387;1;1;1;1;0,929
"matin";1;1;1;1;0;0,412;1;0,961;1;1;0,961;1
"manifestation";1;1;1;1;0;1;1;0;1;1;1;0,991
"lieu";1;1;0,316;1;0,006;1;1;1;1;0,991;0,376;0,991
"emji_urne_électorale";1;1;0,825;1;1;1;0;0,888;1;1;1;1
"célèbre";1;1;1;1;0,767;1;1;1;1;0;0,724;0,634
"concerner";1;1;1;0,56;1;0,56;0,453;1;0,093;1;1;0,287
"berner";1;1;1;1;0;1;0,148;1;1;1;1;0,065
"1er";0,081;1;1;1;1;1;1;0,26;0,335;0,863;0,028;1
"utiliser";1;0,25;0,963;1;0,359;1;1;1;1;0,238;1;0,023
"niveau";0,738;1;1;0,704;1;1;0,001;1;0,021;1;0,496;1
"majeur";1;1;0,316;0,56;0,076;1;0,008;1;1;0,287;1;0,991
"lier";0,738;1;0,078;1;1;1;1;1;0,021;1;0,496;1
"géant";0,002;1;1;0,174;1;1;1;1;1;0,048;1;0,048
"expliquer";1;1;1;1;1;1;0,265;1;1;1;0,003;0
"etat";1;0,172;1;1;1;0,115;0,001;0,004;1;1;1;1
"augmenter";1;1;1;0,887;0,767;1;1;1;0;1;0,724;0,634
"afrique_et_l";1;1;0,825;1;0,933;0,048;0,26;0,888;1;0,792;1;0,792
"accuser";1;0;0,037;1;1;0;1;0,787;1;0,656;1;1
"titre";0,001;1;0,123;0,976;1;0,976;1;1;0,896;0,716;1;1
"suivre";1;1;0,213;1;1;1;0,002;0,961;1;0,863;1;0,191
"seulement";1;1;1;0,486;1;0,486;1;1;0,068;1;0,317;0,238
"résultat";0,814;1;1;0,142;1;1;0;0,633;1;1;1;1
"précédent";1;1;1;0,091;1;1;1;1;0;1;0,2;0,551
"mètre";1;1;1;1;1;1;1;1;1;0,002;0;1
"montrer";1;1;1;0,135;1;0,135;1;1;0,468;0,287;1;0,991
"inclure";1;1;0,897;0,005;1;1;1;0,961;1;1;0,961;0,191
"guerre";1;0,409;0,006;1;0,549;0;1;1;1;1;1;1
"gouvernement";1;1;1;1;1;1;0,012;0;1;1;1;1
"entreprise";1;1;0,264;0,101;1;1;0,387;1;0,401;0,238;1;1
"emji_symbole_d_avertissement";1;1;1;0,56;0,422;0,56;1;1;0,009;1;1;1
"cas";1;0,002;1;0,56;1;1;1;1;0;0,991;1;1
"attaque";1;1;1;1;0;0;1;1;1;1;1;1
"association";0,808;0,008;1;0,773;1;1;1;1;0;1;1;1
"émission";1;0,355;0,371;0,025;1;1;1;1;1;0,338;1;1
"tour";0,363;0,809;1;1;1;1;1;0,888;1;0,008;0,888;0,147
"the";1;1;0,665;0,016;1;1;1;1;0,809;0,634;1;0,002
"temps";1;1;1;0,003;1;1;0,26;0,888;0,271;1;0,888;0,792
"sortir";1;0,649;1;0,887;0,132;0,887;1;1;0,809;0,634;0,111;1
"situation";1;1;1;0,84;0,032;0;1;1;1;1;1;1
"saint";0;1;1;1;1;1;1;0,961;1;1;1;0,863
"recevoir";1;1;1;1;0,933;0,048;1;0;0,976;1;1;1
"milliard";1;1;0,213;0,071;1;1;1;0,028;0,047;1;1;1
"juger";1;0,001;0,537;0,84;1;1;0,039;0,616;1;1;1;1
"indiquer";1;0,355;1;1;1;0,633;0,116;1;0,014;1;0,436;1
"humain";1;0,561;1;1;1;1;0,099;1;0,713;0,547;1;0,001
"habitant";1;1;1;1;0,002;0,412;1;1;0,047;1;0,26;1
"euses";1;1;1;0,564;1;1;0,486;1;1;0,357;0,021;0,357
"effet";1;1;1;0,633;1;1;1;1;0,535;1;0,081;0
"directeur";1;1;1;0,048;1;0,003;1;1;1;0,147;0,888;0,792
"confirmer";1;0,026;1;1;0,054;1;0,387;1;1;0,929;1;0,929
"condition";1;1;1;0;1;1;0,012;1;1;1;0,436;0,338
"cessez_le_feu";1;1;1;1;1;0;1;1;1;1;1;1
"campagne";1;0,038;1;1;0,422;1;1;1;1;1;1;0,002
"armée";1;1;1;1;1;0;1;1;1;1;1;1
"agir";1;1;1;1;1;1;0,039;1;0,043;1;1;0,001
"accueillir";1;1;1;1;1;1;0,002;0,961;1;0,014;1;1
"accident";1;1;1;1;1;1;0,322;0,961;0;0,863;1;0,863
"zurich";1;1;1;0,001;1;0,976;0,882;1;1;0,108;1;0,716
"tuer";1;1;1;1;0;0;1;1;1;1;1;1
"succès";0,113;1;0,029;1;0,359;1;1;1;1;0,238;1;1
"soutien";1;0,25;1;1;1;0,01;1;1;0,401;1;1;0,929
"recherche";1;1;1;0,486;1;1;1;1;1;0,238;1;0
"particulièrement";1;1;0,748;1;0,854;1;1;1;0;1;0,81;0,716
"organisation";1;0,369;1;1;0,463;0,05;0,486;1;0,497;1;1;1
"officiel";1;1;0,665;0,887;1;0,887;0,795;0,111;0,154;0,634;1;1
"journée";1;1;1;0,56;0,422;1;0,453;1;0,468;0,991;0,376;1
"janvier";1;0,25;0,264;1;1;1;1;1;0;0,929;1;1
"crise";1;1;0,042;0,56;1;1;1;0,004;0,468;1;1;0,991
"cantonal";1;0,947;1;0,486;0,359;1;0;1;1;1;1;1
"autorité";1;1;0,316;1;0;0,56;1;1;1;1;1;1
"édition";1;1;1;1;1;1;0,245;0,206;0,253;1;0,206;1
"économique";1;0,88;1;0,071;1;1;0,322;0,961;0,047;1;1;0,191
"âgé";0,515;0,25;1;1;0,054;1;1;1;0,401;0,929;1;1
"âge";1;1;0,018;1;1;1;1;0,26;0,335;0,863;1;0,191
"voix";1;1;1;1;1;1;0;1;1;1;1;0,258
"vente";1;0,016;1;0;1;1;1;1;1;0,191;1;0,863
"susciter";1;0,038;1;1;1;1;0,453;0,376;1;1;1;0
"ski";0;1;1;1;1;1;1;1;1;1;0,428;1
"romand";1;0,947;1;0;1;1;0,387;1;1;1;0,002;1
"rencontre";1;1;0;1;1;1;1;0,081;1;0,048;1;1
"proche";1;0;0,963;1;1;1;0,004;1;1;1;0,042;1
"prison";1;0;1;1;1;1;1;1;1;1;1;1
"phénomène";1;1;1;1;1;1;1;1;1;0,287;0,004;0,002
"participer";0,363;0,156;1;0,34;1;1;0,027;0,888;1;1;0,888;1
"pari";1;0;1;1;1;1;1;1;1;1;1;1
"office";1;1;1;1;1;1;1;1;0;0,991;1;0,991
"neuchâtel";1;1;1;0,002;1;1;0,116;1;1;0,338;0;1
"naturel";1;1;0,176;1;1;1;1;1;0,253;0,001;1;1
"important";1;1;0,316;0,135;0;1;1;1;0,468;1;1;0,991
"haut";0,289;0,732;1;0,001;1;1;1;1;0,21;1;0,81;1
"fermer";1;0,732;1;0,001;1;0,976;1;0,81;1;1;0,156;1
"estimer";1;0,88;1;0,005;1;1;0,002;0,961;1;0,863;1;0,863
"emji_flocon";1;1;1;1;1;1;1;1;1;1;0;1
"emji_drapeau_israël";1;1;1;1;1;0;1;0,616;1;1;1;1
"critique";1;1;1;1;0,023;1;0,002;1;1;0,444;1;0,085
"cours";1;1;1;1;0,054;1;1;0,317;0,005;1;0,317;1
"conseiller";1;0,88;1;1;1;1;0;0,26;0,335;1;1;1
"cadre";1;0,005;0,078;0,704;1;0,217;1;0,496;1;1;1;1
"billet";0;1;1;1;0;1;1;1;1;1;1;1
"art";1;1;1;0,682;1;1;0,597;1;1;0;0,534;1
"annonce";0,439;1;1;1;1;1;0,322;0;1;1;1;0,863
"aide";1;1;1;1;1;0,025;1;0,436;1;1;1;0,003
"élevé";1;0,809;1;0,34;1;1;1;0,888;0,03;1;0,206;0,147
"élection";1;0,08;1;1;1;1;0,129;0,103;1;1;1;1
"école";1;1;1;0;1;1;0,087;1;1;1;1;1
"majorité";1;1;1;0,976;1;0,976;0,882;0,156;0;0,716;1;1
"jurer";1;1;1;0,016;0,007;1;0,795;1;1;1;0,111;1
"histoire";0,363;0,156;0,825;1;0,933;1;1;1;1;0;1;1
"gauche";0,055;1;0,166;1;1;1;0;1;1;1;1;1
"feu";0,363;1;0,825;1;0,001;1;0,26;1;1;1;1;1
"euro";0,814;0,051;0,576;0,789;1;1;0,7;0,073;1;1;1;1
"emji_sac_plein_d_argent";1;1;0,825;0,34;1;1;0,962;0,017;0,03;0,792;1;1
"découvrir";0,317;1;1;0,301;0,23;1;1;1;1;1;1;0,161
"budget";1;1;1;1;1;1;1;0;1;1;1;1
"bande";1;1;1;1;1;0;0,648;1;1;1;1;1
"économie";1;1;0,123;1;1;1;0,201;0;0,21;1;1;1
"ère";1;1;0,665;0,887;0,767;0,887;1;0,724;0,809;0,634;0,724;0,634
"zone";1;1;1;0,789;0,088;0,789;1;0,073;1;0,547;0,633;1
"vidéo";1;0,809;1;1;0,023;0,34;1;1;1;0,147;1;0,008
"vaud";1;0,809;0,166;0,34;1;1;0,027;0,888;0,976;1;1;1
"université";1;1;1;0,142;1;0,789;0,099;0,633;1;1;1;0,047
"unique";0,814;1;1;0,142;1;1;1;1;1;0,047;0,633;0,047
"udc";1;0,649;1;0,887;1;1;0;1;1;1;1;1
"site";1;0,202;1;0,005;1;1;1;0,961;1;0,191;1;1
"rôle";1;1;0,481;0,682;1;0,091;0,597;1;0,61;1;0,534;1
"renforcer";1;0,038;1;0,135;1;1;1;1;1;0,287;0,06;1
"petit";0,317;0,168;1;1;1;1;1;1;1;1;0,206;0,161
"partager";1;0,561;1;1;0,674;0,789;0,7;1;0,713;0,047;0,633;1
"neige";1;1;1;1;1;1;1;1;1;1;0;1
"justice";1;0;1;1;1;0,633;1;0,436;1;1;1;1
"jeu";0,814;1;1;1;1;1;1;1;1;0;1;0,047
"intervenir";1;1;0,825;1;0,001;1;0,962;0,206;0,976;1;1;0,792
"hôpital";1;1;1;1;0,297;0;0,322;0,26;1;1;0,961;1
"hiver";1;0,561;1;1;0,674;1;1;1;1;1;0;1
"hausse";1;1;1;1;1;1;1;0,888;0;1;0,888;1
"général";1;1;1;1;0,485;0;0,116;1;1;1;1;1
"fribourg";1;0,561;1;0,789;1;0,789;0;1;1;1;1;1
"etats";1;1;0;1;1;0,704;0,584;0;1;1;1;1
"espace";1;1;1;0;1;1;1;1;1;1;1;0,003
"emji_ski";0;1;1;1;1;1;1;1;1;1;0,633;1
"deuxième";0,001;1;1;1;0,854;1;0,882;1;0,21;0,716;0,81;1
"alimentaire";1;1;0,005;1;1;0,436;1;1;1;1;1;0,004
"événement";1;1;1;1;0,674;1;1;0,073;1;0,047;0,002;1
"élire";1;1;0;1;1;1;0,597;0,534;1;1;1;0,454
"week_end";0;1;1;1;1;1;1;1;0,809;0,634;0,111;1
"victoire";0;1;1;1;1;1;0,882;1;1;1;1;1
"valoir";0,219;0,649;1;0,887;0,767;0,887;0,795;0,724;1;1;0,724;1
"système";1;1;1;1;1;1;0,027;0,206;1;0,147;1;0,147
"station";1;1;1;0,682;0,572;1;1;1;1;0,454;0;1
"septembre";1;0,156;0,825;0,34;1;1;1;0,888;0,976;0,792;0,888;0,792
"secteur";1;1;0,963;1;1;1;0,004;1;0,401;0,929;0,317;0,929
"produit";1;0,809;0,166;0,34;1;1;1;1;1;1;1;0
"paix";1;1;0;1;1;0;0,962;1;1;1;1;1
"organiser";0;1;1;1;0,933;0,34;0,962;1;1;0,792;0,888;1
"moitié";1;1;1;0,091;1;0,682;1;0,534;0,001;1;1;1
"minute";0,001;1;1;0,976;1;0,976;1;0,156;1;1;0,156;1
"marque";1;1;0,018;1;1;1;1;1;1;0,863;0,26;0,014
"maladie";1;1;1;1;1;1;0,795;0,724;0,009;0,634;1;0,002
"local";1;1;0,086;0,887;0,132;0,887;0,795;1;1;0,074;1;1
"km";1;0,809;1;1;0,001;1;1;1;0,976;1;0;1
"identifier";1;0,002;0,665;1;0,767;1;1;1;0,154;0,634;1;0,634
"enregistrer";1;1;1;0,071;1;1;1;1;1;0,863;0;1
"emji_notes_de_musique";1;1;1;1;0,767;1;1;1;1;0;0,724;1
"eau";1;1;1;0,887;0;1;1;1;1;0,634;0,111;1
"décider";1;1;1;0,135;1;1;0;1;1;0,991;1;1
"danger";1;1;1;1;0,767;1;0,147;0,724;0,809;1;0,111;0,074
"compte";1;1;1;0,269;0,854;1;0,882;0,81;1;0,716;0,81;0,004
"civil";1;1;1;1;1;0;0,087;1;1;1;1;1
"chercheur";1;0,168;1;0,301;1;1;1;1;1;1;0,206;0,161
"changement";1;1;0,576;0,789;1;1;0,7;1;1;1;0;1
"cause";1;1;0,665;0,202;1;1;1;0,111;0,809;0,634;0,111;1
"bâle";0,586;1;1;0,564;1;0,564;1;1;0,497;1;0,428;0,357
"battre";0;1;1;0,486;1;1;1;1;1;0,929;1;1
"affirmer";1;0,116;0,748;1;0,854;0,029;1;1;1;0,108;1;0,716
"vol";1;0;1;0,682;1;0,091;1;1;1;1;1;1
"vert";1;1;0,213;1;1;1;0,002;1;0,335;0,863;1;1
"urgence";1;0,732;1;1;0,182;0,001;1;0,81;1;1;0,156;1
"ukraine";1;1;0;1;1;0,003;1;1;1;1;1;1
"tiers";1;1;1;0,789;0,674;1;1;0,073;0,004;1;1;0,547
"réunir";1;1;0,748;0,976;0,854;0,976;0,882;1;1;0,004;0,156;1
"rouge";0,705;1;1;1;1;0,682;1;0,534;0,61;1;1;0
"riche";1;1;1;0;1;1;1;1;1;1;1;0,012
"quitter";1;1;0,825;1;0,933;0,048;0,962;0,888;0,976;0,792;1;1
"protéger";1;0,649;0,665;1;0,767;0,887;1;1;0,009;0,634;1;0,634
"professionnel";1;0,649;1;1;1;1;0,008;1;0;0,634;1;1
"produire";1;1;1;1;0,238;1;0,962;1;0,976;0,147;1;0,008
"porter";0,912;0,002;1;1;0,767;1;0,795;1;0,154;1;0,724;1
"nouvel";1;1;1;1;1;1;1;0,633;1;0;1;0,047
"millier";1;0,947;1;1;0;1;1;0,317;1;1;1;1
"marché";1;1;1;0;1;1;0,882;1;0,896;1;0,81;1
"loi";1;0,732;0,006;0,976;1;1;0,016;0,81;1;1;1;0,716
"inédit";1;0,202;0,213;1;1;1;1;1;0,047;0,863;1;0,191
"impact";1;1;1;1;1;1;0,597;1;1;0;1;0,026
"humanitaire";1;0,732;1;1;1;0;0,882;0,81;1;1;1;1
"frapper";1;1;1;1;0,054;0;1;1;1;1;0,317;1
"figure";1;0,561;0,001;1;0,674;1;1;1;1;0,047;1;0,547
"ferroviaire";1;1;1;0,166;1;1;0;1;1;1;1;1
"emji_sapin_de_noël";1;1;1;1;1;1;1;1;1;0,161;0,002;0,161
"degré";1;1;1;1;1;1;1;1;0,61;1;0;1
"contenir";1;0,116;1;0,976;0,854;1;1;0,81;1;1;1;0
"consommation";1;1;1;0;1;1;1;1;1;0,547;1;1
"chute";0,012;0,947;1;1;1;1;1;1;0,401;1;0;1
"bernois";0,814;1;1;0,789;0;1;1;1;0,713;0,547;1;1
"éviter";0,219;1;1;1;0,767;0,887;1;0,724;0,809;1;1;0,002
"vote";1;1;0,665;1;1;1;0;1;1;0,634;1;1
"tenir";1;0,01;0,825;1;1;1;1;0,888;1;0,792;0,888;0,792
"situer";0,814;1;1;0,008;1;1;1;1;1;0,547;0,002;1
"réaliser";1;1;0,748;0,269;0,182;1;1;1;1;0,004;1;0,716
"retrouver";1;0,369;1;1;0;0,564;1;1;0,497;1;1;1
"question";1;1;1;0,976;1;1;0,201;1;0,896;1;0,81;0
"période";1;1;1;0,789;1;1;1;1;0,004;1;0,002;0,547
"provoquer";1;1;0,963;1;0,359;1;0,063;0,042;1;1;0,317;0,929
"protection";1;1;1;0,412;1;1;0,322;1;0,335;1;1;0
"policier";1;0,809;1;1;0;1;0,962;0,888;1;1;1;1
"nommer";1;1;1;1;1;0,887;0,795;0,111;1;0,074;0,111;0,634
"moyenne";1;1;1;1;1;1;1;1;0;1;0;1
"menacer";1;0,369;1;0,564;0,463;1;1;0,428;1;1;0,428;0,357
"joueur";0;1;1;1;1;1;1;1;1;0,147;1;0,792
"interdire";1;1;0,665;1;1;1;0,147;0,724;1;0,634;1;0
"historique";0,156;0,561;1;0,142;1;1;1;0,633;1;1;0,633;0,547
"genevois";0,586;1;1;1;1;1;1;1;1;0;1;1
"financier";1;1;1;0;1;1;0,962;0,206;0,976;1;1;0,792
"emji_skieur";0;1;1;1;1;1;1;1;1;1;0,961;1
