succès;3;0;3;1;2;0;1;0;1;2;0;0
soutien;0;2;0;1;1;4;1;1;2;0;0;1
recherche;0;0;0;2;1;0;0;1;1;2;0;6
particulièrement;0;0;1;0;1;0;0;0;6;0;1;1
organisation;0;1;0;0;1;2;1;0;1;0;0;0
officiel;0;0;1;1;0;1;1;2;2;1;0;0
journée;0;0;1;2;2;1;2;1;2;1;2;0
janvier;0;2;2;1;0;0;1;1;5;1;0;0
crise;0;0;3;2;0;1;1;4;2;0;0;1
cantonal;0;1;0;2;2;0;7;1;0;0;0;0
autorité;0;1;2;0;6;2;1;1;0;0;1;0
édition;0;0;0;0;0;0;1;1;1;0;1;0
économique;0;1;0;3;0;0;2;1;3;0;0;2
âgé;2;2;0;1;3;1;1;0;2;1;0;0
âge;1;0;3;0;0;0;1;2;2;1;0;2
voix;0;0;0;0;0;0;4;0;0;0;0;1
vente;0;3;0;5;0;0;0;0;1;2;0;1
susciter;1;3;0;1;0;0;2;2;0;0;0;5
ski;5;0;0;0;0;0;0;0;0;0;1;0
romand;0;1;0;5;0;0;2;0;1;0;4;0
rencontre;1;0;6;0;0;1;0;3;0;3;0;1
proche;0;5;1;0;0;0;4;0;0;0;3;0
prison;0;11;1;1;0;1;0;0;0;1;0;1
phénomène;0;1;0;1;0;0;1;0;1;2;4;4
participer;2;2;0;2;0;0;3;1;0;0;1;0
pari;1;10;0;0;1;1;1;0;1;1;0;0
office;0;0;1;1;0;0;0;0;10;1;0;1
neuchâtel;0;0;0;5;0;0;3;0;0;2;5;0
naturel;0;0;1;0;0;0;0;0;1;2;0;0
important;0;0;2;3;5;0;1;0;2;0;0;1
haut;2;1;0;4;0;0;0;0;2;0;1;0
fermer;1;1;0;4;0;1;0;1;0;0;2;0
estimer;0;1;0;4;0;0;4;1;0;1;0;1
emji_flocon;0;0;0;0;0;0;0;0;0;0;14;1
emji_drapeau_israël;0;0;0;0;0;16;0;2;0;0;0;0
critique;0;0;0;1;4;1;5;1;0;2;0;3
cours;0;0;0;1;3;1;0;2;4;0;2;0
conseiller;0;1;0;1;0;1;5;2;2;0;0;0
cadre;0;4;3;2;1;3;0;2;0;1;0;0
billet;5;0;0;0;4;0;0;0;0;0;0;0
art;0;0;0;1;0;0;1;0;0;4;1;0
annonce;2;0;0;1;0;0;2;6;0;0;0;1
aide;0;1;1;0;1;4;1;2;1;0;0;4
élevé;0;1;0;2;0;0;0;1;3;0;2;2
élection;0;1;0;0;0;0;1;1;0;0;0;0
école;0;0;1;6;1;1;3;1;1;0;0;0
majorité;0;0;0;1;0;1;1;2;4;1;0;0
jurer;0;0;0;3;3;0;1;0;0;0;2;0
histoire;2;2;1;0;1;0;0;0;0;5;0;0
gauche;3;0;2;0;0;0;6;0;0;0;0;0
feu;2;0;1;1;4;1;2;0;0;0;0;0
euro;1;2;1;1;0;0;1;2;0;0;0;0
emji_sac_plein_d_argent;0;0;1;2;0;0;1;3;3;1;0;0
découvrir;1;0;0;1;1;0;0;0;0;0;0;1
budget;0;0;0;0;0;0;1;12;1;0;0;0
bande;0;0;0;0;0;13;2;1;0;1;0;0
économie;0;0;2;0;0;0;2;4;2;0;0;0
ère;0;0;1;1;1;1;0;1;1;1;1;1
zone;0;0;0;1;2;1;0;2;0;1;1;0
vidéo;0;1;0;0;3;2;0;0;0;2;0;3
vaud;0;1;2;2;0;1;3;1;1;0;0;0
université;0;0;0;2;0;1;2;1;0;0;0;2
unique;1;0;0;2;0;0;0;0;0;2;1;2
udc;0;1;0;1;0;0;7;0;0;0;0;0
site;1;2;0;4;1;0;1;1;0;2;0;0
rôle;0;0;1;1;0;2;1;0;1;0;1;0
renforcer;0;3;0;3;0;1;1;0;1;2;3;0
petit;1;1;0;0;0;0;0;0;0;0;1;1
partager;0;1;0;0;1;1;1;0;1;2;1;0
neige;1;0;0;0;0;0;0;0;0;0;9;0
justice;0;7;1;0;0;2;1;2;1;0;0;1
jeu;1;0;0;0;0;0;0;0;0;5;0;2
intervenir;0;0;1;0;4;1;1;2;1;0;0;1
hôpital;0;0;0;0;2;5;2;2;0;0;1;0
hiver;0;1;0;0;1;0;0;0;0;0;6;0
hausse;0;0;0;1;0;0;0;1;8;0;1;0
général;0;0;1;1;2;6;3;0;1;0;1;0
fribourg;0;1;0;1;0;1;5;0;0;0;0;0
etats;1;1;5;0;0;2;2;5;0;0;0;0
espace;0;1;0;7;0;1;0;0;0;1;1;4
emji_ski;7;0;0;0;0;0;0;0;0;0;1;0
deuxième;4;0;0;0;1;0;1;0;2;1;1;0
alimentaire;0;0;2;0;0;1;0;0;0;0;0;2
événement;0;0;0;0;1;0;0;2;0;2;3;0
élire;0;0;4;0;0;0;1;1;0;0;0;1
week_end;5;0;0;0;0;0;0;0;1;1;2;0
victoire;9;0;0;0;0;0;1;0;0;0;0;0
valoir;2;1;0;1;1;1;1;1;0;0;1;0
système;0;0;0;1;0;1;3;2;0;2;0;2
station;0;0;0;1;1;0;0;0;0;1;4;0
septembre;1;2;1;2;0;0;0;1;1;1;1;1
secteur;0;0;1;1;0;0;4;1;2;1;2;1
produit;0;1;2;2;0;0;0;0;0;0;0;6
paix;0;0;4;0;0;6;1;0;0;0;0;0
organiser;5;0;0;0;1;2;1;0;0;1;1;0
moitié;0;0;0;2;0;1;0;1;3;0;0;0
minute;4;0;0;1;0;1;0;2;0;0;2;0
marque;1;0;3;1;0;0;1;0;0;1;2;3
maladie;0;0;0;0;0;0;1;1;3;1;0;3
local;0;0;2;1;2;1;1;0;0;2;0;0
