"";"*rts_a";"*rts_i"
"souvenir";229;12
"dans";1291;814
"nombreux";19;11
"romand";6;6
"étudiant";10;9
"éducation";112;51
"nos";283;138
"oui";367;205
"tous";366;250
"emji_coeur_rouge";295;66
"bon";512;297
"mes";288;98
"grand";273;135
"frère";41;18
"soeur";40;12
"10";48;44
"camp";9;9
"trop";261;141
"importer";49;35
"emji_visage_avec_un_léger_sourire";48;26
"elles";161;84
"vachement";12;6
"classe";110;24
"air";113;40
"prendre";219;190
"remonter";14;10
"lol";19;6
"fou";79;52
"image";79;42
"incroyable";73;18
"magnifique";57;16
"reportage";83;4
"etait";71;26
"considérer";13;14
"avec";901;540
"réseau";44;21
"social";48;62
"payer";20;45
"sa";332;168
"passion";30;11
"excellent";28;19
"vidéo";244;39
"j";1604;520
"adorer";108;11
"début";101;41
"témoignage";32;1
"notre";183;125
"beau";408;86
"malheureusement";159;74
"perdre";103;72
"acheter";20;18
"street";7;3
"2";118;81
"fils";57;26
"suivre";31;22
"roi";21;8
"mère";134;52
"lorsque";30;12
"je";2103;1094
"voir";731;487
"descendre";8;4
"quelle";228;87
"jeunesse";86;14
"orange";16;7
"sentir";117;69
"emji_visage_en_pleine_réflexion";44;23
"jeune";384;143
"homme";294;98
"emji_applaudissements";210;114
"écouter";85;37
"si";667;577
"sage";20;5
"philosophie";23;6
"dire";786;412
"adulte";90;45
"croire";157;88
"vrai";223;122
"monsieur";131;23
"exactement";28;19
"train";17;11
"se";727;587
"passer";373;239
"emji_visage_qui_pleure";364;169
"lieu";40;50
"travailler";110;101
"raison";94;57
"papier";10;5
"par";472;382
"terre";45;47
"une";1655;990
"responsable";14;13
"très";399;193
"génération";172;45
"traiter";12;10
"concernant";6;11
"changement";21;15
"vivement";6;5
"emji_visage_de_clown";11;11
"aimer";305;99
"1er";19;8
"garçon";137;16
"sembler";49;29
"information";9;13
"d_abord";3;16
"mémoire";26;18
"lui";226;87
"revenir";86;25
"adorable";13;1
"temps";539;330
"août";14;4
"jour";393;279
"férié";10;3
"emji_visage_souriant_avec_yeux_rieurs";104;16
"imaginer";68;29
"utiliser";58;46
"pression";5;7
"envoyer";38;36
"décevoir";19;9
"plaisir";131;58
"trouver";208;123
"lien";17;14
"version";8;8
"long";47;33
"journée";114;74
"surtout";128;88
"me";589;204
"donner";208;190
"envie";97;75
"empêcher";22;25
"espérer";115;119
"marcher";38;57
"connaître";289;105
"sympa";67;17
"revoir";45;8
"emji_tête_à_l";27;18
"envers";56;42
"là";249;182
"singe";11;4
"tour";37;18
"recevoir";105;28
"certainement";50;24
"beaucoup";288;117
"d";1830;1297
"amour";116;26
"au";730;497
"quotidien";24;23
"part";74;48
"client";17;4
"demander";157;99
"pousser";12;16
"partout";37;31
"humain";110;98
"métier";74;29
"toute";156;107
"vie";659;311
"ses";215;119
"monde";418;400
"foutre";71;74
"lier";9;6
"eux";114;129
"pauvre";94;50
"bête";16;6
"numéro";6;5
"super";104;53
"ni";124;71
"rester";173;171
"ailleurs";50;50
"étonner";23;24
"maltraiter";12;2
"arriver";166;124
"mauvais";67;56
"goût";33;20
"gros";62;43
"penser";253;200
"13";12;6
"bah";64;41
"mais";1103;853
"chanceux";13;2
"autres";173;195
"veille";7;3
"14";17;7
"naître";113;44
"lendemain";15;5
"12";19;8
"porte";39;50
"malheur";6;4
"personne";304;280
"lunette";11;2
"soleil";23;7
"protéger";22;51
"archive";60;0
"voyage";15;11
"esprit";67;35
"terrible";27;13
"main";60;55
"mourir";45;31
"donc";220;197
"peu";266;157
"méthode";42;10
"fille";239;50
"bébé";20;26
"tôt";26;19
"hélas";17;3
"film";26;12
"rapport";18;21
"rien";389;261
"jamais";267;144
"année";515;152
"90";59;8
"ho";7;3
"emji_visage_avec_bouche_ouverte";86;59
"aîné";12;5
"plutôt";74;53
"maman";69;33
"cours";103;68
"répéter";23;10
"car";174;125
"objectif";10;5
"atteindre";14;20
"preuve";11;8
"vivant";44;19
"inutile";11;10
"écrire";34;16
"tant";102;65
"parent";242;124
"emji_visage_boudeur";29;43
"condamner";3;10
"dos";16;5
"peur";71;55
"oser";42;17
"parler";257;156
"naissance";20;10
"qq";12;5
"minute";12;9
"bb";5;9
"partie";66;34
"exister";149;52
"traumatiser";20;4
"choisir";27;32
"sport";81;57
"seul";184;122
"comment";117;93
"tard";60;27
"trois";17;10
"eau";32;18
"comprendre";200;128
"heureux";192;38
"paradis";24;6
"gentil";48;12
"joli";46;16
"moment";152;158
"dignité";9;6
"chez";135;116
"célestin";29;0
"reposer";14;5
"paix";22;34
"sûr";84;60
"place";55;70
"moyen";39;41
"emji_visage_soulagé";43;8
"courir";23;21
"derrière";26;20
"stresser";14;3
"malade";32;27
"finir";100;121
"regard";24;8
"celle";36;14
"naturel";44;5
"appeler";84;50
"femme";356;207
"type";29;13
"tomber";65;57
"oeil";79;70
"énergie";12;6
"elle";689;211
"dégager";5;5
"premier";87;41
"meme";42;49
"après";191;174
"normal";79;74
"hein";32;19
"télé";29;12
"réalité";22;22
"tik";12;2
"tok";12;2
"draguer";11;0
"agréable";29;6
"ben";45;39
"facile";32;26
"emji_visage_souriant_avec_une_goutte_de_sueur";65;39
"devoir";319;278
"essayer";45;55
"ramasser";4;6
"lever";23;11
"doigt";30;18
"gars";35;22
"interviewer";24;1
"quelque";58;64
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";136;23
"jeu";203;37
"quel";201;92
"habiter";24;16
"ici";51;64
"autant";66;58
"culturel";10;5
"ramener";17;11
"âme";31;12
"unir";7;7
"subir";24;18
"pire";103;73
"savoir";441;266
"meilleur";105;52
"chacun";53;32
"pays";67;201
"civil";5;11
"société";58;44
"commun";7;8
"adresse";12;3
"couple";31;45
"mesure";8;7
"foyer";18;20
"condition";13;17
"mariage";17;10
"égal";6;4
"besoin";80;105
"non";319;283
"moderne";10;8
"éviter";19;30
"marier";22;14
"aux";270;217
"boîte";15;5
"nuit";39;28
"rire";27;9
"déjà";186;177
"avance";42;25
"talent";9;7
"rue";64;54
"respect";184;82
"compliqué";26;38
"beauté";38;9
"fil";9;3
"ainsi";56;22
"mentalité";47;36
"impression";48;25
"triste";177;119
"encore";352;211
"peine";40;23
"voiture";26;3
"emji_femme_qui_hausse_les_épaules";10;6
"larme";15;2
"note";16;9
"professeur";49;7
"enseignement";30;4
"sans";318;209
"vocabulaire";27;2
"vouloir";281;272
"anglais";15;8
"italien";10;4
"emji_mains_en_prière";80;31
"uniquement";15;22
"allemand";11;30
"tourner";35;13
"parce_que";117;152
"vers";49;18
"caméra";33;3
"merde";29;16
"ma";355;97
"vive";24;14
"valeur";35;24
"famille";144;153
"français";77;42
"gosse";57;31
"toujours";306;144
"phrase";23;4
"manger";48;40
"habitude";30;19
"cela";198;133
"entre";95;73
"35";15;5
"40";35;10
"an";439;179
"maison";122;68
"taper";17;10
"double";10;4
"falloir";323;357
"éduquer";54;26
"depuis";170;103
"participer";30;26
"tâche";29;8
"ménager";42;3
"cuisine";33;9
"ménage";29;17
"course";26;13
"soin";20;18
"extérieur";21;10
"infirmier";5;5
"niveau";99;53
"erreur";14;11
"valoir";27;22
"congé";10;34
"laisser";112;158
"mari";39;13
"aise";8;12
"vacance";25;11
"sain";30;11
"catastrophe";9;10
"continuer";55;68
"enfance";57;9
"2005";10;2
"jouer";258;79
"guerre";43;32
"père";160;41
"lire";43;23
"boulot";41;37
"mature";11;0
"familial";12;10
"saint";23;5
"dès";34;25
"âge";159;43
"nom";113;26
"faux";8;5
"liberté";28;19
"humanité";25;43
"différents";17;7
"fait";6;4
"souvent";61;52
"accord";64;53
"religieux";10;2
"emji_visage_qui_vomit";5;8
"repas";28;23
"carrière";17;25
"cest";30;28
"propagande";11;3
"féministe";9;3
"gauche";25;27
"innocent";4;9
"évoluer";68;20
"ouais";26;31
"8";44;10
"devenir";161;92
"cool";37;20
"évolution";30;5
"retourner";49;38
"pote";20;7
"ta";82;78
"meuf";11;1
"tenter";8;12
"relation";12;16
"ect";14;11
"dessus";34;25
"votre";135;170
"direct";12;9
"insulter";15;3
"fonctionner";17;12
"façon";86;53
"dont";42;34
"occuper";52;61
"soumettre";13;4
"te";124;109
"plaire";20;4
"heureusement";102;46
"voix";24;6
"80";90;15
"exprimer";69;9
"cas";84;82
"perfection";7;4
"alcoolique";9;1
"celui";59;17
"cesse";7;11
"boire";18;11
"fond";36;14
"verre";6;6
"côté";79;62
"cet";128;37
"état";28;48
"merci";237;104
"doc";8;2
"impossible";23;19
"abuser";14;18
"alcool";5;5
"lucide";7;3
"sincère";18;5
"également";40;25
"problème";77;141
"george";22;1
"70";76;7
"nu";28;17
"peut_être";61;59
"touchant";35;2
"son";406;200
"coeur";66;31
"ressembler";16;8
"entretien";8;12
"courage";18;36
"face";25;28
"soigner";7;13
"tristesse";53;26
"ceci";13;7
"journaliste";47;9
"ouvrir";31;57
"réussir";16;14
"particulièrement";11;1
"toucher";29;16
"solitude";11;8
"bois";24;8
"douleur";12;4
"retrouver";88;48
"parmi";14;4
"profond";12;7
"malgré";45;16
"plupart";25;22
"effet";23;21
"cerveau";24;10
"autre";240;119
"présenter";14;8
"hors";6;18
"privé";13;11
"intérieur";19;18
"puisque";19;9
"allah";7;3
"dépendre";16;11
"conscience";28;18
"véritable";13;7
"perso";22;23
"physiquement";13;6
"mort";59;38
"pendant";80;73
"quelques";70;59
"seconde";20;12
"propre";42;49
"ressentir";28;12
"certain";30;26
"réel";19;20
"paraître";21;10
"créer";32;29
"redonner";5;5
"confiance";19;14
"5";41;56
"merveilleux";32;6
"venir";168;132
"machine";15;6
"auto";7;4
"détruire";22;26
"commentaire";51;28
"passionner";11;2
"réunir";14;4
"article";3;9
"lausanne";19;8
"ville";30;20
"tirer";36;19
"2000";44;5
"mouvement";17;8
"arbre";36;3
"actuel";66;23
"perte";10;6
"boucle";15;4
"oreille";42;8
"question";55;36
"ouverture";5;10
"porter";81;37
"respecter";53;23
"loi";13;41
"pied";41;19
"courant";11;8
"sauter";49;23
"pourtant";71;30
"révolu";13;0
"inventer";20;9
"émission";47;8
"qualité";30;11
"quartier";9;10
"rts";28;16
"devant";65;33
"cadeau";64;11
"emji_visage_envoyant_un_bisou";26;11
"30";42;19
"genève";25;21
"prénom";9;2
"cycle";15;5
"longtemps";49;20
"attendre";71;89
"tv";18;5
"rappeler";83;36
"dimanche";99;43
"emji_mains_levées";35;34
"casser";18;21
"quoi";177;145
"couper";51;18
"pratique";25;7
"nécessaire";8;13
"chanter";26;5
"partager";43;28
"entendre";106;37
"doux";34;15
"matin";48;25
"parfaire";22;14
"siècle";28;16
"vomir";6;10
"cause";37;59
"honte";59;80
"ensuite";21;32
"emji_visage_roulant_des_yeux";61;35
"route";17;13
"égalité";8;20
"parfait";17;5
"aucune";45;44
"droit";74;71
"marathon";10;10
"dommage";83;29
"policier";13;37
"admirable";12;3
"emji_étincelles";24;7
"décider";24;33
"rigolo";7;4
"tuer";33;38
"ah";112;63
"top";37;23
"violence";47;60
"lancer";11;12
"mot";59;29
"intéressant";39;14
"emji_visage_avec_un_doigt_sur_la_bouche";9;6
"emji_visage_souriant_avec_auréole";10;4
"méchant";9;7
"enseignant";52;13
"chouette";18;1
"élastique";98;0
"surpoids";8;2
"soirée";28;12
"écran";50;6
"courageux";14;13
"suite";52;42
"tes";42;50
"bientôt";31;33
"concours";25;15
"wesh";77;0
"chance";90;63
"extraire";11;1
"plusieurs";40;42
"fois";140;139
"téléphone";60;22
"bout";39;34
"bravo";119;67
"responsabilité";9;13
"critiquer";14;9
"gamin";91;19
"wallah";21;0
"emji_deux_coeurs";12;3
"environ";11;7
"alors";213;200
"justement";28;20
"croix";17;5
"coup";128;88
"çà";10;6
"sacré";25;7
"arrière";39;2
"chercher";38;31
"chanson";47;7
"1";75;63
"heure";111;83
"base";27;13
"église";17;13
"truc";75;49
"chaise";31;4
"montrer";49;29
"combien";18;28
"emji_visage_avec_les_sourcils_relevés";6;6
"emji_visage_souriant_avec_de_grands_yeux";10;4
"promener";9;5
"forêt";17;10
"croiser";16;12
"pardon";11;5
"brave";19;6
"bille";15;0
"répondre";36;7
"généraliser";17;6
"matière";11;4
"utile";27;17
"vêtement";17;16
"étonnant";11;7
"rôle";21;15
"voie";7;10
"choix";32;43
"reconnaître";33;13
"chapeau";11;4
"maturité";17;2
"élevé";23;2
"afin";7;7
"toutes";114;68
"cuisiner";20;5
"préférer";75;46
"haha";18;10
"moeurs";11;0
"près";12;6
"20";44;23
"avenir";11;16
"terminer";19;18
"6";34;27
"corps";46;44
"tenir";52;31
"1980";14;2
"loin";70;43
"formation";12;10
"obligatoire";6;20
"effectivement";46;14
"lutter";6;4
"pourquoi";115;111
"incapable";18;11
"0";4;17
"connaissance";22;2
"fréquenter";9;5
"mêmes";41;24
"battre";39;15
"18";8;11
"4";36;55
"ensemble";31;16
"traîner";13;10
"histoire";62;58
"pierre";8;8
"ete";13;3
"voler";21;22
"video";23;1
"affaire";13;10
"violent";21;13
"ados";13;10
"rentrer";59;62
"prochain";30;59
"épisode";10;10
"apparemment";11;5
"occasion";12;9
"nouvelle";37;77
"fan";21;14
"contre";90;102
"renseigner";10;4
"poser";33;14
"débat";3;19
"modeste";19;1
"cher";23;19
"possible";47;31
"poésie";15;2
"ca";160;133
"manquer";134;79
"telle";17;7
"rare";46;11
"piquer";10;8
"50";52;15
"folie";15;7
"lequel";14;5
"montagne";20;8
"important";32;53
"préserver";6;6
"difficile";57;26
"décision";7;19
"interrompre";5;5
"grossesse";1;9
"jesus";19;3
"pere";13;1
"enceinte";7;4
"emji_visage_blasé";11;12
"appartenir";7;3
"tromper";16;6
"désir";38;8
"1972";10;0
"wow";26;8
"remarquer";17;6
"cochon";10;1
"nouveau";53;62
"philippe";7;4
"tres";24;20
"franchement";46;69
"sûrement";66;33
"remettre";29;18
"perspective";7;6
"former";14;7
"bénir";12;1
"bizarre";22;9
"libérer";1;11
"élément";3;7
"déjeuner";13;10
"anniversaire";8;2
"complètement";21;12
"vision";18;15
"quelqu_un";39;43
"servir";26;27
"sentiment";11;4
"émotion";27;14
"capable";29;15
"papa";32;12
"souhait";9;2
"douceur";10;2
"volonté";12;7
"planter";12;4
"champ";10;3
"cheval";11;4
"préparer";23;28
"gérer";18;23
"expérience";20;8
"souhaiter";37;49
"bac";13;3
"garder";93;68
"emji_visage_avec_un_sourire_malin";13;7
"lointain";9;5
"ranger";9;4
"chambre";7;4
"mériter";17;25
"réagir";9;13
"dangereux";34;18
"rouge";15;4
"emji_visage_souriant";35;11
"arracher";7;4
"eh";20;7
"concevoir";4;7
"accoucher";5;6
"visite";7;4
"raser";7;3
"centaine";3;9
"toit";12;8
"entier";23;24
"voisin";26;22
"maître";26;8
"système";14;27
"bouger";36;33
"excuser";7;5
"taff";4;13
"retenir";27;17
"extrêmement";13;13
"personnel";9;18
"génial";35;3
"jésus";57;5
"campagne";22;9
"vos";83;79
"miroir";8;3
"regretter";26;5
"ancien";103;17
"attaquer";7;9
"chaque";101;82
"répétition";5;9
"curieux";23;7
"prof";99;18
"bisou";12;3
"ciel";22;12
"pleurer";26;18
"calmer";6;8
"élève";103;27
"partir";66;65
"emji_pouce_vers_le_haut_peau_claire";14;7
"moins";220;131
"final";20;17
"noël";103;23
"mode";71;45
"décéder";41;6
"dormir";19;27
"plante";6;5
"précieux";8;10
"fonder";6;4
"mois";37;27
"présence";10;7
"argent";23;38
"aider";44;74
"solidarité";8;10
"médecin";5;7
"permettre";53;48
"millier";12;12
"maladie";17;8
"futur";37;30
"enfin";38;56
"marque";7;8
"conversation";7;3
"bruit";30;13
"smartphone";20;3
"interview";23;1
"tradition";15;11
"transmettre";19;5
"relever";7;11
"message";8;10
"agir";23;27
"humour";12;3
"chemin";33;21
"interdire";39;45
"poil";6;9
"etre";39;28
"possibilité";7;6
"amoureux";16;4
"manière";28;20
"ems";12;7
"rendre";74;60
"1970";13;0
"vaudois";5;5
"majorité";19;22
"catholique";8;5
"libre";24;15
"suicider";4;7
"informer";8;9
"soutenir";11;28
"artiste";15;13
"mondial";8;7
"emji_visage_avec_des_étoiles_à_la_place_des_yeux";16;4
"respirer";20;12
"fumer";44;34
"hahaha";9;9
"monter";22;14
"date";67;17
"inconnu";7;3
"rempli";9;5
"retour";26;13
"accomplir";4;7
"émouvant";11;0
"aventure";6;4
"nana";6;4
"profiter";24;24
"jacques";13;0
"voyager";14;19
"impressionnant";12;4
"forme";15;10
"emji_visage_souriant_aux_yeux_rieurs";39;6
"jusqu";6;4
"15";21;27
"apres";16;16
"clope";21;11
"intelligent";39;19
"simplement";46;42
"point";57;48
"plaindre";57;50
"grand_mère";27;3
"physique";23;16
"25";16;11
"règle";49;35
"sang";13;16
"emji_visage_souriant_avec_une_larme";23;12
"utilité";9;3
"objet";8;8
"ignorer";9;9
"fonction";7;8
"charger";13;29
"enseigner";25;9
"humilité";15;2
"semaine";58;65
"bonjour";16;6
"arrêter";97;142
"samedi";13;18
"neige";12;6
"chaîne";9;4
"lundi";11;0
"joyeux";21;7
"bordel";14;25
"source";6;9
"puissance";9;1
"dizaine";8;2
"sous";51;49
"trace";11;3
"puis";63;31
"réveiller";12;26
"don";9;9
"emji_mains_en_prière_peau_légèrement_mate";18;1
"voire";9;7
"accepter";16;25
"punaise";10;2
"haut";31;29
"bel";9;8
"emji_visage_triste_mais_soulagé";50;6
"féminin";42;30
"bouche";34;10
"coin";21;12
"chef";11;8
"service";25;39
"salaire";11;8
"vérité";28;14
"rarement";10;3
"gagner";23;13
"différence";23;17
"langage";48;3
"conflit";7;13
"échange";5;5
"idée";45;47
"juger";20;11
"boomers";19;2
"travail";77;142
"commencer";55;80
"ok";30;29
"mille";8;5
"euro";10;2
"bonheur";57;8
"figure";18;10
"exact";9;5
"produire";6;9
"emji_ok";24;5
"qd";21;1
"job";7;9
"reprendre";19;7
"rigoler";19;11
"france";91;56
"proposer";15;14
"ps";8;16
"emji_visage_qui_tire_la_langue_et_fait_un_clin_d_oeil";9;2
"voilà";48;32
"milieu";31;19
"bar";10;5
"sinon";33;38
"emji_visage_qui_fait_un_câlin";26;6
"relativement";6;4
"content";43;28
"silence";10;7
"total";10;12
"vache";10;2
"intéresser";17;19
"réponse";35;8
"bleu";12;4
"supporter";32;30
"livre";24;11
"emji_visage_souriant_avec_coeurs";52;9
"série";10;10
"marquer";21;6
"surnom";11;0
"parole";53;27
"coller";15;6
"proche";22;25
"aucun";52;51
"emji_personne_avec_la_paume_sur_le_visage";19;13
"vieillir";20;6
"vieillesse";18;0
"découvrir";37;20
"clairement";24;20
"fleur";19;3
"habillement";4;8
"tjrs";11;4
"refaire";12;7
"leçon";39;9
"ère";8;6
"demain";10;15
"instant";16;10
"présent";27;19
"avis";25;20
"entourer";10;9
"limiter";6;6
"emji_visage_confus";8;4
"divorce";7;9
"madame";76;21
"sincèrement";6;8
"quels";7;8
"exemple";47;60
"autour";26;17
"haine";10;23
"million";12;24
"etc";65;57
"ton";90;104
"égoïste";28;13
"comporter";12;2
"impliquer";6;8
"mec";48;40
"individu";3;7
"notamment";9;4
"mener";9;8
"contexte";17;3
"diriger";6;4
"militaire";6;20
"gay";10;2
"simple";120;55
"certains";93;60
"bcp";33;28
"réfléchir";25;19
"rapide";14;8
"genre";72;44
"nourriture";9;5
"esclave";8;6
"volontaire";4;6
"ci";6;5
"enlever";7;21
"nature";72;28
"annoncer";4;9
"choquer";23;4
"salle";7;8
"1985";11;0
"mars";8;5
"collège";39;5
"acteur";11;5
"humble";23;5
"malheureux";18;9
"fatiguer";17;20
"contenter";25;5
"national";23;8
"7";22;29
"midi";21;30
"pointe";10;1
"court";19;15
"grands_parents";11;4
"tête";67;44
"assez";51;52
"doute";29;23
"communauté";5;9
"smartphones";11;3
"avouer";12;5
"deviner";9;4
"emji_visage_épuisé";5;10
"pari";14;3
"match";55;26
"séquence";11;0
"pratiquement";12;1
"sorte";20;24
"entrée";7;5
"ressortir";9;3
"cinéma";7;5
"quatre";8;4
"bande";8;5
"bref";44;25
"différent";49;25
"vide";10;3
"nostalgie";27;0
"emji_homme_qui_hausse_les_épaules_peau_claire";7;5
"or";15;11
"comparer";36;7
"nombre";15;16
"mini";6;5
"force";30;32
"santé";27;17
"manuel";10;2
"emji_mains_en_prière_peau_claire";16;12
"énorme";7;10
"rappel";14;4
"hier";32;11
"1967";17;0
"maths";8;6
"maîtresse";39;1
"nostalgique";21;1
"e";30;22
"cheveu";23;5
"scolaire";24;24
"comportement";9;6
"berner";3;13
"ski";15;4
"9";14;11
"fumeur";10;5
"effort";18;12
"gare";8;7
"casque";10;2
"entourage";8;7
"soir";43;23
"politesse";5;5
"secours";8;6
"espace";7;6
"punition";9;4
"rêver";28;10
"étape";6;8
"quitter";15;12
"planète";22;17
"travers";20;10
"inscrire";13;14
"accueil";7;14
"créatif";7;3
"professionnel";8;23
"situation";21;32
"police";21;110
"nez";14;3
"salut";11;1
"tel";17;16
"propos";25;8
"prison";6;20
"fier";37;13
"dépenser";4;6
"100";18;28
"améliorer";9;9
"nul";9;11
"confirmer";9;8
"défi";11;4
"réflexion";15;3
"attacher";5;5
"cruellement";6;9
"honneur";5;14
"rencontrer";26;9
"échanger";7;3
"bienveillance";16;9
"r";12;7
"i";8;4
"p";12;5
"réjouir";9;20
"emji_visage_pensif";57;27
"scène";8;4
"guy";12;7
"emji_visage_avec_lunettes_de_soleil";11;1
"légende";24;4
"filmer";27;10
"google";8;2
"résultat";28;27
"couler";4;6
"emji_visage_qui_fond";14;11
"pseudo";9;3
"mme";12;1
"régulièrement";10;3
"conseil";4;7
"institution";3;9
"blanc";30;13
"faim";6;7
"étude";13;28
"équipe";28;20
"carte";17;5
"endroit";51;27
"con";31;9
"visiblement";5;12
"maternel";14;2
"emji_se_rouler_par_terre_de_rire";72;39
"robe";14;0
"couleur";17;7
"européen";7;12
"hyper";21;8
"collant";8;6
"micro";12;4
"live";5;5
"deja";16;17
"raconter";30;5
"grandir";31;17
"moitié";21;14
"conseiller";6;12
"repartir";4;9
"public";25;17
"60";59;9
"suivant";17;6
"âgé";31;24
"dedans";12;7
"emji_signe_de_la_main";10;1
"jai";17;11
"convivial";7;3
"soi";23;16
"président";2;9
"emji_visage_légèrement_mécontent";9;1
"désolé";11;8
"enfer";30;11
"drôle";24;10
"certaines";36;28
"ceux";94;120
"actuellement";20;10
"absolument";22;20
"patient";2;8
"seulement";46;24
"compagnon";18;3
"tiens";16;15
"ridicule";25;16
"bras";21;15
"éternel";15;2
"fête";34;16
"emji_visage_festif";6;5
"compte";34;36
"internet";48;15
"2023";13;3
"détester";12;2
"bonsoir";8;3
"apprécier";27;6
"rose";15;5
"moindre";9;12
"risque";10;14
"week_end";12;6
"politique";14;51
"assumer";6;8
"acte";4;11
"amuser";42;12
"reproduire";4;6
"bord";13;15
"adolescent";8;7
"dessiner";7;5
"offrir";24;17
"opinion";6;5
"ado";13;7
"limite";14;24
"aïe";8;5
"11";14;9
"fragile";6;7
"emji_visage_endormi";7;5
"souffrance";7;8
"emji_visage_implorant";23;2
"énormément";19;15
"humeur";8;5
"séance";5;5
"emji_mains_qui_forment_un_coeur_peau_claire";4;8
"régime";2;10
"poids";8;2
"bienveillant";15;1
"assiette";5;5
"idem";15;9
"exception";6;5
"lentement";9;3
"groupe";17;19
"stress";12;13
"capitaliste";4;6
"pourri";32;8
"élever";9;12
"aide";35;42
"bosser";20;27
"nouvel";4;10
"obliger";20;33
"inspirer";8;2
"emji_visage_avec_bouche_en_diagonale";9;4
"armée";13;37
"général";13;14
"fierté";12;2
"agresser";12;13
"jeûne";9;2
"bénéfique";4;10
"forcer";9;19
"discipline";10;4
"principal";6;5
"apprentissage";40;19
"langue";19;18
"placer";6;7
"z";10;3
"recommencer";9;9
"68";9;1
"user_";14;4
"fer";10;2
"challenge";7;4
"mental";13;11
"humiliation";8;2
"clair";16;11
"temp";4;6
"espèce";7;6
"échapper";5;11
"ordinateur";29;0
"drogue";6;19
"ns";10;1
"emji_visage_avec_un_monocle";7;5
"mai";14;3
"période";40;22
"révolution";8;2
"protagoniste";8;2
"celles";15;12
"cependant";5;5
"compter";21;15
"châtiment";11;0
"corporel";14;7
"probablement";23;25
"copain";70;18
"magasin";17;11
"connerie";11;21
"moquer";30;14
"baser";6;8
"blesser";8;14
"grand_père";13;0
"durant";15;11
"gâteau";8;3
"noir";17;7
"mamie";10;1
"lorsqu";17;12
"ba";5;9
"respectueux";47;14
"éteindre";10;9
"lumière";25;16
"accompagner";19;20
"position";3;8
"victime";14;45
"plat";10;7
"horrible";31;19
"sol";11;5
"christ";23;2
"réaction";9;7
"tt";20;12
"défendre";4;32
"remplacer";17;6
"clé";8;3
"1990";15;0
"village";21;6
"aspect";4;8
"insulte";7;3
"emji_visage_de_geek";6;7
"amusant";14;2
"minimum";13;14
"problématique";13;10
"combat";5;13
"race";10;2
"largement";10;2
"ya";37;20
"jurer";7;5
"forcément";18;10
"discours";19;7
"bloquer";4;14
"affirmer";5;6
"média";7;12
"3";69;68
"adapter";7;18
"chaud";9;8
"lâcher";10;12
"sourire";23;3
"bêtise";11;7
"certes";12;12
"critique";17;7
"dater";12;1
"priorité";9;9
"terme";8;8
"raisonnement";7;3
"évidemment";22;12
"norme";4;10
"fermer";37;44
"transformer";11;7
"sauver";12;35
"froid";11;6
"habit";8;10
"portable";30;7
"vélo";10;1
"gâter";15;2
"personnellement";9;11
"sommeil";8;13
"apporter";10;5
"parcours";8;8
"coincer";9;4
"blague";11;16
"normalement";8;4
"laquelle";10;6
"emji_visage_grimaçant";18;3
