2017;0;0;1;1;4
2011;0;1;2;2;1
20000;0;0;3;1;2
1990;0;0;1;2;1
1980;0;0;1;1;3
1973;0;0;3;0;0
1970;0;0;1;1;4
1968;0;0;5;0;1
1939;0;0;2;0;1
pouce;1;0;1;2;1
pff;0;0;1;2;1
miens;1;0;0;0;4
inter;0;0;0;0;3
auxquelles;0;0;0;0;5
85;0;0;0;4;1
68;0;1;1;2;1
56;0;0;2;1;2
2016;0;1;0;2;1
2013;0;0;0;3;2
2006;1;0;2;1;0
1995;0;0;2;2;1
1994;0;2;2;0;0
1982;0;0;1;0;3
1950;0;0;1;1;2
1700;0;0;3;1;1
1400;0;0;1;3;1
1300;0;0;2;0;2
100000;0;0;0;5;0
siens;0;0;0;1;3
revoilà;0;0;0;0;3
quiconque;0;0;1;0;2
mil;0;0;0;4;0
las;0;0;1;0;3
htag_shameonyoutrump;0;4;0;0;0
htag_hopsuisse;4;0;0;0;0
htag_caisseunique;0;2;2;0;0
excepté;0;0;0;0;3
da;1;0;1;2;0
ci_dessus;0;0;0;0;4
chut;0;1;0;2;1
chacune;0;0;0;1;3
audit;0;0;0;2;2
allô;0;0;1;1;2
alentour;0;1;0;2;1
adieu;0;0;0;2;1
91;0;1;1;1;1
8000;0;0;1;3;0
703;0;0;0;3;0
64;0;0;1;0;2
59;0;0;1;0;3
50000;0;0;0;3;0
450;1;0;1;0;1
360;0;1;1;2;0
33;0;0;0;1;2
242;0;0;4;0;0
2300;0;1;0;1;1
2100;0;0;0;2;2
2004;0;0;2;2;0
1999;0;0;0;2;2
1991;0;0;1;2;1
1978;0;0;3;1;0
1960;0;0;1;2;1
1946;0;0;3;0;0
170;0;0;2;1;1
16000;0;0;1;2;1
153;0;0;4;0;0
140;0;0;0;1;3
09;0;0;3;1;0
06;0;0;2;1;0
00;0;0;0;2;2
youpi;0;1;0;1;1
wouah;1;1;0;1;0
vingt;0;0;0;1;2
versus;0;0;1;1;1
unes;0;0;0;1;2
trente;0;0;1;2;0
pan;0;0;0;1;2
nôtres;0;0;0;3;0
nulles;0;0;1;2;0
mi;0;1;0;0;2
hum;0;1;0;1;1
huit;0;0;1;2;0
htag_hypocrisie;0;0;0;1;2
htag_genocide;0;0;2;1;0
htag_freeukraine;1;1;0;0;1
hourra;0;0;0;1;2
franco;0;1;0;0;2
douze;0;0;0;2;1
dc;0;0;3;0;0
bis;0;1;0;2;0
autrichiens;0;0;0;2;1
auprès;0;0;1;1;1
94;0;0;1;0;2
81;0;0;0;3;0
67000;0;0;2;0;1
4500;0;0;0;3;0
40000;0;1;0;1;1
322;0;0;0;2;1
2050;0;0;0;2;1
2035;0;1;0;2;0
200000;0;0;3;0;0
1988;0;0;2;0;1
1949;0;0;1;1;1
1917;0;0;2;0;1
190;0;0;0;3;0
1848;0;0;0;0;3
181;0;0;3;0;0
147;0;0;2;0;1
132;0;0;2;0;1
125;0;0;1;1;1
1200;0;0;0;3;0
110;0;0;0;2;1
07;0;1;2;0;0
05;0;0;0;3;0
04;0;0;0;2;1
