"";"*rts_a";"*rts_i"
"intéressant";123;111
"entendre";236;166
"son";874;874
"regard";42;26
"homme";949;650
"sa";690;622
"jeunesse";104;29
"réflexion";65;54
"urbain";6;6
"air";181;109
"remonter";22;23
"lol";78;53
"fou";150;137
"image";119;129
"gros";157;279
"problème";276;847
"montrer";116;259
"reconnaître";73;73
"magnifique";98;50
"reportage";150;41
"etait";100;43
"considérer";50;91
"réseau";104;127
"passion";38;18
"excellent";65;66
"vidéo";415;139
"témoignage";50;14
"notre";421;634
"perdre";196;299
"suffire";67;169
"taper";41;48
"nom";281;109
"facebook";4;6
"savoir";1088;1168
"street";8;3
"fils";73;37
"suivre";88;166
"roi";31;21
"roller";6;4
"mère";170;80
"lorsque";58;75
"descendre";19;29
"quelle";386;322
"permettre";133;350
"lien";51;110
"concerner";44;165
"archive";167;0
"haha";47;31
"mort";149;157
"chaud";22;35
"affronter";7;12
"ville";142;258
"emji_visage_avec_bouche_ouverte";213;150
"bus";34;54
"orange";23;11
"sentir";336;479
"partie";170;293
"monter";44;84
"redescendre";6;12
"bord";23;30
"lac";16;17
"mignon";59;7
"naïf";16;22
"temps";775;761
"eux";277;505
"réchauffement";29;51
"climatique";39;118
"repos";13;9
"nourrir";207;65
"soigner";37;79
"visionnaire";11;4
"écouter";190;133
"si";1708;2807
"sage";36;8
"philosophie";33;9
"adulte";115;96
"celui";123;101
"essence";15;22
"assez";150;286
"électrique";20;32
"non";911;1514
"monsieur";260;89
"exactement";146;171
"train";70;162
"emji_visage_qui_pleure";636;485
"écologie";17;40
"multinationale";6;24
"gouvernement";26;125
"emji_visage_rieur";31;1
"vélo";46;86
"toujours";768;715
"exister";401;300
"écolo";8;11
"respecter";107;159
"nature";158;71
"surtout";316;483
"employer";8;27
"difficulté";32;38
"étranger";46;225
"travailler";221;477
"entourer";21;24
"responsable";44;102
"billet";19;113
"lieu";132;296
"raison";355;386
"papier";19;53
"mégot";8;7
"terre";117;127
"remarquer";72;52
"impeccable";8;3
"planter";31;17
"bâton";16;14
"inclure";9;19
"mtn";30;18
"ho";12;8
"ancien";163;53
"mètre";11;13
"véritable";28;36
"intelligence";68;38
"gars";84;81
"écrire";191;286
"parce_que";335;675
"triste";215;202
"ok";102;153
"ca";278;329
"commentaire";385;576
"plusieurs";113;197
"essayer";134;220
"effort";44;96
"hyper";37;44
"sensible";17;18
"différence";107;150
"drôle";49;54
"culturel";20;42
"qqn";9;24
"vouloir";723;1352
"boisson";4;7
"faux";131;297
"important";92;198
"préciser";27;33
"personne";772;1444
"cheveu";55;20
"chouette";36;10
"sujet";143;407
"mr";19;14
"georges";94;1
"niveau";256;378
"élevé";55;76
"post";21;99
"projet";25;116
"logique";56;158
"inventer";60;36
"1967";33;0
"conclusion";13;31
"chef";32;41
"oeuvre";20;54
"génération";223;84
"traiter";82;129
"concernant";22;73
"changement";67;105
"climat";20;98
"vivement";20;33
"emji_visage_de_clown";61;89
"richesse";28;85
"perte";32;91
"garçon";157;19
"sembler";151;182
"information";39;136
"d_abord";17;65
"mémoire";36;39
"lui";510;326
"revenir";169;285
"adorable";55;4
"seulement";123;224
"août";16;8
"férié";10;4
"façon";159;201
"politiquement";7;20
"diviser";15;24
"habiter";73;87
"peuple";33;221
"différents";44;47
"accorder";12;26
"autre";487;588
"enrichir";10;45
"immigration";17;80
"malgré";84;77
"arriver";293;402
"européen";30;128
"situer";8;25
"coeur";154;89
"celle_ci";13;17
"te";384;509
"coucher";29;22
"fonctionner";47;158
"3";169;318
"langue";105;191
"sérieux";55;116
"beaucoup";577;679
"page";24;42
"svp";59;85
"céder";3;17
"médiocrité";1;10
"imaginer";117;165
"utiliser";232;345
"pression";16;52
"jet";9;33
"envoyer";80;110
"décevoir";22;15
"prêt";62;59
"cher";173;342
"posts";4;9
"trouver";516;635
"version";17;15
"long";103;160
"larme";16;3
"oeil";127;145
"bio";23;48
"fondue";12;6
"journée";154;158
"envie";118;135
"empêcher";64;125
"moment";231;344
"ma";593;351
"manquer";225;256
"célèbre";7;7
"culte";15;5
"radio";37;25
"80";143;76
"grimper";5;12
"pilier";6;22
"pont";10;18
"mur";29;39
"fribourg";19;38
"encore";781;992
"escalade";4;9
"artificiel";19;21
"falloir";854;1649
"créatif";11;5
"point";165;334
"faible";19;54
"marcher";68;135
"connaître";540;408
"sympa";78;42
"revoir";70;54
"emji_tête_à_l";46;55
"envers";119;137
"marrant";35;30
"léger";11;11
"ceux";279;604
"crier";33;45
"scandale";15;51
"direct";39;79
"tour";54;59
"chien";90;60
"mauvais";164;208
"singe";16;5
"recevoir";145;123
"certainement";69;66
"amour";167;41
"quotidien";35;64
"cuisinier";7;3
"client";90;59
"demander";369;515
"pousser";41;84
"aberrant";8;21
"selon";65;179
"aucune";132;298
"exprimer";159;67
"bêtement";7;9
"suivant";32;29
"pauvre";241;241
"servir";112;265
"bière";12;8
"métier";131;113
"vie";881;727
"déplacement";6;19
"foutre";113;164
"lier";35;100
"crever";23;36
"emji_coeur_brisé";13;17
"numéro";13;29
"ailleurs";149;270
"étonner";51;122
"maltraiter";21;15
"quantité";18;49
"sucre";15;13
"justement";103;248
"quel";409;395
"chiffre";22;162
"entre";257;491
"1";178;396
"4000";1;11
"menace";5;24
"vendredi";7;4
"13";28;16
"2021";14;12
"mdrrr";24;19
"hein";95;123
"simple";201;214
"efficace";18;45
"bah";152;220
"chanceux";13;5
"ton";303;520
"quoi";535;862
"comprendre";659;876
"éclater";12;13
"signe";23;25
"hauteur";22;29
"veille";8;6
"14";42;28
"tel";46;69
"voix";58;54
"connerie";41;72
"présenter";49;79
"insta";25;32
"emji_se_rouler_par_terre_de_rire";203;273
"tort";25;25
"naître";142;78
"lendemain";25;18
"12";43;62
"mdrr";17;15
"porte";77;119
"malheur";10;9
"lunette";17;9
"soleil";59;26
"protéger";59;189
"profondeur";6;7
"diversité";11;16
"attitude";10;8
"refaire";34;33
"interview";53;14
"passionnant";6;8
"envisager";6;14
"auprès_de";9;20
"e";62;103
"avis";106;210
"esprit";104;77
"nostalgie";38;2
"souvent";127;276
"état";93;372
"catastrophique";11;20
"normalement";17;23
"scandaleux";4;25
"tiers";10;16
"25";47;70
"réparer";5;14
"traumatisme";18;9
"eau";102;141
"terrible";42;26
"cacher";39;90
"développer";40;65
"purée";12;20
"1ere";10;5
"voilà";128;153
"main";100;128
"méthode";63;38
"qd";33;5
"mm";10;10
"violer";8;10
"bébé";40;45
"réflexe";6;13
"naturel";116;55
"balancer";23;41
"choquer";87;51
"moyen";101;296
"cool";49;49
"fille";272;78
"tôt";34;36
"rassurant";7;6
"hélas";36;15
"film";55;63
"résumé";20;16
"rapport";121;232
"fois";330;547
"90";91;51
"aîné";14;7
"maman";83;36
"cours";140;132
"répéter";46;62
"objectif";21;53
"atteindre";30;111
"preuve";86;126
"vivant";97;66
"inutile";51;73
"peur";132;158
"océan";3;10
"également";101;178
"participer";46;86
"spécialiste";10;22
"tant";209;360
"parent";285;192
"confondre";23;63
"poisson";13;11
"emji_visage_boudeur";110;128
"condamner";14;56
"dos";42;51
"insécurité";3;25
"naissance";27;24
"phénomène";19;36
"moteur";27;13
"qq";15;7
"minute";45;58
"nord";30;39
"comment";300;436
"imposer";33;120
"propre";115;201
"idiot";23;12
"horreur";32;38
"technique";39;29
"père";197;70
"jeter";44;65
"bateau";9;37
"mer";14;15
"env";2;9
"mdr";83;122
"instruire";14;3
"bb";7;14
"traumatiser";21;7
"seul";396;519
"buzz";3;9
"emji_pouce_vers_le_haut";84;46
"trois";37;53
"renoncer";7;11
"heureux";236;66
"paradis";33;17
"gentil";118;44
"joli";90;69
"dignité";12;16
"célestin";36;0
"reposer";19;46
"paix";35;78
"sûr";217;302
"place";166;452
"emji_visage_soulagé";78;19
"définir";19;16
"type";82;126
"courir";57;79
"derrière";70;104
"stresser";20;8
"malade";48;70
"finir";163;278
"celle";85;89
"parisien";16;7
"cour";24;3
"conversation";17;15
"excuser";49;56
"mélanger";15;38
"appeler";238;181
"premier";242;289
"moto";25;26
"tomber";117;133
"con";96;31
"nan";34;33
"intéresser";62;93
"bout";62;92
"arrêter";261;581
"blâmer";11;24
"mec";124;104
"putain";17;9
"énergie";35;141
"dégager";9;14
"meuf";27;8
"connaissance";59;57
"agression";17;34
"meme";88;135
"siffler";10;1
"normal";152;239
"insulter";59;46
"société";173;371
"insulte";13;11
"sexisme";10;11
"violence";79;289
"conjugal";3;19
"viol";8;28
"etc";207;398
"bcp";64;94
"télé";43;22
"réalité";71;267
"tik";12;2
"tok";12;2
"cerveau";66;59
"vide";43;46
"propos";95;144
"vérité";96;112
"accepter";71;142
"courage";49;102
"emji_visage_souriant_aux_yeux_rieurs";83;39
"réussir";44;114
"adapter";34;93
"irrespectueux";7;7
"ta";203;279
"vulgaire";12;6
"emji_visage_grimaçant";28;19
"franchise";7;14
"draguer";28;4
"reprocher";13;37
"p";28;46
"déranger";48;89
"agréable";42;17
"expliquer";94;206
"discuter";23;63
"facile";94;166
"emji_visage_souriant_avec_une_goutte_de_sueur";165;145
"spirituel";9;2
"ramasser";19;30
"lever";33;20
"emji_visage_éméché";14;9
"interviewer";31;2
"quelque";115;198
"terriblement";8;6
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";243;67
"jeu";225;73
"typiquement";8;4
"charme";12;3
"ici";141;359
"autant";169;302
"ramener";36;41
"réaction";30;39
"mot";305;198
"comportement";51;64
"signaler";11;18
"plaire";63;66
"plaie";4;10
"parole";80;55
"silence";18;18
"harcèlement";20;33
"rdv";6;10
"faciliter";6;25
"influence";15;25
"expo";6;4
"site";34;62
"parc";11;24
"activité";44;54
"thème";13;8
"commencer";116;275
"ressentir";53;29
"relation";19;59
"mari";68;27
"offrir";69;150
"âme";58;33
"partager";94;119
"riche";80;612
"salaire";65;377
"unir";25;72
"subir";56;91
"résister";5;12
"pire";159;184
"parallèle";9;19
"civil";10;53
"commun";39;96
"adresse";21;25
"couple";50;123
"mesure";21;136
"office";8;24
"foyer";27;53
"condition";39;121
"mariage";38;20
"égal";21;56
"vierge";9;4
"prince";8;11
"moderne";24;30
"éviter";58;178
"marier";49;33
"boîte";59;27
"nuit";58;59
"lire";190;352
"absolument";105;177
"emji_mains_levées";100;99
"rire";67;54
"avance";61;51
"nécessiter";4;11
"talent";24;30
"péjoratif";37;1
"préférer";146;161
"aborder";6;21
"titre";41;104
"propagande";15;4
"info";56;155
"respect";255;153
"côté";164;259
"supposer";21;20
"banaliser";9;17
"compliqué";36;92
"standard";14;13
"beauté";72;20
"fil";23;19
"ainsi";115;139
"impression";86;80
"bonjour";104;58
"michel";10;2
"quels";15;44
"souffrir";44;53
"mme";25;5
"co";22;27
"peine";83;154
"emji_femme_qui_hausse_les_épaules";26;30
"note";20;24
"professeur";64;14
"ennuyeux";8;3
"enseignement";35;9
"anglais";42;47
"italien";44;33
"emji_mains_en_prière";169;78
"uniquement";45;150
"allemand";40;132
"tourner";79;114
"vers";115;128
"caméra";50;32
"grace";4;9
"merde";71;77
"vive";62;76
"valeur";81;138
"moral";14;37
"famille";187;296
"fermer";68;113
"er";8;7
"limiter";22;57
"gosse";74;49
"sinon";110;182
"résumer";8;19
"saint";39;15
"mature";13;0
"ménage";40;61
"éduquer";72;50
"esclave";13;19
"laisser";243;468
"tranquille";30;60
"vaisselle";10;2
"ambition";5;6
"vomir";12;17
"misogynie";9;5
"gamin";114;28
"cuisine";40;17
"apparemment";39;70
"incapable";30;35
"aide";76;173
"évoluer";121;43
"régresser";15;4
"manger";242;197
"habitude";57;70
"inégalité";12;57
"obtenir";27;80
"égalité";34;216
"salarial";11;33
"35";26;24
"maison";183;139
"double";32;49
"tâche";37;28
"ménager";53;9
"course";79;74
"soin";53;114
"divers";8;23
"extérieur";26;23
"infirmier";11;27
"gestion";15;35
"valoir";118;163
"congé";12;50
"mat";8;3
"aise";17;19
"vacance";54;61
"sain";39;32
"misogyne";15;10
"révolu";16;0
"principe";33;92
"débat";35;140
"stérile";4;10
"compenser";6;24
"déplaire";16;17
"partisan";3;12
"fameux";26;52
"progrès";23;24
"catastrophe";34;50
"continuer";126;315
"enfance";77;21
"2005";14;6
"2008";15;7
"jouer";298;175
"guerre";87;129
"journal";34;29
"boulot";71;63
"répartir";4;8
"préjugé";9;9
"mêmes";92;186
"heure";184;223
"actuel";129;125
"familial";19;38
"conserver";9;8
"dès";74;119
"âge";204;89
"liberté";84;194
"humanité";64;107
"auparavant";5;8
"emji_tête_de_fou";14;22
"généralisé";8;5
"évoquer";10;14
"fait";25;138
"historique";22;46
"accord";201;380
"emji_visage_qui_vomit";13;26
"abandonner";29;29
"repas";34;32
"carrière";20;29
"cest";75;82
"désolant";3;7
"féministe";43;48
"gauche";68;362
"innocent";10;18
"maquiller";8;4
"ouais";54;89
"8";92;67
"trans";5;13
"évolution";56;22
"internet";91;62
"retourner";71;67
"pote";31;26
"tenter";19;53
"extrême";36;212
"bobo";15;8
"simplement";144;273
"raisonnement";33;42
"débattre";11;41
"ect";27;27
"dessus";77;112
"fermeture";9;9
"dont";132;235
"cul";7;20
"occuper";95;160
"insultant";11;11
"moindre";26;59
"désaccord";5;5
"leçon";63;31
"morale";18;44
"story";9;4
"boomer";20;5
"excellence";4;8
"ahah";10;8
"euh";20;28
"source";40;174
"légal";19;60
"sérieusement";19;51
"amalgame";10;4
"rarement";26;18
"soumettre";31;28
"heureusement";144;103
"annees";8;2
"lucidité";7;3
"particulièrement";29;8
"toucher";73;163
"personnel";49;138
"recherche";37;79
"honnête";18;31
"vice";6;8
"interdire";116;188
"pur";45;50
"perfection";7;4
"alcoolique";16;2
"cesse";15;21
"boire";38;41
"fond";100;82
"constamment";10;16
"verre";51;19
"endroit";76;86
"ensemble";66;83
"discussion";19;45
"possible";117;201
"totalité";5;13
"télévision";29;10
"remarquable";7;5
"subtil";12;2
"journaliste";115;78
"touchant";55;5
"journalisme";7;22
"somme";13;29
"fumée";12;23
"cigarette";14;35
"alcool";32;57
"mortel";6;23
"doux";50;23
"doc";8;2
"impossible";50;63
"abuser";18;41
"lucide";13;10
"sincère";28;13
"george";24;2
"vin";12;31
"qualité";74;134
"forcément";64;106
"nu";29;23
"merveille";12;6
"puissance";27;16
"fuite";8;16
"bouffe";16;13
"cf";4;25
"4";92;227
"clé";15;23
"ressembler";42;38
"entretien";9;25
"face";57;139
"dépression";10;26
"tristesse";59;32
"ceci";39;46
"psy";16;29
"générosité";8;3
"ouvrir";104;206
"appel";19;32
"clair";63;106
"pépite";9;2
"solitude";22;30
"effet";87;187
"interroger";21;15
"respectueux";55;29
"bel";23;25
"souligner";14;22
"force";67;178
"livrer";12;5
"empathie";15;48
"facilité";6;23
"élocution";33;0
"répondre";193;202
"quelqu_un";110;182
"instruit";10;5
"probablement";48;67
"conseiller";22;75
"consulter";13;27
"emji_visage_qui_fait_un_câlin";52;28
"bois";43;30
"douleur";14;11
"retrouver";152;173
"parmi";22;44
"saluer";6;11
"franc";103;100
"chapeau";26;14
"profond";26;27
"plupart";62;112
"concurrence";15;20
"second";15;11
"dimension";7;8
"lumière";38;44
"privé";40;139
"5";103;232
"goûter";12;12
"hors";53;122
"intérieur";33;37
"puisque";43;75
"caractère";14;7
"certe";7;5
"allah";12;5
"dépendre";59;76
"conscience";59;86
"perso";63;86
"divin";14;6
"prévenir";10;19
"intime";5;5
"physiquement";15;13
"pendant";169;263
"seconde";41;39
"albert";7;4
"théorie";18;42
"certain";63;92
"réel";57;145
"paraître";50;64
"possession";7;8
"ironie";8;24
"mâle";11;7
"apparaître";19;27
"meurtre";5;18
"violent";36;78
"psychologie";4;6
"élément";13;42
"perturbateur";7;4
"prédateur";18;10
"sexuel";28;33
"créer";128;256
"appareil";15;12
"contacter";6;18
"autrement";26;46
"concept";29;51
"indicateur";3;8
"enterrer";14;7
"emji_biceps_contracté";25;32
"description";5;17
"suite";91;95
"redonner";9;14
"confiance";34;50
"merveilleux";53;14
"machine";39;52
"auto";21;19
"détruire";73;117
"passionner";13;3
"curieux";33;19
"forêt";39;29
"montagne";53;44
"couvrir";15;53
"neige";34;35
"date";110;32
"1940";7;4
"1945";7;4
"tribune";13;8
"lausannois";4;10
"réunir";16;20
"article";38;324
"ouvrage";12;9
"tirer";76;61
"2000";85;53
"centrale";7;17
"bibliothèque";6;6
"décès";6;13
"mouvement";36;52
"défense";15;37
"édition";12;12
"texte";25;38
"arbre";67;24
"paysan";22;7
"réjouir";14;51
"préféré";9;7
"passage";51;58
"secret";27;26
"mentionner";15;76
"vaudois";17;17
"mini";10;13
"inapproprié";5;6
"personnalité";13;15
"mériter";55;162
"marquer";24;23
"cinéma";25;39
"durant";29;51
"6";68;128
"entier";56;113
"renseignement";5;6
"aider";105;325
"toutes";298;356
"boucle";15;11
"oreille";54;15
"droite";48;344
"ouverture";16;29
"porter";110;108
"million";46;334
"dépenser";19;77
"armée";29;196
"peau";57;57
"aucun";183;353
"loi";63;272
"fléau";10;17
"emmerder";16;3
"piéton";26;26
"pied";91;71
"courant";48;68
"sauter";56;43
"vision";45;54
"effectivement";104;109
"rendre";231;331
"hôpital";23;81
"rouler";56;70
"autoroute";17;56
"pourtant";163;212
"courageux";17;21
"anonyme";6;14
"tsr";12;2
"émission";87;53
"inoubliable";9;1
"vert";19;49
"facteur";16;31
"or";37;72
"pâte";7;6
"fruit";36;53
"étoile";16;6
"emji_étoile_brillante";17;1
"quartier";32;39
"devant";103;97
"cadeau";105;96
"victime";46;141
"bouffer";23;13
"vitesse";23;64
"hallucinant";11;13
"créateur";31;18
"30";88;137
"prénom";18;4
"cycle";26;10
"renard";230;3
"longtemps";113;104
"attendre";143;249
"diffusion";6;7
"tv";36;20
"1980";25;4
"pari";49;34
"majeur";7;33
"0";34;111
"co2";14;22
"rappeler";134;130
"dimanche";119;80
"écologiste";5;6
"2h";7;10
"travail";205;686
"transport";34;102
"public";79;313
"franchement";75;160
"racheter";13;8
"affaire";28;83
"gâchis";6;5
"casser";44;96
"écologique";23;48
"1950";9;4
"village";69;33
"pratique";73;64
"chanter";27;9
"matin";72;61
"epoque";19;3
"reproduction";7;6
"échelle";16;44
"élevage";21;18
"horrible";45;32
"animal";436;264
"agriculteur";13;7
"emji_visage_déçu";24;17
"emji_visage_démoralisé_avec_goutte_de_sueur";16;17
"superbe";16;10
"eh";34;42
"abattre";16;6
"souffrance";17;44
"lors";35;81
"condescendant";8;9
"patriarcal";9;13
"mi";11;2
"parfaire";38;43
"cause";144;327
"honte";103;189
"ensuite";72;165
"situation";70;224
"rente";5;17
"retraite";48;93
"combat";40;57
"lit";15;33
"21";12;16
"h";28;60
"épuiser";8;18
"emji_visage_roulant_des_yeux";149;157
"responsabilité";30;101
"sous";134;284
"forme";63;99
"route";64;159
"parfait";26;28
"droit";199;431
"marathon";11;11
"1971";10;1
"glisser";12;9
"masculin";28;27
"épreuve";7;7
"officiellement";7;8
"dommage";179;129
"policier";24;170
"morges";2;9
"domestique";22;40
"surprise";18;43
"commettre";7;36
"inconnu";22;17
"schéma";7;13
"extrêmement";35;54
"différent";89;98
"conjoint";7;21
"parvenir";5;9
"défendre";31;191
"agresser";15;21
"compagnon";22;7
"danger";26;96
"multiple";14;21
"sac";53;28
"emji_visage_avec_des_symboles_dans_la_bouche";27;62
"ride";6;4
"nouvelle";50;167
"population";94;314
"emji_visage_implorant";30;6
"emji_visage_épuisé";10;25
"sentiment";31;30
"colère";10;20
"survivre";31;41
"conseil";18;95
"coach";8;10
"admirable";17;3
"emji_étincelles";40;23
"abe";8;23
"produit";62;141
"livre";103;90
"recette";8;43
"étonnant";28;61
"zombie";4;6
"décider";53;103
"rigolo";11;10
"tuer";108;152
"ah";245;272
"julien";20;2
"raconter";74;46
"accent";52;7
"contemporain";8;4
"top";57;69
"désolé";53;58
"obliger";63;134
"terrifiant";8;4
"emji_visage_souriant";71;32
"ch";13;36
"pub";22;45
"variété";9;5
"go";5;9
"emji_visage_avec_un_doigt_sur_la_bouche";15;13
"emji_visage_souriant_avec_auréole";22;22
"emji_visage_avec_fumée_sortant_des_narines";18;42
"emji_biceps_contracté_peau_moyennement_claire";6;4
"méchant";70;33
"craindre";23;14
"enseignant";71;26
"idée";150;327
"gâcher";8;6
"élastique";110;1
"surpoids";9;7
"soirée";38;23
"écran";63;17
"neurone";11;17
"connecter";10;6
"bientôt";46;86
"concours";31;23
"wesh";95;0
"madame";209;61
