"";"*rts_a";"*rts_i"
"énergie";6;17
"repos";9;5
"léman";7;18
"htag_lacleman";10;0
"beau";38;25
"rassembler";11;14
"vieux";12;15
"ville";21;92
"genève";54;158
"croire";11;5
"dieu";8;4
"fribourg";12;32
"vaud";7;35
"neuchâtel";6;34
"valoir";18;36
"question";34;31
"toute";25;60
"htag_enfant";14;0
"assurer";4;46
"rien";22;11
"mieux";34;22
"gare";7;15
"monsieur";22;1
"petit";121;51
"démonstration";7;3
"défense";1;25
"1974";13;1
"sexe";8;8
"dire";40;46
"faible";2;11
"quelques";36;43
"mouvement";8;26
"face";15;131
"train";12;55
"2005";9;3
"cff";4;35
"introduire";2;15
"interdiction";5;21
"leurs";30;110
"finir";9;23
"cigarette";6;7
"vraiment";13;15
"cuisine";12;1
"partager";20;34
"secret";20;7
"nombreux";30;62
"travers";9;25
"journal";11;15
"livre";7;17
"même";29;125
"personne";18;233
"jamais";19;30
"rencontrer";9;15
"complet";18;56
"drôle";12;1
"métier";21;3
"avis";18;11
"attendre";12;68
"htag_insolite";14;0
"trop";29;29
"cher";7;11
"bus";3;9
"depuis";48;195
"transport";7;27
"adapter";4;33
"rythme";4;8
"plutôt";21;17
"quelle";10;4
"tv";11;4
"regarder";6;10
"tant";7;24
"encore";38;120
"emji_ballon_de_football";6;36
"16";8;46
"novembre";8;120
"affronter";8;17
"chez";22;70
"elle";71;261
"lors";23;141
"match";16;41
"barrage";1;12
"mondial";11;114
"2006";6;5
"foot";7;8
"michel";12;4
"ex";3;8
"nati";9;18
"arrivée";5;31
"équipe";21;94
"aussi";43;111
"garder";6;27
"envers";4;15
"époque";13;10
"dès";15;91
"aéroport";5;17
"ancien";8;60
"attente";1;13
"car";7;25
"genevois";21;26
"revenir";15;53
"détail";3;17
"tous";78;65
"moyen";8;24
"mettre";26;196
"place";23;123
"48";1;18
"tard";25;18
"stade";6;12
"homme";40;99
"réussir";11;26
"gérer";4;16
"pression";1;30
"malgré";9;89
"défaite";1;9
"4";12;90
"helvète";5;6
"valider";1;15
"leur";79;218
"qualification";1;16
"but";4;44
"quatre";5;66
"jour";43;154
"avant";38;132
"imposer";4;37
"0";2;46
"emji_tête_qui_parle";2;9
"coup";12;24
"final";8;33
"joueur";16;43
"quitter";4;27
"terrain";7;11
"éviter";11;43
"entrée";4;25
"mener";5;58
"réseau";1;71
"social";3;101
"tour";18;41
"sanction";1;12
"fédération";1;12
"largement";1;24
"recevoir";4;44
"estimer";4;60
"emji_main_avec_index_pointant_à_droite";2;188
"interview";8;11
"disponible";4;19
"site";6;52
"application";4;28
"sport";22;59
"julie";4;6
"source";4;28
"htag_repack";2;20
"htag_football";19;36
"conseil";15;139
"sécurité";8;83
"onu";1;30
"voter";4;17
"lundi";12;83
"plan";2;58
"paix";6;30
"donald";1;65
"trump";1;83
"gaza";2;70
"prévoir";6;137
"force";7;45
"mot";20;16
"bien";85;149
"manifestation";2;48
"rassemblement";1;9
"récent";2;15
"cessez_le_feu";1;43
"exiger";3;11
"guerre";9;48
"terme";5;32
"moins";23;122
"revendiquer";3;9
"auparavant";2;9
"signe";6;13
"client";5;13
"lausannois";15;5
"disposer";2;15
"salle";10;10
"eau";19;36
"ils";53;98
"rendre";14;75
"visite";2;18
"dame";9;2
"veille";6;7
"toilette";3;7
"bain";8;17
"st";5;14
"françois";6;9
"htag_lausanne";20;1
"pourquoi";22;20
"marier";11;7
"salon";9;3
"mariage";8;3
"amener";4;6
"union";3;18
"htag_love";19;0
"association";4;68
"contre";24;197
"abus";2;13
"dénoncer";4;46
"voiture";24;22
"port";1;9
"obligatoire";8;22
"selon";10;263
"société";10;34
"tuer";3;34
"liberté";12;16
"bientôt";4;14
"interdire";5;24
"individu";2;20
"sortir";16;44
"sans";56;161
"1";56;123
"entre";39;230
"parent";11;20
"rentrer";6;6
"soirée";14;16
"vivre";25;30
"rencontre";38;48
"suivre";31;67
"qualifier";1;20
"tôt";2;22
"pouvoir";39;360
"parler";23;26
"importer";7;4
"quel";19;5
"ajouter";1;48
"nyon";7;5
"temps";53;79
"projection";14;7
"inviter";13;18
"plonger";7;11
"programme";11;20
"regard";13;8
"événement";14;61
"quotidien";14;32
"portrait";10;6
"témoignage";15;7
"actuel";3;30
"inédit";2;25
"rendez_vous";2;8
"théâtre";3;18
"19";3;35
"inscrire";4;45
"chanter";11;5
"claude";11;1
"bel";10;3
"seul";12;54
"htag_humour";32;0
"miracle";90;2
"montrer";7;65
"1967";11;0
"ouvrier";5;9
"exprimer";7;40
"fort";11;50
"époux";5;10
"profession";8;3
"clip";45;3
"plein";65;40
"diffuser";51;15
"samedi";49;65
"18h45";43;0
"htag_miraclesuisse";45;0
"htag_madeinswitzerland";44;0
"htag_suissitude";40;0
"20";14;81
"catégorie";1;18
"réaliser";10;45
"exploit";3;10
"occasion";32;24
"moment";14;34
"bernard";8;2
"jacques";9;1
"emji_feu";2;17
"aucun";5;32
"risque";4;68
"contenir";2;26
"23";1;26
"point";9;60
"classement";2;24
"général";3;44
"ensemble";1;20
"5";12;119
"philippe";9;19
"donc";8;48
"emji_trophée";2;13
"bernois";3;24
"ainsi";11;135
"rejoindre";6;25
"pilote";8;20
"fois";23;89
"suite";5;68
"1985";13;1
"trois";9;114
"1966";14;1
"emji_appareil_photo_avec_flash";3;191
"keystone";2;544
"gens";3;12
"propre";16;15
"couple";10;8
"américain";6;116
"voyage";20;10
"donner";20;48
"dossier";7;31
"ordre";5;23
"htag_switzerland";17;1
"occuper";10;16
"htag_commeunlundi";12;0
"style";12;6
"chaussette";10;1
"simple";15;14
"mode";26;17
"commun";9;49
"identité";2;11
"apprendre";9;11
"peu";33;55
"vaudois";26;57
"directeur";1;52
"pratique";6;29
"passion";25;5
"45";3;13
"1994";11;6
"tsr";16;1
"30";23;62
"changer";14;21
"particulier";8;9
"non";16;81
"aimer";47;5
"poser";6;16
"htag_kids";28;0
"mort";12;74
"médecin";8;23
"craindre";5;18
"terre";13;18
"parcourir";7;6
"compter";5;16
"étude";2;85
"spécial";12;21
"htag_invention";10;0
"léger";2;8
"solution";9;24
"1992";9;4
"présent";16;24
"ma";8;6
"plusieurs";10;120
"pendant";12;49
"préparation";3;10
"parmi";8;60
"froid";14;27
"facile";8;2
"outre";2;12
"règle";6;14
"manquer";14;39
"logement";3;12
"développer";4;17
"fond";10;5
"pénurie";1;10
"ceux";40;37
"appeler";15;60
"maurice";1;9
"parce_que";7;7
"sensible";7;6
"maison";16;30
"entier";8;16
"compte";17;48
"fou";11;3
"manger";10;7
"dimanche";4;83
"genre";6;9
"soir";11;50
"écran";6;11
"comme";39;323
"état";6;116
"civil";6;33
"personnage";5;6
"25";5;45
"apparaître";3;10
"nom";6;34
"particulièrement";2;34
"exister";10;16
"lausanne";32;88
"côté";9;45
"femme";44;123
"autre";3;59
"armée";18;53
"oeuf";3;7
"école";24;39
"laurent";4;48
"retourner";6;8
"élève";7;21
"enseignant";3;13
"htag_ecole";14;0
"traditionnel";6;25
"glisser";10;3
"sous";25;103
"épreuve";5;11
"ouvrir";13;69
"alcool";7;11
"domaine";1;18
"famille";18;51
"vin";15;17
"devant";17;44
"caméra";10;15
"1969";11;0
"fils";7;9
"jean";28;79
"là";11;20
"2009";4;7
"bande";3;32
"main";9;20
"objectif";3;46
"record";8;61
"personnel";3;23
"maintenir";1;22
"corps";14;22
"esprit";12;12
"forme";4;29
"fc";5;7
"rare";4;19
"spécialiste";8;17
"intervention";2;31
"alain";7;5
"responsable";2;31
"stratégie";1;26
"sportif";9;18
"sarah";2;9
"journaliste";18;25
"président";8;113
"jeudi";3;93
"9";6;44
"octobre";3;76
"débat";5;41
"cinéma";20;21
"durée";1;12
"90";12;21
"minute";14;49
"emji_symbole_d_avertissement";1;24
"gratuit";1;12
"inscription";4;9
"ch";3;34
"emji_étincelles";1;12
"fruit";2;13
"collaboration";2;18
"part";5;32
"vacance";27;6
"voie";5;18
"poste";5;50
"service";7;96
"animal";15;63
"facteur";3;13
"b";1;10
"supprimer";2;20
"2016";2;13
"vrai";10;8
"chaque";15;71
"offrir";10;104
"retraité";8;2
"émotion";10;11
"jeunesse";15;6
"ambiance";17;9
"télévision";31;12
"parole";8;16
"manière";9;22
"eux";9;23
"scène";4;34
"comédien";14;2
"travailler";9;22
"adolescent";12;13
"acteur";7;31
"1960";6;5
"décéder";4;21
"film";12;34
"paul";3;9
"22";9;30
"début";20;62
"effet";5;66
"1984";7;5
"déjà";27;124
"polémique";3;14
"citoyen";5;24
"représentant";4;15
"défendre";3;25
"espèce";1;46
"menacer";3;25
"entendre";6;13
"avenir";3;21
"canton";13;124
"htag_valais";20;0
"affaire";8;49
"faute";4;6
"cet";48;96
"13";6;33
"septembre";3;24
"vevey";2;8
"national";11;107
"choc";1;9
"action";3;34
"geste";5;12
"conduire";4;14
"hôpital";1;35
"tomber";7;12
"genou";2;11
"gauche";3;42
"toucher";3;65
"décider";4;35
"saisir";1;9
"justice";2;40
"réunir";9;33
"plateau";15;6
"tell";9;2
"légendaire";9;7
"emji_balance_à_poids";1;29
"commettre";1;9
"football";12;26
"juger";3;52
"tribunal";1;23
"également";9;156
"cadre";1;37
"procès";1;21
"juin";11;23
"1987";15;2
"condamner";2;15
"causer";1;39
"devoir";21;211
"payer";5;14
"amende";2;16
"franc";9;114
"htag_sportxinfo";1;60
"fédéral";10;123
"500";1;20
"j";38;24
"avion";9;15
"sûr";6;10
"ligne";3;77
"capitaine";3;9
"f";1;10
"18";5;47
"porte";7;31
"répondre";10;32
"document";9;15
"htag_armeesuisse";10;0
"achat";2;18
"magazine";2;14
"présenter";20;49
"emploi";3;23
"100";11;42
"gagner";7;23
"elles";17;62
"38";3;13
"travailleur";3;24
"ni";13;28
"sourire";8;3
"fille";14;19
"revue";4;6
"17";3;27
"choisir";13;27
"rêve";13;9
"htag_voiture";14;0
"peine";2;21
"matin";18;39
"préparer";7;24
"appétit";9;1
"star";5;15
"christian";5;71
"puis";9;21
"vers";4;70
"dizaine";2;21
"art";15;31
"humour";9;2
"blanc";18;18
"bas";6;23
"faux";4;21
"htag_mode";11;0
"reposer";5;10
"helvétique";11;14
"déployer";2;14
"trésor";4;6
"préférer";10;10
"court";2;10
"madame";19;1
"tête";16;29
"htag_vieillesse";11;0
"durant";16;40
"laquelle";3;10
"60";17;28
"lieu";8;66
"accent";9;1
"chercheur";1;28
"or";8;23
"acheter";2;11
"bord";5;11
"rêver";10;1
"travail";20;92
"vallée";6;6
"pointe";2;9
"vitesse";5;13
"garantir";5;22
"recueillir";4;13
"abandonner";2;13
"malade";6;9
"presque";6;21
"porter";8;34
"fameux";6;6
"mythique";9;9
"valaisan";10;5
"fidèle";3;11
"vélomoteur";11;0
"symbole";4;13
"génération";10;13
"htag_eighties";25;0
"routier";4;10
"jeu";28;31
"autorité";1;64
"policier";3;29
"85";2;9
"lac";13;11
"accueillir";8;46
"haut";15;48
"couleur";7;21
"pierre";8;19
"familial";4;7
"univers";3;13
"radio";17;13
"vert";8;43
"démarrer";6;4
"coeur";14;29
"saint";15;40
"37";2;12
"reprise";2;15
"journée";28;48
"lever";10;11
"niveau";2;57
"habitant";8;55
"htag_geneve";21;7
"participer";7;51
"concours";10;18
"premier";42;287
"apparition";5;6
"tenter";7;17
"disparition";3;12
"témoigner";12;19
"changement";6;43
"village";17;27
"filmer";6;4
"participant";2;19
"e";4;44
"soleil";24;7
"plage";6;8
"santé";14;86
"70";13;28
"varié";4;7
"frère";3;13
"carte";8;24
"perspective";1;10
"htag_vacances";19;0
"florilège";12;0
"août";4;12
"revoir";6;9
"visage";3;7
"euro";5;39
"féminin";13;18
"2025";7;115
"juste";9;16
"incroyable";7;8
"battre";5;36
"espagne";2;18
"tir";3;10
"score";1;15
"compétition";5;20
"ressentir";2;8
"chant";6;6
"quelque";15;17
"chose";19;16
"façon";7;5
"dont";10;123
"représenter";4;32
"tournoi";1;13
"café";8;10
"pain";8;6
"difficile";12;32
"cas";11;68
"chaud";4;12
"montagne";12;15
"reine";3;7
"htag_valaiswallis";12;0
"paléo";10;3
"festival";24;15
"new";5;28
"york";4;18
"marque";3;36
"oublier";15;6
"jusqu_à";4;96
"évoquer";21;28
"sentiment";4;11
"partout";3;7
"fermer";4;38
"instant";2;11
"montreux";9;9
"the";3;40
"of";1;13
"endroit";2;9
"installer";10;25
"distinguer";1;10
"amateur";6;15
"assister";3;10
"doute";7;14
"ici";8;51
"voler";2;10
"départ";5;31
"stress";3;14
"partenaire";5;15
"10";11;81
"servir";12;14
"beaucoup";12;25
"différence";4;20
"1990";18;7
"qualité";5;20
"surtout";11;33
"28";1;26
"2021";1;23
"musique";24;30
"chaîne";3;29
"youtube";3;8
"parcours";4;24
"format";4;6
"venir";23;54
"compléter";1;11
"emji_caméscope";4;151
"concevoir";2;13
"principalement";4;13
"explorer";2;22
"sujet";1;39
"actualité";10;7
"lumière";5;33
"autour";11;30
"vive";9;2
"milieu";10;27
"scolaire";7;10
"bois";8;13
"besoin";2;37
"chaux";6;6
"négatif";1;12
"pied";8;12
"prêt";21;18
"électrique";3;8
"26";1;20
"route";11;26
"actif";4;15
"caractère";3;8
"rire";17;1
"jouer";11;41
"chemin";9;6
"physique";8;18
"important";8;59
"ampleur";1;10
"festif";5;7
"foule";5;9
"édition";7;44
"dérouler";2;21
"vendredi";7;68
"toutes";14;35
"celles";8;23
"période";4;25
"examen";4;19
"soin";4;24
"discipline";6;9
"étudiant";4;20
"bien_être";1;9
"photo";2;95
"chambre";1;15
"peau";5;7
"sol";6;14
"aider";5;22
"moi";24;4
"jardin";7;10
"finalement";4;13
"tabac";6;10
"passionné";5;6
"cacher";4;14
"considérer";1;40
"grave";3;31
"accident";3;33
"nucléaire";2;9
"intérieur";1;20
"centrale";3;14
"21";2;26
"janvier";2;45
"vd";1;14
"nouvel";6;29
"épisode";9;8
"série";8;33
"essentiel";5;32
"courir";7;15
"clair";5;24
"informer";3;14
"rapidement";8;14
"immense";6;9
"naître";9;27
"bout";5;8
"htag_culte";14;0
"europe";7;42
"29";2;19
"club";11;16
"provoquer";4;27
"violence";2;72
"réagir";2;12
"documentaire";5;6
"récit";5;6
"témoin";3;10
"noir";5;19
"86";2;10
"cédric";1;10
"demander";7;94
"éducation";5;8
"sexuel";6;40
"romands";12;13
"anti";1;11
"roi";9;11
"siècle";9;12
"inspirer";6;26
"artiste";8;41
"nuit";12;61
"neige";17;41
"1988";9;3
"eurovision";4;9
"mois";14;72
"remporter";5;49
"sélection";1;14
"nature";12;17
"julien";4;9
"poursuivre";3;47
"plante";7;7
"entourer";7;3
"htag_nature";11;4
"7";6;58
"chien";11;10
"fabriquer";4;6
"maman";4;7
"mère";7;10
"me";12;14
"coûter";2;11
"1980";11;2
"abri";9;13
"renoncer";2;15
"souvent";6;71
"mauvais";7;11
"menace";3;22
"condition";4;49
"6";8;79
"telle";3;7
"objet";5;32
"projet";3;121
"urbain";6;9
"construction";4;8
"12";7;29
"emblématique";4;24
"nocturne";3;10
"genevoise";7;17
"culture";5;21
"identifier";1;35
"adepte";14;1
"comprendre";8;42
"hommage";1;15
"exceptionnel";3;21
"désormais";4;80
"humain";4;45
"htag_chanson";11;0
"tirer";3;16
"week_end";4;35
"forêt";1;16
"entraîner";5;34
"arbre";5;17
"spécialiser";1;10
"choix";7;16
"destiner";1;12
"d_abord";4;14
"doux";5;9
"tempête";3;19
"vent";5;15
"violent";2;23
"spectaculaire";3;8
"pluie";4;17
"capturer";1;10
"maintenant";4;19
"vague";6;11
"jusqu_au";2;15
"progrès";2;11
"machine";2;8
"printemps";4;13
"pousser";7;17
"problème";6;33
"htag_amour";20;0
"magasin";6;13
"rose";4;10
"frais";3;16
"téléspectateur";8;2
"marché";4;46
"boîte";7;7
"possible";5;26
"vente";3;36
"nicolas";3;23
"32";1;17
"écrivain";4;10
"reconnaissance";1;12
"combat";2;16
"matière";4;17
"tendance";4;29
"goût";7;3
"exemple";6;24
"comportement";3;18
"voisin";5;14
"français";18;75
"organiser";6;34
"marathon";5;5
"1981";10;0
"delémont";1;18
"espérer";5;35
"moitié";2;32
"attention";17;9
"libre";3;7
"enfin";7;5
"droit";16;76
"vote";4;30
"article";4;27
"code";3;10
"chef";4;30
"verre";5;5
"courant";4;14
"produire";5;32
"consommer";2;9
"enquête";3;76
"domicile";4;18
"permettre";12;138
"nécessaire";2;25
"ménage";7;15
"humanité";3;13
"2030";1;11
"catastrophe";3;8
"bâtiment";2;19
"confier";5;15
"charles";4;9
"studio";3;12
"appareil";2;9
"aérien";3;23
"quartier";3;9
"au_dessus";4;13
"véhicule";3;27
"bureau";4;16
"voyageur";4;18
"simplement";7;5
"chanteur";7;11
"britannique";1;14
"phénomène";8;41
"htag_2000s";35;0
"htag_danse";10;0
"retirer";2;14
"air";10;16
"camp";5;6
"htag_snow";11;1
"chacun";8;11
"htag_hiver";18;0
"adulte";2;23
"relever";2;20
"défi";5;32
"soulever";3;17
"preuve";6;20
"déclarer";4;74
"sensation";3;11
"plateforme";1;22
"géant";2;40
"information";4;34
"évolution";5;27
"impact";1;47
"matériel";1;13
"évoluer";4;11
"htag_montagne";10;0
"laisser";18;31
"capable";1;13
"loin";11;17
"artistique";2;12
"stéphane";2;17
"étape";7;22
"téléphone";8;5
"culte";5;6
"restaurant";3;9
"1999";10;2
"celui";9;28
"mercredi";2;64
"février";4;19
"tester";1;16
"lorsqu";3;18
"valeur";1;23
"reconnaître";3;35
"cliché";3;9
"futur";4;29
"alpe";3;8
"fonds";5;27
"fondue";10;4
"kilo";3;10
"bras";7;7
"membre";2;53
"lutte";3;24
"neuchâtelois";5;9
"sembler";14;16
"drone";1;14
"suffire";3;7
"recommander";2;20
"soldat";7;11
"tenue";3;13
"sortie";6;16
"militaire";6;34
"moderne";3;10
"juillet";6;12
"illégal";3;16
"hiver";12;39
"rapport";5;66
"révéler";3;93
"banque";5;10
"officiel";3;37
"afp";1;167
"jouet";8;3
"joie";7;4
"allemand";4;17
"accès";2;35
"discours";3;21
"conseiller";4;50
"envoyer";4;14
"message";6;20
"voix";3;53
"mars";5;28
"moniteur";6;5
"rouge";9;29
"touchant";4;6
"chance";12;17
"christophe";1;66
"hésiter";8;4
"mal";6;16
"remettre";3;20
"aide";6;46
"midi";4;26
"remonter";6;17
"électronique";1;19
"2024";2;82
"strict";2;8
"organisation";2;57
"vite";3;14
"internet";6;11
"micro";6;8
"htag_enfants";15;0
"ami";9;5
"influence";1;12
"accord";1;61
"rock";6;4
"classique";4;9
"htag_vaud";14;0
"pari";9;43
"glacier";2;11
"dos";7;3
"annonce";8;49
"appliquer";1;10
"méthode";7;13
"htag_meteo";10;1
"ciel";5;9
"réalisateur";10;4
"étranger";3;35
"entretien";5;14
"martin";6;33
"table";10;4
"patrick";1;11
"dormir";4;6
"agent";5;17
"police";4;99
"fermeture";2;14
"36";2;8
"figure";6;29
"appel";5;34
"1er";2;38
"parc";2;11
"débuter";1;19
"htag_retro";24;0
"aventure";8;9
"confort";4;6
"cave";2;10
"groupe";6;112
"dédier";5;13
"pièce";6;23
"consacrer";7;8
"vingt";1;13
"automne";15;13
"évacuer";1;11
"convaincre";3;9
"différents";2;10
"transporter";3;11
"importance";1;56
"pourtant";11;22
"reprendre";5;26
"numéro";5;14
"bénévole";2;10
"photographie";1;10
"dévoiler";3;20
"72";2;11
"prix";12;87
"obtenir";1;36
"célébrer";4;14
"indépendance";3;7
"kosovo";1;16
"double";4;21
"info";6;427
"envie";10;3
"champignon";3;8
"contrôler";1;13
"nu";6;8
"refuser";1;22
"votation";1;9
"congé";4;7
"vétérinaire";1;11
"six";1;29
"interroger";7;21
"professeur";6;15
"principal";3;28
"complexe";2;17
"recours";2;17
"esthétique";1;9
"automobile";5;5
"origine";2;29
"percevoir";1;13
"casque";1;10
"cinquième";1;10
"bleu";4;8
"ours";1;10
"parisien";2;8
"tourner";5;10
"échapper";6;5
"top";3;12
"enjeu";2;12
"1989";8;2
"faciliter";1;17
"technique";7;17
"dater";2;9
"swiss";4;17
"touriste";1;11
"risquer";2;15
"contrôle";3;34
"nouvelle";10;94
"secours";3;15
"2001";4;7
"championnat";8;15
"berner";2;36
"campagne";7;46
"sein";3;18
"300";2;30
"zurich";4;53
"trajet";1;20
"maillot";6;7
"htag_summer";11;0
"limite";2;18
"découverte";5;28
"extrême";2;26
"adopter";4;31
"volonté";3;10
"intense";2;12
"solaire";3;10
"collection";1;12
"comité";1;21
"billet";5;45
"htag_musique";11;0
"célèbre";6;38
"libérer";2;16
"presse";2;23
"daniel";3;12
"robert";2;11
"victime";2;69
"démocrate";1;20
"européen";1;67
"prestigieux";1;15
"jury";2;10
"surface";1;10
"martial";1;31
"susciter";5;40
"patient";3;20
"cause";2;42
"annoncer";3;138
"direct";2;32
"conférence";2;13
"disparaître";3;21
"italie";2;18
"clé";1;16
"derrière";5;20
"nécessité";2;18
"frapper";2;51
"nombre";1;71
"boire";6;4
"repas";5;9
"surprise";4;8
"sud";1;35
"france";6;69
"pollution";4;9
"cycle";3;11
"envisager";1;17
"planète";3;9
"mobiliser";2;17
"égalité";2;8
"htag_femme";17;0
"communication";3;10
"communauté";4;19
"opération";1;27
"expérience";9;38
"moteur";4;6
"institut";1;17
"rétro";11;0
"prouver";2;11
"htag_animaux";7;4
"toi";2;12
"salaire";3;22
"préoccupation";1;15
"peuple";2;16
"supporter";2;24
"titre";3;51
"mi";4;8
"déclaration";3;11
"circuler";4;15
"conflit";1;28
"usage";2;14
"déplacement";1;13
"privé";3;29
"appartenir";2;9
"préserver";1;17
"zone";1;53
"discuter";2;8
"ouverture";2;31
"cité";3;9
"mardi";1;66
"avril";5;15
"curieux";6;4
"scientifique";2;30
"quant";2;22
"utilisation";1;19
"acte";1;27
"enregistrer";1;42
"19h30";2;9
"centaine";3;20
"grève";4;12
"paraître";6;5
"alimentaire";1;25
"perdre";3;29
"nation";1;11
"survivre";2;8
"développement";1;18
"naissance";2;16
"illustrer";1;10
"exercice";6;11
"rapide";1;20
"environnement";1;19
"danger";4;26
"htag_70s";45;0
"présence";1;29
"htag_60s";38;0
"nobel";1;13
"2019";2;26
"htag_90s";59;0
