"";"*rts_a";"*rts_i"
"valaiswallis";11;0
"paléo";9;1
"festival";28;8
"new";5;11
"york";4;9
"fois";18;28
"marque";3;15
"dès";12;46
"oublier";15;1
"homme";41;38
"tell";8;2
"quel";17;3
"jusqu_à";4;32
"évoquer";21;8
"sentiment";4;6
"fermer";4;18
"montreux";10;3
"the";3;20
"installer";10;11
"amateur";6;8
"football";22;11
"juin";9;10
"aucun";4;8
"ici";8;13
"départ";5;10
"stress";7;5
"10";11;28
"servir";12;4
"beaucoup";12;7
"1990";18;4
"car";14;5
"surtout";11;8
"28";1;9
"musique";31;9
"chaîne";3;10
"vive";9;1
"milieu";10;9
"scolaire";7;6
"bois";9;6
"besoin";2;12
"pied";8;5
"non";14;30
"26";1;11
"route";11;7
"rire";22;0
"jouer";11;11
"chemin";9;1
"physique";8;7
"important";8;18
"sportif";8;6
"prêt";20;3
"édition";7;18
"dérouler";2;9
"vendredi";7;41
"toutes";14;11
"celles";8;4
"période";4;13
"examen";6;4
"réussir";9;5
"soin";4;11
"étudiant";4;10
"sol";6;4
"aider";5;9
"moi";24;0
"jardin";9;4
"position";1;11
"tabac";13;6
"expliquer";6;22
"cacher";4;7
"considérer";1;10
"grave";3;12
"accident";3;20
"21";2;8
"janvier";2;19
"vd";1;11
"genevois";20;13
"immense";6;4
"naître";8;12
"culte";19;3
"europe";5;39
"noir";5;8
"5";11;37
"vidéo";4;16
"demander";7;30
"sexuel";6;24
"romands";12;9
"roi";9;5
"siècle";9;8
"inspirer";6;10
"9";5;13
"nuit";11;29
"quatre";2;26
"printemps";10;5
"1988";10;0
"mois";13;38
"tôt";1;11
"remporter";5;26
"nature";23;6
"poursuivre";3;9
"7";6;18
"chien";19;4
"maman";7;3
"mère";9;3
"total";3;7
"me";12;1
"1980";11;0
"abri";10;5
"renoncer";2;9
"souvent";6;36
"mauvais";6;4
"menace";4;7
"amende";2;9
"condition";4;20
"6";8;27
"objet";5;10
"projet";3;51
"12";7;19
"club";10;4
"emblématique";4;12
"genevoise";7;9
"identifier";1;15
"adepte";13;1
"comprendre";8;11
"quelque";14;5
"chose";18;5
"région";5;23
"week_end";4;15
"entraîner";5;11
"arbre";6;5
"choix";6;4
"tempête";4;11
"vent";5;7
"violent";2;9
"spectaculaire";3;7
"pluie";8;8
"pousser";6;8
"problème";5;7
"magasin";7;8
"venir";21;11
"marché";4;14
"boîte";7;5
"possible";5;9
"vente";4;18
"32";1;9
"franc";8;58
"exemple";5;7
"comportement";3;7
"automobile";11;3
"voisin";6;4
"français";18;31
"organiser";6;15
"24";18;12
"1981";10;0
"ancien";7;30
"unique";5;16
"coup";8;9
"delémont";1;9
"espérer";5;7
"ainsi";9;43
"moitié";2;15
"14";5;17
"attention";17;2
"droit";15;28
"vote";4;13
"devoir";21;74
"chef";5;6
"point";6;9
"produire";5;14
"contenir";1;14
"mener";2;23
"enquête";3;37
"domicile";4;9
"permettre";12;44
"ménage";9;5
"tsr";14;1
"risque";4;23
"90";11;7
"dont";9;50
"aérien";3;12
"au_dessus";4;7
"véhicule";3;7
"incroyable";6;5
"voyageur";6;4
"chanteur";15;5
"phénomène";6;18
"2000s";35;0
"air";10;6
"particulier";7;4
"snow";11;0
"chacun";8;3
"hiver";28;16
"adulte";2;10
"réunir";8;14
"défi";5;8
"preuve";6;4
"déclarer";4;12
"plateforme";1;11
"site";4;16
"géant";2;22
"information";4;10
"culture";4;10
"évolution";5;12
"impact";1;14
"laisser";18;12
"loin";11;0
"étape";7;9
"téléphone";9;1
"1999";10;1
"celui";9;5
"mercredi";2;37
"tester";1;9
"lorsqu";3;7
"estimer";3;18
"reconnaître";3;8
"futur";6;10
"fonds";5;12
"fondue";18;2
"membre";2;24
"lutte";4;9
"neuchâtelois";5;5
"sembler";14;5
"soldat";11;5
"sortie";6;8
"militaire";6;9
"juillet";6;6
"malgré";6;23
"rapport";5;28
"révéler";3;53
"banque";7;5
"officiel";3;19
"joie";10;2
"collection";4;6
"allemand";6;9
"accès";2;11
"nouvel";5;14
"conseiller";4;18
"message";6;6
"voix";3;18
"mars";5;8
"glace";7;3
"rouge";9;14
"recevoir";3;20
"chance";14;2
"mal";6;10
"face";14;55
"aide";6;18
"midi";4;11
"remonter";6;8
"électronique";1;10
"2024";2;32
"organisation";2;19
"moyen";6;7
"internet";10;4
"micro";6;4
"ami";9;1
"accord";1;24
"annonce";8;18
"président";6;41
"place";21;34
"breakdance";11;0
"meteo";10;0
"ciel";5;5
"rare";3;8
"rappeler";8;3
"agent";5;6
"figure";6;14
"appel";4;12
"1er";2;23
"débuter";1;9
"retro";23;0
"réalisateur";9;2
"aventure";10;5
"cave";2;8
"transporter";3;7
"importance";1;9
"pourtant";10;5
"reprendre";5;12
"dévoiler";3;13
"prix";13;43
"obtenir";1;11
"étranger";2;12
"célébrer";4;8
"double";4;10
"octobre";2;39
"info";6;4
"envie";10;1
"champignon";6;6
"nu";7;4
"six";1;12
"interroger";7;11
"professeur";6;6
"série";6;8
"complexe";2;9
"origine";2;9
"1987";13;1
"bernois";2;14
"tourner";5;7
"autour";10;12
"suite";4;32
"victoire";4;15
"technique";7;3
"actualité";6;7
"swiss";7;8
"contrôle";3;9
"olympique";8;3
"nouvelle";10;40
"lumière";4;7
"championnat";9;5
"berner";2;23
"autre";2;13
"campagne";7;20
"explorer";1;10
"concevoir";1;11
"gauche";3;17
"droite";2;12
"300";2;17
"zurich";5;19
"summer";11;0
"découverte";5;13
"extrême";2;8
"adopter";4;11
"côté";7;8
"dédier";4;8
"groupe";5;31
"comité";1;11
"billet";5;18
"célèbre";6;23
"victime";2;37
"minute";8;15
"européen";1;28
"prestigieux";1;9
"toucher";2;23
"susciter";5;18
"débat";4;12
"patient";3;9
"cause";2;15
"paysan";13;0
"annoncer";3;83
"direct";2;8
"seulement";6;21
"désormais";3;29
"but";1;12
"rejoindre";5;8
"joueur";7;13
"derrière";5;11
"frapper";2;14
"nombre";1;27
"repas";8;4
"sud";1;10
"france";10;28
"pollution";9;2
"environnement";5;11
"communauté";4;9
"expérience";9;12
"météo";7;3
"rétro";11;0
"salaire";3;7
"titre";3;21
"argent";8;8
"tendance";3;11
"conflit";1;11
"privé";3;10
"zone";1;16
"patrimoine";2;8
"ouverture";1;9
"mardi";1;45
"avril";5;10
"scientifique";2;10
"application";2;10
"enregistrer";1;15
"centaine";3;10
"grève";4;7
"alimentaire";1;16
"provoquer";2;13
"naissance";2;11
"exercice";6;6
"rapide";1;10
"danger";4;15
"70s";44;0
"60s";37;0
"2019";2;10
"90s";59;1
"cinema";10;0
"propriétaire";1;9
"représenter";3;12
"urgence";1;14
"trois";5;48
"ton";4;25
"romain";1;10
"plaindre";1;9
"musée";2;12
"accompagner";6;7
"sauvage";4;7
"apporter";2;9
"gros";3;8
"15";4;24
"pratique";5;7
"température";2;11
"attaque";3;21
"réserver";4;7
"manifester";2;11
"tournée";5;6
"climat";3;10
"langue";9;5
"italien";2;10
"album";3;8
"prochain";2;33
"population";4;31
"ère";2;16
"historique";1;13
"ssr";1;10
"pièce";5;7
"guy";4;8
"situation";2;20
"promettre";1;9
"cinq";4;34
"université";1;16
"vol";5;14
"moyenne";1;13
"politique";4;24
"parcours";3;7
"rôle";4;16
"bilan";1;11
"local";1;15
"concerner";2;23
"augmentation";1;11
"assurance";3;8
"maladie";3;15
"27";1;13
"skieur";3;8
"professionnel";5;14
"septembre";2;15
"centre";3;28
"social";2;42
"hors";4;7
"décrire";3;9
"seventies";13;0
"tomber";6;5
"performance";1;9
"fribourgeois";3;8
"yodel";3;7
"épisode";8;2
"battre";4;15
"violence";1;30
"japonais";6;6
"humain";3;20
"entreprise";1;21
"remplacer";2;9
"millier";1;14
"certaines";2;10
"près";3;12
"inquiéter";1;12
"siège";1;10
"29";1;10
"drogue";4;6
"système";3;15
"incendie";3;7
"fonction";1;9
"décider";3;15
"canada";3;7
"chiffre";1;27
"jusqu";2;9
"degré";1;14
"député";1;9
"juger";2;20
"employé";3;7
"charger";4;12
"skiing";11;0
"celle";4;6
"m";5;7
"produit";2;15
"majorité";3;17
"bâle";2;15
"emji_flocon";1;18
"2023";1;20
"mètre";1;21
"sentir";5;11
"qualifié";1;9
"test";2;9
"2022";5;13
"entrée";2;8
"milliard";1;20
"dépasser";1;9
"japon";6;5
"tokyo";10;3
"prévention";3;8
"protection";3;13
"lune";6;5
"crise";1;19
"résultat";2;21
"consommation";3;14
"quitter";2;14
"utiliser";2;22
"coût";1;10
"cependant";2;22
"deuxième";2;16
"élevé";1;17
"confédération";1;9
"majeur";1;22
"perturber";2;8
"justice";1;16
"élection";1;17
"aucune";2;8
"élire";1;15
"soutien";1;19
"essentiel";2;12
"régime";2;11
"accepter";1;13
"troisième";2;9
"tenir";2;13
"entrer";1;12
"traitement";1;11
"afin";1;9
"activité";2;10
"office";1;18
"prison";3;18
"11";1;25
"ferroviaire";2;14
"économie";1;16
"initiative";1;43
"critique";1;18
"loi";1;14
"cantonal";1;19
"imposer";1;10
"trafic";1;13
"unir";1;78
"mesure";1;27
"bienne";1;9
"agir";2;20
"établir";1;10
"artificiel";1;9
"2026";0;70
"emji_drapeau_royaume_uni";0;10
"emji_stéthoscope";0;10
"emji_montagne_enneigée";0;12
"naturel";0;18
"ukraine";0;14
"souligner";0;38
"communiqué";0;13
"emji_étincelles";0;12
"inclure";0;21
"relation";0;12
"positif";0;10
"précédent";0;21
"emji_sac_plein_d_argent";0;17
"publier";0;35
"emji_livres";0;12
"emji_drapeau_france";0;38
"emji_voiture";0;10
"renforcer";0;16
"emji_drapeau_états";0;41
"emji_graphique_en_baisse";0;12
"emji_drapeau_ukraine";0;10
"vigueur";0;11
"russe";0;11
"emji_micro";0;10
"accuser";0;22
"emji_graphique_en_hausse";0;10
"23";0;13
"directeur";0;20
"général";0;16
"parlementaire";0;10
"parlement";0;12
"emji_urne_électorale";0;23
"ministre";0;29
"dix";0;14
"emji_clap";0;15
"tandis_que";0;15
"diminuer";0;12
"confirmer";0;20
"emji_drapeau_territoires_palestiniens";0;31
"hôpital";0;16
"augmenter";0;22
"emji_ski";0;16
"emji_drapeau_israël";0;18
"israélien";0;27
"etat";0;22
"udc";0;16
"déposer";0;12
"motion";0;11
"décision";0;27
"dollar";0;13
"économique";0;18
"ministère";0;11
"indiquer";0;20
"nord";0;10
"récemment";0;10
"emji_balance_à_poids";0;29
"cour";0;12
"israël";0;12
"tribunal";0;11
"climatique";0;13
"stratégie";0;11
"viser";0;55
"rices";0;11
"emji_hôpital";0;10
"palestinien";0;24
"visible";0;10
"affirmer";0;15
"baisser";0;24
"médical";0;10
"emji_porte_documents";0;13
"réduire";0;27
"intervenir";0;16
"gouvernement";0;21
"lier";0;22
"culturel";0;11
"emji_symbole_d_avertissement";0;21
"netflix";0;10
"emji_globe_tourné_sur_l";0;24
"euses";0;20
"soutenir";0;23
"emji_symbole_d_interdiction";0;10
"conserver";0;11
"emji_cerveau";0;13
"média";0;12
"secteur";0;15
"emji_trophée";0;12
"situer";0;13
"financier";0;13
"actuellement";0;10
"rencard";0;24
"initier";0;10
"réseau";0;33
"intelligence";0;10
"protéger";0;14
"hausse";0;16
"emji_gyrophare";0;26
"nécessiter";0;11
"croissant";0;12
"réduction";0;12
"nommer";0;13
"miseaupointrts";0;11
"0";0;12
"emji_train";0;14
"sujet";0;11
"causer";0;26
"tiers";0;14
"riche";0;14
"afrique_et_l";0;22
"emji_main_avec_index_pointant_à_droite";0;22
"emji_avion";0;12
"etats";0;16
"procès";0;12
"39";0;10
"rejeter";0;11
"cadre";0;18
"2027";0;10
"oms";0;10
"durable";0;10
"humanitaire";0;14
"hamas";0;10
