"";"banalfreq";"X.rts_a";"X.rts_i"
"patrimoine";10;-0,8943;0,8943
"ouverture";10;-1,4918;1,4918
"avril";15;-0,4911;0,4911
"scientifique";12;-1,2341;1,2341
"application";12;-1,2341;1,2341
"centaine";13;-0,9078;0,9078
"grève";11;-0,3386;0,3386
"provoquer";15;-1,78;1,78
"naissance";13;-1,4119;1,4119
"exercice";12;0,3889;-0,3889
"rapide";11;-1,697;1,697
"danger";19;-1,3634;1,3634
"2019";12;-1,2341;1,2341
"propriétaire";10;-1,4918;1,4918
"représenter";15;-1,2151;1,2151
"romain";11;-1,697;1,697
"plaindre";10;-1,4918;1,4918
"musée";14;-1,594;1,594
"accompagner";13;0,296;-0,296
"sauvage";11;-0,3386;0,3386
"apporter";11;-1,0613;1,0613
"gros";11;-0,6269;0,6269
"pratique";12;-0,228;0,228
"température";13;-1,4119;1,4119
"réserver";11;-0,3386;0,3386
"manifester";13;-1,4119;1,4119
"tournée";11;0,2665;-0,2665
"climat";13;-0,9078;0,9078
"langue";14;1,0593;-1,0593
"italien";12;-1,2341;1,2341
"album";11;-0,6269;0,6269
"ssr";11;-1,697;1,697
"pièce";12;-0,228;0,228
"guy";12;-0,4394;0,4394
"promettre";10;-1,4918;1,4918
"vol";19;-0,954;0,954
"parcours";10;-0,4989;0,4989
"rôle";20;-1,5178;1,5178
"bilan";12;-1,905;1,905
"augmentation";12;-1,905;1,905
"assurance";11;-0,6269;0,6269
"maladie";18;-1,7132;1,7132
"skieur";11;-0,6269;0,6269
"professionnel";19;-0,954;0,954
"hors";11;-0,3386;0,3386
"décrire";12;-0,7636;0,7636
"tomber";11;0,5096;-0,5096
"performance";10;-1,4918;1,4918
"fribourgeois";11;-0,6269;0,6269
"yodel";10;-0,4989;0,4989
"épisode";10;1,7159;-1,7159
"battre";19;-1,3634;1,3634
"japonais";12;0,3889;-0,3889
"remplacer";11;-1,0613;1,0613
"certaines";12;-1,2341;1,2341
"près";15;-1,2151;1,2151
"siège";11;-1,697;1,697
"29";11;-1,697;1,697
"drogue";10;-0,2486;0,2486
"système";18;-1,7132;1,7132
"incendie";10;-0,4989;0,4989
"fonction";10;-1,4918;1,4918
"décider";18;-1,7132;1,7132
"canada";10;-0,4989;0,4989
"jusqu";11;-1,0613;1,0613
"député";10;-1,4918;1,4918
"employé";10;-0,4989;0,4989
"charger";16;-0,929;0,929
"celle";10;-0,2486;0,2486
"m";12;-0,228;0,228
"sentir";16;-0,5964;0,5964
"qualifié";10;-1,4918;1,4918
"test";11;-1,0613;1,0613
"2022";18;-0,8284;0,8284
"entrée";10;-0,8943;0,8943
"dépasser";10;-1,4918;1,4918
"japon";11;0,5096;-0,5096
"tokyo";13;1,875;-1,875
"prévention";11;-0,6269;0,6269
"protection";16;-1,3767;1,3767
"lune";11;0,5096;-0,5096
"consommation";17;-1,5429;1,5429
"quitter";16;-1,9693;1,9693
"coût";11;-1,697;1,697
"confédération";10;-1,4918;1,4918
"perturber";10;-0,8943;0,8943
"aucune";10;-0,8943;0,8943
"essentiel";14;-1,594;1,594
"régime";13;-1,4119;1,4119
"troisième";11;-1,0613;1,0613
"tenir";15;-1,78;1,78
"traitement";12;-1,905;1,905
"afin";10;-1,4918;1,4918
"activité";12;-1,2341;1,2341
"ferroviaire";16;-1,9693;1,9693
"imposer";11;-1,697;1,697
"bienne";10;-1,4918;1,4918
"établir";11;-1,697;1,697
"artificiel";10;-1,4918;1,4918
