"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11"
"*a_0883";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;9,053
"*postComments_28";-0,027;-1,356;-1,315;0,141;-1,275;-0,153;7,37;5,826;-0,217;-1,416;0,296
"*postDate_30-6-2025";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;9,053
"*a_0882";-0,091;-0,096;10,741;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postLikes_1200";1,179;-3,733;4,887;0,159;-0,008;0,341;1,107;-0,809;-2,792;0,093;-0,954
"*postDate_29-6-2025";-0,091;-0,096;10,741;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*a_0881";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;8,075;-0,1;-0,111
"*postLikes_35100";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;8,075;-0,1;-0,111
"*postComments_448";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;8,075;-0,1;-0,111
"*postReposts_146";-0,274;-0,289;-0,28;-0,377;13,483;-0,345;-0,278;-0,195;1,525;-0,302;-0,332
"*postDate_28-6-2025";-0,091;-0,096;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;8,075;-0,1;-0,111
"*a_0880";0;0;0;0;0;0;0;0;0;0;0
"*postDate_26-6-2025";0;0;0;0;0;0;0;0;0;0;0
"*a_0879";-0,091;-0,096;10,741;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*postLikes_3400";0,016;-0,495;-0,452;-2,796;2,875;-0,036;0,77;0,354;-0,954;2,21;-0,018
"*postDate_25-6-2025";-0,091;-0,096;10,741;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
"*a_0878";-0,091;10,421;-0,093;-0,125;-0,09;-0,115;-0,093;-0,065;-0,124;-0,1;-0,111
