"";"";"";"";"humanitaire";""
"178";"importance";"0.590645789222256";"-1.24865601301413";"0.89449897322273";"521"
"179";"auprès_de";"0.439652008913797";"-0.75277083073037";"0.89449897322273";"522"
"180";"protection";"0.696512288476853";"-0.701356913397571";"0.89392681509903";"525"
"181";"légendaire";"-0.740552381581649";"-0.887256291136297";"0.893796779161826";"526"
"182";"écouter";"-1.68347596736778";"-0.63521249715457";"0.893644451349672";"528"
"183";"danger";"0.212911171891889";"-1.06336101266125";"0.893644451349672";"529"
"184";"naturel";"0.419627945945026";"-0.870117763407941";"0.893644451349672";"530"
"185";"modèle";"0.428070195460351";"-0.922493535146954";"0.89313916885082";"531"
"186";"détecter";"0.678649707764036";"-1.32935918600642";"0.89313916885082";"533"
"187";"uniquement";"0.977004943507764";"-0.726520489730151";"0.89313916885082";"535"
"188";"ordinaire";"0.293897219032881";"-1.18830031245691";"0.89313916885082";"536"
"189";"emji_téléphone_portable";"0.381073929376733";"-1.48105775673723";"0.89313916885082";"538"
"190";"emji_interdiction_de_fumer";"0.798432430346785";"-1.26387350479906";"0.89313916885082";"539"
"191";"prévoir";"0.811729309511554";"-0.0408993205525442";"0.892730484476749";"540"
"192";"netflix";"0.644618936899493";"-1.0328979232556";"0.892102596665676";"542"
"193";"altitude";"0.615891792426847";"-0.75131986454097";"0.892102596665676";"543"
"194";"emji_vague";"0.612524747002993";"-0.93042379233987";"0.892102596665676";"544"
"195";"dégât";"0.764702220060997";"-0.303525685316882";"0.892102596665676";"545"
"196";"allemagne";"0.487011119386459";"-1.32830299912845";"0.892102596665676";"547"
"197";"semaine";"0.603827638319116";"-0.105590960795395";"0.890326677294712";"551"
"198";"terminer";"-0.767925736489872";"-0.505255988311366";"0.889639344483774";"554"
"199";"hockey";"-1.30015441649011";"-1.5499938779778";"0.888361276986679";"560"
"200";"christmas";"-1.30015441649011";"-1.5499938779778";"0.888361276986679";"561"
"201";"anzère";"-1.30015441649011";"-1.5499938779778";"0.888361276986679";"562"
"202";"diligence";"-1.30015441649011";"-1.5499938779778";"0.888361276986679";"563"
"203";"cuit";"-1.30015441649011";"-1.5499938779778";"0.888361276986679";"564"
"204";"interdire";"0.323446800110001";"-0.462856540678642";"0.887659082925775";"567"
"205";"protéger";"0.990449009238193";"-0.568351905070487";"0.887659082925775";"568"
"206";"vote";"1.29511372056987";"0.493133088194038";"0.887607068550893";"570"
"207";"euses";"0.723266123954647";"-1.07878309532696";"0.887521616363587";"571"
"208";"tendance";"0.790519930756039";"-0.673437199359652";"0.887521616363587";"572"
"209";"choix";"-1.1119242293329";"-0.936913581098705";"0.887458456051231";"573"
"210";"bouteille";"-0.918754393808631";"-0.367502776692609";"0.887458456051231";"574"
"211";"carrefour";"-1.13988038935404";"-0.996811548021316";"0.887458456051231";"575"
"212";"tarauder";"-1.6164594406468";"-0.861340388756558";"0.887280121051636";"578"
"213";"habiter";"-1.6164594406468";"-0.861340388756558";"0.887280121051636";"579"
"214";"engouement";"-1.6164594406468";"-0.861340388756558";"0.887280121051636";"580"
"215";"amateur";"-1.26652632608413";"-1.57886465644346";"0.886674525115512";"582"
"216";"renoncer";"0.516462797862242";"0.00486273695469955";"0.885734551055149";"583"
"217";"immédiat";"1.45628501271382";"1.55100118822145";"0.88552277824313";"584"
"218";"sydney";"1.45123444457804";"1.2823452965231";"0.88552277824313";"585"
"219";"frontalier";"1.45123444457804";"1.2823452965231";"0.88552277824313";"586"
"220";"trêve";"1.45628501271382";"1.55100118822145";"0.88552277824313";"587"
"221";"thaïlande";"1.33645124137603";"1.27536065366716";"0.88552277824313";"588"
"222";"kiev";"1.7276419390098";"2.06898126068398";"0.88552277824313";"591"
"223";"genève";"-0.127220961247543";"-0.132758486074324";"0.885229268556297";"593"
"224";"positif";"0.263416295285338";"-1.35284554280973";"0.88492461293199";"594"
"225";"réalité";"0.289527791255135";"-0.433897839965508";"0.88492461293199";"595"
"226";"instagram";"0.816294842291676";"-0.712144899524285";"0.88492461293199";"596"
"227";"poste";"0.808815827130595";"-0.108574592087204";"0.884883744494583";"597"
"228";"adorer";"-2.3138680627417";"2.65406525737051";"0.884802007619768";"602"
"229";"attendre";"0.245480253794659";"-0.604345689506314";"0.883627968872436";"604"
"230";"drame";"0.871271415896291";"-1.31407880912056";"0.883390188872977";"605"
"231";"spécimen";"0.75648821269428";"-1.3210634519765";"0.883390188872977";"606"
"232";"hygiène";"0.871271415896291";"-1.31407880912056";"0.883390188872977";"607"
"233";"emji_fourchette_et_couteau_avec_assiette";"0.876321984032073";"-1.04542291742221";"0.883390188872977";"608"
"234";"emji_coeur_brisé";"0.871271415896291";"-1.31407880912056";"0.883390188872977";"609"
"235";"conclusion";"0.275547601780336";"-1.14473986003961";"0.883390188872977";"610"
"236";"trouver";"-1.15959662777956";"-0.312210017876854";"0.882858899186684";"612"
"237";"mosses";"-1.44644094701777";"-1.59482878316871";"0.882699140749547";"615"
"238";"naissance";"0.214759565187905";"-0.83609287971478";"0.881499094814775";"618"
"239";"emji_stéthoscope";"1.03819569747737";"-0.698158017895674";"0.881499094814775";"619"
"240";"emji_graphique_en_hausse";"0.794453389097689";"-1.17682041155752";"0.881499094814775";"620"
"241";"pied";"-0.902093125892509";"-0.610207959494294";"0.880733740441514";"621"
"242";"musique";"-1.19512351866738";"-1.34702700394291";"0.88060370450431";"622"
"243";"installation";"0.650352415797991";"-0.61930295311369";"0.880024115755627";"623"
"244";"achever";"0.422086206210984";"-1.55965011364817";"0.880024115755627";"624"
"245";"paramount";"0.698493700642742";"-0.773014149487287";"0.880024115755627";"626"
"246";"météosuisse";"0.457031406237408";"-1.48477765499491";"0.880024115755627";"627"
"247";"intempérie";"0.457031406237408";"-1.48477765499491";"0.880024115755627";"628"
"248";"contemporain";"0.698493700642742";"-0.773014149487287";"0.880024115755627";"629"
"249";"offrir";"0.0652312760581458";"-1.24548859973564";"0.87948168013186";"631"
"250";"chanson";"-1.15753952093409";"-0.770386325720594";"0.879474249506877";"632"
"251";"montreux";"-1.17272724637171";"-1.46927909447285";"0.878920667945635";"634"
"252";"passionner";"-1.0986720494884";"-0.798637550209475";"0.878545421383988";"637"
"253";"chose";"-1.166058907199";"-0.637534031435841";"0.878497122321597";"641"
"254";"classe";"-1.34021015938362";"-0.946989861982084";"0.877794928260693";"642"
"255";"emji_étincelles";"-0.204291399768785";"-0.965564577153718";"0.877776351698236";"644"
"256";"pluie";"0.284721929863754";"-0.690226274101322";"0.877776351698236";"645"
"257";"domaine";"0.307631791709087";"-0.57113727969184";"0.877776351698236";"646"
"258";"prestigieux";"-0.0894867828921735";"-0.310143602144789";"0.877776351698236";"647"
"259";"emji_micro";"0.435983842331779";"-0.549477373829221";"0.877776351698236";"648"
"260";"dédier";"-0.407039294958888";"-0.776432646280104";"0.877679753573455";"650"
"261";"scolaire";"-1.15508479638008";"-1.26363711159209";"0.877445688886487";"651"
"262";"moniteur";"-1.11803346385604";"-1.33158623981599";"0.877445688886487";"652"
"263";"glace";"-1.71779318632053";"-1.58098411459444";"0.877445688886487";"653"
"264";"inclure";"0.692888488527725";"-0.145395022403842";"0.877386243886622";"654"
"265";"cadre";"1.37981552920268";"0.899373384094166";"0.877386243886622";"655"
"266";"emji_train";"1.00985372981137";"0.207618650549185";"0.876279080764139";"656"
"267";"varier";"0.666804317022354";"-0.739713152841237";"0.876279080764139";"657"
"268";"préciser";"0.264939962147583";"-0.735552933209659";"0.876279080764139";"658"
"269";"succession";"1.05799501465612";"0.0539074541755878";"0.876279080764139";"660"
"270";"promouvoir";"1.05799501465612";"0.0539074541755878";"0.876279080764139";"661"
"271";"don";"1.00985372981137";"0.207618650549185";"0.876279080764139";"663"
"272";"chuter";"0.81653272025079";"-0.657856051332032";"0.876279080764139";"664"
"273";"fondue";"-1.09721110793785";"-0.852613647498996";"0.876264219514172";"665"
"274";"hésiter";"-1.13709995828459";"-0.4215273368529";"0.876264219514172";"666"
"275";"produire";"-0.00719637640475596";"-0.815695660587835";"0.875019589829501";"667"
"276";"production";"0.526928933162253";"-1.35835916855015";"0.874733510767651";"669"
"277";"icône";"-0.457425752737908";"-1.30052244318578";"0.874733510767651";"670"
"278";"date";"-0.187903797112489";"-1.4121189020483";"0.874733510767651";"671"
