"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"120";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"121";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"122";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"123";3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"124";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"125";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"126";3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"127";3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"128";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"129";3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"130";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"131";3;4;7;8;11;11;11;11;19;20;20;20;20;20;20;20;20;20;20
"132";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"133";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"134";3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"135";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"136";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"137";3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"138";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"139";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"140";3;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"141";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"142";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"143";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"144";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"145";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"146";3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"147";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"148";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"149";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"150";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"151";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"152";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"153";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"154";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"155";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"156";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"157";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"158";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"159";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"160";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"161";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"162";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"163";3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"164";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"165";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"166";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"167";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"168";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"169";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"170";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"171";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"172";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"173";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"174";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"175";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"176";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"177";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"178";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"179";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"180";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"181";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;33;33;33;33
"182";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"183";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"184";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;33;33;33;33
"185";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"186";3;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"187";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"188";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"189";3;4;6;6;6;12;14;17;17;17;17;17;17;28;28;28;28;28;28
"190";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"191";3;4;6;6;6;12;14;17;17;17;17;17;17;28;28;28;28;28;28
"192";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"193";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"194";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"195";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"196";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"197";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"198";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"199";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"200";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"201";3;4;6;6;6;12;14;17;17;17;17;17;17;28;28;28;28;28;28
"202";3;4;6;6;6;12;14;17;17;17;17;17;17;28;28;28;28;28;28
"203";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"204";3;4;6;6;6;12;14;17;17;17;17;17;17;29;29;29;29;29;39
"205";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"206";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"207";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"208";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"209";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"210";3;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"211";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"212";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"213";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"214";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"215";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"216";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"217";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
