htag_voiture;1;0;1;0;2;7;0;0
htag_football;9;0;1;0;3;0;0;0
htag_enfant;1;0;1;0;4;3;1;0
htag_culte;4;0;2;0;3;2;0;0
htag_christmas;3;0;5;0;1;3;0;0
eux;1;0;0;1;5;3;0;2
dix;4;3;2;3;0;0;0;1
celui;1;1;3;3;2;1;0;3
27;3;4;2;1;0;0;0;2
1987;5;1;2;1;1;3;1;0
1972;1;1;2;0;2;5;0;3
six;1;4;1;2;0;0;2;1
puis;2;1;5;0;1;1;3;0
presque;4;0;3;0;1;2;2;1
me;0;0;3;0;5;3;0;1
htag_vaud;3;0;6;0;3;1;0;0
htag_seventies;1;0;2;0;3;1;0;0
htag_ecole;0;0;3;0;5;1;1;0
23;2;2;0;3;0;0;2;2
1971;1;0;2;1;1;3;1;2
1966;1;0;3;0;4;4;0;0
quelle;2;0;3;0;2;3;1;0
m;2;1;3;0;2;1;2;0
htag_commeunlundi;0;0;5;2;4;1;0;0
certaines;0;2;2;2;1;0;3;2
celles;1;1;6;1;1;0;0;2
aucun;1;3;0;2;1;2;0;2
26;4;2;1;1;0;0;1;2
2019;1;5;0;1;0;2;0;2
1994;1;0;1;0;2;7;0;0
1974;4;0;0;1;3;3;1;0
0;5;0;0;1;0;0;0;6
te;4;0;4;0;2;0;0;0
loin;2;0;0;0;4;2;0;2
jusqu;2;2;1;3;0;0;2;0
htag_vieillesse;0;0;0;0;10;0;0;0
htag_valaiswallis;0;0;6;0;1;1;0;0
htag_summer;0;0;1;1;4;2;0;0
htag_snow;0;0;7;0;1;0;0;0
htag_skiing;1;0;5;0;2;0;0;0
htag_nature;0;0;0;0;3;2;0;1
htag_miseaupointrts;1;3;1;0;2;1;1;1
htag_insolite;1;0;3;0;1;2;0;0
htag_chanson;5;0;3;0;1;0;0;0
hors;2;1;0;0;3;0;3;2
croire;0;0;4;2;3;0;0;0
chacun;1;1;6;0;0;2;1;0
car;0;2;3;0;1;1;2;1
au_dessus;4;1;2;2;0;1;1;0
500;1;1;0;0;1;0;5;1
400;2;3;0;2;0;0;2;1
29;1;0;1;4;0;1;0;2
1999;1;0;2;1;3;1;0;1
1980;0;1;4;0;3;2;0;1
1969;2;0;3;1;0;3;0;0
1967;0;1;0;0;4;4;0;2
vive;1;0;5;0;0;1;0;0
oui;0;3;3;0;3;1;0;0
lorsqu;1;0;1;3;1;0;4;0
htag_montagne;0;0;4;0;2;1;0;0
htag_mode;0;0;5;0;4;1;0;0
htag_meteo;1;0;2;0;3;1;0;1
htag_invention;0;0;2;0;2;3;0;0
htag_danse;0;0;2;0;6;1;0;0
htag_cinema;6;0;2;0;0;2;0;0
htag_armeesuisse;0;0;0;0;2;3;0;0
envers;3;3;1;0;1;0;0;2
celle;2;2;1;1;1;0;0;2
autant;1;1;1;1;1;3;1;1
aucune;1;3;1;2;0;0;1;2
afin;1;0;1;0;2;0;4;1
39;1;6;0;0;0;1;0;2
32;1;1;0;2;1;0;2;3
28;2;0;0;4;1;0;1;2
21;1;1;1;3;1;0;0;2
2027;0;6;0;2;0;0;1;1
1992;0;0;2;0;4;3;1;0
1985;1;0;5;0;1;2;1;0
1981;3;0;4;0;1;1;1;0
ma;1;0;1;1;4;0;0;0
juste;2;2;2;0;0;3;0;0
htag_swisscheese;2;0;5;0;0;0;0;0
htag_lacleman;0;0;0;1;4;1;0;0
htag_fromage;1;0;5;0;0;1;0;0
htag_fribourg;0;0;4;0;4;1;0;0
htag_dansleretro;0;0;0;0;8;0;0;0
enfin;0;0;0;1;4;1;1;2
dame;1;0;0;0;3;4;0;0
1988;2;0;4;0;2;1;0;0
1983;0;0;2;0;3;3;0;0
1977;3;1;1;0;1;2;0;0
1961;2;0;2;0;2;2;1;0
vingt;0;2;0;1;0;0;1;3
quels;0;0;3;0;3;2;0;0
laquelle;0;3;0;1;1;1;0;1
jusqu_au;2;0;0;1;2;1;2;0
htag_swissfood;1;0;4;0;1;0;0;0
htag_sport;2;0;1;0;2;0;0;0
htag_rtssportxarchives;1;0;4;0;1;2;0;0
htag_portrait;1;1;1;0;3;2;0;0
htag_paleofestival;7;0;1;0;0;0;0;0
htag_neuchatel;1;0;2;0;3;1;1;0
htag_musique;1;0;3;0;2;0;0;0
htag_mondaymood;0;0;4;1;2;1;0;0
htag_jura;1;0;3;0;1;0;0;1
htag_innovation;0;0;1;0;2;1;0;0
htag_fondue;0;0;6;0;1;0;0;0
htag_ecologie;0;0;1;0;2;0;0;2
htag_cinemafrancais;4;0;0;0;0;3;0;0
htag_chien;0;0;0;0;6;0;0;0
htag_armee;0;0;0;0;2;2;0;0
donc;0;0;3;0;4;1;0;0
davantage;1;2;0;2;1;0;2;0
d_abord;0;1;1;0;2;0;1;1
75;0;2;0;0;1;2;0;1
65;2;2;0;1;0;0;1;2
45;4;1;0;1;0;1;0;0
38;1;1;1;0;0;1;0;3
35;0;3;1;2;0;0;0;1
31;3;1;0;2;1;0;1;0
2005;4;0;1;1;1;1;0;0
1989;3;0;1;0;1;2;0;1
1986;1;1;2;0;2;2;0;0
1984;0;2;0;0;0;6;0;0
1963;0;0;2;1;1;4;0;0
1960;3;1;2;0;1;1;0;0
tels;1;1;0;0;0;0;4;1
sept;1;0;0;1;0;0;0;1
quant;0;0;0;1;0;0;4;1
lorsque;1;0;0;2;0;2;0;1
htag_winter;0;0;3;0;2;0;0;0
htag_vin;1;0;2;0;2;0;0;0
htag_telephone;0;0;3;0;2;1;0;0
htag_tabac;1;0;1;3;1;0;0;0
htag_suisseromande;1;0;1;0;2;2;1;0
htag_soleil;0;0;1;0;5;0;0;0
htag_sixties;1;0;1;0;2;1;0;0
htag_game;1;0;2;0;4;0;0;0
htag_chat;0;0;1;0;5;1;0;0
htag_breakdance;0;0;2;0;3;0;0;0
combien;3;0;2;0;2;0;0;0
certaine;0;2;0;0;1;1;0;0
certain;1;0;1;0;2;2;1;0
alerte;0;0;1;5;0;0;0;0
84;0;2;1;1;3;0;0;0
41;1;2;0;1;0;0;0;3
34;1;1;0;0;2;0;0;3
2021;1;1;0;0;1;0;1;2
2009;2;0;2;0;2;1;0;0
1991;1;1;1;1;0;2;0;0
1973;0;0;3;0;3;1;0;0
150;1;2;0;1;0;0;2;0
x;0;2;1;1;0;0;0;1
vite;0;0;2;0;1;1;0;1
partout;3;0;0;0;1;0;1;1
parce_que;0;0;3;0;1;2;0;0
neuf;0;0;0;1;0;1;1;2
mi;2;1;0;0;0;0;1;0
merci;0;0;2;0;3;0;0;1
maintenant;0;1;3;0;0;0;0;1
lendemain;0;0;2;2;0;0;0;0
huit;2;0;0;1;0;0;2;1
htag_tv;2;0;0;0;2;1;0;0
htag_tradition;1;0;3;0;2;0;0;0
htag_television;1;0;0;0;1;1;0;0
htag_swissfondue;2;0;3;0;0;0;0;0
htag_summertime;0;1;2;0;2;1;0;0
htag_securiteroutiere;0;0;2;0;2;1;1;0
htag_rentreescolaire;0;0;5;0;0;0;0;0
htag_recette;0;0;5;0;0;0;0;0
htag_radio;2;0;0;0;2;2;0;0
htag_printemps;0;0;1;0;2;0;0;0
htag_perenoel;0;0;4;0;0;2;0;0
htag_myswitzerland;0;0;3;0;1;1;0;0
htag_happynewyear;0;0;4;0;2;0;0;0
htag_happybirthday;1;0;1;1;0;0;0;0
htag_food;0;0;1;0;2;1;0;0
htag_dance;0;0;2;0;3;1;0;0
htag_cigarette;0;0;1;3;1;0;0;0
htag_cheese;1;0;3;0;0;0;0;0
htag_bonheur;0;0;1;0;4;0;0;0
htag_avion;0;0;1;0;5;0;0;0
htag_automobile;0;0;0;0;1;3;0;0
htag_auto;0;0;1;0;1;2;0;0
htag_animaux;0;0;0;0;3;1;0;1
divers;1;0;0;1;0;1;1;2
différents;1;0;2;0;1;0;2;0
concernant;1;1;0;0;0;0;0;3
85;0;1;1;1;0;0;1;1
66;1;5;0;0;0;0;0;0
58;1;3;0;0;0;0;0;1
