"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13"
"place";28,656;-0,162;-8,001;-0,297;1,434;11,387;-5,846;0,902;-0,159;-3,024;-1,091;-2,617;-0,049
"face";24,406;0,052;-2,293;-10,586;-0,079;19,014;0,001;-0,066;-1,96;-3,639;-0,495;1,162;-4,12
"enfant";-9,956;0,224;2,814;4,968;-4,902;-0,049;4,72;29,922;-3,935;-3,139;0,944;-7,956;-0,1
"prévoir";-4,632;-3,306;-13,783;-9,433;31,831;25,763;-4,607;0;10,261;-3,062;5,884;-0,735;-1,876
"fin";1,82;0;3,853;-5,694;3,438;-1,184;-3,612;-0,903;-0,613;-1,685;14,01;2,006;-2,896
"voir";0,225;0,102;-1,927;1,656;-0,03;0,892;-7,017;-5,756;-5,988;7,524;-6,83;0,689;25,856
"annoncer";0,875;-0,25;-16,653;-5,91;8,191;-0,357;-6,48;-0,291;-4,199;-5,163;76,829;16,007;-0,019
"homme";-0,256;0,285;-0,651;9,282;-4,708;-6,086;14,158;7,87;-2,603;-4,921;3,095;5,193;-9,138
"canton";-7,659;0,307;-4,963;-5,406;7,442;203,588;-7,245;0,945;-3,589;0,039;-7,741;-1,465;-9,01
"fédéral";-11,703;-0,733;-7,884;-9,28;83,057;70,627;-1,474;-3,322;-0,456;-2,986;0,001;1,292;-10,777
"temps";2,192;-1,758;2,377;49,692;-0,077;-1,619;-0,107;-0,794;-0,137;-4,88;-5,907;-5,683;0,009
"novembre";-0,153;-1,223;-7,654;-6,017;1,718;15,089;-7,081;-0,406;-0,285;-1,059;3,893;-0,832;15,835
"mondial";135,805;-0,609;-3,291;-0,601;-0,298;-5,447;-3,936;8,92;-5,769;-4,679;-2,666;-5,374;3,946
"projet";-10,835;-0,053;-8,498;-8,591;5,152;168,185;-1,625;-2,953;-1,874;-2,646;-0,681;-3,454;0,166
"franc";-6,284;-4,5;-7,774;-6,091;312,662;25,833;-3,022;-0,428;-3,47;-2,421;-2,06;-1,818;-10,657
"état";0;-0,609;-12,882;-6,838;-0,298;0,129;-0,605;2,437;-2,157;-4,679;90,165;27,723;-8,368
"partir";-4,745;-1,287;-1,619;22,856;0,724;1,678;-4,314;-0,45;-1,537;-2,458;-4,848;88,706;-5,714
"devenir";1,034;-2,985;-0,806;6,61;-0,019;-5,342;-2,747;-0,104;-3,085;-0,456;-9,337;1,696;44,087
"américain";0,219;-2,825;-8,377;-3,208;-0,19;-8,01;-4,714;-0,542;-3,916;-4,478;127,577;30,179;0,197
"président";-7,198;-4,923;-12,882;-5,049;-4,323;-0,29;-8,343;-3,117;-3,168;-0,477;59,3;325,349;-5,377
"lausanne";-3,576;0,02;-0,274;11,952;0,185;2,412;-0,518;0,011;-4,978;-1,941;-5,53;0,051;7,593
"viser";-11,028;-1,519;-12,625;-8,744;6,703;101,603;-1,049;0,427;-1,222;-1,333;24,216;-0,465;-11,745
"national";4,39;-1,191;-2,245;-7,982;0,286;59,566;-1,875;-1,257;-1,345;-4,198;-1,944;17,25;-8,528
"groupe";15,467;-0,911;-6,464;-3,581;-0,794;7,744;-3,159;0,004;-2,534;-2,014;2,444;-0,071;4,088
"équipe";266,619;-1,353;-6,49;-0,994;-3,878;-7,775;0,963;-0,046;-5,077;-4,398;-2,238;-4,943;-0,443
"samedi";12,728;-0,869;-3,896;-1,272;-0,974;-0,076;-0,053;-0,089;-0,816;-0,04;17,872;0,639;-1,74
"offrir";-5,292;7,49;-1,54;-2,213;-1,723;4,515;10,214;-0,213;-1,562;0,04;-3,959;-2,506;7,039
"ville";-2,675;-1,003;-1,766;0,002;-0,016;38,483;-1,444;-4,246;-5,486;0,019;-0,77;-0,592;9,77
"travail";-5,382;-0,199;-0,09;-0,494;76,261;0,013;12,076;0,002;-1,631;-3,878;-5,765;-0,528;-4,445
"fois";6,752;5,317;-4,588;-0,038;0,787;-0,005;-0,473;0,016;-3,463;-0,081;-3,741;-0,038;4,694
"cliquer";-10,354;-4,543;-13,928;-8,21;-5,454;-13,535;-11,09;-4,633;-0,073;2295,901;-8,691;-6,814;-15,067
"près_de";-5,561;0,311;-2,721;-3,787;88,854;-1,57;0,011;2,383;-4,021;-3,958;2,121;0,923;-0,841
"archive";-0,588;-2,207;-0,175;0,514;-3,63;-1,537;-2,722;-0,638;-0,021;52,461;-4,222;-1,514;20,191
"noël";-2,854;-1,775;3,469;0,79;-0,407;-1,373;-3,338;-3,648;-0,869;-3,4;-6,844;-3,426;92,292
"jean";-5,561;-4,164;-2,721;1,545;-6,849;-2,487;-6,291;-4,246;182,268;7,828;-7,966;-0,592;-0,087
"décembre";0,129;-3,452;-3,42;-4,249;-0,318;15,142;-1,926;-0,034;0,406;-0,418;0;-1,765;9,52
"connaître";0,359;0,365;2,7;0,011;-0,834;-9,98;-1,308;-1;-0,065;-3,878;-5,765;-0,528;44,699
"social";-5,292;-0,183;-8,225;-5,276;2,682;0,023;78,008;1,224;-3,74;0,04;-2,544;0,374;-1,287
"nouvelle";0,089;35,418;-4,806;-3,512;-1,672;12,207;-4,344;-0,937;-3,647;-1,978;0;-2,452;13,364
"service";-6,085;0,818;-5,184;-2,839;14,672;33,7;-0,005;9,466;0,024;-1,617;-1,851;-0,847;-7,702
"police";-8,154;-0,598;-6,874;-2,839;-0,407;68,014;-0,597;9,466;-0,324;-3,4;16,656;-0,847;-7,702
"unir";2,081;-2,119;-7,978;-7,146;-0,178;-11,781;-2,974;0,011;-0,253;-3,758;207,317;3,995;-2,919
"demander";-4,847;-0,765;-2,025;-4,908;1,912;89,324;-0,388;0,029;-1,231;-0,06;-5,296;9,05;-10,495
"santé";-3,494;-2,081;-0,673;-3,376;-2,825;-1,987;146,522;19,099;-6,532;-0,692;-2,351;1,307;-12,976
"prix";0,691;-0,012;-4,615;-6,088;131,063;-7,89;-0,365;-1,646;-3,595;-0,373;-0,147;-5,053;8,175
"international";-1,893;-1,889;-9,181;-0,003;-0,073;-1,595;1,452;-3,776;-0,443;-1,724;52,103;0,718;2,052
"suivre";2,695;1,813;-0,124;0,113;-2,585;0,171;-0,046;-3,819;-1,977;18,249;-2,098;0,667;-0,334
"semaine";0,569;-1,662;-0,634;-1,413;6,855;7,989;-4,423;-1,723;-2,488;-3,281;21,808;0,008;-1,798
"photo";-8,822;-3,87;-11,866;-6,995;-4,381;-7,421;-9,148;-3,947;0,37;1225,006;-3,668;-3,847;-0,467
"révéler";-6,645;3,353;-9,562;-6,919;-2,705;-1,029;67,593;30,593;-1,231;-1,832;-3,595;-0,354;0,942
"politique";-4,67;-0,708;-5,646;-6,768;-2,585;9,878;0,669;-1,994;0;-3,559;5,002;107,664;-10,22
"jeudi";3,45;-0,348;-7,543;-3,742;-0,146;6,192;-5,254;-3,223;-0,991;-3,004;35,843;0,621;0,451
"lundi";1,62;-1,55;0;-4,031;-0,238;6,932;-7,584;-0,014;-2,234;-1,405;15,845;9,417;-2,524
"couper";310,671;-3,494;-1,391;-2,706;0,099;-8,257;-8,064;-0,588;-0,254;-3,321;-3,023;0,004;-9,398
"lancer";-0,781;-0,037;-0,746;-2,772;-0,377;14,22;-3,241;0,109;-5,572;-1,581;-0,246;0,001;21,651
"initiative";-4,406;-1,813;-8,928;-6,541;-2,406;228,048;-2,263;-0,671;-0,058;0,178;-3,236;-0,229;-4,552
"français";4,832;-0,598;-8,802;0,212;0,065;-1,373;-1,264;-3,648;-0,043;-1,617;-0,274;21,757;5,038
"nombreux";-4,318;0,818;2,303;0,79;0,493;-2,312;0,97;0,094;-2,747;-0,489;-0,274;1,979;0,056
"miracle";-2,272;-1,836;27,792;42,193;-1,252;0,006;-1,802;-1,872;-4,958;-1,745;-3,512;-1,03;-0,023
"droit";-2,697;-1,699;-3,524;-2,706;-2,23;39,699;0,13;0,126;-0,758;-3,321;14,179;0,286;-2,93
"sécurité";-7,868;-3,452;-6,509;-6,239;0,639;10,122;10,637;0,143;-0,221;-3,281;40,619;0,008;-7,305
"trouver";-2,389;7,891;46,388;1,215;-0,904;-9,912;0,787;0,206;-3,498;-0,351;0,006;-1,612;-5,207
"rendre";3,768;-0,519;-2,245;-2,64;0,119;-0,522;8,432;-1,723;-5,361;-0,004;-1,67;3,944;2,97
"prochain";0,294;-1,475;-4,278;-2,315;3,639;17,702;-7,344;-3,308;2,574;0,002;7,707;-0,55;-2,327
"expliquer";0,156;0,196;-8,297;-0,528;0,141;0,547;22,637;0,163;-0,652;-0,395;-0,707;-1,714;-0,079
"étude";-7,773;19,783;-6,388;-6,163;-3,652;-6,119;199,132;2,364;2,016;-3,242;-4,519;-5,115;-11,311
"indiquer";-1,185;0,296;-7,794;-3,886;14,303;5,657;-0,017;2,78;-0,459;-1,335;13,352;-0,55;-4,96
"dimanche";2,353;-3,077;-5,425;-5,561;0,024;1,211;-3,475;0;-4,42;-2,925;43,297;14,898;-0,455
"rencontre";2,523;-3,41;2,921;57,977;-5,61;-6,119;-9,965;-0,534;-2,403;-0,395;11,855;-1,714;-0,079
"partie";0,156;-0,493;-3,317;-1,359;7,087;0,547;-0,997;-0,534;-0,652;-1,475;18,489;1,15;-1,712
"mort";-1,942;0,425;-5,425;-0,003;-1,66;-5,186;-2,208;1,462;-8,31;-2,925;77,997;8,171;2,207
"mois";-0,058;0;-0,342;-5,787;2,183;-0,774;-0,008;21,386;-1,987;-3,043;2,251;7,395;-1,3
"mesure";-3,969;2,517;-8,297;-6,163;20,174;28,952;1,346;0,163;-0,004;-3,242;-0,17;-0,127;-7,173
"trump";-7,583;-3,327;-4,502;-6,013;-3,521;-9,912;-7,584;-3,393;-1,252;-3,162;246,07;106,077;-5,207
"romand";-3,624;-0,002;5,164;8,859;0,942;0,838;-0,248;-1,532;-4,836;-0,308;-6,205;-2,95;5,452
"marquer";10,284;-3,077;-5,425;-3,598;-1,66;-0,602;-0,532;3,259;-2,931;-2,925;-0,031;5,559;19,061
"désormais";0,029;34,582;-5,785;-3,814;0,285;4,264;-0,008;0,283;-3,213;-3,043;-0,502;3,018;-0,188
"vaudois";-0,114;-1,55;6,366;2,392;7,574;0,216;-4,103;-1,608;-5,045;-1,405;-6,365;24,968;-1,543
"atteindre";-0,155;33,341;-2,045;-3,239;1,714;0,033;6,667;0,572;-5,664;-2,727;-0,893;-4,304;1,025
"ouvrir";6,659;-2,911;-6,791;-0,158;-0,499;0,02;-0,342;3,809;0,163;-0,158;-5,569;0,994;5,96
"début";6,384;-1,22;5,257;-0,182;-0,536;4,049;-6,509;-1,27;-5,883;-1,096;1,688;0,923;-0,311
"sport";23,714;-2,827;-0,056;-3,168;-2,741;-2,991;-6,153;-2,884;67,481;8,134;-5,41;-4,241;-1,408
"situation";-7,298;5,479;-9,817;-5,787;0,004;-0,021;6,276;16,32;0,015;1,627;7,983;1,553;-8,443
"population";-7,298;8,589;-7,668;-3,814;1,012;33,015;6,276;2,894;-0,415;0,451;-2,533;-1,462;-6,516
"ligne";0,093;2,033;-6,513;-0,728;1,023;11,095;11,56;-0,574;-0,985;-2,019;1,493;-3,186;-7,046
"attendre";0,983;4,489;0,037;-1,626;-1,281;-0,015;-2,764;0,667;0,284;-0,112;0,278;4,663;-2,336
"octobre";1,446;-1,256;-7,041;-3,454;-0,574;-1,177;-6,628;0,448;-0,75;-2,846;39,407;2,052;9,311
"enquête";-6,919;-1,292;-7,167;-5,486;2,68;-1,251;12,204;13,258;1,134;0,61;0,583;8,446;-5,993
"cas";-4,973;9,351;-0,011;-2,06;1,244;3,426;5,271;17,552;-0,023;-1,198;-2,327;-2,715;-8,035
"déclarer";0,743;1,915;-1,168;-5,26;-1,441;-1,034;-0,342;-2,968;-1,44;-2,767;47,517;0,994;0,35
"créer";-0,243;-2,994;-5,187;-0,852;-1,549;2,488;0,765;-3,053;-0,222;-0,193;0,642;-1,22;23,772
"continuer";-0,276;-3,035;-7,167;-0,9;0,448;1,319;12,204;0,002;0,452;-0,211;0,583;-2,656;0,008
"animal";-6,445;272,077;-1,953;4,272;-2,741;-4,496;0,077;-0,208;-3,804;0,081;-3,447;-4,241;-0,004
"venir";0,305;-0,165;16,713;-3,096;-1,281;-0,268;-0,006;-1,124;-1,221;-0,112;-0,794;-2,307;5,063
"proposer";-2,862;-0,202;7,804;-3,239;5,309;0,92;1,034;-2,926;-2,473;-1,029;0;-1,078;0,41
"âge";-0,243;0,01;11,316;0,23;1,419;-3,406;7,789;-1,307;-4,213;-2,846;-3,751;-0,356;0,247
"journée";-4,514;-2,869;1,582;15,442;-2,806;4,511;-1,77;-0,228;-2,473;4,714;-0,23;4,283;-2,544
"christian";-6,919;-1,292;-5,306;-3,526;-3,064;-5,07;-4,914;-3,095;428,705;-0,211;-5,807;-2,656;-5,993
"événement";-0,011;-1,292;-7,167;-3,526;-0,089;0,154;-0,098;0,411;-0,013;-1,164;-1,102;0,149;34,662
"vendredi";2,485;-0,116;-8,161;-1,447;26,322;0,165;-7,778;2,406;-2,03;-0,072;12,55;-0,853;-0,426
"france";5,328;-2,786;-6,417;-0,094;-1,281;0,441;-0,755;-0,189;-2,294;-2,648;0,278;28,22;1,247
"appeler";-2,862;-1,148;-3,291;1,134;0,659;-0,965;1,983;0,572;2,747;-2,727;3,423;0,266;-0,722
"violence";-1,656;0,022;-8,924;-1,81;-4,788;0,02;0,037;110,789;-0,639;-0,158;10,189;-0,001;-2,649
"lieu";0;-2,911;-3,398;-0,158;-1,441;-4,725;-0,342;-0,248;-1,44;-2,767;7,45;0,994;37,701
"complet";-0,491;-1,007;-4,361;-2,954;-2,549;-0,704;-4,02;-0,152;-3,5;742,839;-5,172;-2,191;-6,817
"suite";3,688;-0,148;-8,415;-3,025;-0,36;-0,229;-0,694;0,047;-3,601;8,655;6,098;7,48;0,167
"nuit";-0,742;1,2;21,438;-3,095;0,059;-1,585;-3,004;-1,746;-0,349;-1,628;5,709;-0,876;0,244
"saison";260,509;-0,061;0,012;-4,511;-0,925;-7,437;-5,207;-0,875;-3;-0,737;-4,775;-3,744;-0,781
"réseau";-2,697;2,212;-4,595;-1,626;-0,015;-0,268;18,411;4,277;-1,221;-2,648;0,003;0,34;0,13
"risque";-3,785;2,927;-7,78;-2,672;-0,21;-3,706;149,63;0,127;-1,774;-2,412;0,585;-1,963;-6,278
"nombre";-2,779;195,655;-4,713;-5,11;28,701;-0,897;-0,26;0,618;-0,534;-0,996;-1,925;-2,365;-7,222
"montrer";-0,734;1,915;-3,398;-0,759;-1,441;-4,725;31,712;0,528;-5,774;0,055;-0,002;-0,001;2,895
"histoire";14,596;-0,116;-1,597;0,08;-1,125;-2,585;-2,469;-2,714;-5,118;0,154;-3,145;0,474;30,568
"gaza";-6,729;-2,952;-9,051;-5,336;-4,856;-0,081;-3,167;1,706;-0,694;-2,806;424,235;-4,428;-5,734
"fête";-2,129;-0,835;116,543;-4,511;-0,925;-2,191;-3,471;-0,875;-1,69;-2,372;-2,845;-3,744;5,316
"association";-0,734;0,022;-6,791;-1,81;-0,499;35,086;4,556;1,794;-4,008;-2,767;-3,599;4,103;-0,788
"victime";-1,313;-2,703;-6,168;-4,885;-2,549;-0,193;5,884;184,344;-0,043;-2,569;-0,126;2,956;-6,817
"retour";30,647;-1,007;1,153;-1,506;-1,176;5,562;-1,438;-1,051;-3,5;-0,085;-0,126;-2,191;-0,481
"rapport";-2,451;5,025;-6,044;-0,501;9,405;0;28,387;12,042;-5,118;-0,864;-0,105;-2,134;-6,682
"gouvernement";-6,161;-2,703;-8,288;-4,885;-0,328;2,43;-0,635;-1,051;0,388;-0,085;1,174;153,381;-4,961
"effet";-0,021;13,24;-4,012;-0,022;-1,024;-1,29;39,971;-0,945;-0,88;-0,8;-2,994;-0,109;-0,325
"armée";-5,784;-0,869;-1,342;-0,385;-4,174;-5,463;-2,181;-0,91;-3,099;-2,412;382,69;-1,963;-4,452
"cours";-6,161;0,077;-0,257;-4,885;0,929;2,43;2,625;11,689;0,388;-2,569;0,015;2,956;-6,817
"succès";40,222;0,787;-1,773;0,49;-2,613;-0,767;-4,131;0,047;-3,601;-2,609;-0,745;-4,117;11,927
"région";-2,289;-0,087;-4,012;0,127;-2,358;2,983;1,895;0,107;-3,199;-2,451;26,425;-0,766;0,046
"record";58,465;-0,735;-1,023;-1,046;0,568;-3,263;-0,838;-0,772;-0,576;-2,255;-1,227;-0,562;1,645
"présenter";-0,93;0,201;0,025;0,221;-0,159;12,821;-0,021;1,166;-2,902;-0,706;-0,024;-0,641;-0,712
"image";0,521;0,967;-2,658;-1,388;-2,422;-7,807;6,499;-2,672;1,294;1,178;-3,069;0,525;8,364
"famille";-4,331;0,051;-0,039;9,508;-0,015;0,441;-1,602;11,018;-5,446;-0,962;-3,371;13,957;-0,156
"décision";-2,532;-2,703;-8,288;-4,885;3,951;35,474;1,482;-2,757;-1,081;0,133;0,015;11,016;-4,961
"centre";-0,248;-2,455;-3,666;-1,157;-0,159;27,632;5,704;-2,503;-0,692;-2,333;-0,434;2,059;-0,712
"toucher";-1,737;16,37;-1,858;-4,137;17,376;-0,77;0,222;28,711;-2,512;-0,583;-1,107;-1,625;-0,457
"revenir";7,34;-2,496;-1,26;2,112;2,891;-2,191;-0,368;0,148;-0,19;-0,737;-1,411;-3,744;5,316
"européen";-2,049;1,253;-5,424;-2,531;-0,159;42,427;0,489;1,166;-2,902;-0,706;1,829;0,101;-6,009
"donner";-1,313;-2,703;2,159;17,467;-2,549;2,43;2,625;-2,757;-2,117;-2,569;-0,698;0,014;-0,481
"course";51,429;-2,372;2,3;4,498;-2,043;-0,91;-3,147;-2,419;-0,1;-2,255;-2,621;-0,562;-0,579
"ancien";-0,048;0,904;-0,749;-0,501;-2,485;-2,585;-3,909;-1,016;-3,399;0,154;1,268;76,528;0,256
"train";-1,944;-0,853;3,504;0,244;-0,079;1,509;-0,025;-0,87;0,467;-0,811;0,173;-1,279;-0,108
"mardi";0,23;0,229;-7,399;-4,362;1,575;3,865;-3,255;-0,806;-2,804;-2,294;5,827;50,635;-2,603
"important";-0,033;-0,937;-2,658;-2,813;1,088;0,737;8,752;-0,119;-0,303;-2,491;30,832;-3,93;-4,706
"christophe";-6,067;-2,662;-8,161;-2,883;-4,378;-5,824;-7,778;-1,016;318,207;40,187;-3,145;-3,992;-8,828
"soutenir";-5,972;0,967;-8,034;-4,736;-4,31;37,632;-0,098;0,891;-1,944;-0,832;6,921;20,383;-4,706
"seul";1,271;-0,116;-2,762;5,125;-1,125;13,161;2,807;-0,136;-0,345;-2,53;-0,105;-0,853;-6,682
"ministre";-5,972;-0,937;-8,034;-4,736;-1,074;-1,371;-2,372;-0,98;-0,945;-2,491;98,713;98,588;-4,706
"mercredi";0,658;1,103;-3,896;-4,586;0,357;0,923;-0,053;0,127;-6,853;-0,768;0,585;21,614;-0,018
"meilleur";88,84;-2,413;-0,398;-0,281;-0,136;-3,373;-0,278;-0,051;-2,804;-0,675;-2,695;-3,62;1,498
"donald";-6,161;-2,703;-6,168;-4,885;-4,447;-8,054;-7,899;-2,757;-1,081;-2,569;224,779;94,447;-3,4
"diffuser";-1,851;-0,812;-0,745;0,321;-0,053;-0,012;-0,007;-0,828;0,001;-0,772;0,239;0,681;6,353
"question";-2,369;-0,937;51,824;3,298;0;-0,585;0,255;-0,98;-0,945;-0,832;-1,6;-2,077;-4,706
"pexels";-4,057;0,093;-6,044;-4,811;-2,485;-4,043;2,807;-1,016;153,621;5,638;-5,092;-3,992;-3,284
"compte";-2,049;-0,801;-5,424;0,221;5,219;1,138;5,704;-0,063;-1,607;10,791;-1,349;-1,849;-0,002
"autorité";-5,784;9,196;-5,672;-4,586;-2,295;6,811;-2,181;13,176;-1,774;0,227;38,517;0,639;-6,278
"victoire";368,191;-2,537;-7,78;-4,586;-4,174;-5,463;-5,325;-2,588;-1,774;-2,412;-0,517;3,607;-8,416
"israélien";-4,936;-2,165;-6,639;-3,914;-3,562;-6,452;-6,328;-2,208;-2,226;-2,058;533,143;0,331;-7,182
"estimer";-3,694;-0,061;-5,548;-2,602;19,028;3,402;7,526;-0,875;0,184;-2,372;5,303;-1,906;-4,326
"école";-5,218;3,847;11,241;0,01;0,699;11,957;-2,933;3,668;-1,286;-2,176;-4,38;-0,485;-3,701
"seulement";36,476;3,208;-7,526;-1,157;-0,159;-2,095;16,624;-0,063;-2,902;-0,706;-1,349;-3,682;-0,195
"minute";67,761;-2,331;-0,301;-4,212;-1,981;-0,237;-1,717;-0,738;-2,609;-2,215;-1,167;-0,022;6,653
"mener";1,614;1,103;-7,78;-0,385;-0,974;-0,474;1,032;8,851;-0,816;-0,768;17,872;0,062;-4,452
"haut";2,499;0,327;-4,931;29,477;-0,075;0,179;-4,621;-0,704;-1,286;-0,583;2,398;-1,625;-0,068
"habitant";-0,93;26,512;-3,666;6,404;-2,169;-1,058;-1,993;25,735;-4,576;-0,023;3,441;-3,682;-0,002
"beau";12,344;-0,669;65,104;4,976;-3,766;-6,821;-4,621;-0,704;-6,183;-0,583;-4,38;-1,625;-0,068
"raison";-0,181;3,514;-2,053;-2,392;8,626;1,384;4,369;6,277;-4,36;-2,255;-0,007;-0,033;-3,95
"accord";-5,218;-0,669;-7,019;-4,137;-0,075;0;-4,621;-0,704;-1,286;-2,176;294,294;-0,014;-5,474
