"";"classe 1";"classe 2"
"chercher";1;0,008
"continuer";1;0,039
"apprendre";1;0,157
"etc";0,168;1
"étude";0;1
"trump";0;1
"expliquer";0;1
"source";0;1
"animal";1;0
"étranger";0,001;1
"info";0;1
"entendre";1;0,181
"agir";0,728;1
"policier";1;0,082
"important";1;0,045
"exactement";0;1
"dernier";1;0,965
"mot";0,633;1
"famille";1;0
"absolument";0,016;1
"propre";1;0,854
"population";1;0,145
"façon";1;0,018
"simplement";0;1
"oeil";1;0
"fait";0;1
"réfléchir";1;0,013
"peur";1;0
"udc";0;1
"pire";1;0
"défendre";0,037;1
"sembler";0,003;1
"raciste";0;1
"oublier";1;0,876
"débat";0,001;1
"suivre";0;1
"initiative";0,062;1
"clairement";0,002;1
"tête";1;0
"nouveau";1;0,112
"média";0;1
"respect";1;0
"écouter";0,267;1
"meilleur";1;0,005
"jouer";1;0,002
"gros";1;0,065
"preuve";0;1
"information";0;1
"travailler";1;0
"système";0,135;1
"suffire";0,002;1
"intérêt";0;1
"emji_visage_en_pleine_réflexion";0,29;1
"réseau";0;1
"pareil";1;0,016
"long";1;0,001
"fou";1;0
"choix";1;0,974
"blanc";0,112;1
"marcher";1;0
"journée";1;0
"choisir";1;0,414
"facile";1;0,1
"truc";1;0
"image";0;1
"franchement";1;0
"public";0;1
"argent";1;0,104
"justice";1;0
"culture";0;1
"contraire";0,002;1
"vérité";0,074;1
"remettre";1;0,097
"discours";0;1
"ville";1;0
"valoir";1;0,001
"valeur";0,055;1
"souhaiter";1;0
"opinion";0;1
"plaindre";1;0,043
"peine";1;0
"citoyen";1;0,001
"bref";0,724;1
"réel";0;1
"meme";1;0
"foutre";1;0
"faute";1;0,053
"simple";0,92;1
"uniquement";1;0,797
"tenir";0,597;1
"retrouver";1;0
"prochain";1;0
"démocratie";0;1
"solution";1;0,024
"préférer";1;0,005
"libre";1;0
"heure";1;0
"soutenir";0,002;1
"imaginer";1;0,304
"europe";1;0
"envie";1;0
"armée";1;0,01
"protéger";1;0,131
"post";0;1
"moyen";1;0,084
"racisme";0;1
"porte";1;0,223
"message";0,001;1
"face";0,363;1
"concerner";0,013;1
"tomber";1;0,005
"sérieux";0,013;1
"emji_applaudissements";1;0,895
"décision";1;0,521
"titre";0,001;1
"pauvre";1;0
"partager";1;0,145
"haine";0;1
"totalement";0,001;1
"renseigner";0,504;1
"humanité";1;0
"type";0;1
"possible";1;0,013
"plaisir";1;0
"heureusement";1;0
"livre";0,009;1
"intéressant";0;1
"difficile";0,256;1
"aide";1;0
"éviter";0,167;1
"traiter";0,108;1
"rappeler";0,611;1
"personnel";0,711;1
"payer";1;0,093
"haut";1;0,221
"mesure";0;1
"manifestation";1;0,001
"homme";1;0,219
"gouvernement";1;0,001
"base";0;1
"bas";1;0
"scientifique";0;1
"guerre";1;0
"doute";0,929;1
"critique";0;1
"corps";1;0
"sauver";1;0
"rue";1;0
"mériter";1;0,053
"créer";0,929;1
"super";1;0
"normal";1;0,137
"garder";1;0
"emji_se_rouler_par_terre_de_rire";0,029;1
"clair";1;0,503
"vote";0;1
"service";1;0,004
"expression";0;1
"coeur";1;0
"entier";1;0,012
"critiquer";0,002;1
"photo";0;1
"manger";1;0
"fermer";1;0
"bout";1;0
"évidemment";0,008;1
"svp";0;1
"statistique";0;1
"impression";0,421;1
"effet";0,008;1
"déranger";1;0,148
"cours";0;1
"époque";0,189;1
"sécurité";1;0,108
"responsabilité";1;0,898
"paix";1;0
"esprit";0,355;1
"école";0,827;1
"terre";1;0
"résultat";1;0,631
"respecter";1;0,388
"parent";1;0,003
"majorité";0,002;1
"intéresser";0,017;1
"grave";0,114;1
"fonctionner";0;1
"effectivement";0,002;1
"air";1;0,215
"sûrement";1;0
"lien";0,001;1
"exprimer";0;1
"différent";0,448;1
"but";0,948;1
"ami";1;0,142
"seulement";0,001;1
"juger";0,462;1
"fond";0,066;1
"complètement";0;1
"accepter";1;0,028
"souci";1;0,194
"responsable";1;0,011
"prouver";0,321;1
"phrase";0;1
"nouvelle";1;0,006
"métier";1;0,125
"empêcher";1;0,279
"emji_visage_souriant_avec_une_goutte_de_sueur";0,784;1
"chiffre";0;1
"apporter";0;1
"riche";0,122;1
"représenter";0;1
"occuper";1;0
"immigration";0;1
"genève";1;0
"forme";0,001;1
"envoyer";1;0
"également";0,002;1
"âge";1;0,154
"semaine";1;0,002
"risque";0,091;1
"relever";0;1
"interdire";1;0,075
"décider";1;0
"dangereux";0,909;1
"victime";1;0,003
"objet";0;1
"mineur";0,004;1
"mec";1;0,331
"logique";0,034;1
"etre";1;0,036
"revenir";0,492;1
"rentrer";1;0
"journaliste";0;1
"fédéral";0;1
"forcément";0,163;1
"début";1;0,39
"dur";1;0,004
"éducation";0,413;1
"voler";1;0,275
"mort";1;0,075
"mentionner";0;1
"main";1;0,002
"européen";1;0,094
"emji_drapeau_suisse";0,762;1
"danger";1;0,003
"courir";1;0,002
"conseil";0,331;1
"actuel";1;0,961
"vieux";1;0,075
"erreur";0;1
"conséquence";1;0,531
"conscience";1;0,019
"commenter";0;1
"art";0;1
"tuer";1;0
"suite";1;0
"profil";0;1
"porter";1;0,019
"physique";0;1
"groupe";0;1
"cest";1;0
"capable";1;0,006
"cacher";0,169;1
"adulte";1;0,497
"voisin";1;0
"règle";0,426;1
"plaque";1;0
"plaire";0,126;1
"nom";0,01;1
"gauchiste";0,004;1
"film";0,094;1
"engager";1;0
"discuter";0,001;1
"bouger";1;0
"proche";1;0,067
"mentalité";1;0
"manifester";1;0,001
"limite";1;0,002
"jeu";1;0
"emji_visage_de_clown";1;0,252
"compliqué";1;0,001
"chance";1;0
"campagne";0;1
"visiblement";1;0,895
"ridicule";0,022;1
"relire";0;1
"présenter";0;1
"origine";0;1
"détruire";1;0
"drogue";1;0
"différence";0;1
"content";1;0
"considérer";0,283;1
"socialiste";0,003;1
"principe";0,006;1
"oser";1;0,427
"honte";1;0,015
"effort";1;0,222
"certainement";0,015;1
"bloquer";1;0,27
"assumer";0,66;1
"acte";0;1
"pousser";0,789;1
"perso";1;0
"minimum";0,014;1
"joli";1;0,822
"ensemble";0,373;1
"emji_visage_souriant_avec_yeux_rieurs";1;0,008
"couper";1;0
"casser";1;0,001
"avancer";1;0,137
"voix";0,095;1
"subir";1;0,241
"nationalité";0,003;1
"mdr";1;0
"génération";1;0
"feu";1;0
"affaire";0,131;1
"accueillir";1;0
"rôle";0;1
"régime";0;1
"réagir";0,131;1
"refuser";0,927;1
"mode";1;0,137
"informer";0;1
"courage";1;0
"connerie";1;0
"cher";1;0,171
"analyse";0;1
"action";1;0,357
"toucher";1;0,466
"top";1;0
"réflexion";0,014;1
"retourner";1;0,045
"raconter";0;1
"publication";0;1
"président";0,067;1
"profiter";1;0,091
"problématique";0,005;1
"participer";0,486;1
"paraître";0;1
"intelligent";1;0,001
"inquiéter";1;0,003
"individu";0,032;1
"expérience";0,131;1
"bonjour";0;1
"arme";1;0,51
"répéter";0;1
"publier";0;1
"présent";1;0,076
"planète";1;0,004
"nombreux";0,001;1
"neutre";0;1
"frontalier";0,88;1
"emji_pouce_vers_le_haut";0,008;1
"doigt";1;0,011
"cerveau";1;0,148
"vision";1;0,015
"viser";0,503;1
"total";1;0,321
"terrain";1;0,002
"reconnaître";0,067;1
"nombre";1;0,853
"membre";0,914;1
"justifier";0;1
"idéologie";0;1
"gérer";1;0,002
"général";0;1
"couleur";1;0,125
"conseiller";0,182;1
"bcp";1;0,004
"avenir";1;0,02
"vivant";1;0,001
"tour";1;0,286
"santé";0,52;1
"protection";1;0,011
"excuser";0,003;1
"étonner";1;0
"violent";0,004;1
"user";0,012;1
"proposer";0,325;1
"probablement";1;0,351
"nécessaire";1;0,601
"liste";0,185;1
"habitude";0,185;1
"courant";1;0,286
"connaissance";0;1
"changement";0,135;1
"artiste";0,064;1
"américain";0,88;1
"acheter";1;0
"équipe";1;0
"tourner";1;0
"tenter";0,185;1
"souffrance";1;0,08
"science";0;1
"réveiller";1;0
"revoir";1;0,702
"reportage";0,002;1
"raisonnement";0;1
"monter";0,029;1
"minorité";0;1
"lausanne";1;0,001
"job";1;0
"internet";0,095;1
"développer";1;0,351
"débattre";0,325;1
"conflit";0,334;1
"comportement";0,002;1
"citer";0;1
"élection";0,001;1
"volonté";0,256;1
"sorte";0,423;1
"retour";1;0,201
"personnellement";1;0,351
"peau";1;0,47
"page";0;1
"mois";1;0,001
"lancer";1;0,201
"historique";0,001;1
"final";1;0,001
"empathie";1;0,351
"direct";0,016;1
"confondre";0;1
"appliquer";0;1
"apparemment";1;0,558
"amener";0,006;1
"économique";0;1
"soin";1;0,007
"réjouir";1;0,001
"réellement";0,559;1
"remarquer";0,043;1
"recherche";0,006;1
"recevoir";0,334;1
"pensée";1;0,252
"palestine";1;0,659
"noir";0,018;1
"nature";1;0
"intelligence";0;1
"incroyable";1;0
"habiter";1;0
"gagner";1;0,028
"futur";1;0,028
"fumer";1;0
"foot";1;0
"désolé";0,018;1
"contrairement";1;0,427
"bêtise";1;0,067
"bientôt";1;0,001
"événement";0,674;1
"vérifier";0;1
"ue";0,896;1
"sauter";1;0
"relation";0,344;1
"prison";1;0,001
"positif";0;1
"mondial";1;0,015
"enquête";0;1
"emji_visage_souriant_avec_une_larme";1;0,052
"dénoncer";0;1
"découvrir";1;0,769
"discussion";0;1
"confirmer";0,001;1
"condamner";0;1
"brésil";1;0,843
"avance";1;0,007
"pur";0,094;1
"poste";1;0,887
"pertinent";0;1
"mentir";0;1
"maison";1;0,002
"lol";0,042;1
"gars";0,988;1
"fonction";0,002;1
"constater";0,016;1
"concret";0;1
"boulot";1;0,001
"sérieusement";1;0,028
"ressembler";1;0,014
"reprocher";1;0,014
"précis";0;1
"instagram";0;1
"individuel";0,063;1
"imposer";0,008;1
"fille";1;0,067
"bourgeois";1;0,144
"bosser";1;0,007
"baser";0;1
"association";0,451;1
"améliorer";1;0,185
"théorie";0,353;1
"réussir";1;0
"réaction";0,061;1
"qualité";1;0,038
"pied";1;0,002
"littéralement";0;1
"intervenir";1;0,052
"ignorer";0,353;1
"honnêtement";1;0,566
"explication";0;1
"espèce";0,896;1
"epstein";0;1
"emji_mains_levées";0,192;1
"définition";0;1
"décrire";0;1
"degré";1;0,006
"culturel";0,192;1
"confiance";0,136;1
"concept";0,859;1
"biais";0;1
"attaquer";0,194;1
"évoluer";1;0,118
"vol";0,024;1
"prétendre";0,008;1
"parole";1;0,376
"méthode";0,038;1
"musée";0,896;1
"milieu";1;0,3
"lutte";0;1
"intégrer";0,002;1
"intervention";1;0,676
"fier";0,059;1
"fatiguer";1;0,007
"etait";1;0,01
"emji_visage_souriant_avec_yeux_plissés";1;0,573
"démontrer";0;1
"dossier";0,004;1
"course";1;0
"choquer";0;1
"canton";1;0,747
"actuellement";1;0,007
"étudier";0,135;1
"élu";0;1
"voie";0,761;1
"utile";1;0,01
"train";1;0,07
"supprimer";0,001;1
"souvenir";1;0,3
"solidarité";1;0,014
"retirer";1;0,625
"papier";0,273;1
"p";0,896;1
"outil";0,135;1
"ordre";0,363;1
"obliger";1;0,001
"nuit";1;0,001
"mélanger";0,092;1
"ignorance";0;1
"horreur";1;0,094
"frontière";1;0,07
"fameux";0;1
"extrêmement";0,038;1
"emji_mains_en_prière";1;0,002
"dictature";1;0,747
"crier";1;0,3
"compter";1;0,518
"complexe";0,004;1
"appartenir";1;0,003
"accompagner";1;0,01
"vendre";1;0,125
"texte";0;1
"stp";1;0,467
"souffrir";1;0,001
"national";0,09;1
"inverse";0,001;1
"inventer";1;0,376
"fête";1;0
"fric";1;0,006
"formation";1;0,747
"excellent";1;0,019
"essentiel";0,007;1
"endroit";1;0,014
"emji_coeur_rouge";1;0,009
"démocratique";0;1
"donnée";0;1
"directement";0,059;1
"correctement";0,059;1
"correct";0,012;1
"commun";0,036;1
"climatique";0;1
"centre";0,761;1
"capitalisme";0,002;1
"camp";0,09;1
"battre";1;0,094
"autrement";1;0,014
"arranger";0,135;1
"affirmer";0,09;1
"acteur";0,001;1
"abuser";1;0,004
"émotion";0,09;1
"us";0,794;1
"ultra";0,004;1
"sympa";1;0,165
"seconde";1;0,879
"région";1;0,693
"ramener";0,501;1
"quotidien";1;0,052
"ps";1;0,879
"produire";0,374;1
"privé";0,197;1
"politicien";0,09;1
"nourrir";0,196;1
"mur";1;0
"morale";0,001;1
"militaire";1;0,258
"ligne";0,012;1
"lier";0;1
"insulter";0,087;1
"impliquer";0,134;1
"hypocrisie";1;0,747
"honteux";1;0,258
"goût";1;0
"gentil";1;0,415
"facilement";0,004;1
"ex";0,036;1
"désoler";1;0,019
"dieu";1;0
"comparer";0,036;1
"climat";0;1
"chemin";1;0,002
"capacité";0;1
"élément";0;1
"tres";1;0
"travers";0,501;1
"talent";1;0,052
"scène";0,001;1
"qqch";1;0,002
"prêt";1;0,165
"pro";0,011;1
"prix";1;0,693
"mémoire";0,501;1
"mourir";1;0,001
"lumière";1;0,329
"jugement";1;0,879
"jeter";1;0
"inviter";0,006;1
"inutile";1;0,329
"inspirer";1;0,131
"idéologique";0;1
"gosse";1;0,003
"finalement";1;0,879
"engagement";0,794;1
"emji_yeux";0,654;1
"dimanche";1;0,001
"contrôle";0,278;1
"conclusion";0;1
"complet";0;1
"avantage";0,011;1
"atteindre";1;0,415
"éduquer";1;0,003
"échange";1;0,012
"tromper";1;0,137
"tirer";0;1
"tendance";0,132;1
"sincèrement";1;0,012
"scandale";1;0,012
"reprendre";0,033;1
"refaire";1;0,001
"race";0,001;1
"raccourci";0,005;1
"pub";0,033;1
"pratique";0,519;1
"placer";0,033;1
"personnage";0,002;1
"ongle";1;0,001
"offrir";1;0,693
"obtenir";0,001;1
"objectif";0;1
"mener";0,654;1
"lâcher";0,197;1
"local";0,197;1
"leçon";1;0,001
"insta";0,001;1
"hyper";1;0,281
"gêner";1;0,281
"fonder";0;1
"emji_visage_roulant_des_yeux";1;0,216
"emji_tête_à_l_envers";1;0,281
"domaine";0,682;1
"disparaître";1;0,361
"corruption";0;1
"compréhension";0;1
"chien";1;0,001
"adorer";1;0,038
"xénophobe";0,002;1
"transparence";0,018;1
"surprendre";0,282;1
"soigner";1;0
"site";0;1
"résoudre";1;0,018
"rare";1;0,517
"poids";0;1
"plan";1;0,073
"phénomène";0;1
"numéro";0,871;1
"nuance";0,005;1
"notion";0;1
"notamment";0,018;1
"naître";1;0,011
"minute";1;0,281
"militant";0;1
"match";1;0
"marre";1;0,281
"manif";1;0,001
"maman";1;0,002
"lit";0,282;1
"lecture";0;1
"intérieur";1;0,007
"impossible";1;0,281
"foi";0,005;1
"flic";1;0,005
"factuel";0;1
"espace";1;0,073
"déni";0,001;1
"date";1;0,001
"copain";1;0,975
"consommation";1;0,131
"collectif";0,005;1
"citation";0;1
"charger";1;0,975
"censurer";0;1
"censure";0;1
"bord";1;0,052
"attaque";0;1
"accès";1;0,975
"zéro";0;1
"soutien";1;0,975
"sein";1;0,002
"sacré";0,871;1
"répression";0,286;1
"remercier";1;0,233
"position";0;1
"populaire";0;1
"officiel";0,002;1
"mouvement";0;1
"millier";1;0,233
"marrant";0,197;1
"horrible";1;0,002
"honneur";1;0,1
"génocide";0,197;1
"fragile";1;0,1
"financer";0;1
"fiction";0;1
"emji_visage_qui_regarde_entre_ses_doigts";1;0,004
"emji_visage_avec_des_symboles_dans_la_bouche";1;0,138
"effacer";0,009;1
"décennie";0,539;1
"criminel";1;0,036
"contredire";0;1
"contexte";0;1
"contenu";0,002;1
"contenir";0;1
"confort";1;0,073
"communiste";0;1
"bête";1;0,637
"appel";1;0,361
"allemand";0,713;1
"agression";1;0,975
"élire";0,004;1
"économie";0,007;1
"ukrainien";1;0,016
"tolérance";0,713;1
"style";1;0,051
"soirée";1;0,036
"sentiment";0,007;1
"réfléchi";0,286;1
"retenir";1;0,233
"ressentir";1;0,004
"quitter";1;0,773
"préparer";1;0,773
"profond";0,539;1
"perte";1;0,016
"parfaitement";0;1
"palestinien";0,539;1
"oeuvre";1;0,011
"neutralité";0,013;1
"musique";0,56;1
"moitié";1;0,051
"marque";1;0,576
"légal";0;1
"là_bas";1;0,051
"influence";0,015;1
"incapable";1;0,233
"identifier";0,129;1
"etat";0,015;1
"emji_visage_épuisé";1;0,802
"détail";1;0,306
"défense";0,079;1
"drôle";0,406;1
"deja";1;0,233
"dealer";1;0,001
"croiser";1;0
"contribuer";0;1
"construire";0,871;1
"constructif";1;0,011
"chef";1;0,459
"chaîne";0,026;1
"chaud";0,871;1
"capitaliste";0,129;1
"bébé";1;0,233
"avouer";0,871;1
"visage";0,079;1
"vide";1;0,016
"tort";0,003;1
"taper";1;0,186
"taff";1;0,001
"supérieur";0,026;1
"signe";0,026;1
"sensé";0,002;1
"sain";0,196;1
"robot";1;0,072
"rigoler";1;0,101
"remplir";1;0,576
"rassurer";0,196;1
"pénal";0,006;1
"profondément";0,079;1
"poubelle";1;0
"pote";0,073;1
"poster";0;1
"politiquement";0;1
"pointer";1;0,072
"montagne";1;0,137
"maîtriser";0,007;1
"marché";1;0,013
"manifestant";1;0,186
"malade";1;0,023
"juriste";0;1
"international";0,006;1
"intention";0;1
"humour";0,044;1
"habitant";1;0,137
"généralement";0,079;1
"gaza";1;0,306
"filmer";0,56;1
"exposer";0,026;1
"exact";0,002;1
"environnement";1;0,923
"entièrement";0,196;1
"enlever";0,56;1
"emji_visage_soulagé";1;0,051
"emji_visage_envoyant_un_bisou";0,196;1
"débile";1;0,398
"deuxième";1;0,576
"cul";1;0,016
"cracher";1;0,576
"conscient";0,196;1
"conduire";0,417;1
"communauté";0,193;1
"classe";0,079;1
"civil";1;0,072
"cancer";0,417;1
"brésilien";0,915;1
"bras";1;0,072
"augmenter";0,56;1
"assurer";1;0,306
"aspect";0,003;1
"évident";1;0,398
"visible";1;0,712
"unir";0,56;1
"union";1;0,51
"typique";0;1
"traitement";0,125;1
"terrible";1;0,023
"tendre";0,56;1
"série";0,125;1
"signer";0,004;1
"rire";0,023;1
"restaurant";1;0
"respectueux";1;0,001
"ramasser";1;0
"période";1;0,023
"psychologique";0,29;1
"précédent";0,013;1
"programme";0,023;1
"professionnel";1;0,712
"presse";0;1
"pk";1;0,002
"négatif";0;1
"nettoyer";1;0,101
"naïf";1;0,186
"mécanisme";0,013;1
"musulman";1;0,141
"moquer";1;0,398
"matin";1;0,006
"libéral";0,01;1
"lettre";0,002;1
"lamentable";1;0,072
"institution";1;0,712
"installer";0,119;1
"hypocrite";0,417;1
"honnête";1;0,186
"grandir";1;0,023
"gamin";1;0,006
"fuir";0,748;1
"froid";1;0,186
"financier";0,001;1
"ficher";0,001;1
"fenêtre";1;0,186
"faim";1;0,009
"excuse";1;0,023
"exception";0,003;1
"entreprise";0,073;1
"emji_femme_avec_la_paume_sur_le_visage";1;0,063
"creuser";1;0,398
"courageux";1;0,001
"contrôler";1;0,712
"consulter";0;1
"consommer";1;0,186
"conservateur";0;1
"concours";1;0,006
"combat";1;0,072
"code";0;1
"cinéma";0,292;1
"brûler";1;0,009
"bruit";1;0,013
"blague";1;0,006
"ba";1;0
"arabe";0,119;1
"anglais";0,073;1
"éthique";0,006;1
"établir";0,001;1
"énormément";1;0,251
"énorme";1;0,101
"émotionnel";0,001;1
"voyage";1;0,002
"tt";1;0,002
"tradition";1;0,196
"technique";0,417;1
"surveiller";0;1
"subjectif";0,417;1
"réaliser";1;0,51
"romance";0;1
"remise";0,023;1
"r";1;0,029
"qqn";1;0,003
"projet";0,073;1
"privilégié";0,039;1
"possibilité";1;0,033
"pitié";1;0,003
"parfaire";1;0,101
"opposer";0,417;1
"occidental";1;0,101
"négociation";1;0,048
"nier";0,001;1
"louvre";0;1
"journal";0,023;1
"jalousie";0,748;1
"isolé";0,023;1
"intellectuel";0,023;1
"instant";0,417;1
"identité";0,023;1
"générer";0;1
"fortune";1;0,196
"entrer";1;0,009
"encourager";1;0,51
"emji_visage_souriant_avec_coeurs";1;0,043
"emji_visage_sans_expression";0,048;1
"emji_visage_bâillant";1;0,299
"emji_visage_avec_un_léger_sourire";1;0,019
"emji_personne_avec_la_paume_sur_le_visage";0;1
"démocrate";0,004;1
"dégât";0,748;1
"drame";1;0,009
"don";1;0,866
"description";0;1
"critère";0,023;1
"criminalité";0,119;1
"couvrir";1;0,866
"convaincre";1;0,033
"constat";0;1
"condition";1;0,866
"cognitif";0;1
"catastrophe";1;0,009
"caméra";0,189;1
"bot";0;1
"ancien";1;0,802
"afrique";1;0,009
"adapter";1;0,645
"écran";0,583;1
"échapper";1;0,001
"âme";1;0,802
"ya";1;0,013
"véritable";1;0,013
"virer";0,964;1
"vert";0,786;1
"usage";0,607;1
"urgence";1;0,44
"ukraine";1;0,269
"terminer";1;0,003
"stop";1;0,048
"stats";0,001;1
"soir";1;0
"siècle";0,964;1
"serafe";0;1
"semblant";0,583;1
"renforcer";1;0,802
"ravir";0,292;1
"psy";1;0,013
"prévention";0,066;1
"pression";1;0,013
"observer";0,292;1
"nouvel";1;0,048
"note";0;1
"norme";0,189;1
"nan";1;0,572
"méchant";0,786;1
"moral";1;0,141
"minimiser";0,292;1
"mental";0,002;1
"limiter";0,002;1
"journalisme";0;1
"hiver";1;0,013
"fasciste";0;1
"fan";0,01;1
"espoir";1;0,334
"enjeu";0,292;1
"enfance";1;0,048
"démarche";0,583;1
"discrimination";0;1
"diffuser";0;1
"convenir";0,964;1
"compétition";1;0,048
"collègue";1;0,141
"chute";1;0,048
"chine";1;0,048
"centaine";1;0,013
"cambriolage";0;1
"cadre";0;1
"bizarre";0,292;1
"balancer";0,786;1
"argumenter";0,01;1
"application";0;1
"amour";1;0,003
"accuser";1;0,141
"abe";1;0,013
"1er";0,964;1
"égoïste";1;0,019
"église";1;0,07
"télé";0,189;1
"troll";0;1
"transmettre";0,004;1
"the";0;1
"stade";1;0,196
"signifier";0;1
"sensible";1;0,44
"rêve";1;0,004
"réchauffement";0,001;1
"route";1;0,029
"refléter";0,786;1
"rabaisser";1;0,49
"qqun";1;0,143
"purement";0;1
"punir";1;0,196
"proposition";0,004;1
"produit";1;0,73
"procédure";0;1
"portugal";1;0,029
"poil";1;0,196
"pcq";0,428;1
"parlement";0,066;1
"panier";1;0,001
"nation";1;0,029
"multiple";0,066;1
"mensonge";0;1
"marketing";0;1
"manipulation";0,008;1
"maladie";0,428;1
"lutter";0,001;1
"lune";1;0,203
"juge";0,004;1
"joyeux";1;0,015
"israël";0,607;1
"ironie";1;0,07
"interpréter";0;1
"injustice";0,428;1
"ignorant";0;1
"heureux";1;0,269
"hamas";1;0,019
"foyer";1;0,269
"fondamental";0,001;1
"fascisme";0,004;1
"espagne";1;0,44
"employé";0,018;1
"emji_ok";1;0,196
"eau";1;0,029
"détresse";1;0,1
"dépasser";0,786;1
"décidément";1;0,019
"diriger";1;0,196
"corriger";0,066;1
"cool";1;0,004
"conviction";0,189;1
"constitution";0,001;1
"conclure";0,066;1
"compétence";0,001;1
"communication";0,004;1
"colère";1;0,07
"coin";1;0,019
"chambre";1;0,802
"billet";1;0,006
"biaisé";0;1
"berner";1;0,07
"bel";0,018;1
"beauté";1;0,001
"bandit";1;0,001
"apprécier";0,786;1
"affect";0;1
"adopter";1;0,1
"adn";0,033;1
"absurde";0,786;1
"évolution";1;0,015
"étrange";0,111;1
"étonnant";1;0,979
"épisode";1;0,015
"égal";1;0,73
"écologique";0,111;1
"échelle";0,111;1
"viol";0,014;1
"utilisation";0,003;1
"tjrs";1;0,143
"tjr";1;0,001
"théâtre";0,292;1
"taire";0;1
"surprenant";0,001;1
"strictement";0;1
"spécial";1;0,269
"soulever";0;1
"sondage";1;0,915
"signature";1;0,269
"section";0,058;1
"sang";1;0,979
"roi";1;0,029
"riponne";1;0,029
"rigueur";0,001;1
"revanche";0;1
"religion";0,008;1
"rejoindre";0,033;1
"quasiment";1;0,979
"préciser";0,607;1
"principal";0,001;1
"polémique";0,008;1
"pencher";1;0,572
"patrimoine";0,008;1
"pathétique";1;0,029
"passage";1;0,979
"parcours";1;0,979
"organiser";1;0,1
"occasion";1;0,979
"objectivité";0,001;1
"nu";1;0,365
"navrer";1;0,572
"naturel";1;0,1
"milei";0;1
"migrant";1;0,1
"menace";0,111;1
"masse";0,003;1
"lula";0,607;1
"largement";0;1
"jai";1;0,004
"inscrire";1;0,979
"inquiétant";0;1
"inconnu";0,111;1
"illustre";0;1
"hésiter";1;0,1
"hasard";1;0,979
"hab";0,292;1
"féminin";1;0,043
"frapper";1;0,365
"fournir";0,111;1
"forcer";0,438;1
"finance";1;0,006
"extrémiste";0;1
"entraîner";1;0,49
"ennuyer";0,292;1
"enfer";1;0,006
"encadrer";0,001;1
"employer";0,014;1
"emji_visage_qui_fait_un_câlin";1;0,286
"emji_visage_avec_un_sourire_malin";1;0,572
"emji_mains_qui_forment_un_coeur_peau_claire";1;0,015
"ego";1;0,269
"déterminer";0,033;1
"crever";1;0,001
"couple";1;0,043
"condamnation";0;1
"concrètement";0,033;1
"communisme";0,001;1
"club";0,634;1
"chf";0;1
"chatgpt";1;0,365
"chat";1;0,022
"bouche";1;0,1
"blesser";1;0,006
"bienne";1;0,003
"attente";1;0,269
"asf";1;0,002
"argentin";0,001;1
"annoncer";1;0,029
"agent";0,001;1
"accorder";0,003;1
