"";"classe 1";"classe 2"
"présenter";20,896;-20,896
"origine";26,843;-26,843
"détruire";-15,729;15,729
"drogue";-12,745;12,745
"différence";26,843;-26,843
"content";-13,404;13,404
"considérer";1,152;-1,152
"socialiste";8,605;-8,605
"principe";7,518;-7,518
"oser";-0,631;0,631
"honte";-5,931;5,931
"effort";-1,493;1,493
"certainement";5,939;-5,939
"bloquer";-1,216;1,216
"assumer";0,193;-0,193
"acte";12,415;-12,415
"pousser";0,071;-0,071
"perso";-12,745;12,745
"minimum";6,011;-6,011
"joli";-0,05;0,05
"ensemble";0,795;-0,795
"emji_visage_souriant_avec_yeux_rieurs";-7,008;7,008
"couper";-19,479;19,479
"casser";-12,092;12,092
"avancer";-2,214;2,214
"voix";2,79;-2,79
"subir";-1,374;1,374
"nationalité";8,782;-8,782
"mdr";-13,68;13,68
"génération";-14,359;14,359
"feu";-23,866;23,866
"affaire";2,278;-2,278
"accueillir";-28,227;28,227
"rôle";14,043;-14,043
"régime";34,569;-34,569
"réagir";2,278;-2,278
"refuser";0,008;-0,008
"mode";-2,214;2,214
"informer";14,043;-14,043
"courage";-13,006;13,006
"connerie";-21,587;21,587
"cher";-1,872;1,872
"analyse";33,361;-33,361
"action";-0,85;0,85
"toucher";-0,531;0,531
"top";-25,567;25,567
"réflexion";6,093;-6,093
"retourner";-4,031;4,031
"raconter";14,043;-14,043
"publication";25,264;-25,264
"président";3,355;-3,355
"profiter";-2,849;2,849
"problématique";7,929;-7,929
"participer";0,486;-0,486
"paraître";14,043;-14,043
"intelligent";-10,167;10,167
"inquiéter";-8,803;8,803
"individu";4,617;-4,617
"expérience";2,278;-2,278
"bonjour";19,244;-19,244
"arme";-0,435;0,435
"répéter";22,885;-22,885
"publier";29,592;-29,592
"présent";-3,155;3,155
"planète";-8,207;8,207
"nombreux";12,053;-12,053
"neutre";28,343;-28,343
"frontalier";0,023;-0,023
"emji_pouce_vers_le_haut";7,147;-7,147
"doigt";-6,456;6,456
"cerveau";-2,098;2,098
"vision";-5,916;5,916
"viser";0,449;-0,449
"total";-0,984;0,984
"terrain";-9,538;9,538
"reconnaître";3,355;-3,355
"nombre";-0,035;0,035
"membre";0,012;-0,012
"justifier";21,707;-21,707
"idéologie";26,131;-26,131
"gérer";-9,538;9,538
"général";14,439;-14,439
"couleur";-2,352;2,352
"conseiller";1,782;-1,782
"bcp";-8,304;8,304
"avenir";-5,388;5,388
"vivant";-11,281;11,281
"tour";-1,136;1,136
"santé";0,413;-0,413
"protection";-6,519;6,519
"excuser";8,982;-8,982
"étonner";-12,642;12,642
"violent";8,105;-8,105
"user";6,3;-6,3
"proposer";0,969;-0,969
"probablement";-0,868;0,868
"nécessaire";-0,273;0,273
"liste";1,758;-1,758
"habitude";1,758;-1,758
"courant";-1,136;1,136
"connaissance";34,569;-34,569
"changement";2,235;-2,235
"artiste";3,422;-3,422
"américain";0,023;-0,023
"acheter";-17,153;17,153
"équipe";-17,852;17,852
"tourner";-17,153;17,153
"tenter";1,758;-1,758
"souffrance";-3,061;3,061
"science";24,624;-24,624
"réveiller";-17,153;17,153
"revoir";-0,146;0,146
"reportage";9,21;-9,21
"raisonnement";12,784;-12,784
"monter";4,79;-4,79
"minorité";34,721;-34,721
"lausanne";-11,959;11,959
"job";-13,73;13,73
"internet";2,782;-2,782
"développer";-0,868;0,868
"débattre";0,969;-0,969
"conflit";0,933;-0,933
"comportement";9,21;-9,21
"citer";16,483;-16,483
"élection";10,753;-10,753
"volonté";1,288;-1,288
"sorte";0,643;-0,643
"retour";-1,635;1,635
"personnellement";-0,868;0,868
"peau";-0,523;0,523
"page";33,416;-33,416
"mois";-10,609;10,609
"lancer";-1,635;1,635
"historique";10,424;-10,424
"final";-11,281;11,281
"empathie";-0,868;0,868
"direct";5,756;-5,756
"confondre";40,311;-40,311
"appliquer";12,784;-12,784
"apparemment";-0,342;0,342
"amener";7,427;-7,427
"économique";19,743;-19,743
"soin";-7,201;7,201
"réjouir";-10,609;10,609
"réellement";0,341;-0,341
"remarquer";4,086;-4,086
"recherche";7,427;-7,427
"recevoir";0,933;-0,933
"pensée";-1,313;1,313
"palestine";-0,195;0,195
"noir";5,633;-5,633
"nature";-18,601;18,601
"intelligence";17,081;-17,081
"incroyable";-18,601;18,601
"habiter";-21,76;21,76
"gagner";-4,846;4,846
"futur";-4,846;4,846
"fumer";-17,104;17,104
"foot";-14,233;14,233
"désolé";5,633;-5,633
"contrairement";-0,63;0,63
"bêtise";-3,35;3,35
"bientôt";-10,609;10,609
"événement";0,177;-0,177
"vérifier";18,933;-18,933
"ue";0,017;-0,017
"sauter";-17,104;17,104
"relation";0,897;-0,897
"prison";-11,626;11,626
"positif";18,933;-18,933
"mondial";-5,946;5,946
"enquête";12,64;-12,64
"emji_visage_souriant_avec_une_larme";-3,788;3,788
"dénoncer";18,933;-18,933
"découvrir";-0,087;0,087
"discussion";15,951;-15,951
"confirmer";10,753;-10,753
"condamner";13,224;-13,224
"brésil";-0,039;0,039
"avance";-7,201;7,201
"pur";2,799;-2,799
"poste";-0,02;0,02
"pertinent";28,128;-28,128
"mentir";23,159;-23,159
"maison";-9,282;9,282
"lol";4,146;-4,146
"gars";0;0
"fonction";9,767;-9,767
"constater";5,756;-5,756
"concret";20,953;-20,953
"boulot";-11,626;11,626
"sérieusement";-4,837;4,837
"ressembler";-6,003;6,003
"reprocher";-6,003;6,003
"précis";25,569;-25,569
"instagram";23,159;-23,159
"individuel";3,46;-3,46
"imposer";6,955;-6,955
"fille";-3,35;3,35
"bourgeois";-2,135;2,135
"bosser";-7,345;7,345
"baser";16,6;-16,6
"association";0,567;-0,567
"améliorer";-1,753;1,753
"théorie";0,861;-0,861
"réussir";-14,87;14,87
"réaction";3,509;-3,509
"qualité";-4,304;4,304
"pied";-9,562;9,562
"littéralement";33,724;-33,724
"intervenir";-3,788;3,788
"ignorer";0,861;-0,861
"honnêtement";-0,329;0,329
"explication";24,294;-24,294
"espèce";0,017;-0,017
"epstein";13,828;-13,828
"emji_mains_levées";1,699;-1,699
"définition";20,675;-20,675
"décrire";24,294;-24,294
"degré";-7,553;7,553
"culturel";1,699;-1,699
"confiance";2,224;-2,224
"concept";0,031;-0,031
"biais";34,261;-34,261
"attaquer";1,684;-1,684
"évoluer";-2,447;2,447
"vol";5,086;-5,086
"prétendre";6,955;-6,955
"parole";-0,782;0,782
"méthode";4,308;-4,308
"musée";0,017;-0,017
"milieu";-1,073;1,073
"lutte";17,347;-17,347
"intégrer";9,48;-9,48
"intervention";-0,175;0,175
"fier";3,572;-3,572
"fatiguer";-7,345;7,345
"etait";-6,718;6,718
"emji_visage_souriant_avec_yeux_plissés";-0,318;0,318
"démontrer";28,205;-28,205
"dossier";8,142;-8,142
"course";-14,128;14,128
"choquer";23,023;-23,023
"canton";-0,104;0,104
"actuellement";-7,345;7,345
"étudier";2,231;-2,231
"élu";20,493;-20,493
"voie";0,093;-0,093
"utile";-6,718;6,718
"train";-3,29;3,29
"supprimer";10,985;-10,985
"souvenir";-1,073;1,073
"solidarité";-6,1;6,1
"retirer";-0,238;0,238
"papier";1,204;-1,204
"p";0,017;-0,017
"outil";2,231;-2,231
"ordre";0,826;-0,826
"obliger";-11,355;11,355
"nuit";-11,355;11,355
"mélanger";2,845;-2,845
"ignorance";14,989;-14,989
"horreur";-2,813;2,813
"frontière";-3,29;3,29
"fameux";21,756;-21,756
"extrêmement";4,308;-4,308
"emji_mains_en_prière";-9,236;9,236
"dictature";-0,104;0,104
"crier";-1,073;1,073
"compter";-0,419;0,419
"complexe";8,142;-8,142
"appartenir";-8,885;8,885
"accompagner";-6,718;6,718
"vendre";-2,358;2,358
"texte";29,779;-29,779
"stp";-0,529;0,529
"souffrir";-10,644;10,644
"national";2,882;-2,882
"inverse";12,077;-12,077
"inventer";-0,782;0,782
"fête";-14,931;14,931
"fric";-7,553;7,553
"formation";-0,104;0,104
"excellent";-5,495;5,495
"essentiel";7,196;-7,196
"endroit";-6,1;6,1
"emji_coeur_rouge";-6,899;6,899
"démocratique";14,989;-14,989
"donnée";24,315;-24,315
"directement";3,572;-3,572
"correctement";3,572;-3,572
"correct";6,28;-6,28
"commun";4,418;-4,418
"climatique";20,493;-20,493
"centre";0,093;-0,093
"capitalisme";9,48;-9,48
"camp";2,882;-2,882
"battre";-2,813;2,813
"autrement";-6,1;6,1
"arranger";2,231;-2,231
"affirmer";2,882;-2,882
"acteur";10,985;-10,985
"abuser";-8,215;8,215
"émotion";2,882;-2,882
"us";0,068;-0,068
"ultra";8,469;-8,469
"sympa";-1,93;1,93
"seconde";-0,023;0,023
"région";-0,155;0,155
"ramener";0,453;-0,453
"quotidien";-3,763;3,763
"ps";-0,023;0,023
"produire";0,791;-0,791
"privé";1,667;-1,667
"politicien";2,882;-2,882
"nourrir";1,673;-1,673
"mur";-17,526;17,526
"morale";10,985;-10,985
"militaire";-1,28;1,28
"ligne";6,28;-6,28
"lier";24,315;-24,315
"insulter";2,933;-2,933
"impliquer";2,245;-2,245
"hypocrisie";-0,104;0,104
"honteux";-1,28;1,28
"goût";-12,65;12,65
"gentil";-0,665;0,665
"facilement";8,469;-8,469
"ex";4,418;-4,418
"désoler";-5,495;5,495
"dieu";-12,65;12,65
"comparer";4,418;-4,418
"climat";15,787;-15,787
"chemin";-9,938;9,938
"capacité";13,828;-13,828
"élément";19,235;-19,235
"tres";-12,666;12,666
"travers";0,453;-0,453
"talent";-3,764;3,764
"scène";11,545;-11,545
"qqch";-9,236;9,236
"prêt";-1,93;1,93
"pro";6,529;-6,529
"prix";-0,155;0,155
"mémoire";0,453;-0,453
"mourir";-11,18;11,18
"lumière";-0,954;0,954
"jugement";-0,023;0,023
"jeter";-17,526;17,526
"inviter";7,484;-7,484
"inutile";-0,954;0,954
"inspirer";-2,278;2,278
"idéologique";23,023;-23,023
"gosse";-8,54;8,54
"finalement";-0,023;0,023
"engagement";0,068;-0,068
"emji_yeux";0,201;-0,201
"dimanche";-11,914;11,914
"contrôle";1,179;-1,179
"conclusion";23,023;-23,023
"complet";15,787;-15,787
"avantage";6,529;-6,529
"atteindre";-0,665;0,665
"éduquer";-8,54;8,54
"échange";-6,255;6,255
"tromper";-2,211;2,211
"tirer";14,586;-14,586
"tendance";2,269;-2,269
"sincèrement";-6,255;6,255
"scandale";-6,255;6,255
"reprendre";4,553;-4,553
"refaire";-11,18;11,18
"race";10,429;-10,429
"raccourci";7,832;-7,832
"pub";4,553;-4,553
"pratique";0,416;-0,416
"placer";4,553;-4,553
"personnage";9,332;-9,332
"ongle";-11,913;11,913
"offrir";-0,155;0,155
"obtenir";11,545;-11,545
"objectif";16,736;-16,736
"mener";0,201;-0,201
"lâcher";1,667;-1,667
"local";1,667;-1,667
"leçon";-10,45;10,45
"insta";11,545;-11,545
"hyper";-1,163;1,163
"gêner";-1,163;1,163
"fonder";16,736;-16,736
"emji_visage_roulant_des_yeux";-1,53;1,53
"emji_tête_à_l_envers";-1,163;1,163
"domaine";0,168;-0,168
"disparaître";-0,834;0,834
"corruption";20,446;-20,446
"compréhension";25,839;-25,839
"chien";-10,45;10,45
"adorer";-4,325;4,325
"xénophobe";9,332;-9,332
"transparence";5,606;-5,606
"surprendre";1,156;-1,156
"soigner";-16,762;16,762
"site";15,497;-15,497
"résoudre";-5,622;5,622
"rare";-0,42;0,42
"poids";13,397;-13,397
"plan";-3,223;3,223
"phénomène";20,446;-20,446
"numéro";0,026;-0,026
"nuance";7,832;-7,832
"notion";24,528;-24,528
"notamment";5,606;-5,606
"naître";-6,492;6,492
"minute";-1,163;1,163
"militant";16,736;-16,736
"match";-13,42;13,42
"marre";-1,163;1,163
"manif";-10,45;10,45
"maman";-9,722;9,722
"lit";1,156;-1,156
"lecture";13,397;-13,397
"intérieur";-7,167;7,167
"impossible";-1,163;1,163
"foi";7,832;-7,832
"flic";-7,85;7,85
"factuel";23,218;-23,218
"espace";-3,223;3,223
"déni";10,429;-10,429
"date";-10,45;10,45
"copain";-0,001;0,001
"consommation";-2,278;2,278
"collectif";7,832;-7,832
"citation";23,704;-23,704
"charger";-0,001;0,001
"censurer";26,342;-26,342
"censure";24,528;-24,528
"bord";-3,764;3,764
"attaque";13,397;-13,397
"accès";-0,001;0,001
"zéro";19,163;-19,163
"soutien";-0,001;0,001
"sein";-9,722;9,722
"sacré";0,026;-0,026
"répression";1,137;-1,137
"remercier";-1,422;1,422
"position";15,497;-15,497
"populaire";12,22;-12,22
"officiel";9,332;-9,332
"mouvement";12,22;-12,22
"millier";-1,422;1,422
"marrant";1,667;-1,667
"horrible";-9,722;9,722
"honneur";-2,704;2,704
"génocide";1,667;-1,667
"fragile";-2,704;2,704
"financer";12,22;-12,22
"fiction";12,22;-12,22
"emji_visage_qui_regarde_entre_ses_doigts";-8,279;8,279
"emji_visage_avec_des_symboles_dans_la_bouche";-2,195;2,195
"effacer";6,832;-6,832
"décennie";0,378;-0,378
"criminel";-4,394;4,394
"contredire";23,218;-23,218
"contexte";19,163;-19,163
"contenu";9,332;-9,332
"contenir";19,163;-19,163
"confort";-3,223;3,223
"communiste";12,22;-12,22
"bête";-0,223;0,223
"appel";-0,834;0,834
"allemand";0,135;-0,135
"agression";-0,001;0,001
"élire";8,257;-8,257
"économie";7,208;-7,208
"ukrainien";-5,827;5,827
"tolérance";0,135;-0,135
"style";-3,804;3,804
"soirée";-4,394;4,394
"sentiment";7,208;-7,208
"réfléchi";1,137;-1,137
"retenir";-1,422;1,422
"ressentir";-8,279;8,279
"quitter";-0,084;0,084
"préparer";-0,084;0,084
"profond";0,378;-0,378
"perte";-5,827;5,827
"parfaitement";17,883;-17,883
"palestinien";0,378;-0,378
"oeuvre";-6,492;6,492
"neutralité";6,189;-6,189
"musique";0,34;-0,34
"moitié";-3,804;3,804
"marque";-0,313;0,313
"légal";14,266;-14,266
"là_bas";-3,804;3,804
"influence";5,865;-5,865
"incapable";-1,422;1,422
"identifier";2,305;-2,305
"etat";5,865;-5,865
"emji_visage_épuisé";-0,063;0,063
"détail";-1,047;1,047
"défense";3,09;-3,09
"drôle";0,69;-0,69
"deja";-1,422;1,422
"dealer";-11,161;11,161
"croiser";-15,236;15,236
"contribuer";21,908;-21,908
"construire";0,026;-0,026
"constructif";-6,492;6,492
"chef";-0,549;0,549
"chaîne";4,934;-4,934
"chaud";0,026;-0,026
"capitaliste";2,305;-2,305
"bébé";-1,422;1,422
"avouer";0,026;-0,026
"visage";3,09;-3,09
"vide";-5,827;5,827
"tort";8,785;-8,785
"taper";-1,747;1,747
"taff";-10,41;10,41
"supérieur";4,934;-4,934
"signe";4,934;-4,934
"sensé";9,911;-9,911
"sain";1,675;-1,675
"robot";-3,233;3,233
"rigoler";-2,684;2,684
"remplir";-0,313;0,313
"rassurer";1,675;-1,675
"pénal";7,681;-7,681
"profondément";3,09;-3,09
"poubelle";-12,185;12,185
"pote";3,209;-3,209
"poster";13,045;-13,045
"politiquement";13,045;-13,045
"pointer";-3,233;3,233
"montagne";-2,211;2,211
"maîtriser";7,208;-7,208
"marché";-6,153;6,153
"manifestant";-1,747;1,747
"malade";-5,172;5,172
"juriste";16,685;-16,685
"international";7,681;-7,681
"intention";16,608;-16,608
"humour";4,046;-4,046
"habitant";-2,211;2,211
"généralement";3,09;-3,09
"gaza";-1,047;1,047
"filmer";0,34;-0,34
"exposer";4,934;-4,934
"exact";9,911;-9,911
"environnement";-0,009;0,009
"entièrement";1,675;-1,675
"enlever";0,34;-0,34
"emji_visage_soulagé";-3,804;3,804
"emji_visage_envoyant_un_bisou";1,675;-1,675
"débile";-0,715;0,715
"deuxième";-0,313;0,313
"cul";-5,827;5,827
"cracher";-0,313;0,313
"conscient";1,675;-1,675
"conduire";0,659;-0,659
"communauté";1,694;-1,694
"classe";3,09;-3,09
"civil";-3,233;3,233
"cancer";0,659;-0,659
"brésilien";0,011;-0,011
"bras";-3,233;3,233
"augmenter";0,34;-0,34
"assurer";-1,047;1,047
"aspect";8,785;-8,785
"évident";-0,715;0,715
"visible";-0,136;0,136
"unir";0,34;-0,34
"union";-0,434;0,434
"typique";19,294;-19,294
"traitement";2,357;-2,357
"terrible";-5,172;5,172
"tendre";0,34;-0,34
"série";2,357;-2,357
"signer";8,29;-8,29
"rire";5,205;-5,205
