"";"";"";"";"camp";""
"65";"rentrer";"-0.555907268239187";"0.811952698173079";"0.881028418377176";"298"
"66";"beau";"-0.185596095628192";"-0.0842778516509232";"0.879203253851364";"299"
"67";"propre";"-0.300067142896384";"0.131807101893766";"0.874906939602404";"305"
"68";"parler";"-0.520181743558208";"0.286086149855035";"0.87363547667431";"306"
"69";"école";"-0.544866538034486";"0.594956126628801";"0.873023670587943";"307"
"70";"fermer";"-0.608495872569332";"0.489194447392897";"0.872729730233599";"308"
"71";"compagnon";"-0.607365001654261";"0.315011923239227";"0.872729730233599";"309"
"72";"noeud";"-0.60963022346002";"0.368014000311953";"0.872729730233599";"310"
"73";"emji_ballon_de_football";"-0.277152600389564";"-2.62240164540253";"0.870511505931629";"315"
"74";"penser";"-0.465282743440339";"-0.269770393558436";"0.870135535710957";"318"
"75";"caméra";"-0.40323449835743";"0.145759155154167";"0.870135535710957";"319"
"76";"apprendre";"-0.479371211382772";"0.708056963491296";"0.870135535710957";"320"
"77";"témoignage";"-0.342818475124304";"0.159139723544903";"0.867872878564726";"322"
"78";"corps";"-0.507680332597432";"0.0801077367968175";"0.867472982966374";"323"
"79";"succès";"-0.552254037710573";"0.392184246021709";"0.86739778892224";"326"
"80";"parcourir";"-0.55610501263059";"0.290257188794834";"0.86739778892224";"327"
"81";"mode";"-0.550724301393481";"0.79305878470054";"0.867370445633463";"328"
"82";"mars";"-0.0569524481740853";"-2.09041322579907";"0.866112654349758";"338"
"83";"godard";"-0.0569524481740853";"-2.09041322579907";"0.866112654349758";"339"
"84";"babibouchettes";"-0.0569524481740853";"-2.09041322579907";"0.866112654349758";"340"
"85";"univers";"-0.0569524481740853";"-2.09041322579907";"0.866112654349758";"341"
"86";"formule";"-0.0569524481740853";"-2.09041322579907";"0.866112654349758";"342"
"87";"chute";"-0.0569524481740853";"-2.09041322579907";"0.866112654349758";"343"
"88";"anniversaire";"-0.0569524481740853";"-2.09041322579907";"0.866112654349758";"344"
"89";"prêt";"-0.358788224054926";"0.259012973530292";"0.865675161729339";"345"
