1966;0;0;0;0;2;1;1;0;4;2;0
000;0;0;2;1;0;0;2;0;3;2;1
ni;0;0;1;0;3;0;0;0;1;0;1
htag_rtssportxarchives;4;0;1;0;0;1;1;1;1;0;1
70;1;0;0;1;1;0;0;2;2;2;4
1985;1;0;0;0;1;2;1;0;3;2;1
1974;0;1;0;0;3;1;1;1;1;0;1
1971;0;0;0;0;5;0;0;0;1;2;2
via;7;0;0;0;2;1;0;0;0;1;0
pendant;0;2;0;2;1;0;0;1;1;0;4
parfois;0;0;1;1;1;0;0;1;2;1;4
me;0;2;0;0;2;3;1;0;1;1;0
htag_valaiswallis;0;1;1;2;1;2;0;2;1;1;0
htag_commeunlundi;0;0;5;0;2;0;0;2;0;1;0
htag_cinema;0;0;1;1;0;0;0;0;0;1;8
cela;0;1;1;0;1;0;0;1;2;1;1
beaucoup;1;1;0;1;0;1;0;1;2;2;1
90;0;1;0;1;0;0;0;2;5;1;1
5;0;1;0;0;2;1;0;0;2;0;3
4;0;2;0;1;0;0;2;0;0;0;2
surtout;0;0;1;0;1;2;0;2;1;0;0
pourtant;0;1;1;0;0;0;0;0;2;3;4
là;0;0;1;0;0;1;0;0;2;0;3
loin;0;0;1;0;1;3;0;1;2;2;1
htag_vieillesse;0;0;0;0;1;2;0;2;1;3;0
htag_summer;0;0;0;0;0;0;2;2;0;2;0
htag_snow;0;0;0;1;0;3;0;3;0;1;0
htag_skiing;0;0;0;0;0;2;0;6;0;1;0
htag_nature;1;0;0;1;0;0;0;1;2;0;0
htag_musique;1;1;0;0;0;0;1;1;2;0;0
htag_mode;0;0;2;1;1;0;0;1;0;3;0
htag_chanson;0;1;2;0;0;0;2;1;2;1;0
fort;1;2;0;0;1;1;1;0;1;2;0
croire;0;3;0;0;1;1;0;1;1;2;0
autour;0;2;0;0;2;0;1;0;0;2;1
ainsi;0;1;0;0;1;1;0;0;1;2;3
1994;0;2;0;0;1;0;0;0;1;4;1
1980;0;0;1;0;0;2;0;1;1;2;0
1969;0;0;0;0;0;1;0;0;1;1;4
1967;0;2;1;2;1;0;0;0;0;5;0
100;0;0;0;1;3;0;0;0;0;2;1
10;1;2;2;1;0;0;0;0;1;2;1
selon;0;1;1;0;0;0;0;1;1;0;1
quelle;0;1;0;0;2;0;2;1;2;1;1
plusieurs;0;0;1;1;3;0;0;0;1;1;0
htag_montagne;0;0;1;0;1;2;0;2;0;2;0
htag_meteo;1;0;1;0;0;1;0;1;4;0;1
htag_lacleman;0;0;1;0;0;1;1;2;2;1;0
htag_invention;1;0;1;0;1;0;1;2;1;2;1
htag_danse;0;0;1;2;2;0;0;0;0;2;1
htag_armeesuisse;1;1;0;0;2;0;0;2;0;1;0
dont;0;1;1;0;0;1;1;0;1;0;1
8;0;2;0;0;0;2;0;0;0;3;1
1999;1;0;1;0;0;0;1;0;2;1;2
1981;0;0;0;3;1;0;1;0;0;1;2
vive;0;1;0;0;0;0;0;0;1;2;0
trois;0;0;0;0;0;2;3;0;2;0;0
puis;0;2;0;0;1;0;1;0;0;0;1
point;0;0;0;1;2;0;0;1;0;1;3
malgré;0;0;0;1;0;0;2;0;2;0;2
