"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"170";3;4;7;8;10;12;14;16;19;19;19;19;19;19;30;30;30;36;39;39;39;39;39;39;39;39;39;56;56
"171";3;4;7;8;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15;15;43;44;47;49;49;49;49;49;59
"172";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"173";3;4;7;8;10;12;14;16;18;20;22;24;26;29;29;32;34;34;34;41;41;41;41;41;50;53;53;53;53
"174";3;4;7;8;10;12;14;16;18;20;22;24;27;27;27;27;27;27;27;27;27;27;27;27;27;27;54;54;54
"175";3;4;7;8;10;12;14;16;18;20;22;24;26;29;29;32;34;34;34;41;41;41;41;41;50;53;53;53;53
"176";3;4;7;8;10;12;14;16;18;20;22;24;26;29;29;32;34;34;34;40;40;40;40;40;40;40;40;40;40
"177";3;4;7;8;10;12;14;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17
"178";3;4;7;8;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15;15;43;44;47;49;49;49;49;49;59
"179";3;4;7;8;10;12;14;16;18;20;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23
"180";3;4;7;8;10;12;14;16;19;19;19;19;19;19;30;30;30;36;38;38;38;38;38;38;38;38;38;38;38
"181";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"182";3;4;7;8;10;12;14;16;18;20;22;24;26;29;29;32;34;34;34;41;41;41;41;41;51;51;51;51;51
"183";3;4;7;8;10;12;14;16;18;20;22;24;26;29;29;32;34;34;34;41;41;41;41;41;51;51;51;51;51
"184";3;4;7;8;10;12;14;16;18;20;22;24;27;27;27;27;27;27;27;27;27;27;27;27;27;27;54;54;54
"185";3;4;7;8;10;12;14;16;19;19;19;19;19;19;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31
"186";3;4;7;8;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15;15;43;44;47;49;49;49;49;49;58
"187";3;4;7;8;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15;15;43;44;47;49;49;49;49;49;59
"188";3;4;7;8;10;12;14;16;18;20;22;24;26;29;29;32;34;34;34;41;41;41;41;41;50;53;53;53;53
"189";3;4;7;8;10;12;14;16;18;20;22;24;26;29;29;32;34;34;34;41;41;41;41;41;50;52;52;52;52
"190";3;4;7;8;10;12;14;16;18;20;22;24;26;29;29;32;34;34;34;41;41;41;41;41;50;52;52;52;52
"191";3;4;7;8;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15;15;43;44;47;48;48;48;48;48;48
"192";3;4;7;8;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15;15;43;44;47;48;48;48;48;48;48
