"";"";"";"";"htag_suissitude";""
"111";"htag_instafood";"-0.0450490560166482";"1.02098657675324";"0.824365062108534";"310"
"112";"htag_piscine";"-0.569764431727215";"0.51957148006549";"0.824308482905833";"311"
"113";"htag_jeu";"-0.448386869674107";"0.443268120827427";"0.824308482905833";"312"
"114";"htag_jetdeaudegeneve";"-0.569764431727215";"0.51957148006549";"0.824308482905833";"313"
"115";"htag_jetdeau";"-0.569764431727215";"0.51957148006549";"0.824308482905833";"314"
"116";"diverses";"-0.568633560812143";"0.34538895591182";"0.824308482905833";"315"
"117";"certaines";"-0.447255998759035";"0.269085596673756";"0.824308482905833";"316"
"118";"chaque";"-0.549510902136186";"-0.222626703526219";"0.823171755287934";"319"
"119";"htag_chanson";"-0.556526333322898";"-0.12267285361832";"0.823171755287934";"320"
"120";"donc";"-0.495715050858878";"0.255779884778829";"0.823115176085234";"321"
"121";"htag_seventies";"-0.471567950876559";"0.205427211087047";"0.822734552357973";"322"
"122";"ça";"-0.525817724907891";"0.660113887500191";"0.822713978102446";"323"
"123";"1974";"-0.407607928947698";"0.0264416957909668";"0.822559671185989";"324"
"124";"1992";"-0.346341328947925";"0.0190901720189007";"0.822559671185989";"325"
"125";"60";"-0.435363301103098";"0.0919963464884424";"0.822472230599997";"326"
"126";"htag_valaiswallis";"-0.565123579859507";"0.758345669152797";"0.822472230599997";"327"
"127";"htag_course";"-0.336461364822345";"-0.733980360033692";"0.822369359322359";"331"
"128";"pourquoi";"-0.17016864247757";"0.539112931776477";"0.822348785066831";"332"
"129";"htag_microtrottoir";"-0.530837965686887";"0.533207919103077";"0.821798423731469";"333"
"130";"htag_adolescence";"-0.578236167159146";"0.474878834966016";"0.821402369312563";"335"
"131";"htag_paysan";"-0.420462804865592";"-0.146487540184255";"0.821402369312563";"336"
"132";"htag_food";"-0.575064398166047";"0.495341067873459";"0.821104042607413";"340"
"133";"vers";"-0.437906401900746";"-0.386365139102903";"0.821104042607413";"341"
"134";"1964";"-0.600220474373685";"0.593723515050572";"0.821104042607413";"343"
"135";"vite";"-0.502868117613144";"0.441620078835952";"0.821104042607413";"344"
"136";"quelles";"-0.599089603458614";"0.419540990896902";"0.821104042607413";"345"
"137";"partout";"-0.413881196608179";"-0.310565062126346";"0.821104042607413";"346"
"138";"htag_cimetiere";"-0.600220474373685";"0.593723515050572";"0.821104042607413";"347"
"139";"htag_passion";"-0.531143658577509";"0.486828185559885";"0.820939448563192";"351"
"140";"envers";"-0.552226647511483";"-0.601631470195935";"0.820939448563192";"352"
"141";"htag_fribourgregion";"-0.580467740976759";"0.414654843366786";"0.820939448563192";"353"
"142";"htag_geneva";"-0.581315894163062";"0.545291736482039";"0.820939448563192";"354"
"143";"htag_nosmoking";"-0.527153041709018";"-0.597021504835517";"0.820939448563192";"355"
"144";"htag_auto";"-0.385182651606643";"-0.11299144657955";"0.820939448563192";"356"
"145";"htag_educationsexuelle";"-0.579932473531754";"0.736152621196522";"0.820939448563192";"357"
"146";"htag_internet";"-0.506070052775044";"0.491438150920304";"0.820939448563192";"358"
"147";"htag_backtoschool";"-0.579932473531754";"0.736152621196522";"0.820939448563192";"359"
"148";"pour";"-0.423935566988984";"0.134481510164585";"0.820898300052137";"360"
"149";"qu";"-0.374867696427336";"0.111282531258318";"0.820867438668846";"361"
"150";"htag_sixties";"-0.455223561282291";"0.471859006339742";"0.820826290157791";"363"
"151";"1984";"-0.38369163946546";"0.723682979606578";"0.820826290157791";"364"
"152";"1982";"-0.330790130501537";"-0.0734132870598587";"0.820826290157791";"365"
"153";"voici";"-0.499940108514517";"0.337847276271241";"0.820646265421924";"366"
"154";"celui";"-0.471425110890439";"-0.0233461140951998";"0.820265641694664";"367"
"155";"htag_raclette";"-0.610556819242812";"1.52472529216467";"0.820265641694664";"369"
"156";"enfin";"-0.488899301991923";"0.678925101767974";"0.820265641694664";"370"
"157";"1973";"-0.470032244836194";"0.605138266385139";"0.820265641694664";"371"
"158";"htag_swisswatch";"-0.561065416376025";"0.662365785813687";"0.820265641694664";"372"
"159";"htag_jeunes";"-0.421310958051896";"-0.0158506470690022";"0.820265641694664";"373"
"160";"autour";"-0.451557288363141";"0.572482746353009";"0.819777003125884";"375"
"161";"1977";"-0.440490290611987";"0.419820573561798";"0.819777003125884";"376"
"162";"htag_look";"-0.260159078661956";"0.82430055171948";"0.819653557592719";"377"
"163";"aussi";"-0.233495458982172";"0.49661895475498";"0.819396379398624";"378"
"164";"point";"-0.297711900059161";"-0.440692272943831";"0.819324369504277";"379"
"165";"hop";"-0.56466670319261";"0.32048235759706";"0.818866592318789";"384"
"166";"million";"-0.376169733068715";"-1.07981620092931";"0.818866592318789";"385"
"167";"htag_technology";"-0.312338888271389";"-1.7336188947145";"0.818866592318789";"387"
"168";"une";"-0.223830481279347";"0.0145453739512237";"0.818547691358111";"388"
"169";"htag_love";"-0.56672477999951";"0.833743729322593";"0.818254508216843";"389"
"170";"mieux";"-0.485919683817437";"-0.281295252910517";"0.818208216141906";"390"
"171";"1998";"-0.495956613806674";"0.509642965714014";"0.817889315181229";"392"
"172";"htag_running";"-0.440180625189336";"-0.163586040112127";"0.817889315181229";"393"
"173";"htag_voiture";"0.0588715666854701";"0.672806407087543";"0.817822448850764";"394"
"174";"ses";"-0.0713971351780986";"-0.016452669470761";"0.817014909321307";"396"
"175";"quelle";"-0.428777168658763";"-0.30251146578463";"0.816464547985944";"397"
"176";"en";"-0.0537206129604595";"0.0992799589443974";"0.816274236122314";"398"
"177";"aujourd_hui";"-0.0074981316453533";"-0.275411476992369";"0.815903899522818";"400"
"178";"htag_foodporn";"-0.538925972303714";"1.21978683028922";"0.815497557976148";"404"
"179";"pis";"-0.495641118083663";"0.279030523194986";"0.815497557976148";"405"
"180";"1979";"-0.422694378683204";"-0.206711531783485";"0.815497557976148";"406"
"181";"htag_police";"-0.490282722623231";"0.488064217053491";"0.815497557976148";"407"
"182";"où";"-0.443987321873713";"0.359693667040485";"0.815435835209565";"408"
"183";"mon";"-0.379836416630601";"-0.765541042340334";"0.815410117390156";"409"
"184";"htag_retro";"-0.491794801502556";"-0.105665273430737";"0.815379256006864";"410"
"185";"quelques";"-0.489291431799227";"0.183807560506172";"0.815353538187455";"411"
"186";"ainsi";"-0.379372284991436";"0.0341792352313759";"0.814473988763651";"419"
"187";"6";"-0.421827863638231";"0.105446909299298";"0.814155087802974";"420"
"188";"1960";"-0.383593874428257";"-0.55263944953785";"0.814155087802974";"421"
"189";"2002";"-0.291386975103464";"-0.490223978300151";"0.814155087802974";"423"
"190";"tout";"-0.366726390100284";"0.174525771455663";"0.813759033384068";"430"
"191";"htag_eighties";"-0.290658810913661";"0.434562615855374";"0.813687023489721";"431"
"192";"htag_nature";"0.458114916519289";"0.476944645250245";"0.813409271040099";"432"
"193";"htag_ecologie";"0.458795527053701";"0.54965291349881";"0.813409271040099";"433"
"194";"falloir";"-0.543770931807271";"0.435781689669103";"0.813316686890225";"434"
"195";"htag_winter";"-0.592785884571325";"0.577986889260386";"0.813049221568366";"436"
"196";"htag_breakdance";"-0.548725076022118";"0.707049523911717";"0.813049221568366";"437"
"197";"htag_avion";"-0.587702105449557";"1.20384065467503";"0.813049221568366";"438"
"198";"htag_pluie";"-0.592533487992916";"0.393496935245164";"0.813049221568366";"440"
"199";"personne";"-0.126795976090897";"0.0992626409904812";"0.812894914651909";"441"
"200";"toute";"-0.505250737413375";"0.381165866048001";"0.812884627524146";"442"
"201";"par";"-0.292093324387659";"0.118300299032574";"0.812560582999586";"443"
"202";"htag_chien";"-0.578796887366419";"0.5434864959233";"0.812524578052413";"444"
"203";"autant";"-0.387416285503773";"0.0660279679482974";"0.812524578052413";"445"
"204";"1962";"-0.516716937793108";"0.635330080858036";"0.812195389963972";"447"
"205";"htag_vacances";"0.176652867093254";"0.434509355068887";"0.812025652355869";"448"
"206";"environ";"-0.436889986251675";"-0.412878431367225";"0.811480434584388";"449"
"207";"ton";"-0.418100966199762";"-0.597398966531646";"0.811480434584388";"450"
"208";"leur";"-0.171246783168436";"0.588072903150756";"0.811274692029113";"451"
"209";"alors";"-0.463918520645597";"0.104705132735259";"0.811125528676538";"452"
"210";"après";"0.159225024583606";"0.146630615477942";"0.810791197024215";"453"
"211";"3";"-0.346186609836053";"-0.447253472781009";"0.810744904949278";"454"
"212";"depuis";"-0.311550356619125";"-0.197651039654935";"0.810611172288348";"455"
"213";"lui";"-0.451976592905506";"0.370769124226893";"0.810415716860836";"456"
"214";"htag_neuchatel";"-0.519706950761051";"0.347714919702326";"0.810312845583198";"457"
"215";"force";"-0.367036883741645";"-1.05237849844505";"0.810312845583198";"458"
"216";"htag_miam";"-0.612746248193417";"1.19158202710649";"0.810312845583198";"459"
"217";"que";"-0.434854607450745";"0.211677948000482";"0.810132820847332";"460"
"218";"avant";"-0.454650732594453";"0.025362399890452";"0.809916791164292";"461"
"219";"htag_armeesuisse";"0.205914339418996";"1.08215459028509";"0.809839637706064";"462"
"220";"1991";"-0.469353581616149";"0.366021212635007";"0.809839637706064";"463"
"221";"dame";"-0.512385563378765";"1.02783590392176";"0.809839637706064";"464"
"222";"y";"-0.429978571915885";"0.345910674433951";"0.809613320895261";"465"
"223";"htag_switzerland";"-0.452145513832162";"-0.191872066947641";"0.80953102387315";"466"
"224";"dire";"-0.465459780894631";"-0.178269425314492";"0.809397291212221";"467"
"225";"7";"-0.438600066990389";"0.368870343098645";"0.808939514026733";"468"
"226";"madame";"-0.0942022247300685";"0.244207154236299";"0.80885207344074";"469"
"227";"htag_chanteuse";"-0.506840168857532";"0.732808743817143";"0.808831499185213";"473"
"228";"tant";"-0.396158075741326";"-0.668689592991467";"0.808476593277362";"475"
"229";"htag_tradition";"-0.578307629673131";"0.361685984535345";"0.808476593277362";"476"
"230";"selon";"-0.533631430297535";"0.648020055605449";"0.808456019021835";"477"
"231";"htag_musique";"0.281294476146081";"0.335001027827086";"0.808342860616433";"478"
"232";"htag_myswitzerland";"0.359337212657712";"0.0315925240613984";"0.808054821039047";"480"
"233";"htag_happybirthday";"0.327778635222385";"0.572825722840481";"0.808054821039047";"481"
"234";"htag_bonheur";"-0.535750839212644";"0.393504517373886";"0.808054821039047";"482"
"235";"htag_amour";"-0.225343002399416";"0.739589546012988";"0.807977667580818";"483"
"236";"1987";"0.091495372385567";"-0.220823046316153";"0.807838791356007";"485"
"237";"htag_insolite";"-0.481143139410436";"0.437048682740933";"0.807638192364613";"486"
"238";"htag_60s";"-0.313621780898249";"0.0707459428113973";"0.80749417257592";"487"
"239";"déjà";"-0.4422081529167";"-0.154036855448657";"0.807103261720896";"489"
"240";"dont";"-0.489630794863731";"-0.209373204151133";"0.806943811240557";"490"
"241";"gare";"-0.283097365444351";"-0.456521877860409";"0.806115697455573";"491"
"242";"htag_stress";"-0.470567514124929";"0.62194922347018";"0.806115697455573";"492"
"243";"2009";"-0.445411437917291";"0.523566776293066";"0.806115697455573";"493"
"244";"lui_même";"-0.283097365444351";"-0.456521877860409";"0.806115697455573";"494"
"245";"htag_dance";"-0.485515637418776";"0.695700272121993";"0.805889380644769";"495"
"246";"1986";"-0.373163603849081";"-0.346258855949263";"0.805431603459281";"496"
"247";"htag_portrait";"0.119101654821139";"0.909368123218629";"0.804948108454382";"497"
"248";"combien";"-0.535639057942617";"0.493110829614513";"0.804948108454382";"498"
"249";"htag_innovation";"0.232928894326733";"-0.0747631225661285";"0.804721791643579";"499"
"250";"htag_cochon";"-0.40447492749746";"-0.380218518622346";"0.803435900673106";"500"
"251";"htag_techno";"-0.380449722204893";"-0.304418441645789";"0.803435900673106";"501"
"252";"htag_environnement";"-0.566788999970399";"0.59987013553113";"0.803137573967956";"502"
