"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11"
"animal";1;0,828;1;0,526;0;1;1;1;0,044;1;1
"événement";1;1;1;1;1;1;1;1;1;1;0
"soirée";0,869;1;1;1;1;1;0;0,765;1;1;0,721
"sembler";1;1;0,598;0,467;1;1;1;1;0,002;1;1
"santé";1;1;1;0,011;0,976;1;0,507;1;0,081;1;1
"rendre";0,459;1;1;1;1;1;1;1;0,001;1;0,228
"quotidien";1;0,894;0,115;1;0;1;1;0,323;1;1;1
"projection";0,293;1;0,784;1;1;1;1;1;1;1;0
"moment";1;1;1;0,029;1;0,527;0;1;1;1;0,023
"mois";1;0,683;0,529;1;1;1;0;1;0,549;1;1
"minute";1;0,758;1;1;1;1;0;1;1;1;0,023
"manquer";1;0,683;1;1;1;0,462;1;0,561;1;0,017;1
"long";0,261;1;1;1;1;1;1;0,682;0,083;0,697;1
"froid";1;1;1;0,018;1;0;1;1;0,549;1;1
"fille";1;1;1;1;0,049;1;1;1;0,549;0,001;1
"corps";1;1;0,015;0;1;1;1;1;0,342;1;1
"comédien";1;1;1;1;1;1;0,784;1;1;1;0
"coeur";0,721;1;0;0,405;1;1;1;0,561;1;1;1
"chat";0,721;1;1;1;0,003;1;1;1;0,014;1;1
"changer";1;1;1;1;0;1;0,653;1;1;1;0,624
"carrière";0,243;0,894;1;1;1;1;1;1;1;1;0
"adepte";1;0,517;1;0;1;1;1;1;0,342;1;1
"époque";0,243;1;1;1;0;1;0,784;1;1;1;0,29
"vraiment";1;1;1;1;1;1;0;1;0,007;1;1
"terre";1;0,758;0,063;1;1;1;1;1;0,002;0,685;1
"rêve";1;1;1;1;0,029;0,395;1;1;0,445;0,473;1
"regard";1;1;1;0,011;0,976;1;1;1;0,445;1;0,005
"ouvrir";1;1;1;1;1;1;0,721;1;0;1;1
"lac";1;1;0,003;0,153;1;1;1;1;0,822;1;0,144
"inviter";0,639;1;1;1;1;1;0,507;1;1;0,473;0
"féminin";1;1;1;1;1;1;0;1;1;1;1
"feu";1;1;1;1;0,506;1;1;1;1;0,092;0,076
"fan";0,798;1;1;1;1;1;1;1;0;1;1
"expliquer";0,869;1;0,087;1;1;1;0;1;1;1;0,721
"choisir";1;1;1;1;0,001;1;1;1;0,845;0,079;1
"chanson";1;0,007;1;0,467;1;1;0,083;1;0,651;1;0,624
"canton";0,869;0,828;1;1;0,001;1;1;1;1;0,052;1
"vieux";1;1;0,457;0,342;0,976;0,395;0,507;1;1;0,092;1
"témoigner";0,798;1;1;1;0;1;1;1;1;1;1
"train";1;1;1;1;1;1;1;0,682;0,002;1;0,652
"style";1;1;0,457;0,011;0,976;0,395;1;1;1;0,473;1
"spécial";0,009;0,758;1;1;1;1;0,083;1;1;1;0,001
"seul";1;0,427;1;1;1;0,255;1;0,965;0,244;0,981;0,932
"servir";1;0;1;1;0,049;1;1;1;1;0,142;1
"semaine";1;1;1;0,214;0,765;1;1;1;0,244;0,027;1
"romands";1;1;1;1;1;1;1;1;0,007;0,473;0,073
"recette";1;0,517;1;0;0,194;0,325;1;1;1;1;1
"prix";1;1;1;1;0,876;1;1;1;1;1;0
"permettre";1;0;1;1;1;1;1;0,561;1;0,58;1
"nuit";1;1;1;1;1;1;1;1;0,342;0,003;0,322
"nature";1;1;1;1;0,268;1;0,507;1;1;0,473;0,422
"mort";1;1;0;1;1;1;1;0,352;1;1;0,322
"montagne";0,798;1;0,598;0;1;0,001;1;1;1;1;1
"michel";0,111;1;1;1;1;1;0;1;1;1;1
"lundi";1;1;0;1;1;1;1;1;1;1;0,721
"liberté";1;1;0,001;1;1;0;1;1;0,672;1;1
"international";1;0,427;0;1;1;1;1;0,965;0,954;1;0,932
"hiver";1;1;0,457;0,342;1;1;1;0,456;0,007;1;1
"fribourg";1;1;1;1;0,006;1;1;1;0,954;0,264;0,932
"football";1;1;1;1;1;1;0;1;1;1;1
