"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11"
"choix";1,262;1,393;-0,291;-0,239;-0,608;-0,263;-0,316;0,168;-0,786;2,832;-0,763
"cher";-0,307;-0,291;-0,233;-0,191;-0,486;41,677;-0,252;-0,638;-0,629;-0,652;0,488
"chanteur";-0,539;-0,511;-0,409;-0,335;-0,852;-0,368;0,888;0,002;1,359;-1,143;5,409
"campagne";-0,384;-0,365;-0,291;14,563;0,442;-0,263;-0,316;-0,798;-0,786;0,152;0,203
"bras";-0,462;-0,438;-0,35;-0,287;-0,73;1,747;-0,379;0,045;6,849;0,037;-0,917
"boîte";-0,462;-0,438;-0,35;-0,287;-0,73;-0,315;-0,379;6,713;0,05;1,882;-0,917
"beauté";0,833;-0,438;-0,35;-0,287;0,216;-0,315;-0,379;-0,958;-0,944;-0,979;15,053
"animer";1,262;-0,365;-0,291;-0,239;-0,608;-0,263;1,791;-0,798;3,004;-0,815;0,203
"alpage";-0,384;-0,365;2,041;2,768;-0,608;2,402;-0,316;-0,798;0,179;0,152;-0,763
"alcool";-0,539;-0,511;-0,409;-0,335;26,88;-0,368;-0,443;-1,119;1,359;-1,143;-1,071
"alain";0,549;-0,511;-0,409;-0,335;7,516;-0,368;-0,443;-1,119;-1,103;0,001;1,453
"acteur";0,549;-0,511;-0,409;-0,335;-0,852;-0,368;-0,443;-1,119;-1,103;-1,143;32,331
"état";-0,384;-0,365;2,041;-0,239;0,442;2,402;1,791;0,168;-0,786;-0,815;-0,763
"écran";-0,384;-0,365;11,541;-0,239;-0,608;-0,263;-0,316;-0,798;-0,786;-0,815;9,603
"âme";-0,384;42,668;-0,291;-0,239;-0,608;-0,263;-0,316;-0,798;0,179;-0,815;-0,763
"volant";-0,384;-0,365;-0,291;2,768;-0,608;2,402;-0,316;-0,798;0,179;0,152;0,203
"victoire";-0,462;34,284;1,455;-0,287;-0,73;-0,315;-0,379;-0,958;-0,944;-0,979;0,063
"veille";-0,23;3,363;-0,175;-0,143;-0,364;-0,157;4,065;-0,478;1,007;-0,488;-0,457
"vallée";-0,23;-0,218;4,5;5,751;-0,364;5,123;-0,189;-0,478;-0,471;-0,488;-0,457
"vague";-0,462;-0,438;1,455;-0,287;0,216;-0,315;-0,379;-0,958;-0,944;0,037;7,132
"unique";-0,462;-0,438;-0,35;-0,287;0,216;-0,315;1,254;0,045;-0,944;0,037;2,135
"traditionnel";-0,307;-0,291;-0,233;-0,191;0,841;-0,21;-0,252;0,432;-0,629;-0,652;4,746
"terminer";-0,462;-0,438;-0,35;-0,287;0,216;-0,315;-0,379;1,963;-0,944;-0,979;7,132
"tabac";-0,462;-0,438;-0,35;-0,287;-0,73;-0,315;64,982;-0,958;0,05;-0,979;-0,917
"sûr";-0,462;6,743;-0,35;-0,287;-0,73;-0,315;-0,379;0,045;6,849;-0,979;-0,917
"stade";-0,307;-0,291;-0,233;-0,191;0,841;-0,21;2,629;-0,638;0,45;-0,652;0,488
"souci";-0,462;-0,438;-0,35;-0,287;-0,73;-0,315;-0,379;0,045;-0,944;24,149;-0,917
"sortie";-0,307;-0,291;-0,233;-0,191;0,841;-0,21;-0,252;-0,638;-0,629;-0,652;13,384
"site";32,378;-0,438;-0,35;-0,287;0,216;-0,315;-0,379;-0,958;0,05;-0,979;-0,917
"sirène";-0,23;-0,218;-0,175;-0,143;-0,364;5,123;4,065;-0,478;-0,471;0,939;-0,457
"signe";-0,23;-0,218;-0,175;-0,143;-0,364;-0,157;-0,189;-0,478;19,208;-0,488;-0,457
"sexualité";3,13;-0,218;-0,175;-0,143;-0,364;-0,157;-0,189;-0,478;-0,471;6,951;-0,457
"région";-0,462;-0,438;-0,35;-0,287;-0,73;-0,315;1,254;0,045;14,542;-0,979;-0,917
"règle";-0,307;2,114;2,949;-0,191;-0,486;-0,21;2,629;-0,638;-0,629;0,407;-0,61
"rock";-0,462;-0,438;-0,35;-0,287;3,18;-0,315;-0,379;-0,958;-0,944;1,882;2,135
"revoir";11,175;-0,291;-0,233;-0,191;-0,486;-0,21;-0,252;-0,638;0,45;-0,652;0,488
"retourner";-0,384;-0,365;-0,291;-0,239;0,442;-0,263;-0,316;-0,798;0,179;2,832;0,203
"rentrer";-0,462;-0,438;-0,35;-0,287;-0,73;-0,315;-0,379;0,045;-0,944;24,149;-0,917
