"";"V1"
"1329";0
"1330";0
"1331";0
"1332";0
"1333";0
"1334";0
"1335";3
"1336";0
"1337";0
"1338";0
"1339";0
"1340";0
"1341";0
"1342";0
"1343";3
"1344";0
"1345";0
"1346";0
"1347";3
"1348";3
"1349";0
"1350";0
"1351";0
"1352";3
"1353";3
"1354";0
"1355";0
"1356";3
"1357";0
"1358";0
"1359";1
"1360";3
"1361";1
"1362";0
"1363";0
"1364";0
"1365";3
"1366";0
"1367";1
"1368";0
"1369";0
"1370";0
"1371";0
"1372";0
"1373";0
"1374";0
"1375";0
"1376";3
"1377";0
"1378";3
"1379";0
"1380";3
"1381";0
"1382";0
"1383";0
"1384";0
"1385";2
"1386";2
"1387";0
"1388";0
"1389";0
"1390";0
"1391";1
"1392";3
"1393";0
"1394";0
"1395";0
"1396";3
"1397";3
"1398";1
"1399";3
"1400";3
"1401";3
"1402";1
"1403";0
"1404";0
"1405";0
"1406";0
"1407";0
"1408";0
"1409";0
"1410";0
"1411";0
"1412";0
"1413";0
"1414";1
"1415";0
"1416";0
"1417";1
"1418";0
"1419";0
"1420";1
"1421";0
"1422";3
"1423";0
"1424";0
"1425";0
"1426";0
"1427";0
"1428";0
"1429";1
"1430";0
"1431";0
"1432";0
"1433";0
"1434";0
"1435";3
"1436";3
"1437";0
"1438";3
"1439";3
"1440";3
"1441";3
"1442";3
"1443";3
"1444";3
"1445";0
"1446";0
"1447";3
"1448";0
"1449";3
"1450";0
"1451";0
"1452";0
"1453";0
"1454";0
"1455";0
"1456";0
"1457";0
"1458";0
"1459";0
"1460";0
"1461";0
"1462";0
"1463";3
"1464";0
"1465";3
"1466";3
"1467";3
"1468";0
"1469";3
"1470";3
"1471";0
"1472";2
"1473";0
"1474";2
"1475";3
"1476";0
"1477";3
"1478";3
"1479";0
"1480";3
"1481";1
"1482";0
"1483";0
"1484";2
"1485";0
"1486";0
"1487";0
"1488";0
"1489";0
"1490";0
"1491";2
"1492";0
"1493";0
"1494";3
"1495";0
