"";"*rts_a";"*rts_i"
"jeune";81;75
"service";14;73
"militaire";4;32
"hey";4;6
"reportage";41;20
"nouveau";26;56
"santé";16;30
"récent";5;9
"puis";40;40
"rejoindre";3;9
"issue";8;10
"voici";11;6
"entier";23;41
"titre";33;71
"youtube";18;13
"contexte";26;26
"égo";7;6
"puisqu";8;6
"annonce";4;6
"fond";46;43
"bref";41;60
"exemple";50;101
"tenir";25;52
"emji_visage_qui_rougit";10;3
"sacré";12;10
"personnage";15;20
"forcer";8;16
"emji_visage_pensif";3;7
"choix";43;72
"difficile";28;55
"consommation";7;13
"apparemment";17;38
"espérer";26;56
"individu";13;30
"liberté";40;130
"fortune";1;9
"expression";43;71
"témoignage";12;11
"niveau";100;157
"emji_tête_qui_explose";5;6
"60";27;12
"réfléchir";45;83
"facile";40;84
"grâce";26;15
"cadre";6;15
"encadrer";2;9
"suivre";42;83
"éviter";12;41
"ainsi";26;38
"tentative";3;16
"dramatique";7;4
"illégal";1;9
"france";68;59
"dieu";114;17
"encore";210;301
"anglais";24;27
"exact";9;20
"travail";30;112
"instagram";31;30
"similaire";7;11
"père";17;16
"énormément";10;9
"énerver";12;7
"demain";7;7
"frustration";8;12
"chose";197;281
"malgré";21;21
"parfois";30;46
"départ";4;10
"conscience";23;35
"valeur";35;60
"existence";19;6
"supporter";8;3
"transmettre";10;19
"gérer";9;19
"israël";2;9
"dose";3;8
"contrairement";16;28
"affirmer";11;24
"trois";4;12
"fake";6;19
"new";6;11
"décider";15;21
"bloquer";9;25
"inviter";17;29
"revoir";12;21
"code";13;15
"éthique";2;11
"journalistique";2;9
"censure";2;21
"fait";18;99
"celui";32;37
"illustre";3;11
"droit";77;177
"poster";14;19
"comparer";19;18
"opinion";31;68
"base";50;72
"obligation";9;31
"proposition";3;11
"tordre";13;13
"train";7;11
"tuer";13;64
"feu";5;14
"individuel";3;24
"emji_tête_à_l";12;14
"envers";46;49
"gouvernement";10;29
"année";77;74
"jugement";16;23
"pourtant";48;60
"sauver";6;27
"néanmoins";4;7
"saisir";5;11
"nuance";10;22
"gare";5;5
"incroyable";38;22
"cause";46;111
"actuellement";14;23
"faible";8;8
"emji_visage_souriant_avec_de_grands_yeux";6;5
"discours";52;75
"président";5;17
"moquerie";5;5
"cependant";13;18
"rentrer";7;13
"couper";23;14
"vite";34;21
"attribuer";7;7
"neige";7;5
"pied";24;14
"corps";20;41
"emji_visage_envoyant_un_bisou";25;22
"vers";33;37
"15";12;18
"hahaha";3;8
"voisin";14;21
"fantasme";2;11
"aspect";4;20
"plupart";24;33
"voiture";6;7
"sexualité";9;6
"lâcher";3;16
"recherche";14;31
"personnellement";26;29
"comm";6;7
"matelas";3;11
"rire";26;23
"masque";3;11
"paraître";19;30
"ouf";9;12
"pk";9;14
"sentiment";15;21
"physique";21;48
"surtout";84;144
"standard";7;3
"beauté";24;9
"stupide";32;17
"adresser";7;12
"directement";6;16
"portée";4;6
"excuse";8;22
"sincèrement";17;19
"agressif";11;17
