"";"X.rts_a";"X.rts_i"
"m";3,9836;-3,9836
"falloir";-2,2415;2,2415
"25";-0,2898;0,2898
"traumatisme";2,6993;-2,6993
"eau";0,3952;-0,3952
"où";-1,347;1,347
"sortir";-1,3636;1,3636
"cacher";-2,6457;2,6457
"développer";0,4055;-0,4055
"purée";-1,052;1,052
"pousser";-0,4044;0,4044
"image";-0,7215;0,7215
"voilà";-0,3451;0,3451
"pourquoi";0,3605;-0,3605
"bébé";0,8851;-0,8851
"réflexe";-0,5597;0,5597
"naturel";6,8397;-6,8397
"balancer";-0,7201;0,7201
"choquer";4,5186;-4,5186
"moyen";-1,022;1,022
"cool";-0,2288;0,2288
"autre";0,7951;-0,7951
"fois";-1,4875;1,4875
"haha";0,4497;-0,4497
"ni";0,6854;-0,6854
"peur";0,273;-0,273
"également";-0,9393;0,9393
"importer";-1,1886;1,1886
"connaître";1,8111;-1,8111
"participer";-0,5177;0,5177
"cours";-0,7076;0,7076
"confondre";-0,9305;0,9305
"ami";3,4039;-3,4039
"inculte";-0,3992;0,3992
"venir";1,7581;-1,7581
"toujours";6,4034;-6,4034
"comment";-0,3298;0,3298
"parent";0,4881;-0,4881
"imposer";-0,5473;0,5473
"propre";-0,5657;0,5657
"idiot";3,0586;-3,0586
"souvenir";7,5586;-7,5586
"mdr";-0,6046;0,6046
"instruire";2,2153;-2,2153
"emji_pouce_vers_le_haut";0,8537;-0,8537
"définir";1,1163;-1,1163
"type";-0,2874;0,2874
"parisien";1,2246;-1,2246
"changer";6,2052;-6,2052
"conversation";0,5731;-0,5731
"donc";-2,6809;2,6809
"excuser";1,0633;-1,0633
"mélanger";-1,0475;1,0475
"premier";0,4707;-0,4707
"classe";2,6913;-2,6913
"con";6,1049;-6,1049
"nan";0,9226;-0,9226
"intéresser";-0,2825;0,2825
"bout";-2,1069;2,1069
"arrêter";-2,7247;2,7247
"blâmer";-0,4323;0,4323
"mec";2,8061;-2,8061
"mtn";3,8155;-3,8155
"croiser";0,2852;-0,2852
"meuf";1,6634;-1,6634
"rue";-1,5759;1,5759
"connaissance";0,7571;-0,7571
"agression";-1,0686;1,0686
"bon";-0,4307;0,4307
"insulter";1,5819;-1,5819
"gens";-1,0618;1,0618
"élevé";0,6341;-0,6341
"femme";15,9452;-15,9452
"traiter";-1,006;1,006
"notre";-0,7654;0,7654
"société";-3,946;3,946
"entre";-0,6237;0,6237
"insulte";0,3667;-0,3667
"sexisme";-0,244;0,244
"violence";-17,6762;17,6762
"conjugal";-1,7485;1,7485
"viol";-0,4323;0,4323
"etc";-0,889;0,889
"bcp";0,3871;-0,3871
"trop";-0,3657;0,3657
"vérité";0,6031;-0,6031
"dur";-0,7256;0,7256
"accepter";-0,3316;0,3316
"courage";-0,8584;0,8584
"toi";2,1292;-2,1292
"emji_visage_souriant_aux_yeux_rieurs";2,0535;-2,0535
"souvent";-2,0477;2,0477
"réussir";-1,6857;1,6857
"adapter";-0,4586;0,4586
"irrespectueux";0,7731;-0,7731
"ta";0,7938;-0,7938
"manière";-0,4248;0,4248
"vulgaire";1,2532;-1,2532
"courir";0,3414;-0,3414
"lieu";-2,4438;2,4438
"beau";14,0211;-14,0211
"reprocher";-1,0575;1,0575
"draguer";3,4782;-3,4782
"nos";-0,8;0,8
"p";-0,6421;0,6421
"déranger";-0,4987;0,4987
"expliquer";-0,4903;0,4903
"discuter";-1,9779;1,9779
"réaction";0,2875;-0,2875
"mot";15,4227;-15,4227
"comportement";0,5773;-0,5773
"signaler";-0,4886;0,4886
"plaire";0,6849;-0,6849
"parole";0,6663;-0,6663
"point";-2,9072;2,9072
