"";"X.rts_a";"X.rts_i"
"20";-1,8801;1,8801
"jour";-1,1147;1,1147
"encore";2,0843;-2,0843
"réaliser";-0,6107;0,6107
"occasion";5,1212;-5,1212
"moment";0,6557;-0,6557
"emji_feu";-1,3733;1,3733
"propre";3,1964;-3,1964
"couple";2,0516;-2,0516
"américain";-5,0523;5,0523
"voyage";3,4778;-3,4778
"donner";1,4335;-1,4335
"dossier";-0,3397;0,3397
"ordre";-0,2163;0,2163
"htag_switzerland";5,6333;-5,6333
"occuper";1,3109;-1,3109
"htag_commeunlundi";4,5065;-4,5065
"style";3,2636;-3,2636
"chaussette";2,9236;-2,9236
"simple";2,7773;-2,7773
"mode";5,3598;-5,3598
"commun";-0,264;0,264
"apprendre";0,7309;-0,7309
"aimer";17,6572;-17,6572
"poser";0,5298;-0,5298
"plutôt";4,9297;-4,9297
"htag_kids";9,3899;-9,3899
"mort";-2,3552;2,3552
"médecin";0,3403;-0,3403
"mettre";-3,2086;3,2086
"terre";1,726;-1,726
"vie";10,2142;-10,2142
"compter";-0,2163;0,2163
"étude";-7,0719;7,0719
"spécial";0,7766;-0,7766
"htag_invention";3,7554;-3,7554
"solution";0,596;-0,596
"1992";2,5867;-2,5867
"présent";1,4495;-1,4495
"reportage";3,3737;-3,3737
"plusieurs";-2,9326;2,9326
"pendant";0,2465;-0,2465
"parmi";-0,884;0,884
"tard";3,6279;-3,6279
"froid";0,9392;-0,9392
"règle";-0,265;0,265
"manquer";0,6745;-0,6745
"logement";-0,4807;0,4807
"développer";-0,2372;0,2372
"ceux";10,0861;-10,0861
"appeler";1,096;-1,096
"sensible";1,1412;-1,1412
"maison";1,2612;-1,2612
"1972";5,2577;-5,2577
"entier";0,892;-0,892
"compte";0,6126;-0,6126
"fou";3,2636;-3,2636
"manger";2,5867;-2,5867
"dimanche";-9,4565;9,4565
"soir";-1,2562;1,2562
"comme";-4,5335;4,5335
"état";-5,4195;5,4195
"civil";-0,8248;0,8248
"25";-1,5994;1,5994
"nom";-0,4692;0,4692
"particulièrement";-2,8821;2,8821
"exister";1,5846;-1,5846
"2000";1,6911;-1,6911
"lausanne";-0,4869;0,4869
"école";1,6011;-1,6011
"1985";2,5867;-2,5867
"retourner";0,6907;-0,6907
"savoir";7,8635;-7,8635
"élève";0,2655;-0,2655
"htag_ecole";4,8821;-4,8821
"femme";-0,2838;0,2838
"traditionnel";-0,3397;0,3397
"quelques";4,0369;-4,0369
"glisser";2,9236;-2,9236
"sous";-0,5989;0,5989
"ouvrir";-0,7332;0,7332
"sport";1,4495;-1,4495
"alcool";0,8939;-0,8939
"domaine";-1,6579;1,6579
"famille";-0,259;0,259
"vin";0,9509;-0,9509
"devant";1,4361;-1,4361
"caméra";1,9235;-1,9235
"1969";4,1309;-4,1309
"fils";0,8939;-0,8939
"jean";3,9379;-3,9379
"là";1,3109;-1,3109
"âge";1,928;-1,928
"bande";-2,0052;2,0052
"main";2,0516;-2,0516
"objectif";-1,1769;1,1769
"record";-1,46;1,46
"personnel";-0,7376;0,7376
"corps";2,0165;-2,0165
"esprit";2,974;-2,974
"forme";-0,5279;0,5279
"part";-0,5708;0,5708
"vacance";5,9656;-5,9656
"1994";2,3536;-2,3536
"poste";-2,7045;2,7045
"service";-4,9167;4,9167
"animal";-0,7508;0,7508
"voir";0,3364;-0,3364
"vrai";2,9236;-2,9236
"chaque";-1,1491;1,1491
"jeudi";-11,2632;11,2632
"offrir";-2,5086;2,5086
"émotion";1,3109;-1,3109
"jeunesse";3,0732;-3,0732
"ambiance";4,262;-4,262
"télévision";6,5805;-6,5805
"parole";0,5298;-0,5298
"manière";0,4604;-0,4604
"eux";1,0953;-1,0953
"30";0,3333;-0,3333
"changer";1,0827;-1,0827
"scène";-0,5279;0,5279
"comédien";5,2577;-5,2577
"travailler";0,7309;-0,7309
"tour";0,4231;-0,4231
"adolescent";0,7766;-0,7766
"acteur";-0,7148;0,7148
"cinéma";2,5493;-2,5493
"décéder";-0,8953;0,8953
"film";0,2671;-0,2671
"philippe";0,4344;-0,4344
"22";-0,264;0,264
"début";0,2585;-0,2585
"effet";-1,7482;1,7482
"déjà";0,4815;-0,4815
"citoyen";-0,6796;0,6796
"représentant";-0,3238;0,3238
"défendre";-0,6049;0,6049
"espèce";-3,5584;3,5584
"menacer";-1,3344;1,3344
"entendre";0,5298;-0,5298
"avenir";-0,8778;0,8778
"canton";-4,592;4,592
"htag_valais";6,7602;-6,7602
"affaire";-1,858;1,858
"marquer";-3,2955;3,2955
"cet";2,2534;-2,2534
"fédéral";-6,4766;6,4766
"4";-1,718;1,718
"500";-1,6579;1,6579
"j";10,5908;-10,5908
"peur";2,5867;-2,5867
"avion";1,0953;-1,0953
"pilote";0,2655;-0,2655
"ligne";-5,6679;5,6679
"18";-1,5994;1,5994
"armée";0,4231;-0,4231
"porte";-0,5132;0,5132
"répondre";0,4174;-0,4174
"document";0,8948;-0,8948
"htag_armeesuisse";3,7554;-3,7554
"pouvoir";-3,4679;3,4679
"achat";-1,0311;1,0311
"présenter";0,2585;-0,2585
"100";-0,2808;0,2808
"gagner";0,8939;-0,8939
"elles";-0,29;0,29
"travailleur";-0,7376;0,7376
