htag_60s;0;0;0;1;3;1;0;0;6;2;1;1;2;3;0;1;0;5;2;0;1
dire;1;0;0;1;0;1;3;3;3;3;2;2;1;2;0;0;1;1;1;1;0
htag_rtsxarchives;2;3;2;2;2;0;3;0;0;0;1;0;1;1;1;1;2;1;1;3;2
encore;2;0;0;1;1;1;0;4;2;0;0;0;2;1;1;0;0;0;2;3;3
savoir;0;1;1;2;5;2;0;2;1;2;2;1;3;0;1;1;0;0;2;0;0
lui;1;0;0;2;0;4;1;1;1;2;2;1;1;1;0;3;1;1;1;2;0
htag_2000s;2;2;1;0;0;0;1;1;2;1;0;0;3;2;1;1;1;0;3;0;1
avant;4;3;0;0;2;4;2;0;0;4;3;1;0;2;1;1;1;0;0;0;2
mieux;1;1;0;0;3;2;2;1;0;1;1;4;2;0;0;0;1;2;1;2;0
quelques;2;0;0;0;2;3;1;1;0;5;4;2;0;1;0;0;2;0;0;2;2
comment;0;2;1;1;1;1;1;3;1;0;0;0;3;0;0;0;2;0;1;2;2
peu;0;0;0;2;1;1;0;2;1;0;3;3;1;3;3;0;2;1;0;1;0
très;3;1;0;2;0;2;0;1;1;0;1;0;1;0;2;1;2;2;0;1;0
entre;0;4;0;0;0;0;1;0;2;1;3;2;3;1;0;0;3;0;4;1;2
aujourd_hui;0;0;0;1;1;0;1;3;0;2;4;0;1;1;4;2;0;1;0;6;0
80;0;0;0;3;0;0;0;0;1;2;1;0;1;0;2;1;1;1;1;5;4
htag_humour;1;0;0;1;2;1;0;0;1;3;1;0;0;0;2;0;0;1;4;1;0
trop;0;1;2;0;1;0;1;0;0;0;1;1;1;0;0;0;1;1;2;0;2
leurs;0;2;0;3;0;1;1;2;0;1;0;2;3;1;0;1;0;3;1;0;2
vouloir;0;2;1;2;0;1;2;0;2;3;2;1;3;2;0;1;0;0;1;0;0
même;2;0;1;0;1;0;1;1;0;0;0;4;1;1;2;0;2;0;0;2;2
htag_vintage;1;0;0;1;2;1;1;0;0;1;0;4;2;0;0;0;1;1;1;0;2
déjà;1;1;1;1;1;0;1;0;0;5;1;0;4;2;1;0;0;2;0;0;1
deux;0;2;0;2;1;0;0;0;1;1;1;2;1;0;1;3;1;0;1;0;2
voici;1;0;0;1;4;1;2;1;1;1;2;1;0;0;0;0;1;1;0;2;0
toute;1;2;0;0;0;1;1;1;2;1;1;1;1;0;1;2;0;0;0;1;3
nos;2;0;1;0;1;2;2;0;2;1;1;0;0;2;3;1;0;0;1;3;0
htag_kids;1;0;1;1;0;0;2;0;0;1;2;1;6;0;0;0;2;0;0;0;1
vos;3;1;0;0;2;1;1;2;0;0;1;0;2;0;0;0;1;0;0;2;1
moi;0;0;0;4;1;1;0;2;1;1;0;0;3;1;0;0;1;0;2;0;1
htag_noel;0;0;0;0;0;1;6;0;1;1;0;0;2;0;2;0;1;1;0;0;0
contre;1;1;1;0;1;3;0;0;1;1;2;0;1;0;2;0;0;0;1;0;1
sous;0;1;0;4;1;1;0;0;1;0;1;2;0;2;0;0;2;0;0;3;2
mon;0;0;0;2;1;0;4;1;2;2;0;1;0;0;0;0;0;0;0;3;0
lors;0;0;0;0;0;0;1;1;0;2;0;1;0;1;0;0;0;0;1;6;1
htag_retro;1;0;0;0;1;1;1;0;0;3;0;3;1;1;0;0;1;1;1;0;1
htag_eighties;0;1;0;1;3;1;1;0;0;2;0;2;0;1;0;0;0;3;0;1;1
tard;0;0;0;0;0;0;0;0;0;0;1;0;1;0;4;7;1;1;0;1;1
t;0;1;0;0;0;2;3;1;2;0;0;2;2;0;0;0;1;0;2;0;0
rien;0;0;0;0;3;0;1;1;1;3;1;3;0;0;1;0;0;0;1;0;1
où;1;1;0;0;0;0;0;2;2;0;2;1;2;3;1;3;0;0;0;0;0
pourquoi;0;1;0;0;1;1;1;1;1;0;0;3;2;1;1;0;0;1;0;0;1
htag_look;1;0;1;0;1;0;1;0;0;0;0;6;0;0;1;0;1;0;0;1;3
htag_instafood;0;0;1;0;4;0;1;1;1;0;0;1;0;1;0;1;1;0;0;1;3
htag_geneve;0;0;1;2;0;2;0;1;0;2;0;2;0;2;0;0;0;0;2;1;0
chez;0;2;0;1;1;0;3;1;1;0;1;0;2;0;1;0;0;0;2;0;2
30;1;1;0;0;1;0;0;1;2;0;1;0;0;3;3;3;1;1;0;0;0
tu;0;1;1;1;0;1;2;0;2;1;0;0;1;1;0;0;0;0;1;0;0
monsieur;0;1;0;1;1;0;2;1;0;1;0;0;1;2;0;0;1;1;0;2;1
htag_fashion;1;0;1;0;1;0;1;1;0;0;0;4;0;0;1;0;1;0;0;1;2
htag_amour;0;0;1;9;0;0;0;0;1;0;2;0;0;0;0;2;0;0;0;0;1
devoir;0;1;0;0;0;1;0;1;0;2;1;0;4;1;1;0;0;2;2;0;0
40;1;0;0;0;1;0;1;1;0;2;1;1;0;0;3;1;0;0;0;1;0
moins;0;1;0;1;1;1;0;1;0;1;1;1;3;1;1;0;2;0;0;0;1
madame;1;1;0;1;0;0;0;0;2;1;1;1;0;0;1;1;0;2;0;1;2
htag_vacances;3;0;2;0;0;1;0;0;1;1;0;1;0;0;1;0;0;0;1;1;0
htag_love;0;0;0;8;1;0;0;0;0;1;1;0;4;0;0;1;0;0;0;0;0
htag_lausanne;0;3;1;0;1;0;1;0;1;1;0;0;0;0;0;0;5;1;0;0;0
certains;1;1;1;3;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1;1;3
jamais;0;0;0;0;2;4;0;0;0;0;1;0;2;1;0;0;0;0;0;2;0
htag_valais;2;0;0;0;1;0;0;0;0;2;0;4;0;0;0;1;0;0;2;0;3
htag_ski;0;1;0;2;0;0;1;0;0;0;0;13;0;0;1;0;0;0;0;0;0
htag_microtrottoir;1;0;0;0;1;0;0;1;1;0;0;1;2;0;0;0;0;1;0;2;1
24;0;0;0;0;1;1;0;0;0;1;0;0;0;0;3;0;0;2;3;0;2
1990;1;2;0;0;1;1;2;0;0;0;0;0;2;0;1;0;0;0;0;2;0
1970;0;0;0;0;0;0;1;1;1;0;4;0;3;0;1;0;0;0;0;0;0
quel;0;6;0;0;2;0;1;2;0;0;0;1;1;0;1;0;1;0;0;0;0
grâce;2;0;0;0;0;1;5;0;1;1;1;0;0;1;1;0;1;0;0;1;0
devant;0;0;1;0;0;0;2;0;1;0;0;1;1;0;1;1;1;0;0;0;0
