"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21"
"premier";0,346;1;0,758;1;1;1;1;1;0,044;0,61;1;1;1;1;0,006;1;0,856;1;0,418;0;1
"femme";1;0;1;1;1;1;0,27;1;1;1;0;1;1;1;1;0,157;1;1;1;1;0
"enfant";1;1;1;1;1;1;1;1;1;0,512;0,003;1;0;1;1;0;1;1;1;1;0,111
"18h45";1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1
"passer";1;1;1;1;1;1;0,12;1;1;1;1;1;0,91;0,819;1;0,001;1;0;1;0,88;1
"homme";1;0;1;0,197;1;0,952;1;1;1;1;0,49;1;0,721;1;1;1;1;0,287;1;1;0,042
"beau";1;1;1;0,664;0,289;1;1;1;1;0;0,105;0,001;1;1;1;0,157;1;0,986;1;1;1
"rencontre";1;1;0,974;1;1;1;0;1;1;1;1;1;1;0,004;0,681;1;1;1;0,681;0,266;0,061
"amour";1;1;1;0;1;1;1;1;0,173;1;1;1;1;1;1;0;1;1;0,752;1;1
"prendre";0,623;1;1;1;1;0,047;0;1;1;1;1;1;1;0,748;0,23;1;0,005;1;0,041;0,807;1
"jour";0,075;1;1;1;0,203;1;0,65;0,956;1;0,038;1;1;1;0,52;1;0,714;1;0,001;1;1;1
"souvenir";1;1;1;1;1;1;1;1;1;1;1;0,297;1;1;0,001;0;1;1;1;0,653;0,681
"question";1;0,557;1;1;1;1;1;0;0,624;1;1;1;0;1;1;1;1;1;1;1;0,874
"occasion";0,851;1;1;1;1;1;1;1;1;1;0,826;0,397;0,305;0,252;1;1;0,087;1;0,001;0,002;1
"lausanne";1;0,247;1;0,426;1;1;1;1;0,991;1;0,991;1;1;1;0,38;1;0;0,149;0,38;1;1
"partir";1;1;0;1;1;1;1;0,001;1;1;1;1;1;1;0,418;1;1;0,825;1;0,105;1
"télévision";0,978;0,899;0,687;1;1;0,72;1;1;0,952;1;0,952;1;1;1;0,05;0;0,783;1;1;1;1
"suivre";1;1;0,792;1;0;1;1;1;1;0,656;1;1;1;1;0,456;0,096;1;1;1;0,124;1
"noël";1;1;1;1;1;1;0;1;1;0,88;1;1;0,155;1;0,111;1;0,482;0,456;1;1;1
"trouver";1;0,937;1;1;1;1;0,013;0,851;0,991;1;0,036;1;0;1;1;1;1;1;1;1;1
"raconter";0,851;0,774;0,572;1;1;1;1;1;1;1;1;1;1;1;0,023;0,031;0,663;0,076;1;0,002;0,305
"nombreux";1;0,937;0,723;0,079;0,542;0,756;1;1;1;1;1;0,587;0,097;1;1;1;0,167;1;1;0,008;1
"jeu";1;1;0,572;1;1;0,603;0,003;1;0,826;0,061;1;1;1;0;1;1;1;1;1;0,988;0,305
"fin";0,025;1;1;1;0,451;0,096;1;0,774;0,001;0,472;1;1;0,388;1;1;1;1;0,714;1;1;1
"âge";1;1;1;0,197;1;1;0,952;0;1;0,991;1;1;0,912;1;1;1;0,575;1;0;0,891;1
"vacance";0;1;0,313;1;1;0,337;1;1;0,04;0,755;1;0,137;1;1;0,601;1;1;1;1;1;1
"journée";1;1;1;1;1;1;1;1;1;0,565;0;1;1;1;1;1;1;1;0;1;1
"ski";1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
"public";1;1;1;1;1;1;0,002;0,922;1;1;0,356;1;0,557;1;1;1;0;0,859;1;0;1
"jean";0,479;1;1;1;1;1;1;1;0,458;0,686;1;1;1;0,558;0;1;1;1;1;0,062;1
"découvrir";1;0,899;1;1;0,496;1;1;0,813;1;1;0,952;1;1;1;1;1;1;1;1;0;1
"vivre";0,756;0,682;1;1;1;0,519;0,952;0,603;0,118;1;0,732;1;1;0,013;0,011;0,399;1;1;1;1;0,912
"vaudois";1;0,633;1;1;1;1;1;1;1;0;1;1;0,859;0,151;0,008;0,361;0,529;0,502;1;1;1
"mode";1;1;0;1;1;1;0,563;0,211;1;1;1;0,634;1;1;1;0,65;1;1;1;1;0
"connaître";1;0,774;0,001;0,967;1;1;1;0,692;0,826;0,061;0,826;1;1;1;0,023;1;0,663;1;1;1;1
"école";1;1;1;1;1;0,519;1;1;0,732;1;0,732;0,039;0;1;0,826;1;1;1;1;1;0,227
"voiture";1;1;0,313;1;1;0,337;1;1;0,517;0,755;1;1;1;1;1;1;0;0,36;1;0,086;1
"voir";0,247;1;0,65;0,347;1;0,682;0,007;1;1;0,472;0,228;1;0,388;1;1;1;0,744;1;1;1;1
"soleil";1;1;0,358;0;1;1;1;1;0,574;1;1;0,837;1;1;1;1;1;1;1;1;0
"pays";1;0,582;0,403;1;0,861;1;1;0,507;0,629;1;0,629;0,898;1;1;0;1;1;1;0,719;0,782;0,802
"devenir";1;0,817;1;1;1;0,002;1;0,734;1;1;0,198;1;1;0,002;0,967;0,039;1;1;1;0,327;0,346
"rue";1;1;1;0;1;1;0,342;1;0;1;1;1;1;1;1;1;0;1;1;0,287;1
"passion";1;0;1;1;1;1;0,718;1;0,517;0,755;1;0,773;0,68;1;0;1;1;1;1;1;1
"musique";0,539;1;1;1;0,737;1;0,718;1;1;0,755;1;1;1;1;1;1;1;1;0;1;1
"histoire";1;1;1;0,641;0,737;1;1;1;0,517;1;1;1;1;1;1;0,243;0;1;1;0;1
"festival";1;1;1;1;1;0,016;0,104;1;0,047;1;1;1;1;1;1;1;0,022;1;1;1;1
"proposer";0,705;1;1;0,817;0,231;0,475;0,898;0,051;1;1;1;1;0,859;1;0,774;1;0,529;1;1;0,012;0,859
"lancer";1;1;1;1;0,542;0;0,519;1;1;0,001;1;0,02;1;1;1;1;1;0,789;1;1;1
"évoquer";1;0,076;1;0,817;1;1;1;1;0,681;1;1;1;0,19;0,151;0,008;1;0,529;0,037;1;0,838;1
"venir";1;1;1;0,919;0,042;1;1;1;0,78;1;1;1;0,962;1;0,875;1;0;0,591;1;0,941;0,029
"réponse";1;1;0,018;1;0,861;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1
"place";0,597;0,529;1;1;1;1;1;0,457;1;1;1;0,837;0,743;0,682;0,662;1;0,433;0;0,086;1;1
"danse";1;1;1;1;1;1;0;0,038;1;1;0,629;0,898;1;1;1;1;1;1;0;1;1
"voyage";0,895;1;0;1;1;0,08;1;1;0,87;1;1;1;1;0,989;1;1;1;0,674;1;0,327;1
"travail";1;0,582;0,403;1;1;1;1;0,507;0,629;0,88;0,629;0,216;0,155;1;0,719;0,322;1;1;1;0,782;0,802
"secret";1;0,774;1;0,27;0;1;1;1;0,826;1;1;1;1;1;1;1;1;1;0,922;0,988;1
"prêt";1;1;0,001;0,967;1;0,603;0,342;1;0,17;1;1;1;1;1;0,922;1;0;1;0,235;1;1
"plutôt";1;1;1;1;1;1;1;0,195;1;0,455;0,272;0,47;0,395;1;0,334;1;1;0,165;1;0,38;1
"partager";1;0;1;1;0,451;0,682;1;0,774;1;1;0,912;1;1;1;1;0,048;0,744;0,714;1;1;1
"parler";1;0,058;1;1;1;1;1;1;1;0;0,629;1;0,802;1;0,719;0,009;1;1;1;1;1
"métier";1;0;1;1;1;1;1;1;1;1;1;0,956;0,014;0,795;0,774;0,361;1;1;1;1;1
"mettre";1;1;1;1;0,002;1;0,299;1;1;1;0,143;1;0,962;0,897;0,201;0,438;1;1;0,016;0,941;1
"ville";1;0,582;1;0,761;1;1;1;0,507;0,629;1;1;1;1;0,74;1;1;0,482;0,456;0;0,008;1
"présenter";1;1;1;1;0,918;1;1;1;1;0,025;0,681;1;1;1;1;0;0,043;1;0,774;0,177;0,859
"meilleur";1;1;1;1;0,062;1;0,057;1;1;1;1;1;0,001;0,491;0,472;1;1;1;1;0,527;1
"genevois";1;1;1;0,761;1;1;0,179;1;1;0;1;1;0,009;1;1;1;1;1;1;1;0,802
"eau";1;1;1;1;0,971;0,519;1;1;1;0,991;1;0,039;1;0;1;0,399;0,575;0,048;1;0,891;1
"début";1;1;0,313;1;0,737;1;1;1;0,517;0,128;1;1;1;1;0,601;1;1;1;1;0,086;0
"cinéma";0,416;1;1;1;1;1;0,579;1;1;1;0,397;1;1;1;1;0,166;0,006;0;1;1;1
"valoir";1;1;1;1;0,316;1;1;0,648;0,78;0,047;0,143;0,35;0,962;1;1;0,024;0,62;1;0,201;1;1
"retour";1;1;1;0,817;0,918;0,475;0;1;0,681;1;0,681;1;1;1;1;1;0,529;1;0,774;0,838;1
"plaisir";1;1;0,49;0,016;1;0,519;0,952;1;1;0,991;1;1;0,227;1;1;1;1;1;0,826;1;0
"mot";0,705;1;0,447;0,817;0,918;1;1;1;1;0;1;1;0,859;0,795;1;0,361;0,529;0,502;0,774;1;1
"matin";0,287;1;0,136;1;1;1;1;0,195;1;1;0,272;1;1;1;1;1;0,001;0,165;0,334;1;1
"laisser";1;0,417;1;0,056;0,088;1;1;1;1;1;1;1;0,614;1;1;1;0,332;0,311;0,538;1;0,068
"français";0,352;1;1;1;1;1;0,504;1;1;0;0,335;1;1;1;0,404;1;1;1;1;0,455;1
"fois";1;1;1;0,761;1;1;0,842;1;0,629;0,88;1;1;1;1;0;1;0,482;0,027;1;0,144;1
"famille";0,851;1;1;1;0,36;1;1;1;0,012;1;1;0,005;1;1;0,235;1;1;1;0,922;0,988;0,305
"donner";1;1;0,531;0,919;1;1;0,299;1;0;1;0,78;1;0,962;1;1;0,438;1;1;1;0,249;1
"complet";1;1;1;1;0,316;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0,026;1
"chose";1;1;1;1;1;1;1;1;1;0,001;1;1;0,859;0;0,774;1;1;1;1;1;0,859
"champion";1;1;1;1;1;0,384;1;1;1;1;1;0,837;1;0;0,086;1;1;0,408;1;1;1
"blanc";1;1;1;0;1;1;0,782;0,457;1;0,819;1;0,837;1;1;1;1;0,433;1;1;1;0,123
"avis";1;1;1;1;1;1;1;0,603;0,732;1;0,732;1;0;1;1;1;1;0,547;1;1;0,227
"équipe";1;0,241;1;1;1;1;0,021;0,195;1;1;0,272;1;0,395;1;1;1;0,18;1;1;0,38;1
"tour";1;1;1;1;1;1;1;0;1;1;1;0,898;0,802;1;1;0,009;0;1;0,719;1;1
"rire";1;1;1;1;0,737;1;1;1;1;1;1;1;0,094;1;0,601;1;1;1;0;1;1
"neige";1;0,582;1;0,132;1;1;1;0,507;1;1;1;0;0,155;1;1;1;1;1;1;1;1
"armée";1;0,058;0,403;0,761;1;1;1;0;1;1;1;0,898;0,802;0,122;0,719;1;1;1;1;0,782;0,802
"tête";0,479;1;1;1;0,669;1;1;1;1;1;1;1;0,614;1;0,538;1;1;1;1;1;0
"radio";1;1;1;1;1;1;1;0,057;1;0,002;0;1;1;1;1;1;1;1;1;1;1
"propre";1;1;0,033;1;1;1;1;1;1;0,198;1;0,207;1;1;1;1;0,05;1;1;0,152;1
"nouveau";1;0,529;1;1;1;1;1;0;1;1;0;0,175;0,743;1;1;1;1;1;1;0,723;1
"ambiance";1;0,127;1;1;0;1;1;1;1;1;1;0,296;1;1;1;1;1;1;0,192;1;1
"vin";0,539;1;1;1;0,119;1;1;1;0,517;0;1;0,773;1;1;0,601;1;1;0,36;1;1;1
"village";0;1;1;1;1;1;1;1;1;1;1;1;1;1;0,086;0,282;1;1;1;0,723;0
"sport";1;0,183;1;1;1;1;0,011;1;1;1;1;0,015;1;1;0,263;1;1;1;1;0,303;1
"rester";1;0;1;1;0,669;1;0,651;0,354;0,458;1;0,458;0,703;0,614;1;0,538;1;1;1;1;1;1
"reportage";1;1;1;1;1;1;1;1;0,574;1;0,001;1;1;1;1;0;0,433;1;1;0,005;1
"présent";0,597;0,529;0,358;1;1;1;0,008;1;0,056;1;1;1;1;0,682;1;0;1;1;0,662;1;1
"piste";1;1;1;1;0,861;1;1;0,507;1;1;1;0;1;1;0,719;1;1;1;0,719;1;1
"oublier";1;0;0,268;1;1;1;0,002;1;0,458;1;1;0,103;1;1;1;1;1;0,311;1;1;1
"maison";0,012;1;1;0,438;1;1;1;1;1;0,044;0,335;1;0,471;1;1;1;1;1;1;0,455;0,471
"lausannois";1;0,03;1;1;0,737;1;0,718;1;1;1;1;1;1;1;1;1;0;0,013;1;1;1
"journaliste";0,652;0,058;1;1;1;1;0,842;1;0,074;0,88;1;1;1;1;1;0,322;1;0,456;1;0,144;0,009
"haut";1;0;1;0,577;1;1;1;0,354;0,458;1;1;1;1;0,558;1;0,002;0,332;1;1;0,596;1
"fêter";0;1;1;1;0,596;1;0,001;1;1;1;1;1;1;1;0,472;1;1;1;0,472;1;1
"droit";1;0,3;1;1;1;1;1;1;0,335;0,536;0,01;1;0;1;1;1;0,23;1;1;1;1
"dernier";0,652;0,582;1;1;1;0,43;1;1;1;1;0;1;1;0,006;0,719;1;1;0,027;0,719;1;1
"course";1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0,18;1;0,334;0,38;0,395
"couper";1;1;1;1;1;1;1;1;1;0,117;1;1;1;1;0;1;0,022;1;1;1;1
"conseil";0,416;0,359;1;0,038;1;0,242;1;1;1;0;0,397;1;1;1;1;1;1;1;1;1;1
"compte";1;1;1;1;1;1;0,718;1;1;1;1;1;1;1;1;1;1;1;0,601;0;1
"commencer";0;0,474;1;1;0,737;1;1;1;1;1;0,517;1;0,68;0,622;1;0,243;1;1;1;1;1
"art";1;1;1;1;0,596;1;0;1;0,397;1;0,397;1;1;1;1;0,166;1;0,004;1;1;1
"appeler";1;1;1;1;1;1;1;1;0,517;0,128;1;0,773;1;1;0;0,003;1;1;1;1;1
"animal";0;1;0,268;1;1;1;1;0,354;1;1;0,458;1;1;1;0,001;1;1;1;1;1;1
"événement";1;1;1;1;1;0,15;1;1;1;0,455;1;1;1;1;1;1;0,18;1;0,334;0;1
"sortir";0,287;1;1;1;0,44;0,001;1;1;1;1;1;1;1;1;0,334;0,095;0,18;1;0,334;1;1
"sembler";1;1;1;1;1;0,337;1;1;0;0,755;1;0,137;0,68;1;1;1;0,383;0,36;0,601;1;1
"santé";0,479;1;1;0,056;1;1;0,651;0,354;1;0,686;1;0,103;0,614;1;0,538;1;1;1;0,538;1;1
"saison";1;1;1;1;0,737;1;0,005;1;1;1;1;0;1;1;0,601;0,243;1;1;1;1;0,68
"saint";1;1;1;0,577;0;1;1;0,354;1;1;1;1;1;1;0,045;1;1;0,311;0,538;0,596;1
"plateau";1;1;0,313;1;0,119;1;1;0,406;1;1;1;1;1;0,622;1;0,243;0,383;0,013;0,064;0,661;1
"jeunesse";1;1;1;0,215;0,272;1;0,261;1;1;1;1;1;1;1;1;1;1;0,079;0,192;0,226;1
"froid";1;1;1;1;1;1;0;1;1;1;1;0;1;1;0,662;1;1;1;0,086;1;1
"fille";1;1;1;1;1;1;1;1;0,335;1;0,335;1;0,029;1;0,404;1;0,23;1;1;0,455;0,029
"face";1;1;1;1;0,596;0,003;1;0;1;1;1;0,63;0,047;1;1;1;1;0,262;1;1;1
"comédien";1;1;1;1;1;1;0,261;1;1;1;1;1;1;1;0,001;0,039;0,088;0,079;1;1;1
"coeur";1;1;0,313;0;1;1;0,718;1;0;1;1;1;1;1;1;0,243;1;1;1;1;1
"automne";0,652;1;1;1;1;1;1;1;1;1;1;0,898;1;1;0;0,322;1;1;1;1;0,802
"témoignage";1;0,03;0;1;1;1;1;1;0,517;1;0,517;0,773;1;1;1;0,003;1;1;1;0,661;0,68
"tsr";1;1;1;1;1;1;1;0,301;1;0,613;0;1;1;0,491;1;1;0,281;1;1;0,527;1
"terre";1;1;1;1;1;1;1;0,301;1;1;1;1;0,544;0;1;1;0,006;1;1;0,527;1
"soirée";1;1;1;1;0,44;1;0,021;1;1;1;1;0,47;1;1;0,334;1;0,18;1;1;0,38;0,395
"simple";1;0,043;1;1;0,801;1;1;1;1;1;0,056;1;1;0,003;0,662;0,006;1;1;0,662;0,723;1
"rêve";1;1;1;1;1;1;1;1;1;0,536;0,01;0,048;0,029;1;1;1;1;1;1;0,026;1
"revenir";1;1;0,268;1;1;1;1;0,354;1;1;1;1;1;1;0,045;0,002;0,01;0,311;1;0,062;1
"rendre";1;1;1;1;0,737;0;1;1;1;0,755;1;0,137;1;0,002;1;1;1;0,36;0,601;1;1
"quotidien";0,539;0;1;1;1;0,337;0,718;1;1;1;0,517;1;1;1;0,601;1;1;1;1;0,086;0,68
"mois";1;1;1;1;1;0,07;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1
"manquer";1;1;1;0,509;1;1;1;1;0,397;1;1;0;0,544;1;1;1;1;0,262;1;1;0,544
"lac";1;1;1;1;1;1;0,504;1;1;0,536;1;0,001;0,471;0,421;1;0,129;1;1;1;0,455;1
"corps";1;1;1;0;1;1;1;0,457;0,574;1;1;1;1;0,682;0,662;1;1;1;1;0,723;0,123
"choisir";1;1;1;1;1;1;1;1;0,458;1;1;0,103;0,614;1;0,045;1;1;1;0,538;0,596;0,002
"chat";1;1;0,178;1;1;0,195;1;1;1;0,044;0;1;1;1;1;1;1;1;1;0,455;0,471
"chanson";1;1;1;1;0,04;1;1;1;1;0;0,335;0,552;1;1;1;1;1;1;1;0,455;1
"canton";0,539;1;0,313;0,641;0,737;1;1;1;0,04;0,755;0,517;1;1;1;0,601;1;1;0,013;1;0,661;1
"adepte";1;0,417;1;0,056;0,669;0,289;0,081;1;1;0,686;1;1;1;1;1;1;1;1;1;1;0,002
"vraiment";1;1;1;1;1;1;1;1;1;0,013;0,002;1;1;0,276;1;1;1;0,12;1;0,303;1
"vieux";1;1;1;1;1;1;0,425;0,195;0,005;1;1;1;1;1;0,334;1;1;1;1;0,38;0,017
"témoigner";1;0,417;1;0,577;1;1;1;1;0;1;1;1;0,614;1;1;0,002;0,332;1;1;0,596;1
"train";0,416;1;1;1;0,596;0;1;1;1;0,068;1;1;0,544;1;1;1;0,281;1;1;1;1
"spécial";0,416;1;1;1;1;1;1;1;1;0,613;0,397;0,63;1;1;0,03;0,166;1;0,262;1;0,042;1
"seul";1;1;1;1;0,596;1;1;0,301;1;0,613;0,017;1;1;0;0,472;1;1;1;1;1;1
"servir";0,287;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0,18;1;1;1;1
"semaine";0;1;0,003;1;1;1;1;0,301;0,397;0,613;1;1;0,544;1;1;1;1;1;1;1;1
"romands";1;1;1;1;1;1;1;0,301;1;0,068;1;0,63;0;1;1;1;1;0,262;1;0,527;1
"recette";1;1;1;1;0,04;1;1;1;0,335;1;1;0,552;1;1;1;0,129;0,23;1;1;0;1
"projection";1;1;1;1;1;1;1;0,247;1;0,536;1;1;1;1;1;1;1;1;0,404;0;1
"permettre";0,479;1;1;1;0,088;0,289;1;1;1;0,686;1;1;0,614;1;1;1;0,01;0,311;0,538;1;0,614
"ouvrir";1;1;1;1;1;1;0;1;1;1;1;1;1;0,491;1;1;0,281;1;1;0,042;1
"nature";1;1;0,096;1;1;0,108;1;1;0,002;0,371;1;1;1;1;0,263;1;1;1;1;1;0,317
"mort";0,052;1;1;1;1;0,016;1;1;1;1;1;1;1;1;1;1;0,022;1;1;0,085;1
"montagne";1;1;1;0,509;1;1;1;1;1;0,613;0,397;0,073;1;0,491;0,472;1;1;1;0,472;0,527;0,544
"moment";0;0,417;1;1;1;1;1;1;1;1;1;0,703;1;0;1;1;0,332;1;1;1;1
"long";1;0,3;1;1;1;1;1;1;1;1;0,335;1;1;0,421;1;0,129;0,23;1;0,018;0,026;1
"liberté";1;0;1;1;1;0,001;1;1;1;1;1;1;1;1;1;1;0,001;1;1;1;0,395
"inviter";1;1;1;1;1;1;1;0,057;1;1;0,093;1;1;1;1;0,02;1;1;1;0,152;0,161
"hiver";1;0,359;1;1;0,596;1;1;0,301;0,397;1;1;0;1;1;1;1;1;1;0,472;1;1
"fribourg";1;1;1;1;1;1;0,425;1;1;1;1;1;0,017;1;0,334;1;0,18;0,165;0,334;0,38;1
"florilège";1;1;0;0,143;1;1;1;0,057;1;1;1;0,207;1;1;1;1;1;1;1;1;1
"film";1;1;1;1;1;0,016;0,104;1;1;0,117;1;1;1;1;1;1;1;1;0,068;1;1
"feu";1;1;1;0,438;1;0;0,504;1;1;1;1;1;1;1;1;0,129;0,003;1;1;1;1
"fan";0,287;1;1;1;0,44;0,15;1;1;1;0,455;1;1;1;1;1;0,095;0,001;1;1;0,38;1
"esprit";0;1;1;0,013;1;1;1;0,195;1;1;1;1;1;1;0,334;0,095;1;1;1;1;1
"drôle";1;1;1;1;1;1;1;1;1;1;1;1;0,317;0,005;0;1;1;1;1;1;0,317
"cuisine";1;1;0,313;1;0,119;1;1;0,406;1;1;1;1;1;1;0,601;1;1;1;1;0,661;0
"changer";0,352;1;1;1;0,04;1;1;1;0,335;1;1;1;1;1;1;0;0,23;0,213;1;1;1
"chance";1;1;1;1;1;0,07;1;1;1;0;0,001;1;1;1;1;1;1;1;1;1;1
"carrière";1;1;1;1;1;1;1;1;1;0,198;1;0,207;1;1;0;1;1;1;1;1;1
"bonheur";1;1;1;1;1;1;0,651;1;0;1;1;0,703;1;0,051;1;1;1;1;1;1;1
"attendre";0,287;1;1;0,365;1;0,15;1;1;0,272;1;1;1;0,017;1;1;1;0,18;1;1;1;0,395
"adolescent";1;1;1;1;1;1;1;0,354;0,458;0,096;0,458;1;1;0,558;0,538;0,002;1;1;1;0,062;1
"époque";0,416;1;1;1;1;1;1;1;0,397;1;1;1;1;1;0,03;0;1;1;0,03;1;1
"vélomoteur";1;1;1;1;1;1;1;1;1;0,613;1;1;1;1;1;0,166;0,281;0;1;0,527;0,544
"style";1;1;0,136;0,365;1;1;1;1;1;1;1;0,029;1;1;1;1;1;1;1;0,015;0,017
"rétro";1;1;0;1;1;1;1;0,354;1;1;1;1;1;1;1;1;1;1;1;1;1
"route";1;1;1;1;1;0,195;0,036;1;1;1;0,335;0,552;1;1;1;1;0,23;0,213;0,404;1;0,471
"regard";1;0,127;1;1;1;1;1;1;1;1;1;0,296;0,238;0,204;1;1;1;1;1;0,226;0,238
"rassembler";1;0,183;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0,132;1;0,263;1;0,317
"programme";1;1;1;1;0;1;1;1;1;1;0,209;1;1;1;1;1;1;1;0,263;0,007;1
"profiter";1;1;0,003;1;1;1;1;1;0,397;0,068;0,017;1;1;0,034;1;1;1;1;1;0,527;1
"prix";1;1;1;1;1;0,07;1;1;0,148;1;1;0,296;1;1;1;1;0,088;0,079;1;0,226;1
"parent";1;1;1;1;1;1;0,504;0,247;1;0,536;1;1;0;1;1;1;1;1;1;1;0,471
"oeil";1;1;1;1;0,596;1;0;1;1;1;1;1;1;1;1;1;0,281;0,004;1;0,527;1
"nuit";1;0,007;1;1;1;1;1;1;1;0,536;1;0,552;1;1;1;1;1;1;0;1;1
"mondial";0,159;1;1;1;1;0,07;1;1;1;1;0,001;1;1;1;0,192;1;1;1;0,192;1;1
"jouer";1;0,241;0,136;1;1;1;0,425;1;1;1;1;0,47;0,395;1;1;1;0,18;1;0,01;1;1
"international";1;1;1;1;1;1;1;1;1;0,003;0;1;1;1;1;1;1;1;0,045;0,596;1
"image";1;1;1;1;1;1;1;1;0,272;1;1;1;1;1;0;1;1;1;1;0;1
"helvétique";1;1;1;0,006;1;1;1;0,144;1;1;1;1;1;1;0,004;1;0,132;1;0,263;1;1
"fou";1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,001;1;0;1;0,001;1;1
"créer";0,287;1;1;1;1;1;0,425;1;1;0;0,272;1;1;0,349;0,334;1;1;1;1;1;1
"cours";1;1;1;1;1;1;1;0;1;1;1;1;0;1;0,404;0,129;1;1;1;1;1
"chien";1;1;0,096;0,006;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0,317
"chanter";1;1;1;1;0,272;0,07;0,261;1;1;0,284;1;1;1;1;0,001;1;1;1;1;1;1
"cas";1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1
"émotion";1;0,241;1;1;1;1;1;1;1;1;1;1;1;1;0,334;0,095;1;1;0;1;0,395
"âgé";1;1;1;0,438;1;1;1;0,004;1;1;0,335;1;1;1;0;1;1;1;1;0,455;1
"vrai";0,352;1;1;1;1;0,002;1;1;1;0,536;0,01;1;1;1;1;1;1;1;0,404;0,026;1
"valaisan";1;1;1;1;0,357;1;1;1;1;1;1;1;1;1;0,004;0,065;1;1;1;0,303;0,008
"val";1;1;1;1;1;1;0,179;1;1;0,002;1;1;1;1;1;0,02;1;1;1;1;0,161
"soir";1;1;1;1;0,52;1;1;1;1;1;1;1;1;1;0,404;1;0;0,002;1;1;1
"société";1;1;1;1;1;0;1;1;1;1;1;1;1;0,349;1;0,095;1;1;1;1;1
"salle";1;1;1;1;1;1;1;0,247;1;0,536;0,335;1;1;1;1;1;0,23;0,002;0,018;0,455;1
"rêver";1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0,455;1
