"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21"
"*postDate_6-1-2025";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*a_0774";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*postLikes_2900";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;16,824
"*postDate_5-1-2025";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*a_0773";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*postDate_3-1-2025";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*a_0772";20,605;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postDate_1-1-2025";20,605;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*a_0771";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*postDate_30-12-2024";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*a_0770";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*postLikes_6700";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*postDate_29-12-2024";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*a_0769";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;14,843;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postLikes_15800";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;14,843;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postComments_167";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;14,843;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postDate_27-12-2024";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;14,843;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*a_0768";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;14,843;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postComments_143";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;14,843;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postDate_25-12-2024";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;14,843;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*a_0767";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;16,824;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postLikes_59400";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;16,824;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postComments_1400";-0,097;-0,088;-0,067;-0,113;-0,129;-0,07;-0,126;-0,079;-0,094;-0,132;-0,094;-0,135;7,451;-0,11;-0,107;-0,058;-0,076;-0,073;-0,107;-0,116;7,451
"*postDate_23-12-2024";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;16,824;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*a_0766";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;15,203;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postDate_22-12-2024";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;15,203;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*a_0765";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*postLikes_7500";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*postDate_20-12-2024";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*a_0764";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;14,843;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postLikes_689";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;14,843;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postDate_19-12-2024";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;14,843;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*a_0763";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*postLikes_25400";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*postComments_168";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*postDate_18-12-2024";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*a_0762";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;26,422;-0,036;-0,053;-0,058;-0,06
"*postLikes_283";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;26,422;-0,036;-0,053;-0,058;-0,06
"*postDate_16-12-2024";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;26,422;-0,036;-0,053;-0,058;-0,06
"*a_0761";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;34,649;-0,038;-0,036;-0,053;-0,058;-0,06
"*postLikes_23900";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;34,649;-0,038;-0,036;-0,053;-0,058;-0,06
"*postComments_190";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;34,649;-0,038;-0,036;-0,053;-0,058;-0,06
"*postDate_15-12-2024";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;34,649;-0,038;-0,036;-0,053;-0,058;-0,06
"*a_0760";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*postDate_13-12-2024";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*a_0759";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;15,975;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postComments_103";9,338;-0,088;-0,067;-0,113;-0,129;-0,07;7,027;-0,079;-0,094;-0,132;-0,094;-0,135;-0,119;-0,11;-0,107;-0,058;-0,076;-0,073;-0,107;-0,116;-0,119
"*postDate_11-12-2024";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;15,975;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*a_0758";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*postLikes_848";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*postDate_9-12-2024";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*a_0757";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;15,975;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postDate_8-12-2024";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;15,975;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*a_0756";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;15,975;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postDate_6-12-2024";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;15,975;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*a_0755";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;26,422;-0,036;-0,053;-0,058;-0,06
"*postLikes_788";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;26,422;-0,036;-0,053;-0,058;-0,06
"*postComments_7";-0,004;-1,046;0,095;-0,046;5,398;-0,829;0,335;0,02;0,977;-1,566;-1,118;-0,156;-0,072;-1,303;-0,025;-0,687;1,719;0,049;-0,025;-0,059;2,472
"*postDate_4-12-2024";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;26,422;-0,036;-0,053;-0,058;-0,06
"*a_0754";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*postLikes_825";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;17,281;-0,06
"*postDate_2-12-2024";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*a_0753";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;15,203;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postLikes_872";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;15,203;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postComments_30";-0,443;-0,401;1,811;-0,514;-0,586;-0,318;-0,571;-0,359;0,93;4,046;-0,429;-0,615;-0,543;0,647;0,696;-0,263;-0,345;-0,332;0,696;0,559;0,519
"*postDate_1-12-2024";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;15,203;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*a_0752";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;21,28;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postLikes_39000";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;21,28;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postComments_481";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;21,28;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postDate_29-11-2024";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;21,28;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*a_0751";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;18,804;-0,058;-0,06
"*postLikes_13300";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;18,804;-0,058;-0,06
"*postComments_150";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;18,804;-0,058;-0,06
"*postDate_27-11-2024";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;18,804;-0,058;-0,06
"*a_0750";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*postLikes_27300";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*postComments_317";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*postDate_25-11-2024";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*a_0749";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*postComments_60";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*postDate_24-11-2024";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*a_0748";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*postLikes_849";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*postDate_22-11-2024";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*a_0747";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;18,804;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postDate_20-11-2024";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;18,804;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*a_0746";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;14,843;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postDate_18-11-2024";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;14,843;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*a_0745";-0,049;22,765;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postDate_17-11-2024";-0,049;22,765;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*a_0744";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;16,824
"*postLikes_584400";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;16,824
"*postComments_14800";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;16,824
"*postDate_15-11-2024";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;16,824
"*a_0743";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;16,824
"*postLikes_7000";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;16,824
"*postComments_115";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;16,824
"*postDate_13-11-2024";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;16,824
"*a_0742";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;14,843;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postLikes_383";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;14,843;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postDate_11-11-2024";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;14,843;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*a_0741";-0,049;-0,044;-0,033;-0,056;15,58;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postDate_10-11-2024";-0,049;-0,044;-0,033;-0,056;15,58;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*a_0740";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;18,804;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postLikes_2100";-0,196;-0,177;-0,134;-0,227;-0,259;-0,14;-0,252;-0,159;-0,189;-0,265;3,941;-0,271;-0,239;-0,22;3,333;-0,116;24,56;-0,146;-0,214;-0,233;-0,239
"*postDate_8-11-2024";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;18,804;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*a_0739";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;18,804;-0,058;-0,06
"*postLikes_347";-0,146;-0,133;-0,101;4,674;-0,194;-0,105;-0,189;-0,119;-0,142;-0,198;-0,142;-0,203;-0,179;-0,165;-0,16;-0,087;7,544;-0,11;5,018;-0,175;-0,179
"*postDate_5-11-2024";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;18,804;-0,058;-0,06
"*a_0738";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;15,975;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postDate_4-11-2024";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;15,975;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*a_0737";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;27,519;-0,053;-0,058;-0,06
"*postDate_3-11-2024";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;27,519;-0,053;-0,058;-0,06
"*a_0736";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;34,649;-0,038;-0,036;-0,053;-0,058;-0,06
"*postDate_1-11-2024";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;34,649;-0,038;-0,036;-0,053;-0,058;-0,06
"*a_0735";20,605;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postDate_31-10-2024";20,605;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*a_0734";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;15,203;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postLikes_592";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;15,203;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postDate_30-10-2024";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;15,203;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*a_0733";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*postLikes_549";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*postDate_28-10-2024";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*a_0732";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*postDate_27-10-2024";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*a_0731";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;18,804;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postLikes_573";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;18,804;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postDate_25-10-2024";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;18,804;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*a_0730";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*postLikes_539";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*postDate_23-10-2024";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"*a_0729";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;18,269;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postLikes_830";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;18,269;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postComments_91";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;18,269;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postDate_21-10-2024";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;18,269;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*a_0728";-0,049;22,765;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postLikes_560400";-0,049;22,765;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postComments_2900";-0,049;22,765;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postReposts_86";-0,049;22,765;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postDate_20-10-2024";-0,049;22,765;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*a_0727";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;18,804;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postLikes_737";-0,097;-0,088;-0,067;-0,113;-0,129;-0,07;-0,126;-0,079;-0,094;-0,132;-0,094;-0,135;-0,119;-0,11;8,439;-0,058;12,246;-0,073;-0,107;-0,116;-0,119
"*postDate_18-10-2024";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;-0,066;-0,047;-0,068;-0,06;-0,055;18,804;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*a_0726";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;15,203;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
"*postDate_16-10-2024";-0,049;-0,044;-0,033;-0,056;-0,064;-0,035;-0,063;-0,039;-0,047;15,203;-0,047;-0,068;-0,06;-0,055;-0,053;-0,029;-0,038;-0,036;-0,053;-0,058;-0,06
