"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21"
"question";-1,628;0,344;-1,118;-0,325;-2,154;-1,169;-2,1;12,859;0,241;-0,539;-1,577;-0,578;107,559;-0,292;-0,26;-0,968;-1,27;-1,219;-1,784;-0,358;0,025
"occasion";0,035;-0,812;-0,616;-1,041;-1,187;-0,644;-1,158;-0,728;-0,869;-1,216;0,048;0,716;1,051;1,311;-0,983;-0,534;2,921;-0,672;11,336;10,001;-1,099
"lausanne";-1,103;1,338;-0,758;0,633;-1,459;-0,792;-1,423;-0,895;0;-1,495;0;-1,532;-0,049;-1,244;0,77;-0,656;89,566;2,086;0,77;-1,316;-1,351
"partir";-1,155;-1,046;123,165;-1,34;-0,12;-0,829;-1,49;12,048;-1,118;-0,138;-0,001;-1,604;-1,415;-1,303;0,656;-0,687;-0,901;0,049;-1,266;2,628;-1,415
"télévision";0,001;0,016;0,162;-1,22;-1,391;0,129;-0,05;-0,853;0,004;-0,075;0,004;-1,46;-1,288;-1,186;3,84;98,686;0,076;-0,787;-1,152;-0,021;-1,288
"suivre";-1,207;-1,093;0,07;-1,4;32,606;-0,866;-0,134;-0,979;-0,006;0,199;-1,169;-0,195;-0,099;-1,361;0,556;2,776;-0,941;-0,904;-0,041;2,366;-0,099
"noël";-0,694;-0,628;-0,477;-0,805;-0,918;-0,498;50,037;-0,563;-0,672;0,023;-0,672;-0,963;2,023;-0,783;2,534;-0,413;0,495;0,556;-0,761;-0,828;-0,85
"trouver";0;0,006;-0,758;-1,28;-1,459;-0,792;6,17;0,035;0;-0,105;4,42;-1,532;53,323;-1,244;-1,209;-0,656;-0,86;-0,826;-1,209;-0,038;-1,351
"raconter";0,035;0,082;0,319;-1,041;-1,187;-0,644;-1,158;-0,728;-0,869;-1,216;-0,869;-0,018;-1,099;-1,012;5,186;4,662;0,19;3,148;-0,983;10,001;1,051
"nombreux";0;0,006;0,126;3,095;0,373;0,096;-1,423;-0,895;-1,068;-1,495;-1,068;0,294;2,753;-1,244;-0,012;-0,656;1,909;-0,826;-1,209;7,077;-0,049
"jeu";-0,898;-0,812;0,319;-1,041;-1,187;0,271;8,864;-0,728;0,048;3,503;-0,869;-1,246;-1,099;19,113;-0,983;-0,534;-0,7;-0,672;-0,983;0;1,051
