"";"";"";"";"htag_suisse";""
"144";"htag_jeunes";"0.734616921845156";"0.342741808183946";"0.827056345055717";"357"
"145";"moins";"0.655295983736947";"-0.46429980383847";"0.825972193989122";"358"
"146";"htag_lacleman";"0.843918003668227";"0.217842151425046";"0.82593831426829";"359"
"147";"vous";"0.533518107410072";"0.00605762384980072";"0.825524981674151";"360"
"148";"mal";"0.549083630348023";"1.19352376225119";"0.825213288242505";"361"
"149";"2022";"0.467129431669301";"1.01246244491226";"0.825213288242505";"362"
"150";"htag_cuisine";"0.00971638153814491";"0.279161398893211";"0.825213288242505";"363"
"151";"1961";"0.911569379130649";"-0.623780838402147";"0.825213288242505";"364"
"152";"htag_velo";"0.8054513909497";"0.491430912968419";"0.825213288242505";"365"
"153";"peut_être";"1.01287477438987";"-0.255290682413703";"0.823905531018424";"366"
"154";"très";"0.119307243557696";"0.351303197757262";"0.823797115911765";"368"
"155";"htag_protectioncivile";"0.113079597661089";"0.588504843777497";"0.823505750312617";"369"
"156";"1983";"0.630643654660419";"-0.230672736852936";"0.823397335205958";"370"
"157";"pour";"0.539611008776052";"-0.0437552300105782";"0.823180504992639";"371"
"158";"pourquoi";"0.699562834171929";"-0.628479004199753";"0.822719740789336";"374"
"159";"htag_neuchatel";"0.749089593931594";"-0.832336312346292";"0.822706188901004";"375"
"160";"ici";"0.821565232344261";"-0.642863367602047";"0.822211544976869";"376"
"161";"quelle";"0.865881571909391";"-0.282205241505236";"0.822021818540215";"378"
"162";"on";"0.311410123915466";"-0.064107110170943";"0.821913403433556";"379"
"163";"1990";"0.10696935856122";"0.219482617885505";"0.821683021331904";"381"
"164";"htag_geneve";"0.807357435478189";"0.0315500416037761";"0.821540726504414";"383"
"165";"rien";"0.608644729878772";"0.0587579344890267";"0.821479743006918";"384"
"166";"personne";"-0.0563894323032083";"-0.50314861894438";"0.821005426915282";"385"
"167";"htag_police";"0.676584675599248";"0.0303588431660996";"0.820598870265309";"386"
"168";"fort";"-0.138405064020817";"-0.360609073959476";"0.820470127326151";"388"
"169";"mieux";"0.74733954263014";"0.32244492803764";"0.820334608442826";"389"
"170";"htag_retro";"0.84838796097525";"0.440608803697945";"0.82013133011784";"390"
"171";"dire";"0.64368979980708";"0.218151933437037";"0.819975483402017";"391"
"172";"devant";"-0.12285780970821";"-0.551690851149951";"0.819548598919545";"392"
"173";"madame";"0.0824872104680544";"-0.329275900960973";"0.81946728758955";"393"
"174";"chez";"0.558033475977376";"-0.422205392253418";"0.819243681432065";"394"
"175";"y";"0.55690350132931";"-0.0284208630862966";"0.819196249822902";"395"
"176";"htag_femmes";"0.742282555536523";"-1.55487493715379";"0.819087834716242";"398"
"177";"htag_ecologie";"0.305817786051754";"-0.961267395215924";"0.818871004502923";"399"
"178";"htag_nature";"-0.0657511208459434";"0.250523086670126";"0.818871004502923";"401"
"179";"htag_chansonfrancaise";"0.286123174341086";"0.906805724232473";"0.818871004502923";"402"
"180";"toute";"-0.00527851809132166";"-0.368575213143425";"0.818762589396263";"403"
"181";"puis";"0.26128261894208";"-0.946870494661363";"0.818742261563765";"404"
"182";"htag_fromage";"0.180063838938899";"0.0898675241874884";"0.818742261563765";"405"
"183";"tant";"0.0681916556112932";"-0.0556337325173687";"0.818742261563765";"406"
"184";"être";"0.291688426447774";"-0.12024054874806";"0.818132426588805";"408"
"185";"ou";"0.589766212528036";"-0.354988924336768";"0.81810532281214";"409"
"186";"falloir";"0.588530425335617";"0.29403966769701";"0.81780040532466";"410"
"187";"ça";"0.420845776853852";"-0.0337394300557914";"0.81765811049717";"411"
"188";"depuis";"0.275257697018711";"0.175230448276773";"0.817326089233025";"413"
"189";"htag_suisseromande";"0.72410238237877";"0.466541915664223";"0.817285433568027";"414"
"190";"htag_fribourgregion";"0.944259296898966";"0.313971020365985";"0.817285433568027";"416"
"191";"gare";"1.01084075541065";"-0.556399947827717";"0.817285433568027";"417"
"192";"juste";"0.80898453087713";"0.189162727347596";"0.817285433568027";"418"
"193";"1966";"-0.0606715020487406";"-0.720187648834663";"0.817075379298875";"419"
"194";"htag_swissarmy";"-0.420832622626122";"0.116862553563413";"0.816607839151405";"420"
"195";"au";"0.374076957073267";"0.138507095868166";"0.815855709348955";"421"
"196";"htag_television";"-0.0676166699524122";"-0.352490292545741";"0.815821829628124";"422"
"197";"ceux";"0.367805352453075";"0.0483866029630612";"0.815808277739791";"423"
"198";"sa";"0.0324226746347014";"0.27893316841121";"0.815672758856467";"424"
"199";"peu";"0.293057380869782";"-0.254653313086764";"0.815029044160676";"425"
"200";"cela";"0.546254909197658";"0.0346137899856295";"0.81452084834821";"426"
"201";"htag_chanteuse";"0.859723176424353";"-0.133795098988259";"0.814473416739046";"427"
"202";"htag_game";"0.606264216718537";"0.898628354831825";"0.814473416739046";"428"
"203";"htag_switzerland";"0.706881308477419";"0.253166875587676";"0.814229482749062";"429"
"204";"pas";"0.452936184369308";"0.0768385624042885";"0.814175275195732";"430"
"205";"htag_archives";"0.580893393089825";"0.45809335085268";"0.813707735048263";"431"
"206";"qu";"0.365929262414855";"0.19020658288988";"0.813694183159931";"432"
"207";"autant";"0.569201159810498";"0.55103953840561";"0.813585768053271";"433"
"208";"htag_telephone";"0.61982644964662";"0.46694498000949";"0.813585768053271";"434"
"209";"htag_microtrottoir";"0.443533720011667";"-0.357960422787852";"0.813504456723277";"435"
"210";"htag_2000s";"0.314799771842451";"0.0705772461590151";"0.813490904834944";"436"
"211";"1963";"0.0140369799758971";"0.198691096316215";"0.813016588743309";"438"
"212";"me";"0.28852489290475";"1.31451067566579";"0.812156043834199";"439"
"213";"force";"0.782061628854241";"0.718903963902533";"0.812156043834199";"440"
"214";"tout";"0.486763706484556";"-0.280315283596621";"0.811336154590086";"442"
"215";"de";"0.309694922625336";"0.0271179865322502";"0.81107866871177";"443"
"216";"1962";"0.831371952641205";"0.455614108331619";"0.81097025360511";"444"
"217";"souvent";"0.795361046661777";"0.102466825535456";"0.81097025360511";"445"
"218";"parce_que";"0.246650057029476";"-0.192068341084515";"0.81097025360511";"446"
"219";"1987";"0.280102465686906";"-0.417943286604396";"0.810916046051781";"448"
"220";"htag_enfants";"0.829104042045898";"-0.898262342494806";"0.810916046051781";"449"
