certaine;5;0;0;2;0;0;0;1;5;5;7;4;1;2;1;0;1;3;2
1970;1;2;0;0;2;3;0;0;3;5;6;1;2;1;0;1;1;6;3
16;3;4;0;0;0;0;1;1;5;3;4;4;1;1;0;0;1;9;0
1967;5;1;0;0;0;3;0;1;2;4;11;3;2;0;0;0;0;2;1
suivant;6;0;0;3;0;2;0;0;5;5;7;3;0;0;1;0;0;5;1
telle;0;1;1;0;0;0;0;0;5;9;4;5;0;0;1;0;2;1;6
près;4;2;0;1;0;0;0;1;4;2;3;4;1;1;1;2;1;6;3
pardon;2;2;0;2;0;0;2;1;3;1;4;2;0;1;2;3;5;2;0
laquelle;1;0;2;1;0;1;0;1;5;12;5;3;1;0;0;0;1;3;0
35;2;1;0;0;0;0;1;1;5;1;4;4;0;0;1;3;0;8;1
1980;0;1;0;0;1;4;0;4;1;3;6;1;2;0;1;3;2;3;1
quasi;1;0;0;1;0;0;1;4;5;6;3;0;0;0;3;1;2;4;0
lequel;0;1;1;1;0;0;1;3;4;3;1;5;1;0;1;0;1;8;0
gare;3;0;1;0;0;1;0;0;4;2;2;2;1;0;1;3;0;12;0
11;1;2;1;0;0;0;0;0;4;2;4;5;1;0;0;1;4;7;0
quant;5;1;1;2;0;0;0;0;6;7;2;0;0;0;1;0;0;5;1
parmi;3;0;1;0;0;2;0;1;2;4;2;4;0;0;0;1;0;6;3
euh;1;0;1;1;0;1;0;0;4;5;3;3;1;1;3;0;2;5;0
2016;7;0;1;0;1;0;2;0;4;4;2;1;0;0;0;1;1;4;2
17;0;2;2;0;0;2;0;1;1;2;3;4;2;2;1;4;0;3;2
hop;5;2;1;3;0;4;1;0;0;1;1;0;0;0;0;3;2;7;0
environ;1;1;0;0;0;2;1;2;1;3;2;1;0;0;0;0;4;13;0
nul;0;1;1;3;0;0;0;1;4;2;2;5;1;0;0;1;1;8;0
mi;1;0;0;2;2;4;1;1;2;1;0;2;0;0;2;1;0;6;1
jusqu;5;1;2;2;0;1;0;0;3;4;1;3;0;0;2;0;1;5;0
ciao;2;0;1;3;0;1;0;0;0;2;0;0;0;9;1;0;0;8;2
voire;2;0;0;1;0;0;0;0;5;4;4;4;0;1;2;0;0;6;0
uns;1;1;0;0;1;4;0;1;5;5;1;3;1;0;0;0;0;6;1
mille;1;1;0;1;0;1;1;0;3;5;1;1;0;1;1;5;2;2;2
lendemain;5;2;0;0;0;0;0;0;2;2;4;1;0;0;1;1;1;10;0
24;3;2;0;0;0;4;2;0;0;2;1;2;0;1;2;1;2;4;0
ci;1;0;1;1;1;1;4;0;3;2;2;3;1;1;0;1;3;2;1
cependant;3;1;3;0;0;0;0;0;0;8;2;2;1;0;0;0;3;4;0
afin;0;1;1;0;0;0;0;0;2;4;2;3;3;0;0;0;4;6;1
19;12;0;0;2;0;0;0;1;1;4;1;0;0;0;1;1;0;2;0
u;0;1;0;0;2;2;0;2;7;0;1;0;0;0;0;1;0;5;3
salut;0;0;1;0;0;1;0;2;1;1;6;4;0;1;3;0;0;2;3
nonante;0;0;0;0;0;1;0;15;2;1;0;0;0;0;0;3;2;2;0
moindre;2;0;1;0;0;0;1;0;4;8;5;4;0;0;0;0;0;2;0
1972;0;0;1;1;0;0;1;0;3;6;2;1;1;0;2;1;2;4;0
puisqu;8;0;1;0;0;0;0;1;1;5;3;1;0;0;0;1;1;4;0
mien;1;0;1;2;0;2;0;0;3;3;1;3;1;0;1;1;0;5;1
heu;0;0;1;0;0;1;0;4;4;2;2;1;2;0;4;1;0;3;0
demain;1;0;1;1;0;1;0;0;2;5;3;4;0;0;0;1;1;2;0
d_abord;1;1;2;1;0;0;0;0;2;5;0;3;0;0;2;0;3;4;0
1990;0;2;1;0;0;1;0;0;2;2;9;3;1;0;0;0;2;2;0
pis;2;0;1;0;0;0;0;1;1;2;2;0;0;0;3;1;3;4;1
