"";"V1"
"1015";18
"1016";11
"1017";0
"1018";0
"1019";15
"1020";9
"1021";6
"1022";6
"1023";6
"1024";6
"1025";6
"1026";13
"1027";6
"1028";6
"1029";6
"1030";18
"1031";18
"1032";15
"1033";11
"1034";18
"1035";1
"1036";15
"1037";15
"1038";10
"1039";16
"1040";0
"1041";6
"1042";19
"1043";11
"1044";1
"1045";16
"1046";16
"1047";12
"1048";16
"1049";6
"1050";10
"1051";10
"1052";19
"1053";19
"1054";11
"1055";18
"1056";16
"1057";8
"1058";8
"1059";8
"1060";10
"1061";9
"1062";9
"1063";0
"1064";18
"1065";0
"1066";18
"1067";18
"1068";11
"1069";1
"1070";9
"1071";18
"1072";18
"1073";12
"1074";18
"1075";15
"1076";6
"1077";6
"1078";6
"1079";1
"1080";0
"1081";6
"1082";6
"1083";0
"1084";12
"1085";12
"1086";11
"1087";12
"1088";19
"1089";19
"1090";9
"1091";16
"1092";16
"1093";16
"1094";9
"1095";16
"1096";14
"1097";10
"1098";9
"1099";14
"1100";16
"1101";0
"1102";16
"1103";18
"1104";19
"1105";11
"1106";0
"1107";19
"1108";11
"1109";12
"1110";10
"1111";9
"1112";19
"1113";10
"1114";18
"1115";5
"1116";6
"1117";19
"1118";12
"1119";10
"1120";16
"1121";10
"1122";12
"1123";11
"1124";0
"1125";0
"1126";5
"1127";10
"1128";10
"1129";0
"1130";10
"1131";0
"1132";0
"1133";18
"1134";16
"1135";18
"1136";16
"1137";6
"1138";10
"1139";10
"1140";18
"1141";18
"1142";18
"1143";18
"1144";9
"1145";0
"1146";13
"1147";9
"1148";7
"1149";14
"1150";19
"1151";19
"1152";16
"1153";8
"1154";16
"1155";16
"1156";19
"1157";6
"1158";6
"1159";12
"1160";0
"1161";0
"1162";6
"1163";3
"1164";9
"1165";19
"1166";9
"1167";6
"1168";19
"1169";0
"1170";6
"1171";6
"1172";19
"1173";6
"1174";6
"1175";6
"1176";19
"1177";13
"1178";11
"1179";5
"1180";0
"1181";6
"1182";0
"1183";0
"1184";19
"1185";13
"1186";16
"1187";18
"1188";13
"1189";18
"1190";0
"1191";6
"1192";6
"1193";16
"1194";11
"1195";18
"1196";19
"1197";13
"1198";8
"1199";2
"1200";11
"1201";13
"1202";19
"1203";6
"1204";6
"1205";19
"1206";5
"1207";18
"1208";2
"1209";11
"1210";12
"1211";11
"1212";5
"1213";6
"1214";2
"1215";16
"1216";16
"1217";17
"1218";16
"1219";2
"1220";19
"1221";7
"1222";6
"1223";16
"1224";15
"1225";7
"1226";6
"1227";9
"1228";19
"1229";6
"1230";16
"1231";15
"1232";6
"1233";9
"1234";6
"1235";6
"1236";16
"1237";12
"1238";18
"1239";10
"1240";15
"1241";16
"1242";6
"1243";15
"1244";12
"1245";12
"1246";19
"1247";18
"1248";16
"1249";6
"1250";9
"1251";11
"1252";13
"1253";15
"1254";7
"1255";14
"1256";18
"1257";19
"1258";19
"1259";19
"1260";3
"1261";6
"1262";18
"1263";19
"1264";19
"1265";1
"1266";12
"1267";0
"1268";19
"1269";19
"1270";2
"1271";12
"1272";12
"1273";12
"1274";13
"1275";19
"1276";19
"1277";19
"1278";15
"1279";19
"1280";10
"1281";18
"1282";6
"1283";6
"1284";13
"1285";6
"1286";13
"1287";16
"1288";9
"1289";9
"1290";16
"1291";13
"1292";6
"1293";10
"1294";16
"1295";6
"1296";6
"1297";15
"1298";15
"1299";16
"1300";0
"1301";19
"1302";0
"1303";0
"1304";0
"1305";13
"1306";16
"1307";0
"1308";15
"1309";19
"1310";6
"1311";0
"1312";8
"1313";16
"1314";8
"1315";16
"1316";16
"1317";16
"1318";2
"1319";2
"1320";0
"1321";6
"1322";11
"1323";0
"1324";15
"1325";0
"1326";0
"1327";1
"1328";16
"1329";0
"1330";16
"1331";19
"1332";19
"1333";12
"1334";0
"1335";6
"1336";16
"1337";6
"1338";0
"1339";16
"1340";16
"1341";16
"1342";9
"1343";10
"1344";11
"1345";6
"1346";6
