ami;13;8;6;4;0;10;0;5;18;20;5;48;1;0;3;7;7;51;17
rappeler;7;13;2;2;3;38;1;6;9;7;13;11;3;1;17;19;7;64;8
rire;2;3;4;2;0;25;1;4;20;10;8;8;1;0;8;101;3;13;2
importer;26;12;4;5;0;0;4;2;15;32;27;48;0;0;4;7;10;28;1
gros;9;4;13;18;0;5;2;6;32;22;16;15;0;4;5;14;5;38;4
amour;33;0;4;5;0;3;0;0;15;19;14;43;3;0;3;0;4;12;51
revenir;8;4;1;8;1;10;4;3;13;14;16;19;3;0;5;7;12;67;5
famille;17;6;7;4;0;5;2;5;4;10;7;97;0;1;0;2;3;38;9
droit;9;6;10;2;0;0;0;1;4;90;17;20;1;0;2;3;8;38;4
emji_chat_souriant_aux_yeux_en_coeurs;5;0;0;0;0;1;0;0;1;0;2;1;0;0;0;0;0;2;106
sortir;8;8;9;10;0;0;1;10;11;15;43;29;3;2;4;10;7;48;3
histoire;7;2;10;6;0;5;3;9;43;41;11;16;4;0;3;3;11;17;19
côté;13;7;5;20;0;1;1;9;22;29;22;20;4;5;8;14;6;32;4
partie;17;5;2;29;0;1;0;8;14;45;14;31;0;2;4;3;8;26;6
nourrir;183;0;0;0;0;0;0;0;2;5;4;2;0;0;0;0;3;2;8
enfance;2;16;4;5;1;118;1;3;3;7;18;12;1;0;3;2;2;10;11
retrouver;15;3;4;1;2;37;0;1;10;12;23;15;29;1;5;6;12;33;4
réponse;3;10;5;3;0;3;0;1;106;15;10;21;1;0;4;7;1;8;13
fou;13;4;4;3;1;11;1;4;59;26;17;11;0;0;4;34;2;15;4
heureusement;24;2;3;9;0;0;3;6;8;16;63;20;2;0;12;14;12;13;2
toilette;1;0;0;185;0;0;0;2;0;1;1;0;0;0;0;1;1;7;0
répondre;5;19;5;1;0;3;0;3;127;10;7;11;2;0;4;1;1;7;1
espérer;18;2;0;4;0;7;1;1;17;19;9;67;4;0;4;4;6;19;25
écrire;3;14;6;1;1;0;0;2;103;19;10;6;4;0;8;4;6;17;3
garçon;1;18;2;2;0;5;0;1;8;16;17;80;1;0;0;3;1;10;37
lire;0;5;6;4;1;1;0;5;111;23;10;14;2;0;0;3;6;14;0
ancien;6;2;7;2;1;3;0;3;31;18;51;24;2;1;1;2;7;20;24
cher;29;4;2;3;0;5;1;1;8;11;5;13;5;3;1;4;12;76;8
mec;4;4;8;1;0;5;2;2;18;21;7;11;7;4;10;19;10;62;3
préférer;26;12;6;11;0;7;11;3;12;12;12;38;6;1;4;5;10;20;7
payer;16;1;3;1;0;2;0;1;3;11;5;9;2;1;1;2;21;116;2
journée;7;2;2;12;1;9;0;0;18;15;15;13;23;0;3;8;3;52;9
pire;16;3;6;3;0;1;4;3;6;17;22;17;4;0;3;8;26;45;3
naître;5;20;9;16;0;5;1;3;6;13;69;14;1;0;9;8;2;12;3
finir;32;4;2;2;0;1;2;2;9;20;18;23;0;0;3;14;4;47;6
place;10;4;2;11;1;4;1;3;22;23;16;17;0;1;3;5;7;66;5
exactement;6;2;4;2;0;14;2;3;62;29;8;8;0;2;5;13;3;28;9
truc;14;7;7;13;0;4;1;11;19;15;16;10;1;0;4;13;2;60;1
poser;14;3;4;7;0;1;0;3;119;9;5;9;0;1;2;1;3;6;1
mdr;7;2;2;11;0;3;2;7;9;14;11;5;0;0;19;86;3;11;0
eau;25;1;1;77;1;2;1;6;7;10;10;9;2;1;2;10;3;16;2
idée;15;1;6;2;0;8;2;1;50;27;7;10;6;0;8;12;1;37;4
emji_visage_qui_hurle_de_peur;3;1;0;4;0;0;44;4;5;3;3;3;1;0;26;10;1;14;0
garder;24;7;3;3;0;6;2;4;7;21;8;57;1;2;3;5;1;29;4
façon;6;4;4;2;0;6;0;4;61;25;24;14;1;0;2;2;1;15;16
mort;24;3;3;0;0;1;1;1;37;31;10;16;0;3;3;11;6;25;1
début;3;6;0;4;0;5;2;1;11;17;23;10;31;2;12;9;9;38;2
élastique;4;82;1;3;2;54;1;0;2;2;7;4;4;0;1;5;1;11;0
nature;59;3;0;1;0;0;0;0;10;21;8;27;4;1;0;1;6;11;30
compte;9;2;5;1;0;3;0;3;15;47;14;17;9;0;3;2;13;35;3
partir;11;5;1;4;0;2;0;4;12;23;21;32;5;1;2;17;3;39;1
adorable;27;2;2;0;0;25;0;0;4;4;5;7;0;0;0;3;1;5;98
société;8;5;0;0;0;2;0;0;17;41;44;44;0;0;0;1;4;9;6
emji_renard;15;0;0;0;0;21;0;1;0;2;0;2;0;0;0;0;0;2;85
noir;8;0;119;1;1;3;1;1;4;4;4;5;2;7;2;3;0;3;1
servir;14;11;1;59;0;3;2;5;14;13;4;6;0;1;4;12;8;20;1
attendre;14;7;4;4;0;1;1;2;18;13;10;17;3;1;6;8;5;65;1
dimanche;7;12;2;0;0;12;6;3;2;2;2;0;2;0;1;2;1;105;2
bonheur;8;4;3;3;1;9;1;2;8;19;9;34;2;2;2;1;3;7;58
rts;1;1;2;0;2;21;0;13;12;6;12;5;55;3;0;18;3;10;6
acheter;50;8;5;9;0;3;0;4;6;11;6;16;1;1;3;6;8;31;2
valoir;20;1;6;3;0;7;2;53;7;9;5;15;1;1;1;8;6;22;5
mauvais;19;3;4;3;0;2;0;1;15;55;16;18;3;0;0;2;2;26;0
joli;1;0;3;2;0;19;2;9;6;11;11;20;1;1;1;10;2;16;61
mode;11;4;4;9;0;4;1;2;23;32;19;11;3;4;5;6;4;22;1
emji_visage_souriant_avec_yeux_plissés;1;0;0;5;1;14;1;3;6;3;6;3;1;1;77;2;4;8;0
exprimer;1;0;4;0;0;3;1;2;77;18;29;12;0;0;0;1;0;1;15
emji_deux_coeurs;0;1;0;1;1;13;0;1;2;1;3;5;1;0;0;0;0;5;53
merveilleux;5;3;2;0;0;26;0;2;4;7;14;11;0;0;0;1;1;2;94
exemple;18;0;5;11;0;7;1;4;14;46;10;14;0;0;0;3;14;13;11
propre;6;1;2;56;0;1;0;7;10;30;16;9;2;0;1;4;5;14;1
georges;1;4;2;1;0;29;0;0;14;23;11;22;9;1;5;6;1;4;20
cours;2;29;2;0;0;6;0;4;17;23;17;21;1;1;4;7;3;22;2
sembler;10;5;3;7;0;1;1;5;43;31;6;11;3;1;3;2;3;34;3
voiture;11;1;0;2;0;2;1;4;3;3;1;4;0;0;4;3;2;115;2
excellent;4;2;2;3;0;49;0;8;12;9;12;7;4;1;11;33;0;7;4
chercher;14;2;5;1;0;3;0;3;30;47;9;10;2;2;2;3;3;29;1
pied;2;11;2;58;0;2;1;1;6;5;6;6;2;1;1;6;4;33;4
oeil;5;3;5;3;0;3;1;2;8;13;6;31;5;0;2;4;2;37;22
normal;11;3;5;3;0;2;2;3;24;46;15;13;2;0;1;3;6;15;3
simplement;9;1;5;5;0;3;0;3;32;51;10;14;2;0;1;1;5;12;8
couper;9;5;2;4;0;6;1;5;4;8;12;9;3;1;5;7;13;18;3
recevoir;3;4;2;3;0;3;1;1;4;1;2;80;1;1;0;3;3;38;3
pratique;12;2;0;81;1;3;0;3;6;10;6;8;0;0;2;2;6;14;2
partager;6;3;0;0;0;32;0;3;8;14;8;22;0;0;2;4;1;14;39
noël;3;2;0;1;0;12;3;1;1;3;0;79;0;1;1;2;10;24;5
emji_visage_qui_fait_un_câlin;2;0;3;2;1;68;2;6;6;6;9;9;1;1;10;1;3;7;8
ville;23;3;0;1;0;5;0;4;2;5;5;4;0;0;1;3;12;81;0
journaliste;2;1;1;0;0;3;0;3;76;4;12;11;1;0;6;5;0;9;8
gentil;50;2;3;0;0;3;1;2;8;12;8;14;2;0;2;4;1;11;27
emji_visage_envoyant_un_bisou;1;1;3;1;0;37;0;5;9;9;9;3;1;1;7;5;1;10;27
cause;34;1;2;3;0;0;2;1;11;38;9;11;0;0;0;2;10;22;0
beauté;6;0;3;0;0;2;0;1;5;19;4;12;0;0;1;1;2;10;80
sujet;11;0;6;4;0;2;0;2;69;26;7;6;2;0;1;6;2;4;2
permettre;12;4;3;9;0;2;1;0;8;46;10;12;0;1;2;3;6;28;3
