"";"X.rts_a";"X.rts_i"
"vieux";0,39;0
"quartier";0,31;0,24
"manquer";0,39;0,24
"service";0,43;0,12
"peur";0,47;0,24
"état";0,31;0,35
"commentaire";0,51;0,95
"apporter";0,23;0,47
"ainsi";0,47;0,12
"régime";0,16;2,72
"vidéo";0,43;0
"acheter";0,89;0,35
"cas";0,39;0,59
"protéger";0,19;0,59
"cher";0,23;0,59
"absolument";0,23;0,47
"vegan";0,19;2,01
"poser";0,47;0,35
"5";0,31;0,24
"protéine";0,08;1,77
"utiliser";0,16;0,83
"broyer";0,23;0,47
"bagage";0,04;1,06
"race";1,09;0,71
"refuge";0,39;0,71
"stérilisation";0,39;0
"lynx";0,78;0,12
"poussin";0,31;0,47
