"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"34";3;4;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;71;71;71;71;79;79;79;79;79;79;79;79;79;79;99;99;99;99;99;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108
"35";3;4;7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;39;39;39;39;39;39;39;39;55;55;55;55;55;65;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;157;157;157;157;157;167;167;167;167;167;167;179;179;179;179;179;179;179;179;179;179;179
"36";3;4;7;9;9;12;15;17;18;21;23;23;27;29;29;32;32;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113
"37";3;4;7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;39;39;39;39;39;39;39;39;55;55;55;55;55;65;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;129;129;132;132;132;132;141;141;141;141;149;149;149;149;149;149;149;149;149;149;149;149;172;172;172;172;172;172;172;172;172;172;172;172;172;172
"38";3;4;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;71;71;71;71;79;79;79;79;79;79;79;79;79;79;99;99;99;99;99;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138
"39";3;4;7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;39;39;39;39;39;39;39;39;55;55;55;55;55;65;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;157;157;157;157;157;167;167;167;167;167;167;178;178;178;178;178;178;178;178;178;178;178
"40";3;4;7;9;9;12;15;17;18;21;23;23;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26
"41";3;4;7;9;9;12;15;17;18;21;23;23;27;29;29;32;32;37;37;37;43;44;46;46;46;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;187;187;187;187;187;187;187
"42";3;4;7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;39;39;39;39;39;39;39;39;55;55;55;55;55;65;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;129;129;132;132;132;132;141;141;141;141;149;149;149;149;149;149;149;149;149;149;149;149;172;172;172;172;172;172;172;172;172;172;172;172;172;172
"43";3;4;7;9;9;12;15;17;18;21;23;23;27;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;77;77;77;77;77;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;160;160;160;160;160;160;160;160;160;160;160;182;182;182;182;182;182;182;182;182
