"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22";"classe 23";"classe 24";"classe 25";"classe 26";"classe 27";"classe 28";"classe 29";"classe 30";"classe 31";"classe 32";"classe 33";"classe 34";"classe 35";"classe 36";"classe 37";"classe 38";"classe 39";"classe 40";"classe 41";"classe 42";"classe 43";"classe 44";"classe 45";"classe 46";"classe 47";"classe 48";"classe 49";"classe 50";"classe 51";"classe 52";"classe 53"
"grand";-0,093;0,927;-1,417;-1,194;-1,645;-0,093;-1,417;17,083;0,005;-4,744;-0,186;-0,699;0,151;0,993;-0,141;-0,101;3,882;-2,536;-3,439;3,82;-4,22;8,523;14,285;7,174;-2,115;-3,569;0,485;5,866;1,519;2,166;-3,051;4,197;0,034;3,944;1,757;-0,251;-0,112;-1,305;-0,251;-2,115;-3,699;-0,026;-0,093;0,485;-2,719;-0,546;0,034;-0,618;0,451;-1,645;-0,457;-1,53;-0,014
"mettre";-0,935;-2,866;-3,246;38,2;-1,587;-2,739;-0,285;-0,732;-1,364;0,259;-0,159;-1,929;0,181;6,978;17,37;-0,081;12,978;-0,732;-3,373;4,004;3,657;-0,431;-1,929;1,244;-4,01;-3,5;-0,285;0,616;3,595;0,877;4,953;-0,051;-0,822;-0,018;0,538;-3,119;-0,637;0,67;2,145;0,082;-1,7;-0,732;6,117;0,538;-2,636;3,465;-2,162;-3,12;0,025;-3,5;-1,587;-3,373;-0,369
"genève";0,755;-2,17;-0,737;0,5;-2,65;-0,449;-0,022;-1,883;-0,022;12,19;0,005;0,056;-0,133;-0,008;-0,259;-1,215;2,657;-0,32;-2,554;0,313;0,015;0,958;0,056;-0,001;-3,036;-0,891;-0,022;1,915;1,406;0,787;-2,265;-1,132;-1,298;1,099;48,169;1,835;-0,103;-2,361;-0,008;-1,215;-0,098;-0,32;2,686;7,217;-0,468;-0,648;0,567;-1,99;-0,307;-2,65;-0,891;0,24;-0,019
"lien";-2,793;-0,139;-3,31;-0,192;-3,569;-2,793;102,629;-0,769;-3,31;0,993;-0,966;-3,959;-0,615;17,4;-4,22;-2,115;-1,354;-0,026;-3,439;-1,417;0,034;-0,477;-3,959;0,285;-2,115;-3,569;-0,315;-0,141;-1,53;-1,996;-0,192;-1,996;-2,234;-0,769;0,005;0,611;4,634;0,02;4,259;0,062;-0,534;7,299;85,639;57,986;-4,744;7,992;-0,141;-3,213;-0,186;-0,457;-0,005;-1,53;0,857
"retrouver";-1,989;-0,457;-2,357;81,576;-2,541;-1,989;-0,662;1,252;-2,357;-1,515;-0,245;-2,819;-2,726;-0,389;0,037;-1,113;-0,442;-1,806;-0,734;-2,357;0,037;-0,013;-0,126;3,528;-1,113;-2,541;-0,009;-1,192;-0,734;-2,819;-2,173;-1,035;0,037;-0,273;-2,357;-2,265;435,269;2,065;2,065;-1,113;1,237;-1,806;0,883;-0,009;-3,378;1,018;-1,192;-3,753;-1,271;-0,807;0,243;-0,734;-0,004
"jour";-0,681;-0,767;-2,846;0,215;-1,228;-0,681;0,1;2,441;-2,846;-0,112;-3,741;-0,385;14,339;6,119;0,222;-1,619;0,525;-2,181;-2,958;-0,124;-0,015;-0,187;1,481;2,027;-0,448;-0,216;0,967;1,134;2,425;9,329;0,215;1,481;-0,514;2,441;-0,124;9,677;-1,209;5,906;0,151;12,614;-3,181;-2,181;-2,402;-0,124;-2,126;0,362;-1,719;-4,532;-1,82;-3,069;0,032;-1,133;0,029
"bio";-2,65;-0,091;-3,139;-0,134;-3,385;-2,65;108,732;-0,673;-1,276;1,254;-0,82;-3,755;-0,502;14,596;-4,003;-1,931;-2,616;-0,673;-3,262;-1,276;0,081;-0,36;-3,755;0,417;-1,931;-3,385;-0,238;-0,082;-1,383;-1,82;-0,134;-3,755;-2,043;-2,406;0,024;2,359;5,321;-0,183;4,799;0,123;-0,43;18,44;77,946;61,767;-4,5;6,113;-0,082;-4,999;-0,117;-1,49;0;-1,383;0
"emji_appareil_photo_avec_flash";-2,811;-2,941;-3,331;-3,071;-3,592;-2,811;-3,331;11,558;-3,331;-0,362;0,433;-3,985;2,389;-0,005;3,408;-4,116;3,813;-2,552;-3,461;25,765;0,533;19,737;36,731;72,989;-4,116;-3,592;-1,435;5,78;24,145;0,777;-1,21;-0,714;-4,247;-2,552;1,721;0,592;-5,438;0,592;-1,321;3,754;-3,723;-2,552;-2,811;-0,325;-4,775;3,207;-4,247;-5,305;11,614;-3,592;-3,592;-3,461;-0,425
"ats";-2,739;-2,866;-3,246;-2,992;-3,5;-2,739;-1,364;31,751;-3,246;-0,311;1,609;-3,882;-0,572;-0,311;9,242;-4,01;6,502;-2,487;-3,373;41,437;0,616;2,021;7,184;2,741;-4,01;-3,5;1,869;6,132;14,156;14,769;0,061;-0,051;-0,822;-2,487;4,004;0,67;-5,298;0,03;0,67;23,677;-3,627;-2,487;-0,935;-1,364;-4,652;-0,497;-4,138;-5,169;21,18;-3,5;-3,5;-3,373;-1,286
"emji_main_avec_index_pointant_à_droite";171,569;-1,175;-3,439;-1,29;-3,708;-2,902;75,354;-0,843;-3,439;-0,018;-4,52;-4,113;2,165;6,111;-2,38;-2,255;3,483;-2,635;-3,573;-0,378;8,225;-0,572;0,06;4,153;-4,249;-1,764;0,39;0,439;-1,643;-2,131;-1,29;-0,104;-0,983;-2,635;9,63;0,503;-5,613;-3,304;1,799;0,032;-3,843;-2,635;40,58;6,168;-4,929;7,336;-4,384;-3,401;-0,246;-3,708;-1,764;-3,573;8,384
"dernier";-2,159;-2,259;-2,559;-0,007;-2,759;-2,159;3,56;17,255;-2,559;1,036;0;-1,232;0,053;1,036;6,431;-3,161;-0,042;-1,961;-2,659;1,415;-0,32;-0,679;11,339;16,455;-3,161;-2,759;28,869;-0,32;20,515;2,098;-0,657;-0,221;1,678;-1,961;-0,814;0,319;-2,227;-0,021;-0,021;4,001;-2,859;-1,961;-2,159;-0,814;-3,667;0,69;-3,262;-4,075;9,343;-0,1;-0,978;-0,895;0,14
"jeune";-1,838;0,039;-0,532;-2,007;-0,009;1,153;0;-0,196;-0,532;1,88;23,503;-0,864;-0,039;-1,298;0,105;-0,086;3,708;-0,196;-0,596;-2,177;13,268;0;-0,864;-1,223;-2,69;-2,348;0,581;-1,005;-0,002;-0,864;-2,007;-0,864;5,361;-0,196;-2,177;-0,471;2,737;2,545;-0,471;-2,69;1,608;1,574;1,153;-2,177;0,553;-0,397;0,105;0,276;-1,077;-0,009;0,391;0,479;0,005
"pays";-1,754;-1,835;-0,464;-0,352;-0,583;-1,754;-0,464;-0,157;-2,079;-0,199;9,097;-2,487;-2,405;4,469;1,165;-2,568;0,021;-1,593;-2,16;15,083;-0,905;0,521;1,475;17,104;-2,568;-2,242;59,097;14,338;0,001;-0,033;-1,916;-0,773;-0,075;-1,593;-0,464;2,853;1,361;-0,407;-0,407;27,755;-0,645;0,22;-0,249;0,006;-2,979;0,003;-2,65;-3,31;-0,102;-0,583;-2,242;-0,523;-3,062
"rester";-2,074;-2,17;-2,457;-2,265;-2,65;-2,074;-0,022;3,441;-2,457;-0,008;39,486;-2,939;-0,133;1,222;4,058;-3,036;-0,019;-1,883;-2,554;0,313;10,732;10,917;-1,132;3,156;-3,036;-2,65;-2,457;0,015;0,24;-1,132;-0,589;2,363;0,567;1,099;-0,022;4,315;-2,08;-0,008;4,315;2,129;-2,746;-0,32;0,01;1,609;-1,639;0,843;-3,133;-1,99;19,527;-0,891;-0,068;-2,554;-1,726
"nouveau";-2,297;-0,686;-2,722;-2,51;-2,935;-0,605;0,152;0,011;-2,722;0,098;-0,011;-1,395;-0,257;-0,067;3,117;-3,364;17,7;-2,086;-2,829;0,152;-0,002;12,565;-0,311;0,903;-3,364;-2,935;9,663;3,117;-2,829;6,556;0,288;6,556;0,309;0,768;9,663;0,213;-4,444;-0,054;-0,854;3,421;-0,208;-0,45;-0,605;14,352;-1,97;-0,163;-1,583;-4,335;0,242;-2,935;-2,935;-1,029;6,318
"émission";-1,688;-1,766;-2;34,602;-2,157;-1,688;-0,411;-1,533;0,018;0,827;-0,89;-0,701;-0,64;-2,867;-2,55;-0,763;-0,187;-0,128;0,699;-0,411;-0,049;-3,026;-0,701;-1,021;-2,471;-2,157;-2;-0,049;0,006;-0,701;-1,844;-0,701;0,218;0,273;-2;-1,922;433,733;-1,922;-1,922;-2,471;76,866;5,21;0,144;-2;-1,087;-0,26;-0,826;0,477;-2,629;-2,157;-2,157;0,006;-1,154
"petit";-1,738;-0,288;0,009;-1,898;-0,568;-0,239;-2,059;1,827;-0,45;-1,156;-0,093;-2,463;0,351;-2,951;-0,885;1,356;-3,033;119,102;0,001;-2,059;0,175;6,862;-0,755;2,441;-2,544;-2,22;-2,059;-0,885;2,361;-0,755;-1,898;-2,463;-2,625;-0,15;-2,059;-0,394;-0,391;-1,979;-1,979;-2,544;1,902;0,233;-1,738;-2,059;-1,156;0,005;42,701;37,649;-0,952;2,12;0;14,334;-0,224
"afp";-1,905;-1,993;-2,257;-2,081;-2,434;-1,905;-2,257;0,128;-2,257;-0,316;0,044;-2,7;-0,867;14,17;0,07;-2,788;-0,364;-1,729;-2,345;-0,589;-0,151;12,774;0,143;0,536;-2,788;-2,434;4,714;-0,151;1,832;0,143;9,877;9,453;-0,151;0,128;-2,257;-2,169;-3,684;20,425;-0,524;39,597;-2,522;-1,729;-0,339;-2,257;-3,235;34,383;-2,878;-3,594;2,245;-2,434;7,239;-2,345;1,506
"femme";-0,039;0,459;-0,139;-1,418;-1,659;-0,039;-1,538;0,79;-1,538;-0,57;71,679;-0,314;3,613;-0,001;-0,395;3,082;4,397;-0,01;-1,599;0,245;-0,395;4,126;-0,314;0;-1,901;-0,204;0,245;-0,395;-1,599;-0,314;-0,083;-0,314;0,02;-0,01;-1,538;-0,11;-0,045;2,067;2,067;-0,354;-1,719;-0,01;-0,039;-1,538;-2,205;7,131;-1,962;-2,45;2,626;-1,659;0,148;-1,599;-0,004
"également";-2,159;-2,259;-0,042;-2,359;-0,1;-2,159;-0,814;-0,368;-2,559;4,801;1,495;-3,061;0,053;7,716;0,003;-3,161;-0,042;-1,961;-2,659;15,828;3,67;0,102;-0,221;-0,489;-3,161;-2,759;-0,814;6,431;1,226;7,44;0,41;7,44;-0,32;0,035;21,862;3,945;-2,227;-0,021;-0,021;-1,319;-2,859;-1,961;-0,508;21,862;-1,765;6,374;-3,262;-4,075;1,495;-2,759;-0,1;-2,659;-0,614
"notamment";-2,194;-0,607;-2,599;-2,396;-2,803;-2,194;6,473;0,909;-2,599;0,161;3,225;-3,109;-0,196;-0,033;-1,45;-0,293;10,372;-0,388;-2,701;1,343;3,524;18,193;0,606;-0,017;-3,212;-2,803;3,428;0,001;-0,928;11,024;0,377;-0,242;1,59;0,027;3,428;3,805;-4,243;-0,764;1,549;6,695;-2,905;-1,992;5,196;10,478;-3,726;0,634;-3,314;-4,139;-0,402;-2,803;-0,114;-2,701;-0,65
"public";-1,972;-2,063;-2,337;-2,154;-2,52;-1,972;-0,647;-0,264;0,414;-0,374;-3,072;0,97;0,145;0;2,234;-0,153;8,73;-1,79;-2,428;-0,647;0,723;-0,01;-0,118;-1,41;-2,887;-2,52;-2,337;22,234;3,982;8,864;0,001;8,864;2,234;0,096;0,414;0;-3,814;-0,578;2,114;-0,153;-2,611;19,619;-1,972;7,928;-3,349;26,34;-1,171;-1,821;-1,249;-2,52;-0,037;-2,428;0,302
"emji_chaînons";-2,211;-2,313;-2,62;85,003;-2,825;-2,211;116,874;-2,007;-2,62;0,935;-0,416;-3,134;-3,031;19,824;-0,359;-3,237;-0,668;-2,007;-2,722;-0,861;0;-0,737;-3,134;-3,651;-3,237;-2,825;-0,056;0;-0,945;-1,292;-0,014;-3,134;-3,34;-2,007;0,205;1,511;-2,316;-0,779;6,955;0,005;-1,116;-2,007;144,185;76,375;-3,755;6,039;-1,472;-4,172;-0,002;-2,825;-0,122;-2,722;0,815
"emji_caméscope";273,44;-0,342;-2,158;40,683;-2,327;-1,821;9,144;-1,653;-2,158;-0,249;12,731;-0,846;-0,034;0,017;-0,985;-0,079;1,759;-1,653;-0,581;-2,158;-2,751;0,422;-2,581;-3,007;-2,666;-2,327;0,001;-0,985;-0,581;0,206;16,336;0,206;-0,106;1,614;0,001;0,008;-1,65;0,723;0,723;-0,915;-2,411;-1,653;-0,288;-0,519;-3,093;0,355;-2,751;-3,436;-2,836;-2,327;-0,007;-2,242;10,187
"conseil";-1,475;-0,138;-1,748;-1,612;-1,885;-1,475;-0,252;-1,34;-0,252;0,237;-2,298;-2,091;-2,022;15,489;-0,583;-2,16;74,112;-1,34;1,138;12,942;-0,583;-0,91;-2,091;-0,743;-2,16;-1,885;3,832;52,718;-0,295;0,003;-1,612;0,003;-2,229;-1,34;0,101;-1,68;-2,854;-0,212;-1,68;0;-0,385;-1,34;25,169;59,248;-2,506;-0,102;-2,229;-2,784;1,849;0,043;-1,885;-0,295;-0,853
"prendre";-1,838;0,981;-2,177;0,018;-0,009;-0,298;0;14,449;-0,532;10,586;0,854;-2,605;3,57;-3,121;0,105;-0,934;3,708;-1,668;-0,002;0,581;0,976;0;3,266;0,643;-2,69;-2,348;0,581;8,874;8,346;-0,864;-2,007;0,193;-2,776;4,425;0;-0,471;-0,013;5,549;0,697;-0,086;-0,728;-0,196;-0,298;-0,532;-3,121;0,334;-2,776;-3,467;-0,147;-0,661;-0,009;-0,596;-3,207
"vie";-1,639;1,409;0,915;-0,274;-0,478;4,503;-1,942;-0,108;0,915;-1,019;3,373;-0,008;-0,591;-1,019;-0,768;1,641;-2,86;-1,488;-2,018;-1,942;6,802;16,542;-0,649;-2,706;-2,399;-0,478;-0,372;0,268;-2,018;-0,649;-0,274;0,399;-0,768;2,116;-1,942;-1,866;0,487;1,061;-1,866;-0,018;2,24;0,317;0,177;-1,942;-2,783;-0,218;3,653;-1,28;0,214;9,519;2,479;-0,424;8,194
"permettre";-1,972;0,758;-2,337;-2,154;-0,791;-1,972;0,414;1,285;-0,647;5,923;0,023;-2,795;-2,703;0,368;0,723;-2,887;22,643;0,096;-2,428;0,414;0,723;16,457;-0,118;0,442;-2,887;-2,52;1,87;-0,192;11,675;0,97;5,28;2,719;-2,979;-0,264;1,87;-0,578;-3,814;0;0;0,84;-2,611;-1,79;6,381;-0,006;-3,349;-0,021;-1,171;-3,721;-1,249;-2,52;-2,52;-2,428;12,645
"passer";-0,288;0,044;-2,158;0,022;-0,645;-0,288;-2,158;0,175;-0,519;4,085;-1,056;-0,846;-0,034;0,58;5,468;-0,079;1,759;0,175;2,082;0,001;0,116;-0,335;0,206;2,126;-0,079;-2,327;2,33;1,012;-0,001;-0,846;0,858;-0,846;-0,106;0,175;5,176;-2,073;-0,479;2,604;-0,458;-2,666;0,332;-0,188;1,187;5,176;-1,274;0;0,116;-3,436;0,081;-0,645;-0,645;-0,001;-1,348
"souligner";-1,989;-2,081;-2,357;-2,173;-2,541;-1,989;1,824;-0,273;-2,357;13,138;41,769;-2,819;-0,958;0;-1,192;-1,113;1,282;-1,806;-2,449;4,294;16,347;-0,497;-2,819;-0,339;-2,912;-2,541;-0,662;7,614;-0,022;2,657;5,19;5,252;-1,192;-0,273;-0,662;-0,001;-3,847;-2,265;-0,001;-0,163;-2,634;-1,806;2,968;12,355;-3,378;7,627;-3,005;-3,753;4,142;-2,541;-0,807;-2,449;22,344
"heure";-1,655;-1,732;-0,385;-0,284;-2,115;0,166;-1,961;-0,114;-1,961;8,508;-2,578;-0,666;4,534;-0,133;0,25;-0,726;-1,107;-0,114;-0,438;0,025;1,427;-0,197;-0,01;0,117;-0,726;0,003;-0,385;0,25;-2,038;12,089;0,077;-0,01;-0,037;-0,114;23,422;-0,334;0,46;-0,334;11,549;3,864;-0,549;-0,114;0,166;0,025;-0,133;1,999;-0,787;-0,269;-0,057;-2,115;0,003;-0,438;-1,107
"aller";-0,258;-0,309;-2,098;-0,363;-2,263;-0,258;0,004;9,261;0,004;-1,203;0,11;-0,791;1,606;11,326;14,116;-0,857;1,927;-1,608;0;0,004;-0,925;0,007;-0,791;29,12;0,196;-2,263;0,68;-0,083;27,222;-0,791;-0,363;-0,038;0,149;0,208;-2,098;0,016;-1,566;-2,016;-2,016;-2,593;-2,345;0,208;-1,771;-0,477;0,665;0,001;-0,083;0;-2,758;-0,598;-0,002;0,57;-1,274
"place";-1,492;-0,146;-1,767;-0,183;-1,906;-1,492;1,251;39,253;-0,264;3,389;-0,654;-2,114;5,633;-0,819;25,328;-0,549;-0,067;-1,354;-0,307;-1,767;-2,254;-0,933;5,238;6,787;-2,184;-1,906;7,567;0,458;0,061;0,627;-0,183;-2,114;-2,254;0,481;19,209;-0,222;-2,885;1,422;1,422;0;-1,975;0,481;0,303;0,092;-2,533;0,106;-2,254;-1,05;1,789;-1,906;-1,906;-1,837;-0,876
"face";-1,871;-1,957;-2,217;-2,044;-2,391;-0,318;0;1,497;-0,561;10,236;-0,167;-2,652;-0,831;3,817;5,153;-0,973;0,001;-1,699;1,928;8,717;-0,133;0;26,642;20,734;-2,739;-2,391;8,717;0,087;0,438;-0,073;-2,044;-0,902;-2,827;-1,699;-0,561;-0,497;-1,734;-0,497;5,353;-0,973;-0,029;-1,699;3,411;8,717;-3,178;3,034;-2,827;-1,655;2,365;-2,391;-0,693;-2,304;-0,334
"enfant";4,38;-1,094;-1,239;-1,142;-1,336;-1,045;-0,025;-0,949;0,64;7,24;29,513;-1,482;-0,093;-1,776;-0,165;-0,139;-1,825;0,013;0,552;-0,025;40,979;-0,342;-1,482;-1,726;-1,531;-1,336;-0,025;1,68;-1,287;-1,482;-1,142;-1,482;4,609;-0,949;-1,239;-1,19;-0,443;7,892;-1,19;4,92;0,405;-0,949;1,112;-1,239;3,557;-1,923;-1,58;-1,973;1,537;-0,055;0,474;-1,287;1,065
"prévoir";-1,921;-2,01;-0,604;-2,099;-2,455;-1,921;0,472;-0,238;-2,277;3,566;-0,199;-0,958;-2,634;24,675;17,281;-2,813;23,571;-1,745;-2,366;64,109;-1,108;-3,444;-2,723;-1,339;-2,813;-2,455;-0,604;12,291;-0,672;9,302;5,561;0,133;-2,903;-0,238;25,795;20,167;-3,716;-2,188;-2,188;8,705;-2,544;-1,745;0,041;-0,002;-3,263;1,175;-2,903;-3,626;-1,184;-2,455;-0,024;-2,366;-0,379
"fin";-1,721;-1,801;-0,437;-0,329;0;-1,721;-0,437;5,023;-2,039;-2,923;-0,931;-0,737;4,157;16,791;-2,6;-2,52;7,427;-1,563;0,003;-0,437;-0,061;-0,249;3,826;8,363;-0,8;-0,553;2,689;0,189;5,331;-0,737;0,05;0,301;0,189;-0,142;-0,437;2,986;-1,483;-0,382;6,299;1,401;-0,613;-0,142;-1,721;2,689;-1,133;0,007;-0,865;-0,33;2,976;-2,199;-0,553;-0,494;-1,202
