"";"";"";"";"htag_christmas";""
"36";"htag_nouvelan";"-1.84402275405847";"1.69393125617391";"0.89854868485262";"114"
"37";"combien";"-1.80513207885974";"1.75161495216128";"0.896552141388394";"117"
"38";"htag_cinema";"-1.87454133754897";"1.8550456623651";"0.896352487041971";"119"
"39";"htag_rtsarchives";"-2.37777461151278";"2.28381952189046";"0.892872546810904";"124"
"40";"htag_jeunesse";"-2.25195029617981";"2.35975933083724";"0.888613254087222";"128"
"41";"htag_montagne";"-2.53716540348071";"2.04522198717096";"0.888560713469743";"130"
"42";"htag_train";"-1.5295707959229";"1.8276913485747";"0.887054549101993";"133"
"43";"htag_vin";"-2.22288324968962";"2.38464074874561";"0.886970484114026";"134"
"44";"htag_automobile";"-2.51383161861675";"2.37720405901109";"0.884217355758093";"136"
"45";"htag_armee";"-2.51736877241951";"2.52731079683139";"0.883674436044137";"137"
"46";"htag_happynewyear";"-1.97575084751881";"1.92222296097025";"0.880070149685035";"143"
"47";"htag_suisseromande";"-1.76137044090062";"1.97106797415577";"0.880070149685035";"144"
"48";"vous";"-2.15781072449927";"2.23265941180687";"0.875073536962722";"150"
"49";"htag_lausanne";"-2.41616684587549";"2.04179292421135";"0.87378278912664";"153"
"50";"chic";"-3.13451947725907";"2.86726467068044";"0.872199565186587";"158"
"51";"htag_chorale";"-2.0150228665694";"1.97957634568611";"0.872199565186587";"162"
"52";"htag_valais";"-2.76637236823537";"2.68408889227842";"0.871952624284433";"165"
"53";"htag_securiteroutiere";"-2.56515884265394";"2.82859352221241";"0.870066416116914";"167"
"54";"htag_mondaymood";"-1.84716936565844";"2.08717339687908";"0.867160919970291";"170"
"55";"htag_musique";"-2.99898441314926";"3.13253220840995";"0.867160919970291";"171"
"56";"htag_amour";"-2.40584258059735";"2.47316859161398";"0.8647738245828";"177"
"57";"htag_armeesuisse";"-2.3635393843624";"2.27483747643517";"0.86445507817009";"178"
"58";"htag_jeunes";"-2.79696766296488";"3.09401439889204";"0.863208114181907";"180"
"59";"htag_police";"-2.62670918797976";"3.17954937592402";"0.863208114181907";"181"
"60";"htag_look";"-3.06312480265917";"3.02796861979399";"0.861073213758318";"189"
"61";"htag_adolescence";"-2.498521264496";"2.44546569524544";"0.859568800744485";"193"
"62";"htag_vieillesse";"-2.09602985076609";"2.26373385710976";"0.858936561980813";"197"
"63";"htag_jura";"-2.61730319386089";"2.98378684823249";"0.856328795999908";"206"
"64";"chacune";"0.0934414494201725";"-0.305202036196154";"0.856328795999908";"207"
"65";"htag_fondue";"-2.84569112065418";"3.19297364097087";"0.855971519801046";"210"
"66";"htag_vigne";"-2.27478346472673";"2.35541514954208";"0.855971519801046";"211"
"67";"htag_premieraout";"-2.47374503294535";"2.64068058735903";"0.855971519801046";"212"
"68";"htag_fetenationale";"-2.47374503294535";"2.64068058735903";"0.855971519801046";"213"
"69";"htag_breakdance";"-2.27326309135713";"2.30501078383448";"0.855274480942483";"218"
"70";"htag_retro";"-2.31304359362435";"2.05243554131718";"0.85493121557495";"220"
"71";"htag_swisswatch";"-3.58216626940568";"3.28245609882439";"0.854379539091414";"221"
"72";"htag_swissattitude";"-3.18216231885594";"3.28247797316016";"0.854379539091414";"222"
"73";"htag_portrait";"-1.56675505382367";"1.81068107770412";"0.853906673534097";"225"
"74";"comme";"0.204357699619197";"-0.00697481472925917";"0.853643970446699";"227"
"75";"htag_kids";"-2.45245341978495";"2.36400966502075";"0.850396960286458";"235"
"76";"htag_microtrottoir";"-2.53655963609995";"2.79025714286981";"0.849297110027218";"238"
"77";"1969";"-2.40242594073736";"2.74022107712981";"0.849297110027218";"239"
"78";"htag_instafood";"-2.68733879322721";"2.35325823988459";"0.848773455206337";"240"
"79";"2019";"0.496408687071712";"-0.577937308198589";"0.848533519719847";"246"
"80";"htag_chanson";"-2.28228728310053";"0.956445447453834";"0.845971288940757";"255"
"81";"htag_commeunlundi";"-1.98483550198625";"2.22258076979924";"0.844447611033848";"261"
"82";"htag_danse";"-2.536757532604";"2.35872907317916";"0.844002767139187";"264"
"83";"htag_lacleman";"-2.03214115392528";"2.06140793962797";"0.844002767139187";"265"
"84";"plusieurs";"0.590876446193016";"-0.251775662748302";"0.843747069467453";"268"
"85";"auxquels";"0.529898000271411";"-0.623517641395316";"0.843631480108998";"269"
"86";"htag_love";"-2.4916589032785";"2.74858755628562";"0.841188341396195";"276"
"87";"htag_changementdheure";"-3.07752477981305";"3.31841207778243";"0.841020211420261";"280"
"88";"500";"0.674147922335323";"-0.143312470379339";"0.840249615697226";"284"
"89";"leurs";"0.0326220302004888";"0.396692274377542";"0.839542068715167";"285"
"90";"afin";"0.369103025215396";"-0.0592066368778327";"0.837762693136524";"294"
"91";"htag_insolite";"-2.48895515365152";"2.71527124156274";"0.837361633089763";"296"
"92";"htag_tradition";"-1.96120519144422";"2.23778454164967";"0.837058648862297";"299"
"93";"htag_women";"-2.43592590340829";"2.56663949491795";"0.837058648862297";"302"
"94";"htag_tourdefrance";"-1.22529137641746";"1.27429594007964";"0.837058648862297";"304"
"95";"htag_marionnette";"-2.07479551290814";"1.88815938951142";"0.837058648862297";"306"
"96";"htag_grevedesfemmes";"-0.10062233870964";"0.851647359642712";"0.837058648862297";"307"
"97";"htag_chaussettes";"-2.49590224801588";"2.74371848612851";"0.837058648862297";"308"
"98";"htag_ambiance";"-2.30350361097864";"2.39297522125731";"0.837058648862297";"309"
"99";"dm";"0.290165038308094";"0.282578318341081";"0.837058648862297";"310"
"100";"htag_bistrot";"-2.35302549865799";"2.59453365708527";"0.837058648862297";"312"
"101";"htag_chateaudoex";"-2.59863777357216";"2.80530507015767";"0.837058648862297";"313"
"102";"htag_vintage";"-2.27901146012369";"2.14378502631524";"0.836790691713151";"314"
"103";"par";"0.337470212309766";"0.0121641606648799";"0.836652334753788";"316"
"104";"certaines";"0.76527149385251";"0.0203704244500316";"0.835776657795794";"317"
"105";"personne";"0.625055252086226";"0.0751486375424144";"0.835506949292732";"319"
"106";"lendemain";"-0.456281252899543";"0.201143961005062";"0.835205716419182";"321"
"107";"grâce";"-0.67110214278529";"-0.257274949158746";"0.834668050766974";"324"
"108";"soi";"-0.875583789429478";"1.5557344453638";"0.83456472088593";"325"
"109";"ainsi";"0.179442238990276";"-0.414042900326788";"0.834401844971744";"327"
"110";"tant";"0.282275519891178";"-0.0565639060995419";"0.833718816944508";"333"
"111";"huit";"-0.0241740006178607";"-0.668767080416192";"0.833580459985145";"334"
"112";"htag_enfants";"-2.70537329762722";"2.73404168478966";"0.833468373334522";"335"
"113";"plupart";"0.726254390758951";"0.1485560863026";"0.833468373334522";"336"
"114";"htag_rtsxarchives";"-2.34996429034863";"2.18883838607452";"0.833358038037815";"340"
"115";"htag_dance";"-2.76987954964371";"2.2892091084855";"0.832904437373574";"343"
"116";"htag_summertime";"-1.74194912203727";"1.55178871565691";"0.832904437373574";"344"
"117";"htag_gym";"-2.79719782682632";"2.60867546558192";"0.832904437373574";"347"
"118";"tels";"0.252777918210798";"-0.306828510045284";"0.832231917469835";"349"
"119";"htag_enfant";"-2.60587515565953";"2.86033073298593";"0.831855376377898";"353"
"120";"dame";"-2.38224496650063";"1.28326310497173";"0.831855376377898";"354"
"121";"lui_même";"-0.0102338893186375";"0.517579683228807";"0.831855376377898";"355"
"122";"avoir";"-0.195983008993503";"0.221482089424639";"0.83176255462035";"357"
"123";"cependant";"0.916414752830486";"0.100341424913303";"0.831636457138399";"358"
"124";"quelques";"-0.817575038257397";"0.51974524461973";"0.831611938183575";"359"
"125";"sous";"0.403383767135813";"0.0392059952085479";"0.831125061794931";"363"
"126";"htag_droitsdesfemmes";"0.347645353448208";"0.212561443247912";"0.831097040132275";"365"
"127";"htag_lune";"-2.3540634201826";"2.41239593707652";"0.831097040132275";"366"
"128";"htag_feminisme";"0.294747154045088";"0.262941997907807";"0.831097040132275";"367"
"129";"quand";"-1.38684248806892";"0.647964261981767";"0.830979699419904";"369"
"130";"quinze";"0.706187856091012";"-0.410211009817054";"0.830827331629213";"370"
"131";"ni";"0.367897815319974";"-0.462190268570403";"0.830550617710487";"372"
"132";"chaque";"0.120963395463273";"0.368988271518471";"0.830533104171327";"373"
"133";"1974";"-1.93174978720437";"1.94432296979164";"0.83035271471798";"377"
"134";"1994";"-1.40038887301659";"0.749942499828527";"0.829937643839891";"380"
