"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8"
"famille";-2,965;0,288;-9,509;-3,174;-0,562;147,018;-42,325;-6,993
"lire";-2,898;-10,43;-74,54;-4,273;-0,482;-57,909;1490,47;-137,888
"emji_mains_levées";-0,585;-13,835;-45,086;-6,314;-19,47;-63,882;-21,196;579,147
"importer";-2,931;-1,996;-0,299;10,122;-1,612;147,004;1,942;-132,049
"apprendre";-2,62;-26,497;-69,915;-0,148;-3,123;197,748;58,317;-48,277
"dernier";-4,409;1,381;-4,817;-3,247;-12,355;12,25;-0,992;2,816
"exemple";-0,324;-0,963;106,709;0,219;-2,948;5,426;-0,102;-111,265
"sujet";-5,72;-17,858;-22,911;-1,906;-6,723;-14,339;953,59;-128,779
"compte";-7,638;-0,398;17,206;-5,414;-12,436;1,128;146,313;-124,659
"genève";-2,368;-16,383;697,261;-10,051;-16,398;-82,169;-39,221;-29,476
"cause";-5,551;37,435;16,033;0,342;-10,507;38,735;-0,137;-138,496
"perdre";-5,538;-3,068;27,594;-0,002;-3,69;66,661;-8,562;-63,575
"partie";48,86;0;54,231;-1,748;-6,208;1,199;0,237;-77,182
"manquer";5,793;-27,51;-1,172;-0,197;-18,209;81,179;0,061;-7,381
"société";-5,525;-21,754;15,635;-8,435;-17,355;232,46;-2,842;-113,346
"histoire";-2,532;30,03;-13,234;-5,092;-0,324;5,412;45,158;-42,368
"sortir";0,344;-0,733;-3,945;-0,01;-2,091;162,684;-2,219;-67,826
"entendre";-2,554;-2,501;-61,814;-3,785;0,291;38,545;10,486;0,538
"pauvre";-3,807;-7,961;15,668;357,953;-0,505;4,189;-12,51;-37,439
"idée";-1,561;-25,11;-7,818;7,707;0,078;7,859;141,173;-48,518
"fin";-2,609;0,698;-2,059;-6,759;1,525;17,299;9,858;-27,493
"emji_visage_souriant_avec_coeurs";-5,807;-45,035;-105,78;-1,109;-25,126;-90,787;-59,873;1152,848
"cher";-2,325;-31,9;864,554;-6,296;-19,416;-73,839;-35,598;-63,916
"oublier";-0,2;6,818;5,724;-2,563;-1,205;22,646;-10,917;-24,346
"rts";-7,133;17,601;-39,459;-8,031;-0,919;-90,588;578,231;-22,501
"manger";-6,788;-48,301;0,021;2967,566;-1,684;-9,771;-31,968;-11,486
"permettre";0,161;-0,472;125,269;-1,431;-20,973;3,856;3,4;-125,552
"écrire";-4,992;-6,754;-58,44;-7,683;15,224;-57,163;1036,464;-101,061
"emji_visage_en_pleine_réflexion";-1,284;-0,818;-0,047;0,159;93,318;-0,242;10,516;-39,293
"parent";1,815;-41,528;-16,884;-7,444;-2,678;493,21;-38,747;-50,914
"malheureusement";-2,336;-1,076;-9,466;2,903;-13,301;280,507;-8,878;-74,312
"gros";5,984;-25,094;78,033;-0,606;17,02;1,136;-2,669;-56,796
"côté";15,207;-0,369;0,004;-0,263;-5,85;97,768;-0,475;-71,55
"paix";-3,094;1263,536;-112,047;-4,026;-28,28;-29,171;-43,469;0,541
"finir";-5,057;-0,152;10,478;-2,168;-0,682;118,505;-33,636;-55,512
"social";-6,788;-15,157;73,399;-1,177;-13,344;14,622;37,648;-132,486
"population";-5,044;89,384;115,644;0,7;-9,902;-0,73;-3,933;-155,796
"revenir";-0,054;-11,428;216,87;-0,003;-3,396;-4,276;-11,583;-38,583
"peuple";-6,682;970,582;-0,096;-5,695;-14,398;-19,73;-4,278;-130,006
"heure";-2,856;-7,196;23,758;0,023;-14,29;3,157;0,028;-5,854
"respect";-6,762;-1,246;-71,574;-4,306;-23,222;328,412;-17,784;-2,474
"espérer";-2,133;-0,237;-23,079;0,039;-3,101;79,796;-1,094;-2,885
"gauche";-6,563;0,405;4,292;-9,178;-0,88;-86,371;601,566;-122,485
"mort";-4,501;240,48;-5,746;3,302;0,045;2,445;-2,879;-72,387
"nom";-6,35;-0,051;-44,228;-5,256;718,604;-0,99;-2,345;-15,647
