"";"";"";"";"vous";""
"123";"quelqu_un";"-0.00205663018403809";"-0.155809025012598";"0.85394866706757";"202"
"124";"divers";"0.476363934047254";"-0.230840611186754";"0.851564094253159";"204"
"125";"htag_shameonyoutrump";"-1.28676505625405";"0.226394933810091";"0.850445179317166";"206"
"126";"anti";"0.602337490623032";"0.110253645635552";"0.849507400200729";"207"
"127";"puis";"0.182255762266269";"-0.180977309395865";"0.849156592853994";"208"
"128";"plusieurs";"0.331976459871586";"-0.387627098334366";"0.848354092387606";"210"
"129";"mes";"-0.771547810194101";"-0.132168086555271";"0.847400263261841";"211"
"130";"debout";"0.031777613853982";"-0.119619863986714";"0.847235177451613";"212"
"131";"eux_mêmes";"0.515655531098397";"-0.230838765914953";"0.842555453303332";"218"
"132";"ici";"0.216980797068999";"-0.175870025441224";"0.842057903014171";"219"
"133";"ok";"0.043012258021843";"-0.0692275745456307";"0.83964352303958";"224"
"134";"jusqu";"0.495745632649879";"0.533960233587362";"0.839017572675797";"227"
"135";"dedans";"-0.0752261897114541";"-0.766280349907735";"0.838166922181426";"228"
"136";"comment";"0.120704504597478";"-0.0341040172296617";"0.836140035289176";"231"
"137";"auquel";"0.643932392533513";"-0.302452222752894";"0.835704392178851";"234"
"138";"trois";"0.211459755010407";"-0.374013123887199";"0.835555356377951";"235"
"139";"certain";"0.094954202043323";"-0.0300299769965417";"0.83546593489741";"236"
"140";"devant";"0.0527212663398711";"0.0834212505424159";"0.834069584085895";"238"
"141";"laquelle";"0.230871901108715";"-0.335253975219634";"0.832253640173382";"240"
"142";"concernant";"0.577030872566658";"-0.238244775709338";"0.831038425181422";"241"
"143";"partout";"0.241873908882244";"-0.27695236875564";"0.830208410413329";"243"
"144";"ailleurs";"0.345524791855162";"-0.00941007795527046";"0.828908359657781";"245"
"145";"22";"0.505037508224252";"0.535797298543504";"0.828131080634622";"246"
"146";"lors";"0.502212398130924";"0.171552866415779";"0.828115030625294";"247"
"147";"dessous";"0.249259419030104";"-0.54647004382827";"0.825242078955624";"258"
"148";"1972";"0.153555792946962";"-0.533363041383692";"0.823215192063375";"262"
"149";"puisqu";"0.277108895008506";"-0.342024983812791";"0.823093670564179";"263"
"150";"con";"-0.230974430493841";"-0.344094432645102";"0.822901070452246";"264"
"151";"attention";"0.285474337424968";"-0.0559716214876444";"0.822687834614034";"265"
"152";"quelles";"0.267500152342569";"0.0441278858824999";"0.822453963049544";"267"
"153";"nonante";"-0.77730502200558";"-0.403760488294116";"0.819846982963019";"273"
"154";"wouah";"-1.22060887599477";"0.207817488606993";"0.819766732916381";"274"
"155";"presque";"-0.225258810695259";"-0.234892579510905";"0.819702532879069";"275"
"156";"ben";"0.0219079508711377";"-0.0701361712258182";"0.818604253669355";"276"
"157";"cet";"-0.533251207033105";"0.302308561648675";"0.818111289097145";"277"
"158";"merde";"-0.0317060105777018";"-0.636678835207582";"0.817787996052115";"278"
"159";"1930";"-0.121506230783539";"-0.786865403480973";"0.8175564173461";"280"
