"";"*rts_a";"*rts_i"
"entièrement";12;19
"ces";159;663
"conduire";21;37
"genève";126;272
"début";18;32
"70";31;16
"étude";17;113
"comparer";12;49
"lausanne";58;135
"mais";504;1908
"quand";216;657
"même";251;860
"besoin";45;220
"stop";10;18
"manière";5;73
"apprécier";2;8
"pays";107;671
"ses";84;241
"habitant";15;61
"turquie";5;8
"toute";54;221
"us";6;40
"quelques";35;101
"année";145;324
"incroyable";26;34
"emji_coeur_rouge";56;33
"merci";74;180
"permettre";47;212
"mettre";138;425
"lien";10;61
"concerner";10;100
"mes";61;101
"fils";12;7
"fou";12;27
"souvenir";84;17
"archive";24;0
"haha";15;7
"mort";26;58
"chaud";9;15
"ville";95;212
"emji_visage_avec_bouche_ouverte";47;48
"mon";126;216
"partie";46;182
"monter";16;47
"jusqu_au";10;11
"bord";7;12
"lac";6;10
"temps";107;257
"eux";42;242
"penser";61;280
"réchauffement";18;45
"climatique";28;110
"tête";19;52
"nourrir";12;22
"soigner";18;47
"intéressant";13;41
"voir";210;662
"vidéo";29;16
"celui";25;46
"choisir";10;60
"essence";10;17
"assez";48;158
"électrique";17;31
"non";182;696
"battre";16;35
"déjà";122;497
"écologie";9;25
"multinationale";6;23
"gouvernement";10;64
"vélo";34;85
"toujours";144;321
"exister";55;111
"aujourd_hui";199;96
"respecter";19;83
"nature";13;19
"surtout";80;239
"où";121;386
"employer";2;14
"difficulté";6;28
"étranger";26;150
"travailler";72;309
"responsable";20;60
"donner";61;237
"billet";14;99
"par";337;1318
"au";422;1265
"remarquer";7;11
"style";6;7
"planter";15;11
"bâton";14;12
"inclure";4;8
"mtn";10;5
"niveau";44;164
"bien";337;974
"élevé";18;63
"emji_visage_faisant_un_clin_d_oeil";80;91
"logique";13;82
"inventer";18;9
"autres";102;458
"pouvoir";284;1195
"richesse";16;76
"sa";97;254
"perte";16;69
"autre";61;254
"enrichir";5;40
"immigration";11;52
"malgré";13;38
"cela";88;371
"arriver";38;161
"vraiment";55;231
"européen";18;91
"situer";5;19
"coeur";21;26
"te";49;149
"prêt";33;36
"fin";16;79
"80";34;49
"grimper";4;7
"pilier";6;20
"pont";4;11
"mur";11;17
"fribourg";14;32
"encore";166;450
"artificiel";6;7
"falloir";185;768
"donc";121;688
"son";122;364
"point";30;132
"faible";2;46
"quantité";12;40
"sucre";3;8
"juste";106;357
"chiffre";9;115
"entre";66;269
"1";71;261
"4000";1;10
"finalement";9;24
"simple";19;92
"efficace";14;30
"ton";37;132
"lui";62;116
"époque";134;34
"aller";263;1158
"souvent";15;124
"vivre";80;225
"quel";70;159
"état";28;243
"devenir";86;267
"catastrophique";4;12
"empêcher";14;41
"normalement";3;11
"scandaleux";2;14
"tiers";6;9
"quelle";47;108
"horreur";3;10
"emji_visage_qui_pleure";99;186
"technique";28;19
"père";14;13
"m";92;199
"jeter";20;41
"bateau";9;30
"mer";10;14
"3";45;171
"an";165;305
"adorer";23;18
"eau";44;103
"mal";46;133
"premier";53;116
"faciliter";4;21
"musée";8;20
"site";15;42
"parc";8;20
"enfin";22;97
"quels";3;19
"rire";12;22
"souffrir";9;19
"co";8;19
"si";310;1227
"fermer";20;49
"er";3;7
"limiter";8;36
"emji_feu";30;51
"beaucoup";90;348
"boulot";26;20
"mieux";64;255
"tu";245;700
"recherche";13;36
"fumée";9;18
"cigarette";10;26
"alcool";16;39
"mortel";5;21
"monsieur";30;23
"doux";8;5
"voilà";27;53
"drogue";12;51
"franc";94;98
"parler";103;492
"rarement";3;8
"chapeau";4;7
"bas";27;110
"tellement";62;85
"offrir";36;114
"sembler";21;67
"concurrence";13;20
"ma";74;108
"beauté";8;2
"naturel";14;29
"forêt";5;11
"montagne";22;26
"couvrir";4;32
"neige";15;24
"paysan";12;4
"humanité";14;19
"réjouir";3;18
"retrouver";23;78
"préféré";5;6
"passage";29;41
"secret";8;21
"mdr";15;44
"perdre";35;148
"maintenant";135;122
"savoir";198;434
"hors";18;51
"commun";18;68
"seulement";23;133
"entier";8;44
"sans";116;524
"aider";15;172
"million";26;284
"dépenser";14;71
"armée";12;88
"inutile";17;41
"couleur";4;8
"ta";23;76
"peau";13;11
"aucun";31;161
"fléau";10;8
"pauvre";42;124
"piéton";25;24
"elles";68;173
"presque";18;59
"rouler";48;64
"autoroute";14;51
"excellent";9;36
"gens";109;456
"victime";9;33
"10";58;159
"12";11;44
"pari";25;23
"25";16;38
"privé";12;107
"majeur";3;24
"vie";89;281
"compenser";2;23
"0";23;65
"émission";15;38
"co2";10;21
"heure";41;99
"grand";128;390
"homme";35;78
"revenir";47;210
"travail";95;428
"transport";32;100
"public";34;254
"lieu";43;144
"franchement";3;35
"dès";21;56
"direct";11;52
"racheter";7;5
"affaire";12;44
"moins";122;555
"cher";118;298
"écologique";15;38
"lorsque";8;37
"village";31;24
"seul";55;234
"moyen";40;207
"déplacement";5;18
"respect";12;20
"tant";31;167
"égalité";4;44
"salarial";7;20
"rente";5;16
"retraite";27;79
"combat";2;9
"continuer";29;166
"double";16;38
"journée";16;30
"lit";3;8
"21";5;10
"h";22;49
"épuiser";3;12
"reportage";20;16
"prendre";145;530
"nouvelle";7;64
"population";34;199
"colère";3;7
"survivre";6;27
"défendre";9;75
"conseil";7;69
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";42;31
"regarder";33;115
"abe";4;7
"situation";12;75
"produit";48;128
"bio";12;37
"emji_visage_riant_aux_larmes";345;544
"bonjour";17;20
"notre";99;308
"rts";25;67
"ch";10;30
"pub";14;32
"ah";52;91
"accord";36;175
"croire";66;158
"madame";31;15
"fédéral";6;93
"jamais";116;263
"participer";9;47
"problème";62;399
"largement";9;49
"remplacer";18;48
"téléphone";18;35
"portable";7;6
"poids";15;24
"danger";11;47
"mental";10;17
"physique";6;88
"médecin";14;79
"tromper";6;11
"énorme";31;55
"cours";17;34
"base";12;92
"art";7;37
"plastique";63;34
"école";22;48
"patron";15;83
"obligation";5;34
"cantonal";6;23
"lever";6;7
"possible";41;116
"propre";24;77
"boîte";35;15
"production";13;39
"franchise";5;14
"changement";38;71
"avant";104;212
"industriel";14;26
"etc";79;252
"laisser";30;149
"s";214;813
"occuper";17;66
"preuve";8;28
"portugais";3;13
"spécialiste";6;15
"piquer";5;12
"quoi";82;317
"fr";11;15
"bosser";25;94
"pompe";7;3
"déchet";16;39
"hasard";7;18
"quitter";13;55
"dingue";7;8
"morale";3;14
"elon";3;9
"job";12;48
"carton";10;8
"refuser";13;56
"demander";67;216
"énergie";16;126
"installation";4;7
"évolution";9;5
"pratique";24;34
"entreprise";28;385
"nombreux";19;56
"accepter";18;63
"type";9;54
"raison";40;122
"notamment";14;41
"lier";12;72
"cet";22;107
"changer";58;165
"septembre";11;11
"grâce";22;71
"action";8;36
"effet";31;110
"créateur";3;10
"société";29;137
"fabrication";3;10
"réussir";15;65
"obtenir";16;55
"norme";7;27
"contribuer";8;52
"rassurer";5;13
"agence";4;21
"produire";25;128
"uniquement";11;79
"réserver";2;16
"sentir";26;145
"liquide";3;8
"inflation";7;27
"oublier";38;109
"vite";42;64
"lancer";6;10
"projet";16;101
"propriétaire";16;29
"banque";31;131
"instant";4;13
"solution";31;142
"valoir";50;103
"sale";8;4
"business";10;23
"autoriser";4;23
"heureusement";13;27
"bénéfice";9;42
"etre";5;20
"vouloir";129;605
"ect";6;14
"cacher";10;36
"pourtant";33;116
"vaccin";18;4
"contre";93;277
"covid";33;25
"19";16;18
"virus";2;10
"multiplier";9;8
"dose";6;8
"servir";45;152
"sanitaire";3;14
"plan";10;21
"désormais";4;7
"entrer";5;19
"phase";5;12
"suffire";17;75
"grippe";5;5
"saisonnier";5;5
"4";26;124
"balancer";1;12
"risque";31;151
"personne";115;620
"décennie";10;21
"bloquer";11;52
"économie";21;173
"mondial";34;113
"autant";35;159
"contaminer";7;6
"ceinture";19;5
"sécurité";42;139
"sauver";17;67
"accident";17;95
"arrêter";65;248
"sauf";38;83
"également";27;94
"nouveau";28;140
"pneu";6;45
"risquer";6;16
"lorsqu";8;46
"quelque";12;59
"détruire";19;56
"stabilité";2;14
"économique";13;131
"classe";23;143
"populaire";2;18
"ainsi";18;74
"santé";42;220
"différence";30;71
"prouver";5;25
"efficacité";3;12
"après";104;273
"utilisation";6;18
"condamner";4;11
"capitaliste";4;31
"sacré";10;6
"tempête";5;11
"novembre";6;32
"panneau";5;7
"routier";5;20
"coucher";6;6
"direction";8;18
"allemand";19;55
"excuser";9;16
"voleur";28;21
"naître";8;16
"façon";7;68
"diminuer";12;53
"quasiment";8;25
"disparaître";18;35
"ca";30;94
"50";38;249
"1970";7;4
"poser";6;42
"250";4;7
"minimum";14;103
"fromage";9;11
"puis";43;81
"vacance";23;44
"rentrer";16;30
"boutique";8;12
"commencer";30;106
"utiliser";58;160
"soir";11;19
"5";37;144
"goutte";2;10
"sous";35;128
"langue";5;48
"nuit";10;26
"complet";6;15
"big";4;10
"pharma";4;12
"fibre";8;4
"exceptionnel";5;8
"lourd";9;22
"agriculteur";7;7
"durer";10;10
"7";24;56
"dommage";45;50
"parce_que";71;313
"ajouter";10;40
"bâle";5;15
"emji_visage_souriant_avec_coeurs";10;6
"cff";6;40
"confédération";13;53
"attendre";23;83
"réchauffer";5;15
"moindre";5;27
"mesure";9;99
"souligner";3;10
"métro";5;22
"avenir";5;42
"rentable";4;15
"coup";47;140
"exploitation";7;19
"création";5;17
"riche";42;572
"nôtre";1;10
"construction";8;31
"coûter";39;112
"dizaine";8;18
"centaine";12;27
"milliard";34;142
"cheveu";5;5
"conserver";5;8
"puissance";9;12
"déficit";2;8
"confiance";8;19
"pire";32;75
"route";37;136
"emji_visage_avec_fumée_sortant_des_narines";16;35
"romand";26;29
"ha";9;9
"fm";4;18
"programme";5;15
"tv";14;7
"nom";18;34
"journaliste";7;24
"dernier";40;73
"profiter";17;123
"seconde";7;9
"ouais";7;31
"reconnaître";19;29
"marché";27;122
"harry";10;4
"potter";9;3
"forcément";10;46
"skier";9;6
"mythe";4;13
"sûr";31;93
"joli";19;27
"exemple";34;209
"crise";10;52
"emji_se_rouler_par_terre_de_rire";63;143
"voyager";8;12
"règle";11;47
"extrêmement";3;18
"droit";37;179
"côté";30;104
"toilette";10;3
"resto";6;10
"hôtel";9;18
"appartement";11;32
"maison";37;58
"louer";3;9
"afrique";16;73
"asie";6;29
"amérique";9;66
"sud";24;95
"disposition";4;17
"fois";89;228
"euh";7;12
"écrire";14;39
"peu";104;287
"retard";14;28
"rapport";21;84
"ailleurs";30;136
"fonction";7;31
"principal";8;27
"bidet";10;0
"nettoyage";5;11
"suite";23;37
"principe";7;54
"fruit";15;38
"aliment";6;8
"certaines";18;71
"usage";9;36
"toutes";72;182
"alpe";5;10
"petit";90;223
"mémoire";7;12
"étonnant";6;35
"autorité";6;20
"genevois";20;45
"appel";3;12
"leurs";78;325
"collègue";13;19
"fonds";13;32
"gérer";10;52
"camion";21;26
"date";8;8
"agenda";6;8
"45";6;23
"minute";19;34
"150";3;9
"gros";43;162
"jeunesse";7;14
"moment";15;104
"logistique";2;10
"hiver";7;29
"ski";12;25
"fond";15;25
"voie";14;82
"dos";12;33
"station";6;13
"hier";11;10
"aéroport";6;56
"36";4;9
"galer";2;12
"repartir";5;19
"nettoyer";6;5
"matin";8;27
"haut";35;88
"pression";2;28
"marcher";19;45
"emji_visage_qui_hurle_de_peur";9;6
"clair";11;44
"emji_pouce_vers_le_haut_peau_claire";1;15
"sortir";22;83
"dehors";9;25
"polluer";23;83
"gaspillage";5;17
"emji_homme_avec_la_paume_sur_le_visage_peau_claire";6;15
"5g";2;8
"vivement";8;20
"durant";7;22
"voter";24;156
"référendum";2;8
"moto";21;26
"inverse";8;32
"facile";17;56
"appliquer";8;58
"plutot";2;8
"pleuvoir";3;7
"éviter";20;101
"matériel";14;36
"ceux";44;296
"adapter";8;54
"barre";1;11
"série";2;10
"vive";13;42
"discours";6;29
"planète";23;49
"sortie";9;31
"siècle";6;13
"emji_visage_sans_expression";3;18
"chercher";31;100
"retraité";3;14
"commerce";10;61
"équitable";3;33
"prévoir";19;54
"livre";6;15
"arnaque";5;10
"imaginer";20;85
"aisé";3;18
"objectif";4;29
"nombre";24;129
"féminicides";1;19
"viable";1;10
"emji_pouce_vers_le_haut";19;12
"rôle";5;26
"charger";10;77
"communication";4;11
"tradition";4;6
"batterie";11;4
"g";5;10
"jet";7;30
"pain";23;75
"citer";6;18
"crème";17;6
"restaurateur";1;12
"manquer";27;93
"bcp";13;44
"remettre";8;38
"emploi";14;138
"plein";44;123
"moral";5;10
"emji_visage_retenant_ses_larmes";7;4
"saint";5;6
"marier";6;6
"griller";4;7
"bain";8;2
"touriste";1;12
"parent";17;47
"enfant";48;238
"peinture";4;17
"goût";5;16
"histoire";20;53
"barrer";1;14
"simplement";30;144
"indiquer";2;13
"enlever";13;49
"troisième";9;16
"guerre";24;55
"entendre";12;37
"institution";1;18
"vieux";30;22
"succès";6;23
"festival";8;9
"emji_visage_qui_fait_un_câlin";9;11
"compter";13;63
"talent";6;12
"près_de";6;19
"plusieurs";30;102
"famille";17;95
"destination";4;8
"train";43;137
"mille";2;16
"heureux";8;14
"abordable";5;13
"amende";12;52
"plaindre";12;52
"parfaitement";2;19
"justifier";7;34
"vent";7;9
"assurer";19;75
"gars";22;23
"système";54;283
"vision";4;15
"ramasser";4;14
"derrière";19;40
"comprendre";52;261
"comment";44;168
"thermique";1;21
"jouer";23;61
"consommation";20;79
"service";26;170
"alimenter";6;25
"consommateur";13;46
"suivre";12;60
"industrie";12;39
"bancaire";6;22
"énergétique";6;31
"porte";14;30
"restriction";2;11
"masse";9;40
"nommer";4;8
"expliquer";15;84
"clairement";5;47
"limite";11;57
"croissance";9;19
"ici";28;153
"abus";5;12
"freiner";4;12
"90";19;30
"2000";25;35
"40";20;40
"place";66;273
"concert";4;10
"etait";7;8
"environ";14;61
"chf";22;97
"35";6;18
"entrée";6;23
"coute";2;9
"celles";4;35
"international";7;32
"japon";2;9
"sion";4;16
"magique";5;8
"dame";38;1
"fumeur";20;23
"effort";7;50
"fumer";13;21
"supporter";7;15
"pis";3;12
"exactement";15;52
"réveiller";6;23
"bah";25;94
"interdire";32;112
"consommer";15;67
"lutter";14;19
"addiction";3;14
"meme";13;46
"wagon";11;7
"suffisamment";4;20
"tard";22;33
"subir";6;34
"longtemps";32;51
"mauvais";16;70
"restaurant";17;24
"intérieur";12;13
"dangereux";13;40
"etat";2;36
"décider";13;48
"gras";3;7
"tabac";9;11
"soin";10;76
"citoyen";7;83
"période";6;16
"interdiction";15;26
"quai";6;4
"gare";13;23
"zone";18;88
"pendant";37;154
"tuer";12;35
"prix";90;275
"avantage";8;68
"paquet";17;11
"frs";3;21
"emji_visage_souriant_aux_yeux_rieurs";16;16
"avs";8;48
"recevoir";27;74
"crèche";4;24
"emji_visage_souriant";8;9
"emji_visage_souriant_avec_une_larme";8;20
"32";1;11
"tjs";8;4
"attente";6;14
"13";7;7
"16";12;31
"air";22;37
"long";13;66
"courir";5;16
"moyenne";12;163
"ancien";21;28
"trottinette";6;27
"emji_tête_à_l";5;23
"envers";10;41
"emji_visage_très_souriant_aux_yeux_rieurs";11;14
"comparaison";7;18
"truc";24;60
"polluant";5;7
"pétrole";11;36
"représenter";12;107
"équilibre";5;16
"stratégique";4;9
"vendre";38;106
"légal";5;40
"obliger";13;54
"consultation";2;12
"justice";4;45
"retour";19;49
"portefeuille";3;9
"valise";3;8
"différents";12;19
"maladie";44;187
"mari";6;4
"bonheur";16;15
"catastrophe";7;33
"finir";24;113
"dimanche";7;30
"étonner";16;71
"caisse";99;154
"unique";42;51
"dont";32;114
"autrement";8;20
"choix";21;91
"chacun";15;71
"maintenir";6;43
"assurance";30;300
"ouvert";5;14
"fraude";8;12
"profit";18;46
"prime";25;133
"astronomique";2;9
"capable";9;15
"réserve";9;17
"augmenter";27;242
"proportionnel";2;12
"rendre";36;147
"mafia";5;14
"fort";19;61
"fric";6;28
"emji_visage_déconcerté";8;3
"emji_visage_avec_lunettes_de_soleil";14;9
"photo";10;16
"bâtiment";3;17
"béton";4;8
"recommander";6;5
"compte";33;148
"utile";7;43
"construire";6;37
"gueule";13;13
"quartier";7;16
"tel";7;22
"proche";14;55
"extérieur";3;8
"architecture";3;7
"habiter";29;56
"hôpital";12;65
"annonce";8;13
"appart";2;9
"bouffe";5;10
"chambre";3;14
"pied";24;37
"pourrir";7;8
"coin";6;9
"nez";3;13
"légitime";5;10
"fatiguer";4;7
"crédit";12;10
"effacer";7;6
"dette";6;21
"financier";20;57
"terminer";9;22
"000";20;145
"00";10;1
"taux";22;86
"intérêt";17;78
"digne";4;10
"soutien";6;22
"intéresser";14;29
"vers";27;72
"e_mail";9;2
"remplir";17;43
"renvoyer";5;20
"emji_main_avec_index_pointant_à_droite";22;4
"montant";9;33
"durée";5;16
"remboursement";7;18
"trouver";68;258
"via";10;27
"out";8;15
"menace";1;11
"info";9;54
"majorité";11;120
"droite";14;123
"mec";17;22
"fonctionner";15;115
"politique";24;225
"bin";5;5
"gauche";15;164
"national";21;69
"plupart";10;56
"canton";72;226
"votations";2;8
"ue";4;36
"hein";22;51
"gestion";9;30
"ultra";6;157
"libéral";2;37
"cause";40;150
"choquer";4;12
"excès";4;16
"vitesse";16;54
"présence";6;16
"terrasse";3;17
"chinois";6;25
"virer";10;16
"café";19;29
"emji_visage_souriant_avec_une_goutte_de_sueur";31;61
"épargner";8;11
"maman";10;2
"taxer";4;200
"impression";7;18
"classique";5;10
"arrivée";17;19
"intégrer";4;26
"normal";19;108
"éliminer";14;20
"animal";33;50
"humain";25;90
"pollution";22;53
"destruction";7;11
"écosystème";4;11
"numérique";9;14
"fenêtre";4;22
"garder";24;79
"remplacement";6;6
"extrême";7;53
"pratiquer";9;3
"trafic";4;33
"feu";7;40
"vert";12;43
"st";11;16
"enseigner";8;11
"rolex";4;26
"60";29;36
"radar";5;32
"ligne";15;45
"limitation";3;14
"trajet";6;40
"30";23;95
"totalement";8;61
"chouette";7;7
"volontairement";4;9
"génial";13;7
"véhicule";9;58
"circuler";9;19
"autour";8;37
"parcours";7;7
"2022";6;27
"auto";5;8
"commerçant";3;35
"centre";23;53
"bobo";7;4
"priorité";6;55
"rouge";11;29
"partager";10;29
"refaire";4;13
"expérience";7;14
"sms";10;0
"envoyer";12;50
"emji_visage_boudeur";25;47
"ingénieur";4;13
"total";7;54
"emji_visage_avec_un_monocle";5;16
"progrès";5;15
"inégalité";8;40
"arranger";3;27
"inquiéter";9;40
"courage";9;25
"transformer";9;27
"ok";15;64
"alémanique";2;16
"allemagne";11;28
"argentin";6;26
"magasin";39;49
"préférer";19;65
"avance";3;15
"modèle";9;33
"poste";23;100
"radio";17;21
"traiter";10;31
"monnaie";19;53
"coter";2;10
"emji_sac_plein_d_argent";3;16
"amour";4;6
"actuel";25;68
"bientôt";15;43
"bureau";14;18
"zurich";3;25
"2024";12;26
"mourir";6;16
"verre";43;11
"genre";19;68
"geste";6;12
"vote";9;51
"votation";5;19
"loi";23;134
"anti";7;23
"impôt";18;407
"supplémentaire";6;28
"quelqu_un";14;65
"micro";8;2
"trottoir";13;23
"tourner";24;79
"enquête";2;13
"visiblement";2;16
"précisément";5;22
"montrer";10;80
"visiter";2;8
"cité";6;6
"emji_visage_avec_des_étoiles_à_la_place_des_yeux";5;8
"oeuvre";7;36
"emji_tas_de_crotte";3;16
"effectivement";19;47
"aide";19;87
"emji_mains_en_prière";13;21
"déclaration";2;14
"remonter";5;11
"rajouter";7;14
"chauffeur";12;13
"professionnel";12;51
"boire";9;22
"vin";8;27
"vivant";11;19
"refus";2;12
"terre";27;43
"plutôt";37;177
"déplacer";11;51
"poubelle";17;20
"critiquer";5;31
"décrire";2;14
"semaine";27;73
"chemin";4;15
"rémunérer";3;17
"italien";13;15
"pièce";10;34
"usine";6;15
"6";24;71
"neuchâtel";6;11
"sac";23;15
"taxé";2;24
"arrêt";7;23
"bus";27;50
"mélanger";2;11
"sujet";7;96
"grève";2;32
"réforme";1;14
"emji_visage_roulant_des_yeux";29;63
"eh";3;17
"sûrement";9;35
"certains";54;155
"marketing";2;13
"ceci";9;24
"automobiliste";15;23
"queue";9;13
"emji_visage_anxieux_avec_goutte_de_sueur";1;11
"cycliste";8;29
"réaliste";3;14
"agir";15;100
"circulation";7;35
"acteur";4;15
"pilote";8;7
"intervenir";4;17
"peuple";12;117
"lire";9;51
"bruxelles";6;4
"générer";6;34
"électricité";7;38
"négligeable";5;8
"lors";15;35
"sorte";6;33
"récupérer";9;24
"actionnaire";5;18
"machine";16;38
"frais";12;100
"foutre";15;55
"complètement";5;39
"cest";12;24
"ubs";10;45
"opération";5;9
"faillite";9;15
"client";63;52
"établissement";8;9
"déclarer";4;27
"emji_homme_qui_hausse_les_épaules_peau_claire";2;9
"laquelle";4;21
"lol";12;19
"qualification";1;26
"appeler";44;72
"marque";11;32
"mot";13;20
"réel";13;73
"boulangerie";6;18
"fabriquer";17;47
"blanc";7;20
"migros";51;23
"rayon";15;10
"fameux";8;26
"carte";34;48
"africain";11;38
"discrimination";4;12
"logement";14;74
"occasion";5;17
"or";13;43
"caissier";94;10
"perso";17;38
"admettre";3;14
"décision";4;54
"recette";4;43
"peur";9;43
"connaître";46;115
"noir";5;14
"2023";7;26
"privatisation";1;9
"rapidement";2;21
"sinon";26;73
"souci";6;41
"munition";1;31
"arme";2;39
"équipement";4;7
"aucune";16;122
"relever";3;21
"socialiste";10;58
"réduire";22;117
"chômage";4;72
"pauvreté";9;36
"raciste";3;16
"15";20;85
"analyse";4;13
"quant";5;18
"héritage";5;116
"cas";56;244
"roue";12;20
"certainement";3;18
"emji_explosion";7;9
"internet";15;26
"voyage";15;37
"vol";30;75
"dossier";6;14
"lot";10;5
"compagnie";5;24
"main";26;58
"8";26;48
"vague";5;7
"2004";10;1
"difficile";12;44
"mode";12;19
"infrastructure";6;45
"fournir";5;28
"énormément";10;35
"certaine";5;18
"réseau";9;37
"tester";15;18
"passeport";2;19
"top";13;34
"habit";2;26
"chauffer";4;14
"cool";2;16
"quatre";3;10
"ressembler";8;17
"général";17;49
"appareil";6;8
"vaudois";9;11
"emji_visage_avec_un_léger_sourire";11;10
"fréquent";3;9
"18";6;28
"complémentaire";1;12
"fiable";5;5
"pleurer";10;13
"source";5;67
"creuser";3;10
"découvrir";7;13
"importance";2;11
"prévenir";5;13
"e";17;35
"blague";4;22
"faute";7;51
"prévention";3;26
"baisser";23;199
"made_in";4;11
"chiner";3;7
"apparemment";8;24
"emji_visage_qui_pleure_à_chaudes_larmes";5;35
"the";4;8
"trump";3;71
"retourner";5;16
"parking";3;29
"gratuit";27;68
"liberté";14;44
"frontière";17;68
"douane";3;23
"tpg";3;9
"gaspiller";2;10
"emji_v_de_la_victoire";2;9
"bernard";2;17
"rappeler";20;53
"entreprendre";2;10
"féminin";15;3
"annoncer";4;19
"casque";9;32
"poulet";4;10
"diagnostic";2;13
"investir";10;67
"directeur";7;11
"opposer";1;13
"recyclage";12;10
"relancer";5;5
"insupportable";2;8
"week_end";5;25
"élection";5;34
"trois";9;30
"emji_visage_avec_une_main_sur_la_bouche";3;7
"lobbies";3;11
"fournisseur";5;5
"emji_visage_déguisé";7;8
"employé";30;93
"mail";3;7
"automatique";15;5
"robot";6;15
"revoir";12;24
"emji_visage_avec_un_sourire_malin";5;32
"apprentissage";6;4
"papier";3;27
"probablement";6;19
"avancer";4;14
"actuellement";17;45
"élite";4;8
"réduction";3;44
"responsabilité";8;39
"secteur";3;52
"activité";14;25
"bug";4;15
"soucier";3;14
"infirmier";1;15
"ménage";5;31
"soignant";5;15
"somme";8;24
"compétence";1;18
"égal";4;26
"présent";8;21
"productif";3;9
"salaire";49;351
"baser";3;24
"médian";1;21
"écart";9;24
"accès";13;73
"métier";29;49
"précaire";4;15
"cadre";5;36
"plafond";3;14
"liste";5;28
"quasi";9;30
"envie";6;37
"vendeur";13;17
"rare";6;26
"précarité";4;16
"âge";7;18
"échelle";10;32
"injuste";5;18
"récent";4;7
"selon";20;116
"horaire";7;36
"i";7;8
"parlement";4;17
"noël";14;13
"5000";2;12
"annuel";3;22
"force";9;66
"constater";9;22
"nonante";11;0
"diplôme";5;18
"facilement";5;43
"calme";4;6
"cotiser";4;16
"conducteur";5;29
"montreux";5;15
"température";4;23
"mesurer";5;11
"degré";7;17
"climat";9;81
"salut";4;8
"indépendant";9;22
"météo";3;10
"cependant";8;15
"musique";6;8
"édition";6;9
"22";3;14
"but";24;56
"former";5;19
"volonté";4;12
"emji_applaudissements_peau_claire";2;12
"office";5;16
"uns";6;9
"quelles";7;16
"toucher";21;118
"taille";11;23
"24";8;15
"neuf";6;18
"soleil";25;15
"tour";8;29
"cadeau";24;74
