"";"*rts_a";"*rts_i"
"écouter";246;157
"sage";59;13
"philosophie";40;9
"adulte";129;100
"essence";18;23
"électrique";25;33
"étonnant";34;82
"clairvoyance";14;1
"prophète";10;1
"exactement";202;209
"train";81;203
"emji_visage_qui_pleure";1231;1087
"écologie";18;40
"multinationale";6;26
"gouvernement";37;327
"vélo";56;90
"exister";486;381
"écolo";15;11
"respecter";117;290
"nature";193;83
"employer";12;37
"difficulté";34;43
"étranger";50;254
"travailler";245;504
"entourer";26;26
"responsable";46;140
"billet";24;122
"lieu";149;363
"papier";80;66
"mégot";9;7
"terre";149;233
"élire";8;59
"rappeler";234;180
"herbe";12;7
"hahaha";59;29
"remarquer";84;60
"impeccable";8;3
"planter";36;18
"bâton";18;15
"inclure";9;28
"emji_visage_stupéfait";24;6
"emji_visage_avec_une_main_sur_la_bouche";119;38
"alexandre";15;0
"simplement";167;318
"rôle";38;93
"mètre";15;18
"véritable";35;54
"intelligence";85;41
"bras";46;45
"plan";35;105
"génie";44;31
"légende";49;13
"retour";86;109
"touchant";262;9
"certainement";84;85
"emji_visage_souriant";154;40
"écrire";214;338
"sous_titre";10;0
"triste";243;246
"ca";355;406
"essayer";154;269
"effort";46;102
"berger";7;7
"hyper";52;51
"sensible";21;24
"différence";116;170
"emji_coeur_noir";21;15
"adorable";188;6
"emji_couronne";32;8
"face";79;198
"culturel";22;47
"arrêter";300;819
"qqn";10;28
"boisson";5;7
"faux";150;365
"important";104;222
"préciser";27;47
"sujet";157;442
"mr";50;24
"georges";176;1
"emji_étincelles";280;138
"niveau";286;397
"élevé";59;78
"post";27;113
"projet";27;138
"emji_feuille";24;18
"logique";62;190
"inventer";101;49
"conclusion";14;36
"chef";37;55
"oeuvre";22;58
"génération";273;92
"traiter";92;184
"changement";76;111
"climat";20;104
"vivement";33;54
"ouiii";17;8
"sérieux";84;136
"emji_visage_de_clown";78;133
"courir";73;88
"richesse";30;89
"perte";34;97
"août";23;11
"joyeux";66;43
"fête";113;55
"national";72;132
"helvétique";9;14
"emji_visage_de_geek";55;64
"emji_cotillons";36;26
"garçon";214;22
"sembler";174;221
"information";44;186
"mémoire";45;46
"revenir";231;316
"hahah";11;6
"seulement";151;281
"nord";58;58
"résultat";77;149
"identique";11;11
"férié";11;7
"façon";196;235
"politiquement";7;25
"diviser";16;35
"habiter";109;101
"peuple";46;492
"accorder";13;36
"enrichir";12;45
"immigration";20;90
