"";"X.rts_a";"X.rts_i"
"côté";0,94;1,08
"vert";0,16;0,19
"monter";0,25;0,34
"km";0,09;0,12
"h";0,2;0,23
"maquiller";0,07;0,02
"emji_pouce_vers_le_haut_peau_moyennement_claire";0,22;0,07
"évidemment";0,33;0,46
"groupe";0,35;0,68
"travailleur";0,07;0,24
"social";0,57;1,37
"jour";2,96;2,47
"jeune";2,66;1,1
"piste";0,12;0,12
"réaliser";0,17;0,18
"gris";0,05;0,04
"vaud";0,24;0,24
"média";0,12;0,66
"sensibiliser";0,02;0,02
"politicien";0,06;0,31
"urgence";0,05;0,11
"proposer";0,2;0,44
"espace";0,17;0,25
"entièrement";0,13;0,13
"consacrer";0,02;0,06
"montrer";0,58;1,1
"lausanne";0,51;0,6
"for";0,06;0,06
"ever";0,05;0,01
"flic";0,1;0,22
"indignation";0,02;0,06
"boguet";0,05;0
"conduire";0,16;0,19
"genève";0,99;1,23
"début";0,81;0,41
"étude";0,27;0,82
"comparer";0,33;0,34
"plat";0,14;0,07
"besoin";1,15;1,82
"manière";0,51;0,86
"apprécier";0,29;0,09
"pays";1,31;5,44
"habitant";0,09;0,31
"grèce";0,02;0,02
"turquie";0,09;0,08
"côte";0,05;0,04
"rencontre";0,11;0,04
"voyage";0,22;0,23
"destination";0,02;0,04
"recommander";0,07;0,06
"donner";2,27;2,68
"goût";0,28;0,21
"hasard";0,15;0,19
"découverte";0,07;0,05
"é";0,06;0,04
"idole";0,03;0,01
"frisson";0,08;0,02
"intéressant";0,64;0,42
"entendre";1,52;0,74
"regard";0,3;0,11
"homme";4,7;2,49
"réflexion";0,31;0,21
"urbain";0,02;0,03
"cheveu";0,47;0,1
"vent";0,11;0,1
"effet";0,42;0,71
"perle";0,05;0,02
"remonter";0,15;0,09
"lol";0,54;0,28
"naître";0,85;0,36
"fou";0,92;0,58
"image";0,61;0,58
"problème";1,3;3,21
"boy";0,13;0,02
"carrément";0,17;0,12
"éclater";0,09;0,06
"carter";0,04;0
"huile";0,14;0,03
"bagnole";0,05;0,03
"etait";0,53;0,22
"considérer";0,23;0,38
"réseau";0,48;0,5
"passion";0,23;0,07
"témoignage";0,54;0,14
"perdre";1,01;1,18
"suffire";0,33;0,69
"taper";0,21;0,2
"nom";1,46;0,58
"facebook";0,02;0,02
"emji_cornes_avec_les_doigts";0,17;0,08
"street";0,03;0,01
"premier";1,42;1,23
"minute";0,23;0,22
"fils";0,47;0,18
"suivre";0,44;0,7
"roi";0,27;0,13
"roller";0,07;0,03
"mère";1,04;0,28
"trembler";0,02;0,01
"descendre";0,1;0,13
"permettre";0,65;1,34
"lien";0,24;0,44
"concerner";0,2;0,64
"mort";0,81;1,12
"affronter";0,03;0,05
"fantastique";0,15;0,04
"emji_fusée";0,03;0,03
"emji_mains_levées_peau_moyennement_claire";0,09;0,06
"emji_v_de_la_victoire_peau_moyennement_claire";0,02;0,03
"bus";0,18;0,2
"orange";0,12;0,05
"drôle";0,6;0,3
"rip";0,08;0,22
"partie";0,93;1,24
"redescendre";0,02;0,04
"bord";0,1;0,13
"lac";0,47;0,12
"recyclage";0,07;0,04
"mignon";1,01;0,04
"naïf";0,07;0,09
"réchauffement";0,12;0,18
"climatique";0,17;0,42
"grippe";0,03;0,04
"emji_visage_avec_masque";0,05;0,01
"rassurant";0,03;0,03
"repos";0,06;0,03
"nourrir";0,93;0,25
"soigner";0,18;0,32
"politique";0,28;1,96
"visionnaire";0,18;0,01
"écouter";1,02;0,53
"sage";0,25;0,04
"philosophie";0,17;0,03
"adulte";0,54;0,34
"essence";0,07;0,08
"électrique";0,1;0,11
"étonnant";0,14;0,28
"clairvoyance";0,06;0
"prophète";0,04;0
"exactement";0,84;0,71
"train";0,34;0,69
"emji_visage_qui_pleure";5,11;3,67
"écologie";0,07;0,14
"multinationale";0,02;0,09
"gouvernement";0,15;1,11
"vélo";0,23;0,3
"exister";2,02;1,29
"écolo";0,06;0,04
"respecter";0,49;0,98
"nature";0,8;0,28
"employer";0,05;0,13
"difficulté";0,14;0,15
"étranger";0,21;0,86
"travailler";1,02;1,7
"entourer";0,11;0,09
"responsable";0,19;0,47
"billet";0,1;0,41
"lieu";0,62;1,23
"papier";0,33;0,22
"mégot";0,04;0,02
"terre";0,62;0,79
"élire";0,03;0,2
"rappeler";0,97;0,61
"herbe";0,05;0,02
"hahaha";0,25;0,1
"remarquer";0,35;0,2
"impeccable";0,03;0,01
"planter";0,15;0,06
"bâton";0,07;0,05
"inclure";0,04;0,09
"emji_visage_stupéfait";0,1;0,02
"emji_visage_avec_une_main_sur_la_bouche";0,49;0,13
"alexandre";0,06;0
"simplement";0,69;1,08
"rôle";0,16;0,31
"mètre";0,06;0,06
"véritable";0,15;0,18
"intelligence";0,35;0,14
"bras";0,19;0,15
"plan";0,15;0,35
"génie";0,18;0,1
"légende";0,2;0,04
"retour";0,36;0,37
"touchant";1,09;0,03
"certainement";0,35;0,29
"emji_visage_souriant";0,64;0,14
"écrire";0,89;1,14
"sous_titre";0,04;0
"triste";1,01;0,83
"ca";1,48;1,37
"essayer";0,64;0,91
"effort";0,19;0,34
"berger";0,03;0,02
"hyper";0,22;0,17
"sensible";0,09;0,08
"différence";0,48;0,57
"emji_coeur_noir";0,09;0,05
"adorable";0,78;0,02
"emji_couronne";0,13;0,03
"face";0,33;0,67
"culturel";0,09;0,16
"arrêter";1,25;2,77
"qqn";0,04;0,09
"boisson";0,02;0,02
"faux";0,62;1,23
"important";0,43;0,75
"préciser";0,11;0,16
"sujet";0,65;1,49
"mr";0,21;0,08
"georges";0,73;0
"emji_étincelles";1,16;0,47
"niveau";1,19;1,34
"élevé";0,25;0,26
"post";0,11;0,38
"projet";0,11;0,47
"emji_feuille";0,1;0,06
"logique";0,26;0,64
"inventer";0,42;0,17
"conclusion";0,06;0,12
"chef";0,15;0,19
"oeuvre";0,09;0,2
"génération";1,13;0,31
"traiter";0,38;0,62
"changement";0,32;0,38
"climat";0,08;0,35
"vivement";0,14;0,18
"ouiii";0,07;0,03
"sérieux";0,35;0,46
"emji_visage_de_clown";0,32;0,45
"courir";0,3;0,3
"richesse";0,12;0,3
"perte";0,14;0,33
"août";0,1;0,04
"joyeux";0,27;0,15
"fête";0,47;0,19
"national";0,3;0,45
"helvétique";0,04;0,05
"emji_visage_de_geek";0,23;0,22
"emji_cotillons";0,15;0,09
"garçon";0,89;0,07
"sembler";0,72;0,75
"information";0,18;0,63
"mémoire";0,19;0,16
"revenir";0,96;1,07
"hahah";0,05;0,02
