"";"";"";"";"emji_visage_souriant_avec_coeurs";""
"79";"génération";"0.09760536206173";"-0.488657281601331";"0.846911393791737";"235"
"80";"élevage";"-0.339951611302005";"-0.214126723608798";"0.846468267461879";"236"
"81";"travailler";"-0.430372028247069";"-0.105444357241929";"0.846404108048255";"237"
"82";"sentir";"-0.292229140544668";"-0.100304248384518";"0.846277007437721";"238"
"83";"autorisation";"-0.985999901664713";"2.15060550659776";"0.84624025790017";"240"
"84";"marché";"-0.682671852436274";"-0.0190175424558821";"0.845233198749611";"243"
"85";"soldat";"-0.950909277555612";"2.32120498400825";"0.845003970971188";"244"
"86";"vétérinaire";"-0.279431507894371";"-0.150263168400162";"0.844999605694628";"245"
"87";"climatique";"-0.749875772903889";"0.0306753334321637";"0.84496874420453";"246"
"88";"coûter";"-0.633588994983308";"-0.0252487225605442";"0.844806822899576";"247"
"89";"répondre";"-0.325750063914465";"-0.0744301235063651";"0.843853974392808";"249"
"90";"instinct";"-0.169904218064515";"-0.319249100532796";"0.843679667884591";"250"
"91";"augmentation";"-0.770357698565594";"0.05231443611599";"0.843416939146522";"251"
"92";"toxique";"-0.501848375221549";"0.263920128186931";"0.843071980780232";"253"
"93";"poulailler";"-0.0947112014099536";"-0.410491232553014";"0.842801841223817";"255"
"94";"vivre";"-0.177111292528554";"-0.0565640536564127";"0.842568349686893";"257"
"95";"avis";"-0.428462828461816";"0.178718110248116";"0.8425103828749";"258"
"96";"domination";"-0.452717795328544";"0.487437628684723";"0.84250175383984";"259"
"97";"emji_trèfle_à_quatre_feuilles";"3.98728681976447";"1.59163552077602";"0.842422366717286";"260"
"98";"pauvre";"-0.248671210737892";"-0.326466853490032";"0.842176489977099";"262"
"99";"terrorisme";"-1.03863411116586";"2.46014256354053";"0.842118421647047";"263"
"100";"acheter";"-0.476329873387482";"-0.136958549399172";"0.841962489907605";"264"
"101";"végétarien";"-0.247868742534066";"-0.289607179982162";"0.841934470923174";"265"
"102";"calcul";"-0.0735007968021446";"-0.35569915472611";"0.841870108473431";"266"
"103";"colonisation";"-1.04721010437695";"2.42058363717664";"0.84176838737778";"267"
"104";"propos";"-0.32029497681708";"0.2693935094415";"0.84151662259014";"269"
"105";"fiscal";"-0.83037460113232";"0.114746634233546";"0.841509922398211";"270"
"106";"compagnie";"-0.103833570829218";"-0.210240003756444";"0.841500481218674";"271"
"107";"bombardement";"-1.14017280385266";"2.84704323536562";"0.841095221125022";"274"
"108";"refuge";"-0.285472167141356";"-0.0431712388429469";"0.840910356738614";"275"
"109";"battre";"-0.366089382430862";"0.00173782222070161";"0.840832593905013";"276"
"110";"famille";"0.0431334573993638";"0.0656164391837087";"0.839826752971168";"278"
"111";"sexuel";"-0.45128871605507";"0.331946144695253";"0.839770918038426";"279"
"112";"emji_notes_de_musique";"4.14276935933209";"1.56866536580094";"0.839497732940225";"280"
"113";"empoisonner";"-0.405130844651898";"0.0242226749419511";"0.839276728124623";"282"
"114";"route";"-0.56771612327082";"-0.0105398617639282";"0.839055012682605";"283"
"115";"faux";"-0.507753630580132";"0.147585665516225";"0.839040800154271";"284"
"116";"adulte";"-0.0204765315271743";"-0.283460947009999";"0.838908826676879";"285"
"117";"genre";"-0.265440776452145";"-0.0934325805328286";"0.838782132138583";"286"
"118";"argument";"-0.47099105846153";"0.145642155540589";"0.838727819976733";"287"
"119";"employé";"-0.733638721635674";"0.0412945428603221";"0.838630565675701";"288"
"120";"dissociation";"-0.390730985123461";"0.299413130734734";"0.838607724112307";"289"
"121";"vraiment";"-0.0637514321814384";"-0.0411692231861379";"0.838599501149484";"290"
"122";"cours";"-0.062003138461639";"-0.209437083810416";"0.838404992547421";"291"
"123";"éducation";"-0.0950395491402355";"-0.230359127407484";"0.838177490576009";"292"
"124";"ultra";"-0.62932112024663";"0.0487785313846113";"0.837913645139285";"293"
"125";"héritage";"-0.637178682182554";"-0.00845665642940902";"0.837846846256113";"294"
"126";"voter";"-0.634486061270475";"0.248954923824307";"0.837209921950609";"295"
"127";"prostitution";"-0.335096499046492";"0.0657916034223704";"0.837065157197716";"296"
"128";"chf";"-0.726690961198436";"0.0580510391158543";"0.837001606892449";"297"
"129";"taux";"-0.757191105659349";"0.0827603134278493";"0.83687541994445";"298"
"130";"emji_mains_en_prière_peau_claire";"2.92352538069599";"1.04196159099665";"0.836576550777188";"299"
"131";"lausanne";"-0.243558747543455";"-0.170663300653338";"0.836460109562904";"300"
"132";"poser";"-0.355994346563724";"-0.12330169259495";"0.835910186234419";"303"
"133";"risque";"-0.658922626069626";"0.0929000143243421";"0.835872116962094";"304"
"134";"train";"-0.644211238224769";"0.0752067679557093";"0.835797298152219";"305"
"135";"sport";"0.120222058393051";"-0.373811062194378";"0.835750092254537";"306"
"136";"produire";"-0.680956744773827";"0.0389920290963604";"0.835735169099785";"307"
"137";"accident";"-0.766852783168562";"0.127271986162457";"0.83501601516606";"310"
"138";"emji_mains_qui_forment_un_coeur";"3.57910838022714";"1.3956279413015";"0.834862925932285";"311"
"139";"économique";"-0.801100023800674";"0.505181316346077";"0.834593497002287";"312"
"140";"sagesse";"3.52023014575274";"1.41040950954262";"0.834496445737374";"313"
"141";"domestiquer";"-0.168638153509615";"-0.357918592072824";"0.83448446660635";"315"
"142";"monde";"-0.328240314293825";"0.157893997297727";"0.834008143871025";"316"
"143";"avion";"-0.740528331201036";"0.0243532792268684";"0.833862160901418";"318"
"144";"emji_coeur_brisé";"2.93128183581022";"1.33851034731549";"0.83343202888318";"322"
"145";"patriarcat";"-0.183425018062603";"0.0112817175499207";"0.83281144898526";"327"
"146";"milliardaire";"-0.80211294800346";"0.213495205632068";"0.832688206060988";"328"
"147";"aller";"-0.323163801619063";"-0.133856595409185";"0.832624554237661";"329"
"148";"sécurité";"-0.766872469657642";"0.523259332545269";"0.831842763661205";"330"
"149";"patriarcal";"-0.376841777062346";"0.18112348302867";"0.831716272159028";"331"
"150";"mental";"-0.111435832363306";"-0.235778275969757";"0.831649574793915";"332"
"151";"céréale";"-0.272127209819762";"-0.126865130475372";"0.831547853698264";"333"
"152";"projet";"-0.465336086048675";"0.260115231416021";"0.831351822325307";"334"
"153";"patron";"-0.559140154027229";"0.148255913303858";"0.831237512990274";"335"
"154";"billet";"-0.419299887307668";"0.0561466767214482";"0.830934075510332";"336"
"155";"emji_coeur_étincelant";"3.88322329044237";"1.65597109227507";"0.830659875231536";"339"
"156";"maison";"-0.0250137424174814";"-0.683081935628926";"0.83063094258457";"340"
"157";"race";"-0.0637557728167116";"-0.0312631039033204";"0.830497953926582";"341"
"158";"soumettre";"-0.54132601145106";"0.427966781787099";"0.830474300218711";"342"
"159";"passer";"-0.264439715526221";"-0.0828303765679387";"0.830456433040234";"343"
"160";"cash";"-0.727266253352477";"0.0820410083121083";"0.830456230004115";"344"
"161";"changer";"-0.176900973754781";"-0.169658261901467";"0.830387197723633";"345"
"162";"envie";"-0.0863357415236087";"-0.462608514647418";"0.830326591442092";"346"
"163";"misogyne";"-0.420934566573852";"0.24618477151598";"0.830303445324519";"347"
"164";"écouter";"0.0798462132085264";"-0.17170405411992";"0.83020781531244";"349"
"165";"logement";"-0.773014217164726";"0.0655820510842638";"0.830128123635707";"350"
"166";"vélo";"-0.535773664826811";"-0.216963299803819";"0.83005147750076";"351"
"167";"fouine";"-0.0947112014099537";"-0.410491232553014";"0.829956253560919";"352"
"168";"vidéo";"0.00303213757421147";"-0.320419934994031";"0.829857374970935";"353"
"169";"chômage";"-0.780332448308338";"0.0401635362940904";"0.829723168096233";"355"
"170";"training";"0.101045493109701";"-0.940203028270141";"0.829716975494602";"356"
"171";"article";"-0.571870358964328";"0.326719041769865";"0.829657891983954";"357"
"172";"équilibré";"-0.224263678278831";"-0.362653205618939";"0.829517187953443";"360"
"173";"tristesse";"0.422705156990764";"-0.125610001505481";"0.829494143353929";"362"
"174";"mariage";"-0.132718535107574";"-0.143295674415851";"0.829198522764571";"363"
"175";"connaître";"-0.0948627932017297";"-0.406277411618267";"0.829190604355928";"364"
"176";"partir";"-0.493858053492925";"0.0816370589840849";"0.829097004705039";"366"
