"";"X.rts_a";"X.rts_i"
"parler";1,73;0,32
"autorité";0,09;1,23
"policier";0,43;0,84
"vaudois";2,25;2,01
"lac";1,21;0,32
"accueillir";0,61;1,3
"haut";1,3;1,17
"couleur";0,61;0,39
"pierre";0,61;0,26
"radio";1,9;0,39
"vert";0,69;0,91
"geste";0,35;0,52
"coeur";1,21;0,65
"saint";1,21;1,3
"journée";2,34;1,23
"lever";0,86;0,32
"passage";0,78;0,52
"niveau";0,17;1,43
"habitant";0,61;1,3
"geneve";1,82;0
"participer";0,61;1,17
"concours";1,04;0,45
"artiste";0,78;1,56
"plage";0,78;0,19
"premier";3,55;8,31
"tenter";0,52;0,45
"chaussure";0,69;0,13
"témoigner";1,04;0,45
"changement";0,52;0,97
"village";1,3;0,91
"soleil";2,68;0,19
"santé";1,47;2,6
"frère";0,26;0,45
"carte";0,78;0,71
"terminer";0,26;0,45
"national";0,86;3,05
"florilège";1,04;0
"revoir";0,52;0,32
"final";0,35;0,78
"euro";0,09;1,1
"féminin";0,78;0,39
"café";0,78;0,32
"pain";0,78;0,32
"difficile";0,86;0,71
"cas";0,95;1,36
"chaud";0,35;0,45
"vache";1,04;0
"montagne";1,82;0,19
"passion";2,42;0,06
"valaiswallis";0,95;0
"paléo";0,78;0,06
"festival";2,42;0,52
"new";0,43;0,71
"york";0,35;0,58
"fois";1,56;1,82
"marque";0,26;0,97
"oublier";1,3;0,06
"homme";3,55;2,47
"tell";0,69;0,13
"évoquer";1,82;0,52
"sentiment";0,35;0,39
"fermer";0,35;1,17
"montreux";0,86;0,19
"the";0,26;1,3
"installer";0,86;0,71
"amateur";0,52;0,52
"football";1,9;0,71
"juin";0,78;0,65
"départ";0,43;0,65
"stress";0,61;0,32
"servir";1,04;0,26
"musique";2,68;0,58
"chaîne";0,26;0,65
"milieu";0,86;0,58
"scolaire";0,61;0,39
"bois";0,78;0,39
"besoin";0,17;0,78
"pied";0,69;0,32
"route";0,95;0,45
"rire";1,9;0
"jouer";0,95;0,71
"chemin";0,78;0,06
"physique";0,69;0,45
"important";0,69;1,17
"sportif";0,69;0,39
"prêt";1,73;0,19
"édition";0,61;1,17
"dérouler";0,17;0,58
"vendredi";0,61;2,66
"période";0,35;0,84
"examen";0,52;0,26
"réussir";0,78;0,32
"soin";0,35;0,71
"étudiant";0,35;0,65
"sol";0,52;0,26
"aider";0,43;0,58
"jardin";0,78;0,26
"position";0,09;0,71
"tabac";1,12;0,39
"expliquer";0,52;1,43
"cacher";0,35;0,45
"considérer";0,09;0,65
"grave";0,26;0,78
"accident";0,26;1,3
"janvier";0,17;1,23
"vd";0,09;0,71
"genevois";1,73;0,84
"immense";0,52;0,26
"naître";0,69;0,78
"culte";1,64;0,19
"europe";0,43;2,53
"noir";0,43;0,52
"vidéo";0,35;1,04
"demander";0,61;1,95
"sexuel";0,52;1,56
"romands";1,04;0,58
"roi";0,78;0,32
"siècle";0,78;0,52
"inspirer";0,52;0,65
"nuit";0,95;1,88
"printemps";0,86;0,32
"mois";1,12;2,47
"tôt";0,09;0,71
"remporter";0,43;1,69
"nature";1,99;0,39
"poursuivre";0,26;0,58
"chien";1,64;0,26
"maman";0,61;0,19
"mère";0,78;0,19
"total";0,26;0,45
"abri";0,86;0,32
"renoncer";0,17;0,58
"mauvais";0,52;0,26
"menace";0,35;0,45
"amende";0,17;0,58
"condition";0,35;1,3
"objet";0,43;0,65
"projet";0,26;3,31
"club";0,86;0,26
"emblématique";0,35;0,78
"genevoise";0,61;0,58
"identifier";0,09;0,97
"adepte";1,12;0,06
"comprendre";0,69;0,71
"chose";1,56;0,32
"région";0,43;1,49
"week_end";0,35;0,97
"entraîner";0,43;0,71
"arbre";0,52;0,32
"choix";0,52;0,26
"tempête";0,35;0,71
"vent";0,43;0,45
"violent";0,17;0,58
"spectaculaire";0,26;0,45
"pluie";0,69;0,52
"pousser";0,52;0,52
"problème";0,43;0,45
"magasin";0,61;0,52
"venir";1,82;0,71
"marché";0,35;0,91
"boîte";0,61;0,32
"possible";0,43;0,58
"vente";0,35;1,17
"franc";0,69;3,77
"exemple";0,43;0,45
"comportement";0,26;0,45
"automobile";0,95;0,19
"voisin";0,52;0,26
"français";1,56;2,01
"organiser";0,52;0,97
"ancien";0,61;1,95
"unique";0,43;1,04
"coup";0,69;0,58
"delémont";0,09;0,58
"espérer";0,43;0,45
"moitié";0,17;0,97
"droit";1,3;1,82
"vote";0,35;0,84
"chef";0,43;0,39
"produire";0,43;0,91
"contenir";0,09;0,91
"mener";0,17;1,49
"enquête";0,26;2,4
"domicile";0,35;0,58
"permettre";1,04;2,86
"ménage";0,78;0,32
"tsr";1,21;0,06
"risque";0,35;1,49
"aérien";0,26;0,78
"véhicule";0,26;0,45
"incroyable";0,52;0,32
"voyageur";0,52;0,26
"chanteur";1,3;0,32
"phénomène";0,52;1,17
"2000s";3,03;0
"air";0,86;0,39
"particulier";0,61;0,26
"snow";0,95;0
"hiver";2,42;1,04
"adulte";0,17;0,65
"réunir";0,69;0,91
"défi";0,43;0,52
"preuve";0,52;0,26
"déclarer";0,35;0,78
"plateforme";0,09;0,71
"site";0,35;1,04
"géant";0,17;1,43
"information";0,35;0,65
"culture";0,35;0,65
"évolution";0,43;0,78
"impact";0,09;0,91
"laisser";1,56;0,78
"étape";0,61;0,58
"téléphone";0,78;0,06
"mercredi";0,17;2,4
"tester";0,09;0,58
"estimer";0,26;1,17
"reconnaître";0,26;0,52
"futur";0,52;0,65
"fonds";0,43;0,78
"fondue";1,56;0,13
"membre";0,17;1,56
"lutte";0,35;0,58
"neuchâtelois";0,43;0,32
"sembler";1,21;0,32
"soldat";0,95;0,32
"sortie";0,52;0,52
"militaire";0,52;0,58
"juillet";0,52;0,39
"rapport";0,43;1,82
"révéler";0,26;3,44
"banque";0,61;0,32
"officiel";0,26;1,23
"joie";0,86;0,13
"collection";0,35;0,39
"allemand";0,52;0,58
"accès";0,17;0,71
"nouvel";0,43;0,91
"conseiller";0,35;1,17
"message";0,52;0,39
"voix";0,26;1,17
"mars";0,43;0,52
"glace";0,61;0,19
"rouge";0,78;0,91
"recevoir";0,26;1,3
"chance";1,21;0,13
"face";1,21;3,57
"aide";0,52;1,17
"midi";0,35;0,71
"remonter";0,52;0,52
"électronique";0,09;0,65
"organisation";0,17;1,23
"moyen";0,52;0,45
"internet";0,86;0,26
"micro";0,52;0,26
"ami";0,78;0,06
"accord";0,09;1,56
"annonce";0,69;1,17
"président";0,52;2,66
"place";1,82;2,21
"breakdance";0,95;0
"meteo";0,86;0
"ciel";0,43;0,32
"rare";0,26;0,52
"rappeler";0,69;0,19
"agent";0,43;0,39
"figure";0,52;0,91
"appel";0,35;0,78
"1er";0,17;1,49
"débuter";0,09;0,58
"retro";1,99;0
"réalisateur";0,78;0,13
"aventure";0,86;0,32
"cave";0,17;0,52
"transporter";0,26;0,45
"importance";0,09;0,58
"reprendre";0,43;0,78
"dévoiler";0,26;0,84
"prix";1,12;2,79
"obtenir";0,09;0,71
"étranger";0,17;0,78
"célébrer";0,35;0,52
"double";0,35;0,65
"octobre";0,17;2,53
"info";0,52;0,26
"envie";0,86;0,06
"champignon";0,52;0,39
"nu";0,61;0,26
"interroger";0,61;0,71
"professeur";0,52;0,39
"série";0,52;0,52
"complexe";0,17;0,58
"origine";0,17;0,58
"bernois";0,17;0,91
"tourner";0,43;0,45
"suite";0,35;2,08
"victoire";0,35;0,97
"technique";0,61;0,19
"actualité";0,52;0,45
"swiss";0,61;0,52
"contrôle";0,26;0,58
"olympique";0,69;0,19
"nouvelle";0,86;2,6
"lumière";0,35;0,45
"championnat";0,78;0,32
"berner";0,17;1,49
"campagne";0,61;1,3
"explorer";0,09;0,65
"concevoir";0,09;0,71
"gauche";0,26;1,1
"droite";0,17;0,78
"zurich";0,43;1,23
"summer";0,95;0
"découverte";0,43;0,84
"extrême";0,17;0,52
"adopter";0,35;0,71
"côté";0,61;0,52
"dédier";0,35;0,52
"groupe";0,43;2,01
"comité";0,09;0,71
"billet";0,43;1,17
"célèbre";0,52;1,49
"victime";0,17;2,4
"minute";0,69;0,97
"européen";0,09;1,82
"prestigieux";0,09;0,58
"toucher";0,17;1,49
"susciter";0,43;1,17
"débat";0,35;0,78
"patient";0,26;0,58
"cause";0,17;0,97
"paysan";1,12;0
"annoncer";0,26;5,39
"direct";0,17;0,52
"seulement";0,52;1,36
"désormais";0,26;1,88
"but";0,09;0,78
"rejoindre";0,43;0,52
"joueur";0,61;0,84
"frapper";0,17;0,91
"nombre";0,09;1,75
"repas";0,69;0,26
"sud";0,09;0,65
"france";0,86;1,82
"pollution";0,78;0,13
"environnement";0,43;0,71
"communauté";0,35;0,58
"expérience";0,78;0,78
"météo";0,61;0,19
"rétro";0,95;0
"salaire";0,26;0,45
"titre";0,26;1,36
"argent";0,69;0,52
"tendance";0,26;0,71
"conflit";0,09;0,71
"privé";0,26;0,65
"zone";0,09;1,04
"patrimoine";0,17;0,52
"ouverture";0,09;0,58
"mardi";0,09;2,92
"avril";0,43;0,65
"scientifique";0,17;0,65
"application";0,17;0,65
"enregistrer";0,09;0,97
"centaine";0,26;0,65
"grève";0,35;0,45
"alimentaire";0,09;1,04
"provoquer";0,17;0,84
"naissance";0,17;0,71
"exercice";0,52;0,39
"rapide";0,09;0,65
"danger";0,35;0,97
"70s";3,81;0
"60s";3,2;0
"90s";5,1;0,06
"cinema";0,86;0
"propriétaire";0,09;0,58
"représenter";0,26;0,78
"urgence";0,09;0,91
"romain";0,09;0,65
"plaindre";0,09;0,58
"musée";0,17;0,78
"accompagner";0,52;0,45
"sauvage";0,35;0,45
"apporter";0,17;0,58
"gros";0,26;0,52
"pratique";0,43;0,45
"température";0,17;0,71
"attaque";0,26;1,36
"réserver";0,35;0,45
"manifester";0,17;0,71
"tournée";0,43;0,39
"climat";0,26;0,65
"langue";0,78;0,32
"italien";0,17;0,65
"album";0,26;0,52
"prochain";0,17;2,14
"population";0,35;2,01
"ère";0,17;1,04
"historique";0,09;0,84
"ssr";0,09;0,65
"pièce";0,43;0,45
"guy";0,35;0,52
"situation";0,17;1,3
"promettre";0,09;0,58
"université";0,09;1,04
"vol";0,43;0,91
"moyenne";0,09;0,84
"politique";0,35;1,56
"parcours";0,26;0,45
"rôle";0,35;1,04
"bilan";0,09;0,71
"local";0,09;0,97
"concerner";0,17;1,49
"augmentation";0,09;0,71
"assurance";0,26;0,52
"maladie";0,26;0,97
"skieur";0,26;0,52
"professionnel";0,43;0,91
"septembre";0,17;0,97
"centre";0,26;1,82
"social";0,17;2,73
"décrire";0,26;0,58
"seventies";1,12;0
"tomber";0,52;0,32
"performance";0,09;0,58
"fribourgeois";0,26;0,52
"yodel";0,26;0,45
"épisode";0,69;0,13
"battre";0,35;0,97
"violence";0,09;1,95
"japonais";0,52;0,39
"humain";0,26;1,3
"entreprise";0,09;1,36
"remplacer";0,17;0,58
"millier";0,09;0,91
"inquiéter";0,09;0,78
"siège";0,09;0,65
"drogue";0,35;0,39
"système";0,26;0,97
"incendie";0,26;0,45
"fonction";0,09;0,58
"décider";0,26;0,97
"canada";0,26;0,45
"chiffre";0,09;1,75
"degré";0,09;0,91
"député";0,09;0,58
"juger";0,17;1,3
"employé";0,26;0,45
"charger";0,35;0,78
"skiing";0,95;0
"produit";0,17;0,97
"majorité";0,26;1,1
"bâle";0,17;0,97
"emji_flocon";0,09;1,17
"mètre";0,09;1,36
"sentir";0,43;0,71
"qualifié";0,09;0,58
"test";0,17;0,58
"entrée";0,17;0,52
"milliard";0,09;1,3
"dépasser";0,09;0,58
"japon";0,52;0,32
"tokyo";0,86;0,19
"prévention";0,26;0,52
"protection";0,26;0,84
"lune";0,52;0,32
"crise";0,09;1,23
"résultat";0,17;1,36
"consommation";0,26;0,91
"quitter";0,17;0,91
"utiliser";0,17;1,43
"coût";0,09;0,65
"deuxième";0,17;1,04
"élevé";0,09;1,1
"confédération";0,09;0,58
"majeur";0,09;1,43
"perturber";0,17;0,52
"justice";0,09;1,04
"élection";0,09;1,1
"élire";0,09;0,97
"soutien";0,09;1,23
"essentiel";0,17;0,78
"régime";0,17;0,71
"accepter";0,09;0,84
"troisième";0,17;0,58
"tenir";0,17;0,84
"entrer";0,09;0,78
"traitement";0,09;0,71
"activité";0,17;0,65
"office";0,09;1,17
"prison";0,26;1,17
"ferroviaire";0,17;0,91
"économie";0,09;1,04
"initiative";0,09;2,79
"critique";0,09;1,17
"loi";0,09;0,91
"cantonal";0,09;1,23
"imposer";0,09;0,65
"trafic";0,09;0,84
"unir";0,09;5,07
"mesure";0,09;1,75
"bienne";0,09;0,58
"agir";0,17;1,3
"établir";0,09;0,65
"artificiel";0,09;0,58
"emji_drapeau_royaume_uni";0;0,65
"emji_stéthoscope";0;0,65
"emji_montagne_enneigée";0;0,78
"naturel";0;1,17
"ukraine";0;0,91
"souligner";0;2,47
"communiqué";0;0,84
"emji_étincelles";0;0,78
"inclure";0;1,36
"relation";0;0,78
"positif";0;0,65
"précédent";0;1,36
"emji_sac_plein_d_argent";0;1,1
"publier";0;2,27
"emji_livres";0;0,78
"emji_drapeau_france";0;2,47
"emji_voiture";0;0,65
"renforcer";0;1,04
"emji_drapeau_états";0;2,66
"emji_graphique_en_baisse";0;0,78
"emji_drapeau_ukraine";0;0,65
"vigueur";0;0,71
"russe";0;0,71
"emji_micro";0;0,65
"accuser";0;1,43
"emji_graphique_en_hausse";0;0,65
"directeur";0;1,3
"général";0;1,04
"parlementaire";0;0,65
"parlement";0;0,78
"emji_urne_électorale";0;1,49
"ministre";0;1,88
"emji_clap";0;0,97
"diminuer";0;0,78
"confirmer";0;1,3
"emji_drapeau_territoires_palestiniens";0;2,01
"hôpital";0;1,04
"augmenter";0;1,43
"emji_ski";0;1,04
"emji_drapeau_israël";0;1,17
"israélien";0;1,75
"etat";0;1,43
"udc";0;1,04
"déposer";0;0,78
"motion";0;0,71
"décision";0;1,75
"dollar";0;0,84
"économique";0;1,17
"ministère";0;0,71
"indiquer";0;1,3
"nord";0;0,65
"récemment";0;0,65
"emji_balance_à_poids";0;1,88
"cour";0;0,78
"israël";0;0,78
"tribunal";0;0,71
"climatique";0;0,84
"stratégie";0;0,71
"viser";0;3,57
"rices";0;0,71
"emji_hôpital";0;0,65
"palestinien";0;1,56
"visible";0;0,65
"affirmer";0;0,97
"baisser";0;1,56
"médical";0;0,65
"emji_porte_documents";0;0,84
"réduire";0;1,75
"intervenir";0;1,04
"gouvernement";0;1,36
"lier";0;1,43
"culturel";0;0,71
"emji_symbole_d_avertissement";0;1,36
"netflix";0;0,65
"emji_globe_tourné_sur_l";0;1,56
"euses";0;1,3
"soutenir";0;1,49
"emji_symbole_d_interdiction";0;0,65
"conserver";0;0,71
"emji_cerveau";0;0,84
"média";0;0,78
"secteur";0;0,97
"emji_trophée";0;0,78
"situer";0;0,84
"financier";0;0,84
"actuellement";0;0,65
"rencard";0;1,56
"initier";0;0,65
"réseau";0;2,14
"intelligence";0;0,65
"protéger";0;0,91
"hausse";0;1,04
"emji_gyrophare";0;1,69
"nécessiter";0;0,71
"croissant";0;0,78
"réduction";0;0,78
"nommer";0;0,84
"miseaupointrts";0;0,71
"emji_train";0;0,91
"sujet";0;0,71
"causer";0;1,69
"tiers";0;0,91
"riche";0;0,91
"afrique_et_l";0;1,43
"emji_main_avec_index_pointant_à_droite";0;1,43
"emji_avion";0;0,78
"etats";0;1,04
"procès";0;0,78
"rejeter";0;0,71
"cadre";0;1,17
"oms";0;0,65
"durable";0;0,65
"humanitaire";0;0,91
"hamas";0;0,65
