"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11"
"maison";91,106;6,669;-0,053;-2,555;-7,032;-7,793;13,541;-42,917;30,423;3,135;-0,625
"incroyable";-1,568;-7,206;-3,658;-2,252;-0,029;-3,101;-2,346;156,331;-0,015;-8,299;-19,522
"hiver";-2,456;5,141;0;0,411;-6,206;-0,118;-1,98;-5,757;-3,92;20,311;1,15
"emji_visage_en_pleine_réflexion";-2,675;3,746;-0,001;8,266;149,307;-0,007;-2,721;-38,669;-0,57;-9,776;-1,673
"oublier";0,042;-3,188;-0,663;0,753;-4,546;0,093;1,519;-25,721;2,751;9,862;7,885
"rendre";-8,597;46,897;-0,613;-0,004;-5,063;-3,734;-6,93;-27,889;10,178;133,844;-29,688
"coeur";-8,269;1,015;-0,527;-4,03;-2,087;-1,531;-4,756;177,535;-1,664;-1,402;-42,847
"âge";-8,743;-5,477;-3,568;-4,757;325,056;-6,514;-5,129;-2,348;-0,362;-0,018;-24,055
"mère";-1,287;0,354;-1,737;-5,573;-8,093;-1,762;-3,354;-3,376;10,466;43,079;-0,077
"emji_pouce_vers_le_haut";-4,049;-2,882;-3,122;-9,819;-9,538;-0,49;1,606;223,716;-8,325;-16,457;-8,902
"part";-0,743;-0,149;-0,673;-0,029;11,79;2,053;-5,187;-29,294;13,146;15,779;-3,24
"genre";-4,864;-2,894;0,76;-0,084;13,498;-7,739;-4,957;-25,754;7,066;38,575;-0,357
"emji_visage_souriant_aux_yeux_rieurs";-3,073;-5,983;-0,019;-2,848;-4,952;7,226;-0,017;-18,703;-2,349;-18,706;157,913
"travailler";-4,762;-2,77;2,109;-6,671;-0,065;-0,495;-4,871;-21,912;9,078;153,041;-13,867
"laver";4897,245;-11,308;-3,375;-12,848;-17,807;-10,917;-6,666;-56,913;-9,285;-19,407;-56,573
"air";-2,224;0,095;0,76;-9,844;0,096;-9,442;-6,871;-6,175;-5,045;55,428;2,706
"plaisir";-6,71;6,347;-3,539;-10,123;-0,382;-6,411;-0,469;61,421;-0,328;3,415;-22,079
"écouter";-8,342;-13,47;-3,405;4,63;72,331;-0,939;-3,221;13,765;-3,607;-3,141;-13,479
"perdre";-6,423;0,14;-0,037;-0,552;0,686;-0,011;0,346;-23,239;3,502;30,167;-0,394
"simple";-1,174;-1,821;0,135;-1,562;0,183;-5,95;-1,947;13,765;-0,195;53,518;-43,374
"travail";0,013;-2,329;30,561;-0,096;-3,014;-3,042;-6,46;-10,559;35,3;101,908;-43,145
"touchant";-8,451;-13,647;-3,449;-13,214;-28,57;-13,242;-6,813;746,33;-11,445;-18,724;-62,93
"triste";-6,423;-3,769;-1,682;-2,329;0,686;-7,524;-4,842;-0,815;0,016;182,081;-37,469
"genève";-4,285;-7,176;-3,226;-4,568;-22,398;1387,008;-4,47;-28,646;-7,041;-9,639;-4,77
"génial";-0,491;-9,434;-1,642;-6,417;-11,33;-9,053;38,936;244,131;-6,059;-16,381;-22,628
"droit";-4,184;-0,719;0,255;7,696;1,042;-8,333;-6,283;-33,551;399,678;1,448;-26,08
"ami";-2,796;0,124;-0,409;1,324;-0,544;-1,867;0,634;-1,499;-0,044;67,326;-26,08
"sortir";0,775;-0,097;-1,521;3,5;0,489;-1,248;-1,697;-34,544;-0,327;22,31;2,061
"gros";4,543;-0,623;2,884;0,021;-0,757;-3,715;-2,721;-30,64;0,588;9,067;13,016
"famille";-1,662;0,942;-3,166;-0,528;-6,139;-0,553;-4,355;-8,341;0,168;113,545;-8,418
"histoire";-1,61;-1,224;-3,137;115,596;1,21;1,26;-6,195;-2,157;-0,592;0,869;-19,02
"rire";-1,61;-10,373;-1,428;-6,76;-4,928;-5,042;-0,168;0,004;-10,232;-16,628;164,799
"rappeler";-4,218;-5,565;-1,481;-0,578;-10,06;-0,597;48,46;8,783;-0,278;0,004;0,146
"partie";59,591;1,666;-1,441;3,017;0,399;1,217;-0,699;-15,052;8,128;0,025;-12,57
"côté";9,359;0,297;-0,013;-3,651;-0,755;15,634;-1,742;-29,365;0,783;11,355;0,136
"revenir";0,199;0,003;3,528;30,329;-0,609;-1,258;-0,059;-23,67;-0,051;11,342;-0,99
"nourrir";-5,564;2440,452;-3,062;-6,433;-23,159;-11,756;-6,048;-29,663;-3,703;-22,303;-50,884
"importer";-5,635;16,874;0;-4,053;5,267;-2,545;-4,213;-42,517;-2,698;163,96;-18,356
"réponse";-5,528;-8,177;-1,349;36,539;288,247;-6,193;-2,592;-5,351;-9,886;-14,151;-17,696
"retrouver";-5,814;0,942;-3,166;-2,372;-0,512;-1,1;-6,254;33,181;-0,247;1,106;-4,973
"emji_visage_roulant_des_yeux";-3,415;-1,278;3,789;2,785;78,65;-5,46;-2,234;-42,686;-0,02;-1,224;6,477
"amour";-1,433;10,847;-3,033;-0,72;-1,406;-4,695;-4,099;80,592;-0,002;0,049;-41,081
"heureusement";0,321;0,003;-0,005;-8,457;0,131;-0,023;-1,608;-44,066;2,556;50,405;1,185
"emji_drapeau_suisse";-6,156;-7,928;-2,512;-2,964;-14,599;5,577;-1,689;225,78;-3,165;-11,044;-20,359
"répondre";-5,136;-2,216;-2,884;1,06;618,8;-2,998;-3,815;-26,75;-7,426;-27,623;-16,725
"espérer";-1,61;-0,252;-0,383;-0,48;-0,052;-6,511;-4,298;12,056;-1,152;19,873;-9,074
"écrire";-5,208;-9,498;-1,231;-0,504;451,842;-1,258;-3,872;-29,109;-0,733;-11,344;-5,732
"toilette";4502,371;-9,498;-0,262;-12,505;-17,841;-5,721;-5,755;-51,299;-7,538;-28,013;-50,637
"lire";-2,405;-11,822;-1,296;2,061;504,319;-3,308;-5,901;-36,379;-0,383;-7,414;-18,271
"fou";-1,433;-2,627;-0,325;1,872;-6,433;-1,52;-2,566;-2,529;0,772;1,835;15,036
"ancien";-2,614;-3,907;0;1,638;20,467;-0,003;-6,107;0,735;0,037;1,064;-10,663
"préférer";0,287;13,37;0,02;-4,153;-0,03;-4,012;6,027;-11,992;2,172;22,906;-6,559
"payer";-7,139;2,616;282,823;10,539;-5,7;-0,029;-5,755;-39,423;8,544;30,082;-17,164
"garçon";-5,314;-7,836;-2,958;-9,039;3,553;-4,449;9,901;17,495;19,474;0,147;-12,446
"journée";4,252;-2,176;-0,24;-2,284;-0,062;-2,954;-2,284;0,302;-0,244;23,494;-3,795
"cher";-3,283;22,093;10,405;-1,27;-5,997;-1,734;-2,133;-13,991;-0,005;62,034;-5,238
"place";2,499;-0,087;-1,257;-1,71;2,125;-2,148;-5,813;-22,442;17,038;74,812;-17,605
"naître";-0,111;-3,344;-2,914;-0,021;-0,304;5,623;13,235;-23,67;2,767;-4,084;26,273
"mignon";-7,175;1,648;-1,244;-5,852;-11,037;-9,218;-5,784;357,419;-9,425;-9,044;-46,051
"pire";-1,939;0,796;15,02;-2,804;-3,757;0,119;-3,56;-28,324;3,631;70,218;-1,755
"mec";-6,993;-7,439;-1,179;-6,957;-6,467;-2,911;-5,637;-30,055;5,693;-1,29;185,817
"poser";-0,059;0,031;-1,14;-0,088;594,934;-2,781;-5,549;-44,535;-1,145;-14,371;-30,88
"truc";1,629;0,011;18,728;-0,008;-0,23;-0,193;-0,413;-34,35;-1,273;0,337;24,25
"finir";-4,959;16,021;-1,14;-2,097;0,007;-1,042;-3,673;-10,596;1,379;48,809;-6,401
"eau";460,938;14,393;-0,184;-0,049;-4,728;-3,772;-3,56;-32,327;-3,933;0,068;-2,265
"idée";-3,448;0,569;-1,179;-0,125;33,705;-2,911;-2,259;-16,436;-0,633;13,876;-0,732
"garder";-2,025;31,695;-1,127;0;-6,091;-1,013;-1,059;-6,275;-0,17;39,078;-5,384
"façon";-2,025;-4,186;-0,204;-0,731;200,79;-0,465;-5,52;-2,024;-1,896;-3,254;-10,323
"élastique";-6,665;-6,93;-2,72;-11,544;-16,277;-8,428;4001,677;-33,918;-5,218;-9,348;-35,515
"mort";-6,483;39,609;-1;72,476;0,018;-8,146;-5,226;-30,562;1,16;4,465;-3,983
"nature";-6,556;236,322;-2,676;0,218;-4,302;-10,272;-3,419;6,43;-1,598;4,142;-46,303
"début";-1,826;-2,668;-1,038;4,882;-10,812;-2,441;-0,261;-21,877;-0,087;-4,029;113,182
"enfance";-1,798;-8,567;-0,152;-9,426;-9,192;-4,89;851,742;17,595;-10,464;-1,897;-26,656
"partir";-0,306;-0,451;-1,051;20,508;0,001;-8,372;-3,476;-25,693;-3,787;24,531;4,182
"compte";-6,447;-0,068;-0,133;22,028;-1,096;-2,275;-5,197;-16,15;0,011;117,858;-24,062
"société";-6,592;-0,109;-1,038;9,556;9,978;-6,519;-3,448;-12,776;15,706;70,604;-46,573
"mdr";2,266;-5,168;-0,152;-3,576;-9,192;-0,05;-5,285;-33,155;-3,69;-12,855;233,073
"attendre";-1,77;1,031;-1,013;0,239;10,422;-6,41;-1,934;-37,277;-2,493;28,034;2,654
"noir";-6,047;-3,113;-2,468;71,426;-0,285;-4,177;-3,026;-27,551;-3,024;-5,826;62,56
"exactement";-4,604;-1,635;0,059;-0,158;164,666;-0,291;-3,391;-16,585;0,528;-2,4;-3,408
"servir";395,842;2,604;0,133;0,574;-1,115;-1,873;-1,641;-34,182;0,402;-0,32;-5,647
"acheter";1,492;260,47;-0,111;-0,779;-7,086;-2,112;-0,77;-25,377;-0,241;0,455;-1,173
"mauvais";-2,729;6,515;0,111;30,693;0,356;-4,379;-0,716;-26,563;8,635;30,6;-22,338
"dimanche";-5,61;-3,806;-2,29;-2,175;-12,81;-3,578;-0,448;0;-2,475;0,277;62,74
"bonheur";-4,427;-4,85;-0,95;-2,25;-4,813;-7,921;0,886;241,96;-6,312;-3,28;-37,549
"valoir";-2,761;8,19;-2,542;-10,659;-14,838;156,327;-3,166;-8,464;-7,93;-0,812;13,448
"exprimer";-6,119;-9,882;-2,498;-0,625;504,289;-5,813;-4,933;0,002;-4,433;-18,812;-35,945
"mode";1,873;-0,149;-2,453;-5,167;0,058;-7,415;-1,593;-27,301;1,036;8,139;28,168
"propre";270,832;-2,111;-0,875;1,807;0,165;0,109;-3,082;-28,052;0,075;3,587;-12,544
"exemple";0,678;2,245;-0,925;6,012;-0,863;-0,007;-5,05;-2,625;38,995;7,635;-26,534
"cours";-3,933;-7,407;0,193;-2,483;3,633;-2,617;29,817;-30,195;282,142;-6,052;-1,378
"sembler";-1,468;0,332;2,704;-0,033;57,629;4,178;-3,082;-24,157;0,075;4,417;-12,544
"rts";-6,083;-6,032;-0,863;-6,799;-7,815;357,621;-3,054;13,817;-1,146;-8,165;-13,701
"emji_visage_retenant_ses_larmes";-3,338;-6,424;-2,127;-8,599;-13,399;-4,473;3,93;318,215;-4,613;-14,209;-29,284
"voiture";-3,898;0,005;0,203;-0,383;-8,396;-0,038;-0,527;-18,455;-3,971;151,172;-4,437
"merveilleux";-6,083;-7,812;-2,483;-6,799;-18,373;-5,759;1,109;430,164;-3,071;-24,411;-37,975
"chercher";-4,039;2,919;-0,814;20,856;2,419;-4,026;-4,786;-19,384;5,962;25,484;-11,508
"joli";-2,569;-9,706;-0,07;-3,863;-9,047;0,002;-2,998;230,162;-7,586;-6,739;-19,401
"oeil";-3,933;-0,979;-0,777;-2,483;-0,399;-5,382;-4,699;10,868;-0,375;39,238;-10,896
"normal";-1,18;-0,058;0,224;0,003;23,287;-1,492;-4,611;-27,329;62,004;14,837;-19,177
"pied";367,777;-2,283;-0,635;-1,094;-4,663;-3,284;-2,526;-27,141;0,104;2,015;0,009
"simplement";-0,477;0,157;-0,777;0,089;27,098;-1,604;-2,859;-6,576;10,352;9,439;-19,901
"recevoir";-3,688;-3,755;0,268;-2,125;-0,936;-3,529;-2,665;-8,605;-5,156;146,268;-2,884
"couper";-0,391;2,417;-2,305;-3,274;-2,351;0,055;-4,552;-21,013;0,79;0,849;37,042
"pratique";989,038;0,028;0,257;1,15;-6,475;-1,383;-1,334;-28,666;-6,957;-1,46;-16,802
"noël";-5,102;-3,098;-0,543;0,012;-11,153;2,8;-2,306;0,389;-6,158;31,622;0,001
"journaliste";-3,408;-6,539;-2,156;-6,913;208,128;-1,968;-4,259;-1,535;-2,078;-8,548;-0,148
"ville";-3,478;46,405;-2,186;-0,492;-3,509;30,511;-1,174;-24,816;-2,165;22,936;-3,532
"partager";-5,538;-3,704;-0,682;-0,229;-6,273;-2,266;-1,288;167,163;0,358;-6,02;-25,334
"cause";-3,478;46,405;3,866;-0,002;-2,587;-2,052;-4,318;-33,6;210,4;0,017;-9,543
"permettre";2,849;4,254;-0,014;0,053;1,53;-6,517;-2,554;-16,159;0,092;74,858;-24,562
"sujet";-2,065;0,973;-2,216;1,443;254,717;-1,206;-4,376;-29,555;-0,003;-3,717;-14,094
"éducation";-3,373;-3,298;-0,589;-5,228;507,452;-6,237;-4,23;-22,088;0,002;-5,995;-21,355
"georges";-2,275;-3,673;-0,928;-2,745;0,004;-0,588;-1,834;43,059;0,764;-2,228;-2,71
"foutre";-5,32;-0,001;-0,008;-1,782;-3,425;-0,466;-1,152;-22,581;-1,193;25,652;23,363
"essayer";-0,957;-0,005;1,595;1,507;1,012;-4,739;-2,526;-29,298;0,104;92,199;-9,743
"seulement";0,311;-0,049;-0,51;1,422;4,817;0,988;-0,213;-13,464;-0,322;39,152;-19,6
"intéressant";-2,004;-4,922;-0,623;-0,002;13,578;-0,49;-4,318;19,274;-0,555;0,632;-16,788
"gentil";-5,065;28,195;-0,532;-3,523;-0,361;-2,85;-4,083;11,506;4,038;0,793;-13,352
"battre";-1,73;1,562;-0,521;-0,726;-0,329;-0,292;-2,252;-33,657;229,494;-1,844;0,289
