emji_pouce_vers_le_haut;214;0;5;19;2;42
recevoir;41;1;26;103;2;135
base;8;6;21;95;3;180
main;34;23;33;84;6;124
haut;38;1;11;110;1;146
occuper;17;0;50;83;5;147
image;50;0;35;52;1;172
extrême;4;0;39;40;0;213
début;41;2;23;55;3;183
suivre;24;1;35;64;2;178
faute;6;1;17;46;4;225
argument;6;0;21;45;4;219
naître;67;3;24;30;0;176
étude;3;0;2;106;1;182
tomber;32;1;17;63;7;175
justice;10;1;144;39;2;99
effet;19;2;11;136;4;121
augmenter;2;0;9;251;0;25
archive;233;0;5;8;2;53
long;24;3;17;72;5;175
étranger;6;0;24;137;1;123
contraire;15;1;30;53;5;193
sécurité;2;0;43;163;4;76
semaine;21;0;14;116;1;134
maladie;7;1;1;226;8;45
facile;20;6;19;70;2;178
emji_visage_avec_des_étoiles_à_la_place_des_yeux;242;0;0;3;0;5
policier;9;0;66;40;1;160
journaliste;51;0;51;21;2;150
raciste;4;0;11;11;0;250
nourrir;30;0;9;36;155;51
partager;99;0;21;45;1;127
lausanne;63;0;9;158;1;53
dur;32;0;19;78;1;154
mode;43;5;9;36;4;179
envie;46;3;9;33;3;190
choisir;23;1;16;61;0;180
actuel;14;3;22;83;1;163
frontalier;3;0;3;230;0;29
emji_visage_boudeur;10;0;33;31;4;92
nombre;6;0;33;137;7;89
mériter;29;0;32;79;0;138
différence;15;2;20;95;3;146
train;12;2;26;176;1;58
groupe;18;0;80;52;1;108
clairement;12;1;29;48;2;185
éviter;7;3;18;108;8;132
ancien;64;2;11;46;1;153
suffire;8;5;25;89;0;151
peine;8;0;28;53;2;184
risque;4;1;17;142;7;95
franchement;24;4;13;45;4;187
bref;16;4;19;68;1;169
majorité;3;0;35;110;1;126
effectivement;39;1;17;62;4;153
traiter;6;1;47;32;5;179
meme;21;5;15;57;1;164
laver;10;202;3;9;0;33
génial;228;4;2;9;2;26
face;10;0;45;38;2;165
battre;11;2;17;50;4;177
noir;30;0;18;25;3;178
intéressant;59;2;7;54;0;149
caisse;6;0;6;228;0;11
baisser;2;3;1;213;2;39
amour;116;3;7;21;5;109
propos;20;0;21;13;1;215
nouvelle;61;1;14;50;3;135
nature;60;0;6;39;22;132
renard;58;0;1;17;175;8
remettre;20;0;16;52;0;173
victime;12;0;82;29;0;141
toucher;31;3;13;107;1;111
tenir;19;1;32;30;9;172
info;11;2;35;54;4;157
plaindre;6;0;11;61;7;176
détruire;3;0;68;71;14;105
civil;0;0;186;28;0;41
éducation;18;1;7;34;1;196
international;4;0;180;41;0;30
voter;4;0;14;113;2;119
feu;20;0;115;53;2;68
dimanche;79;0;6;57;2;97
complètement;18;2;29;44;3;164
valeur;25;0;26;58;0;151
réseau;13;0;25;37;3;181
terroriste;1;0;226;1;0;13
souhaiter;47;1;15;46;3;145
joli;163;1;7;31;0;52
intérêt;7;1;39;66;2;134
exprimer;55;0;7;2;0;183
marcher;13;1;26;63;0;153
accepter;6;0;31;79;3;135
égalité;4;0;1;27;0;203
porter;32;2;8;40;3;166
métier;23;0;2;57;1;158
corps;9;10;35;37;2;143
difficile;23;4;16;46;2;163
porte;28;2;16;48;5;153
pied;30;51;8;60;3;87
humanité;21;0;60;36;1;130
type;18;0;14;60;3;157
vérité;29;2;18;12;0;182
profiter;22;1;15;135;1;72
preuve;6;0;27;28;2;179
source;8;1;26;65;2;131
courage;90;2;23;27;1;102
route;11;0;6;170;4;48
logique;11;1;23;71;2;135
envoyer;17;3;33;55;9;130
offrir;36;0;11;150;0;40
libre;19;0;27;50;0;146
gars;41;2;5;30;2;159
voler;7;0;48;85;2;91
suite;32;3;31;57;2;120
franc;21;0;4;188;0;6
culture;14;1;14;46;1;161
sûrement;28;0;20;40;4;148
totalement;14;1;16;58;2;152
touchant;221;0;1;3;0;17
initiative;15;0;11;107;1;100
but;11;0;41;76;1;104
représenter;12;1;32;100;3;80
réfléchir;9;0;6;43;1;177
casser;8;0;76;54;0;97
pratique;21;59;11;59;2;74
concerner;4;2;17;79;1;128
toilette;37;146;2;15;0;21
vendre;18;1;24;152;1;34
noël;122;0;3;38;0;55
haine;3;1;73;14;3;135
mourir;23;1;21;23;15;136
arme;2;0;113;35;1;67
allemand;19;0;10;31;1;146
réel;12;0;14;62;1;137
européen;1;2;55;100;1;64
obliger;9;1;17;60;5;135
discours;22;0;20;16;1;170
uniquement;2;1;30;88;5;102
rentrer;15;4;20;49;5;132
garçon;136;0;2;7;1;77
grave;18;1;29;38;2;138
excellent;150;1;5;25;2;43
voisin;26;2;19;47;52;79
racisme;3;0;13;11;1;182
information;13;1;38;17;1;150
content;36;3;13;51;5;117
taxe;1;0;2;188;2;11
ultra;4;1;8;154;0;42
résultat;6;0;9;69;2;129
différent;15;3;14;42;1;145
adulte;15;1;3;10;0;191
média;1;0;54;33;1;130
ia;5;0;3;76;0;121
fonctionner;1;2;9;114;1;89
citoyen;1;0;32;78;1;103
bonheur;154;0;1;24;0;38
poste;7;0;5;102;3;91
drôle;67;1;7;15;0;128
cadeau;45;0;1;100;0;54
empêcher;2;0;27;51;0;135
doute;24;0;17;36;2;140
sérieux;16;3;14;30;2;154
crime;1;0;166;9;0;27
qualité;15;0;1;132;2;66
fermer;8;3;21;71;1;113
minimum;1;0;11;91;1;109
clair;13;0;25;47;2;131
sport;33;3;2;44;0;126
prochain;24;1;16;37;2;134
enfance;158;2;3;8;0;43
taxer;0;0;0;179;0;16
israel;0;0;193;1;0;2
froid;127;4;15;26;0;37
manifestant;1;0;163;8;0;33
chiffre;3;0;13;114;4;69
évidemment;4;3;19;52;2;133
livre;16;1;11;20;0;154
tourner;31;1;5;101;0;72
physique;7;0;3;87;2;107
fond;31;1;8;46;1;122
voix;118;0;19;15;1;55
règle;9;9;10;47;1;131
mignon;170;0;0;5;9;25
sauver;15;2;14;74;6;91
lol;22;4;15;23;5;136
habiter;36;5;7;83;6;69
perso;19;7;1;60;1;119
naturel;63;0;6;44;13;76
mondial;6;0;24;145;0;26
gentil;71;0;14;17;16;82
entier;12;4;29;42;1;121
produit;1;0;1;163;1;24
économie;0;2;2;182;0;17
top;105;5;5;36;2;45
subir;4;0;57;36;1;101
esprit;29;0;11;10;2;149
revoir;96;0;10;35;0;63
milliard;2;0;12;160;1;9
juif;0;2;164;4;0;9
cacher;7;0;51;44;1;94
photo;36;1;13;18;4;126
blague;12;0;23;20;3;114
produire;2;2;9;147;2;39
fortune;5;0;4;165;0;16
étonner;9;0;9;49;2;80
moyenne;2;0;1;158;0;26
bout;29;1;16;38;1;114
bcp;19;5;21;52;3;94
économique;0;1;19;141;0;33
svp;34;0;10;25;2;129
emji_visage_retenant_ses_larmes;155;0;0;6;0;11
cest;13;5;16;28;1;118
soir;45;4;9;43;16;80
prouver;2;1;25;31;2;128
national;21;0;15;66;2;93
fédéral;2;0;51;86;0;52
emji_visage_envoyant_un_bisou;93;1;10;18;0;49
merveilleux;181;0;0;2;0;13
bosser;8;0;0;117;1;65
élève;17;0;0;9;0;157
privé;6;2;9;116;2;51
personnel;7;3;5;68;2;101
parole;46;0;32;3;1;110
refuser;3;0;37;76;1;78
débat;6;1;10;27;0;147
élastique;176;0;0;3;0;7
tirer;13;1;35;32;5;106
vivant;28;0;17;34;8;102
retour;37;3;14;62;1;75
bonjour;42;3;12;36;2;97
moitié;10;2;13;50;0;103
