"";"";"";"";"de";""
"121";"plusieurs";"0.333123461677287";"-0.386945406058639";"0.849869671208571";"187"
"122";"tous";"0.0517861564387747";"0.0623956188191864";"0.840726085906241";"198"
"123";"ok";"0.0415258377566584";"-0.0802598872737458";"0.840570598541963";"200"
"124";"deux";"0.0347202651525778";"0.132927451901605";"0.837073293199168";"207"
"125";"trois";"0.225555181540361";"-0.370925742444783";"0.836973502801199";"208"
"126";"certaines";"0.262147294533501";"-0.415128376606305";"0.836274970015412";"209"
"127";"ici";"0.205015359338261";"-0.177547324324872";"0.834836131719106";"211"
"128";"partout";"0.259080447309956";"-0.259897663874542";"0.831081227907134";"214"
"129";"eux_mêmes";"0.499744704142448";"-0.170370100410811";"0.830693669849903";"215"
"130";"ailleurs";"0.340124431353088";"-0.0158621880517917";"0.829760745664234";"217"
"131";"lors";"0.497943210943401";"0.174751465118393";"0.829660955266264";"218"
"132";"puisqu";"0.265123686009842";"-0.348374971817389";"0.824996334337918";"231"
"133";"dessous";"0.258904090590751";"-0.542803247114032";"0.824794432835049";"232"
"134";"80";"-0.61336125978011";"-0.116251612575918";"0.821652195652472";"237"
"135";"tant";"0.126397055126955";"-0.00282504110337747";"0.821638271410895";"238"
"136";"presque";"-0.215758334385823";"-0.232807387363457";"0.819895420506821";"241"
"137";"nonante";"-0.724800516838667";"-0.398989294159673";"0.818324301915533";"243"
"138";"1930";"0.00194551907920114";"-0.746526212190756";"0.818131683240382";"244"
"139";"cet";"-0.540484901610146";"0.299825936291503";"0.818066703446355";"246"
"140";"merde";"-0.0141648802927655";"-0.630237031607152";"0.817655938319829";"248"
"141";"nul";"0.184911076795437";"-0.377301472367063";"0.815878276811813";"253"
"142";"ainsi";"0.361599299570855";"0.0410563274435615";"0.815616036928776";"255"
"143";"ben";"0.0452062559789846";"-0.0643539632813785";"0.814750413244063";"258"
"144";"près";"-0.0394978005334268";"-0.355684193375806";"0.814576360224349";"259"
"145";"2001";"0.351464222077936";"0.317006189765559";"0.814409269325423";"260"
"146";"hé";"-0.447265121976292";"-0.131678642209312";"0.814383741549198";"261"
"147";"devant";"0.0625260595788917";"0.0927567713263936";"0.812332236623498";"266"
"148";"ouais";"0.0593313255454492";"0.0469847067085679";"0.811956282100915";"270"
"149";"demi";"0.454130214738021";"0.285300037031287";"0.811937716445479";"271"
"150";"excepté";"0.204939646227822";"-0.0782326764098966";"0.811429481627913";"273"
"151";"moi_même";"-0.173283502985139";"-0.284634184370681";"0.811255428608198";"274"
"152";"eh";"-0.291626768521924";"-0.128398068280763";"0.810860908430179";"275"
"153";"ha";"-0.294140954483691";"-0.310992232869114";"0.810672931168887";"277"
"154";"chacune";"-0.350198626980777";"-0.932570422761513";"0.810647403392663";"278"
"155";"six";"0.238221521840939";"-0.0130181547151161";"0.810489595321455";"280"
"156";"1983";"-1.33032188162906";"0.285862792037933";"0.809865325157412";"282"
"157";"youpi";"0.313737832679407";"-0.515615425763119";"0.809865325157412";"283"
"158";"maintenant";"-0.160873443345235";"-0.0733582932991771";"0.809329241856692";"287"
"159";"haha";"-0.672262972685399";"-0.207233275676889";"0.80894864592025";"288"
"160";"alentour";"-0.597330349885622";"-0.384783483383913";"0.808593577760033";"289"
"161";"zut";"-0.6598500791091";"-0.257647898115744";"0.808593577760033";"290"
"162";"29";"-0.0714028114594999";"-0.307753262978522";"0.808289565152265";"291"
"163";"diverses";"0.791140812286366";"0.439850115145756";"0.808282603031476";"293"
"164";"70";"-0.452910955595282";"-0.0127974560472004";"0.808199057582013";"295"
"165";"arrière";"-0.715691610557005";"-0.102250266502365";"0.808136398494916";"296"
"166";"1972";"0.0908027397607059";"-0.558828465098232";"0.807217398550824";"298"
"167";"95";"0.356940264220891";"0.507027020156429";"0.806279832951296";"304"
"168";"heu";"-0.25647427944796";"-0.122171990202227";"0.805994385998964";"306"
"169";"pis";"-0.130849230407017";"-0.0918176156311885";"0.805553451682354";"307"
"170";"na";"0.170854315049973";"0.53581712230386";"0.805455981991314";"308"
"171";"cinq";"0.21361178988456";"-0.496214905404526";"0.805256401195375";"309"
"172";"auparavant";"0.0121189746265022";"0.0223743188831769";"0.805256401195375";"310"
"173";"1985";"-1.17282952568068";"0.159067445435568";"0.805165893625124";"312"
"174";"114";"-1.553099777271";"0.226312346163654";"0.805140365848899";"313"
"175";"jusque";"0.279370572126787";"-0.193457565146114";"0.804806184051047";"314"
"176";"1970";"-0.711263790709259";"0.210359957030743";"0.804186555300864";"318"
"177";"parce";"0.147323631857011";"0.0946827966451918";"0.804082123489035";"319"
"178";"autrefois";"0.12012170548322";"-0.216197811963017";"0.803706168966452";"320"
"179";"1980";"-0.669663697212686";"-0.100641399568406";"0.803388232117107";"321"
"180";"celui_là";"-0.242703109019333";"0.222933077383213";"0.803381269996319";"322"
"181";"tintin";"-1.49579002548281";"0.109771393001165";"0.803351100806235";"323"
"182";"bof";"-0.317950801071654";"-0.440999552393731";"0.80313063364793";"325"
"183";"1979";"-1.20220793364201";"-0.0333497173204515";"0.803102785164776";"327"
"184";"1977";"-1.20220793364201";"-0.0333497173204515";"0.803102785164776";"328"
"185";"1960";"-0.82721776478427";"0.230905156223224";"0.802028297856405";"330"
"186";"pouce";"-0.774868884913341";"0.490874055071336";"0.801754454438721";"332"
