"";"";"";"";"htag_cinemafrancais";""
"23";"1966";"-0.0337996843491533";"-0.0294952060254631";"0.863190167549687";"187"
"24";"htag_jeunes";"0.638094700540752";"0.808105195159139";"0.8630225282163";"190"
"25";"htag_france";"0.596191536397369";"0.656556996864011";"0.8630225282163";"191"
"26";"htag_musique";"0.239272320225491";"0.780086255969215";"0.859590852450493";"196"
"27";"diverses";"0.8637686857919";"-0.1147243746867";"0.857904597979363";"202"
"28";"htag_cochon";"0.801356830443408";"-0.0328178941976144";"0.857904597979363";"203"
"29";"htag_femmes";"0.983100147782782";"-0.94247870939726";"0.857904597979363";"204"
"30";"htag_dog";"0.983100147782782";"-0.94247870939726";"0.857904597979363";"205"
"31";"htag_alcool";"0.841306730638552";"0.140755805937956";"0.857904597979363";"206"
"32";"htag_fille";"0.983100147782782";"-0.94247870939726";"0.857904597979363";"207"
"33";"htag_centenaire";"0.841306730638552";"0.140755805937956";"0.857904597979363";"209"
"34";"bien";"0.429276629775647";"-0.060461423144703";"0.854581394723395";"212"
"35";"oui";"0.800832469884468";"0.441138165109874";"0.853102224134685";"214"
"36";"comme";"0.128060827893578";"-0.239638476993161";"0.850676384369201";"224"
"37";"mieux";"0.762951593538659";"-0.10796900850607";"0.850410133663233";"227"
"38";"htag_nosmoking";"0.867150853129439";"0.315180680939902";"0.849709992917911";"230"
"39";"htag_solitude";"0.610738189751257";"0.877737543371914";"0.849709992917911";"232"
"40";"htag_rtsarchives";"0.382424578369001";"0.0282614203627312";"0.849285964015814";"235"
"41";"encore";"0.519648291047642";"-0.329864433056139";"0.848635128956781";"239"
"42";"quelle";"1.05147541648971";"-0.321577502309295";"0.848418183937104";"240"
"43";"htag_commeunlundi";"1.1906191734965";"-1.01160347092566";"0.84747151476033";"242"
"44";"htag_voiture";"0.406292430114181";"1.17585594496704";"0.847451792485813";"245"
"45";"chez";"0.720563511134574";"0.00995386219672059";"0.846130400093233";"247"
